спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S16_Co57_P5                known        0.9711     0.9725   +0.144  anchor_note, chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s
G1S16_Co60_P25               known        1.7176     1.6937   -1.391  anchor_note, ch_hi, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Co60_P5                known        9.6196     9.5470   -0.755  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Cs137_P25              known        1.8731     1.8520   -1.126  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Cs137_P5               known        8.1347     8.1050   -0.365  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Eu152_P25              known        3.4260     3.3571   -2.011  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S16_Eu152_P5               known       13.6885    13.6322   -0.411  <число строк 16→15>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity
G1S16_Mn54_P25               known        1.5006     1.4834   -1.146  <число строк 1→2>, anchor_note, chi2ndf, chi2ndf_pois, collinearity, components
G1S16_Mn54_P5                known        2.9009     2.9141   +0.455  <число строк 1→2>, anchor_note, chi2ndf, chi2ndf_pois, collinearity, components
G1S16_Na22_P25               known        4.1818     4.3653   +4.388  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity; Ann-511 70.17→10.50; Na-22 29.83→89.50
G1S16_Na22_P5                known       14.0119    14.1550   +1.021  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ann-511 72.71→18.87; Na-22 27.28→81.12
G1S16_Th228_P25              known        1.1808     1.1248   -4.743  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S16_Th228_P5               known        4.4672     4.2706   -4.401  anchor_note, anchor_offset_kev, anchors_used, ch_hi, ch_lo, chi2ndf; Pb-212 50.25→50.34; Tl-208 37.98→37.90
G1S16_Y88_P25                known        1.0761     1.0475   -2.658  <число строк 1→2>, <число строк 2→3>, anchor_note, chi2ndf, chi2ndf_pois, collinearity; Y-88 100.00→97.03; pile-up 0.00→2.97
G1S16_Y88_P5                 known        1.3015     1.2999   -0.123  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity; Ann-511 1.53→1.26; Y-88 98.47→98.74
G1S24_Am241_P5               known        5.7506     5.7360   -0.254  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity
G1S24_Ba133_P5               known       17.3558    19.0956  +10.024  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Bi207_P5               known       22.9973    22.9469   -0.219  <число строк 2→1>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity; Ann-511 0.21→0.00; Bi-207 99.79→100.00
G1S24_Cd109_P5               known        3.2313     3.4655   +7.248  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Co60_P5                known       11.7765    11.7000   -0.650  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_P25              known        3.1361     3.1263   -0.312  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cs137_P5               known       13.7111    13.7201   +0.066  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Eu152_P5               known       30.3754    31.2766   +2.967  <число строк 12→13>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity
G1S24_Na22_P25               known        6.1750     6.6947   +8.416  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, component; Ann-511 69.71→8.62; Na-22 30.29→91.37
G1S24_Na22_P5                known       36.3994    35.9021   -1.366  <число строк 3→2>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity; Ann-511 70.98→12.98; Na-22 28.41→87.00; pile-up 0.60→0.00
G1S24_Th228_P25              known        4.2079     4.1034   -2.483  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Tl-208 42.58→42.66
G1S24_Th228_P5               known       21.3838    21.2669   -0.547  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Pb-212 50.62→50.73; Tl-208 37.68→37.59
G1S24_Y88_P25                known        2.0726     2.0810   +0.405  anchor_note, ch_hi, chi2ndf, chi2ndf_pois, collinearity, components; Ann-511 1.28→1.04; Y-88 98.72→98.96
G1S24_Y88_P5                 known        8.2360     8.1706   -0.794  anchor_note, chi2ndf, chi2ndf_pois, collinearity, components, decay_s; Ann-511 1.21→0.96; Y-88 98.79→99.04
G1S24_Zn65_P5                known        1.0668     1.0704   +0.337  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity; Ann-511 7.73→1.55; Zn-65 92.06→98.24

known: разобранных 45, Σχ²/ndf 322.6526 -> 324.3543 (+0.5274 %)
сдвинулось 45, побитово 0
побитово: 
