ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Pb,Xray-Th,Xray-Ba
57,11.459,23.373,79.811,0.823,79.034,0.139,0.117,0.033,0.009,0.001,0.000,0.231,0.061,0.182
58,11.796,50.412,80.077,0.966,79.164,0.163,0.137,0.039,0.011,0.002,0.000,0.271,0.071,0.215
59,12.133,84.230,80.254,1.145,79.173,0.194,0.163,0.046,0.013,0.002,0.000,0.322,0.084,0.252
60,12.470,132.234,80.421,1.364,79.138,0.231,0.194,0.055,0.015,0.002,0.000,0.383,0.101,0.296
61,12.807,160.759,80.747,1.627,79.222,0.275,0.232,0.066,0.018,0.003,0.000,0.457,0.120,0.348
62,13.144,207.691,81.311,1.942,79.497,0.329,0.277,0.078,0.022,0.004,0.001,0.546,0.143,0.410
63,13.481,240.807,81.912,2.319,79.754,0.393,0.330,0.093,0.026,0.004,0.001,0.652,0.171,0.482
64,13.818,297.330,82.467,2.770,79.899,0.469,0.395,0.111,0.031,0.005,0.001,0.779,0.204,0.567
65,14.155,288.630,83.029,3.308,79.973,0.560,0.471,0.133,0.037,0.006,0.001,0.930,0.244,0.667
66,14.492,317.745,83.716,3.951,80.080,0.669,0.563,0.158,0.044,0.007,0.001,1.111,0.292,0.784
67,14.830,363.376,84.673,4.718,80.346,0.799,0.673,0.189,0.052,0.009,0.001,1.327,0.348,0.923
68,15.167,315.749,85.890,5.635,80.740,0.954,0.803,0.225,0.062,0.010,0.002,1.585,0.416,1.086
69,15.504,384.897,87.225,6.730,81.094,1.140,0.960,0.268,0.075,0.012,0.002,1.893,0.497,1.278
70,15.841,329.122,88.697,8.037,81.398,1.362,1.146,0.320,0.089,0.015,0.002,2.261,0.593,1.504
71,16.178,363.898,90.388,9.599,81.699,1.627,1.369,0.382,0.106,0.017,0.003,2.701,0.709,1.770
72,16.516,378.716,92.457,11.464,82.110,1.943,1.636,0.455,0.127,0.021,0.003,3.226,0.847,2.083
73,16.853,372.714,95.021,13.692,82.700,2.321,1.954,0.543,0.152,0.025,0.004,3.854,1.011,2.453
74,17.190,376.682,98.041,16.352,83.368,2.772,2.334,0.648,0.181,0.030,0.004,4.603,1.208,2.888
75,17.528,360.754,101.521,19.529,84.045,3.311,2.787,0.774,0.217,0.036,0.005,5.498,1.443,3.401
76,17.865,394.052,105.600,23.324,84.784,3.955,3.330,0.924,0.259,0.042,0.006,6.568,1.724,4.005
77,18.202,395.830,110.454,27.855,85.657,4.724,3.977,1.103,0.309,0.051,0.007,7.845,2.059,4.717
78,18.540,387.831,116.318,33.268,86.777,5.643,4.751,1.317,0.369,0.061,0.009,9.371,2.459,5.557
79,18.877,402.016,123.357,39.731,88.164,6.741,5.674,1.574,0.441,0.072,0.011,11.193,2.937,6.544
80,19.215,378.093,131.660,47.451,89.736,8.052,6.778,1.882,0.527,0.086,0.013,13.370,3.509,7.702
81,19.552,376.460,141.467,56.671,91.527,9.618,8.096,2.252,0.629,0.103,0.015,15.970,4.191,9.059
82,19.890,374.761,153.123,67.682,93.636,11.488,9.671,2.696,0.752,0.123,0.018,19.076,5.006,10.648
83,20.227,405.317,167.063,80.833,96.204,13.722,11.552,3.233,0.898,0.147,0.022,22.786,5.980,12.511
84,20.565,406.136,183.765,96.538,99.355,16.391,13.798,3.882,1.073,0.176,0.026,27.218,7.143,14.692
85,20.902,360.432,203.668,115.296,103.113,19.579,16.482,4.670,1.281,0.210,0.031,32.511,8.532,17.244
86,21.240,414.732,227.290,137.698,107.498,23.387,19.688,5.629,1.531,0.251,0.037,38.834,10.191,20.229
87,21.578,409.253,255.381,164.452,112.658,27.936,23.517,6.798,1.828,0.300,0.044,46.387,12.174,23.719
88,21.915,429.401,288.857,196.405,118.789,33.369,28.091,8.233,2.184,0.358,0.053,55.410,14.541,27.806
89,22.253,433.553,328.819,234.550,126.138,39.857,33.552,10.000,2.609,0.428,0.063,66.182,17.368,32.595
90,22.590,408.403,374.598,278.082,134.512,47.262,39.787,12.123,3.093,0.507,0.075,78.479,20.596,38.133
91,22.928,490.184,423.216,323.865,143.133,55.054,46.345,14.568,3.603,0.590,0.087,91.417,23.991,44.390
92,23.266,433.816,472.051,369.062,151.304,62.749,52.823,17.347,4.107,0.673,0.100,104.195,27.344,51.368
93,23.604,455.223,519.210,411.507,158.479,69.980,58.909,20.547,4.580,0.751,0.111,116.200,30.494,59.112
94,23.941,534.964,562.773,448.952,164.055,76.363,64.282,24.319,4.998,0.819,0.121,126.799,33.276,67.690
95,24.279,524.113,600.962,479.253,167.399,81.535,68.635,28.886,5.336,0.874,0.129,135.386,35.529,77.198
96,24.617,555.780,632.201,500.580,167.895,85.185,71.706,34.425,5.575,0.914,0.135,141.443,37.118,87.747
97,24.955,605.222,655.364,511.594,165.134,87.084,73.304,40.987,5.699,0.934,0.138,144.592,37.944,99.490
98,25.293,592.334,670.048,511.590,159.067,87.109,73.324,48.477,5.700,0.934,0.138,144.629,37.954,112.656
99,25.630,638.259,676.617,500.566,150.072,85.262,71.769,56.576,5.579,0.914,0.135,141.555,37.147,127.549
100,25.968,583.187,676.191,479.230,138.854,81.662,68.736,64.836,5.343,0.876,0.129,135.568,35.575,144.556
101,26.306,725.704,670.504,448.922,126.226,76.531,64.416,72.825,5.007,0.821,0.121,127.042,33.337,164.127
102,26.644,727.591,661.631,411.473,112.935,70.182,59.070,80.141,4.591,0.752,0.111,116.493,30.569,186.738
103,26.982,721.219,652.050,369.024,99.582,62.982,53.007,86.625,4.120,0.675,0.100,104.527,27.428,212.961
104,27.320,780.442,644.540,323.826,86.541,55.310,46.547,92.457,3.617,0.593,0.088,91.776,24.081,243.493
105,27.658,729.442,641.942,278.043,74.070,47.531,39.997,97.933,3.108,0.509,0.075,78.851,20.689,279.146
106,27.996,828.959,647.015,233.590,62.435,39.975,33.634,103.312,2.613,0.428,0.063,66.294,17.393,320.841
107,28.334,808.257,660.167,192.018,51.872,32.908,27.683,108.602,2.150,0.352,0.052,54.544,14.308,367.674
108,28.672,771.439,679.822,154.444,42.552,26.516,22.300,113.650,1.731,0.284,0.042,43.916,11.518,417.293
109,29.010,808.996,704.741,121.547,34.576,20.917,17.584,118.365,1.364,0.223,0.033,34.604,9.074,467.986
110,29.348,815.809,733.823,93.596,27.974,16.157,13.574,122.710,1.052,0.172,0.025,26.685,6.995,518.466
111,29.686,811.810,765.635,70.521,22.704,12.227,10.262,126.658,0.794,0.130,0.019,20.142,5.277,567.413
112,30.024,853.698,798.524,51.990,18.675,9.074,7.605,130.177,0.587,0.096,0.014,14.883,3.895,613.509
113,30.363,849.737,829.953,37.502,15.749,6.610,5.527,133.099,0.424,0.069,0.010,10.767,2.814,654.875
114,30.701,847.663,857.536,26.469,13.777,4.734,3.944,135.254,0.301,0.049,0.007,7.630,1.989,689.845
115,31.039,839.886,891.042,29.744,15.492,5.325,4.436,136.939,0.338,0.055,0.008,8.587,2.238,717.614
116,31.377,800.513,917.972,35.377,17.909,6.332,5.280,137.771,0.403,0.066,0.010,10.227,2.666,737.300
117,31.715,867.737,937.764,42.841,20.890,7.658,6.391,137.809,0.489,0.080,0.012,12.400,3.234,748.790
118,32.054,777.624,950.021,51.577,24.304,9.211,7.692,137.082,0.589,0.096,0.014,14.947,3.901,752.173
119,32.392,811.661,954.031,61.180,28.052,10.920,9.125,135.527,0.700,0.114,0.017,17.754,4.635,747.175
120,32.730,802.552,949.916,71.372,32.070,12.744,10.655,133.153,0.818,0.134,0.020,20.744,5.416,734.148
121,33.069,839.033,938.449,81.966,36.303,14.641,12.245,130.080,0.940,0.154,0.023,23.859,6.230,713.957
122,33.407,762.069,920.710,92.833,40.719,16.592,13.880,126.425,1.066,0.175,0.026,27.064,7.068,687.677
123,33.745,783.293,897.959,103.886,45.294,18.582,15.548,122.342,1.195,0.196,0.029,30.334,7.921,656.499
124,34.084,847.735,871.320,115.065,50.011,20.604,17.244,117.892,1.326,0.217,0.032,33.657,8.787,621.527
125,34.422,739.550,841.754,126.331,54.843,22.643,18.952,113.131,1.457,0.239,0.035,37.009,9.661,583.758
126,34.760,743.735,810.297,137.655,59.776,24.696,20.672,108.139,1.590,0.260,0.038,40.386,10.542,544.171
127,35.099,753.773,777.914,149.019,64.791,26.760,22.402,103.026,1.723,0.282,0.042,43.786,11.427,503.646
128,35.437,759.995,745.481,160.410,69.870,28.837,24.146,97.894,1.857,0.304,0.045,47.248,12.315,462.933
129,35.776,733.442,713.612,171.819,74.999,30.913,25.886,92.881,1.991,0.326,0.048,50.679,13.206,422.650
130,36.114,742.480,682.831,183.242,80.171,32.993,27.628,87.965,2.126,0.348,0.051,54.121,14.099,383.293
131,36.453,789.666,653.527,194.672,85.379,35.076,29.379,83.141,2.260,0.370,0.055,57.583,14.993,345.254
132,36.791,764.591,626.071,206.109,90.608,37.164,31.156,78.426,2.395,0.393,0.058,61.106,15.888,308.838
133,37.130,753.666,600.618,217.550,95.867,39.248,32.903,73.902,2.530,0.415,0.061,64.582,16.783,274.285
134,37.468,752.595,577.452,228.993,101.150,41.332,34.651,69.582,2.665,0.437,0.064,68.067,17.679,241.782
135,37.807,718.222,556.740,240.438,106.457,43.416,36.400,65.482,2.800,0.459,0.068,71.561,18.575,211.476
136,38.146,763.149,538.613,251.884,111.787,45.501,38.151,61.546,2.935,0.481,0.071,75.065,19.472,183.557
137,38.484,759.708,523.110,263.331,117.136,47.583,39.897,57.771,3.069,0.503,0.074,78.578,20.368,158.080
138,38.823,719.117,510.171,274.779,122.500,49.665,41.643,54.155,3.204,0.525,0.077,82.102,21.265,134.984
139,39.162,808.226,499.752,286.227,127.872,51.745,43.399,50.706,3.339,0.547,0.081,85.639,22.161,114.210
140,39.500,773.747,491.827,297.676,133.258,53.825,45.164,47.445,3.474,0.569,0.084,89.189,23.058,95.706
141,39.839,810.562,486.298,309.125,138.602,55.904,46.908,44.432,3.609,0.591,0.087,92.754,23.954,79.401
142,40.178,722.193,483.022,320.573,143.791,57.985,48.653,41.692,3.743,0.614,0.090,96.335,24.850,65.211
143,40.517,718.861,481.907,332.022,148.833,60.070,50.400,39.222,3.878,0.636,0.094,99.936,25.746,53.033
144,40.855,841.936,482.799,343.471,153.745,62.158,52.149,37.011,4.013,0.658,0.097,103.558,26.642,42.706
145,41.194,808.159,485.520,354.920,158.549,64.250,53.901,35.046,4.148,0.680,0.100,107.203,27.538,34.039
146,41.533,759.197,489.909,366.369,163.275,66.348,55.656,33.316,4.283,0.702,0.103,110.875,28.435,26.848
147,41.872,791.678,495.720,377.818,167.867,68.453,57.416,31.809,4.418,0.724,0.107,114.576,29.331,20.949
148,42.211,828.312,502.747,389.267,172.302,70.566,59.181,30.506,4.553,0.746,0.110,118.312,30.228,16.169
149,42.549,817.608,510.856,400.716,176.602,72.689,60.953,29.391,4.688,0.769,0.113,122.085,31.125,12.366
150,42.888,854.573,519.920,412.165,180.792,74.822,62.730,28.447,4.823,0.791,0.116,125.899,32.022,9.397
151,43.227,856.724,529.792,423.614,184.896,76.967,64.515,27.659,4.959,0.813,0.120,129.760,32.920,7.100
152,43.566,893.689,540.337,435.063,188.926,79.127,66.309,27.012,5.095,0.836,0.123,133.677,33.818,5.327
153,43.905,879.428,551.355,446.512,192.816,81.301,68.113,26.483,5.231,0.859,0.126,137.651,34.717,3.968
154,44.244,874.244,562.740,457.961,196.555,83.491,69.926,26.058,5.367,0.881,0.130,141.688,35.616,2.933
155,44.583,927.208,574.432,469.410,200.154,85.700,71.751,25.726,5.503,0.903,0.133,145.796,36.516,2.150
156,44.922,859.656,586.432,480.859,203.629,87.930,73.589,25.477,5.640,0.926,0.136,150.014,37.416,1.570
157,45.261,798.472,598.667,492.308,206.997,90.182,75.440,25.303,5.777,0.948,0.139,154.307,38.317,1.145
158,45.600,870.955,611.084,503.757,210.240,92.459,77.306,25.193,5.914,0.971,0.143,158.688,39.219,0.836
159,45.939,836.326,623.609,515.206,213.305,94.761,79.188,25.130,6.052,0.994,0.146,163.181,40.122,0.610
160,46.278,770.441,636.236,526.655,216.192,97.093,81.091,25.108,6.190,1.016,0.149,167.798,41.027,0.445
161,46.617,804.665,648.961,538.104,218.916,99.454,83.009,25.120,6.328,1.039,0.152,172.552,41.932,0.325
162,46.957,748.297,661.806,549.553,221.492,101.848,84.946,25.161,6.467,1.062,0.156,177.461,42.837,0.237
163,47.296,764.740,674.799,561.002,223.938,104.277,86.902,25.229,6.606,1.085,0.159,182.541,43.744,0.173
164,47.635,771.336,687.924,572.451,226.231,106.742,88.880,25.314,6.745,1.108,0.162,187.811,44.651,0.126
165,47.974,711.412,701.192,583.900,228.355,109.247,90.883,25.409,6.885,1.131,0.166,193.294,45.569,0.092
166,48.313,789.080,714.617,595.349,230.327,111.792,92.907,25.511,7.026,1.154,0.169,199.014,46.480,0.067
167,48.652,709.564,728.254,606.798,232.168,114.380,94.956,25.617,7.166,1.177,0.172,204.999,47.392,0.049
168,48.992,766.009,742.164,618.247,233.905,117.014,97.030,25.728,7.308,1.201,0.175,211.277,48.306,0.036
169,49.331,709.825,756.401,629.696,235.552,119.695,99.132,25.842,7.450,1.224,0.179,217.884,49.225,0.026
170,49.670,668.827,770.972,641.145,237.091,122.425,101.261,25.955,7.592,1.247,0.182,224.858,50.142,0.019
171,50.010,701.683,785.932,652.595,238.529,125.207,103.419,26.064,7.735,1.271,0.185,232.239,51.062,0.014
172,50.349,717.722,801.353,664.044,239.887,128.043,105.606,26.169,7.879,1.295,0.189,240.076,51.985,0.010
173,50.688,726.982,817.327,675.493,241.188,130.935,107.825,26.272,8.023,1.318,0.192,248.420,52.923,0.007
174,51.028,722.429,833.897,686.942,242.458,133.883,110.076,26.374,8.168,1.342,0.195,257.314,53.851,0.005
175,51.367,752.801,851.043,698.391,243.711,136.871,112.361,26.476,8.313,1.366,0.198,266.720,54.781,0.004
176,51.706,765.509,868.648,709.840,244.953,139.876,114.686,26.578,8.459,1.390,0.202,276.537,55.716,0.003
177,52.046,747.583,886.706,721.289,246.198,142.889,117.053,26.681,8.606,1.414,0.205,286.747,56.653,0.002
178,52.385,754.809,905.223,732.738,247.465,145.904,119.465,26.787,8.754,1.439,0.208,297.338,57.595,0.002
179,52.725,742.701,924.212,744.187,248.774,148.918,121.927,26.898,8.903,1.463,0.212,308.302,58.540,0.001
180,53.064,922.664,943.651,755.636,250.143,151.924,124.436,27.016,9.052,1.488,0.215,319.603,59.490,0.001
181,53.404,873.481,963.417,767.085,251.579,154.906,126.982,27.141,9.203,1.512,0.218,331.138,60.446,0.001
182,53.743,859.855,983.392,778.534,253.089,157.850,129.552,27.275,9.356,1.537,0.222,342.805,61.406,0.000
183,54.083,850.008,1003.537,789.983,254.685,160.754,132.147,27.417,9.509,1.563,0.225,354.555,62.372,0.000
184,54.422,823.674,1023.824,801.432,256.375,163.617,134.766,27.570,9.665,1.588,0.228,366.349,63.345,0.000
185,54.762,917.234,1030.945,799.588,254.792,164.058,135.402,27.371,9.666,1.588,0.228,374.227,63.282,0.000
186,55.101,919.494,1038.138,797.743,253.312,164.454,136.056,27.182,9.668,1.589,0.228,382.082,63.226,0.000
187,55.441,964.055,1045.318,795.899,251.921,164.796,136.713,27.005,9.673,1.589,0.227,389.865,63.177,0.000
188,55.781,940.946,1052.456,794.055,250.612,165.083,137.368,26.837,9.680,1.590,0.227,397.560,63.135,0.000
189,56.120,939.909,1059.578,792.211,249.390,165.318,138.020,26.680,9.690,1.592,0.226,405.183,63.102,0.000
190,56.460,940.986,1066.727,790.367,248.254,165.506,138.670,26.533,9.703,1.594,0.226,412.773,63.077,0.000
191,56.800,939.731,1073.965,788.523,247.205,165.652,139.318,26.397,9.719,1.596,0.226,420.384,63.062,0.000
192,57.139,991.991,1081.293,786.678,246.227,165.754,139.956,26.271,9.737,1.599,0.225,428.041,63.057,0.000
193,57.479,1039.879,1088.724,784.834,245.308,165.809,140.578,26.152,9.759,1.603,0.225,435.779,63.065,0.000
194,57.819,1082.180,1096.337,782.990,244.442,165.821,141.183,26.041,9.782,1.607,0.224,443.684,63.085,0.000
195,58.158,1111.884,1104.257,781.146,243.628,165.796,141.774,25.938,9.808,1.612,0.224,451.868,63.118,0.000
196,58.498,1065.295,1112.634,779.302,242.870,165.743,142.356,25.842,9.836,1.618,0.224,460.463,63.166,0.000
197,58.838,1067.522,1121.600,777.457,242.163,165.667,142.930,25.754,9.866,1.625,0.223,469.595,63.230,0.000
198,59.178,1132.524,1131.210,775.613,241.492,165.565,143.493,25.671,9.898,1.633,0.223,479.338,63.318,0.000
199,59.518,1104.120,1141.547,773.769,240.844,165.437,144.041,25.593,9.931,1.642,0.222,489.798,63.422,0.000
200,59.857,1191.230,1152.772,771.925,240.219,165.290,144.581,25.520,9.965,1.652,0.222,501.123,63.545,0.000
201,60.197,1151.307,1165.067,770.081,239.618,165.129,145.118,25.451,10.000,1.664,0.222,513.475,63.692,0.000
202,60.537,1087.385,1178.634,768.236,239.046,164.963,145.664,25.387,10.036,1.677,0.221,527.027,63.865,0.000
203,60.877,1213.644,1193.600,766.392,238.498,164.794,146.221,25.328,10.072,1.692,0.221,541.908,64.067,0.000
204,61.217,1155.425,1210.030,764.548,237.961,164.618,146.788,25.272,10.108,1.708,0.221,558.204,64.299,0.000
205,61.557,1230.988,1228.069,762.704,237.431,164.438,147.370,25.219,10.142,1.726,0.220,576.052,64.567,0.000
206,61.897,1298.095,1247.910,760.860,236.911,164.258,147.977,25.168,10.176,1.745,0.220,595.628,64.872,0.000
207,62.237,1273.954,1269.768,759.016,236.404,164.084,148.620,25.121,10.208,1.766,0.220,617.122,65.218,0.000
208,62.577,1295.544,1293.874,757.171,235.918,163.923,149.311,25.077,10.239,1.789,0.219,640.736,65.610,0.000
209,62.917,1262.288,1320.339,755.327,235.446,163.772,150.053,25.037,10.268,1.813,0.219,666.584,66.053,0.000
210,63.257,1277.438,1349.296,753.483,234.982,163.629,150.850,24.999,10.295,1.839,0.219,694.800,66.550,0.000
211,63.597,1329.255,1380.972,751.639,234.528,163.498,151.713,24.964,10.320,1.866,0.218,725.590,67.108,0.000
212,63.937,1304.069,1415.638,749.795,234.089,163.382,152.655,24.931,10.342,1.895,0.218,759.200,67.733,0.000
213,64.277,1308.334,1453.605,747.950,233.671,163.286,153.689,24.902,10.363,1.925,0.218,795.906,68.430,0.000
214,64.617,1359.189,1495.197,746.106,233.282,163.218,154.830,24.877,10.382,1.957,0.218,836.000,69.207,0.000
215,64.957,1438.334,1540.570,744.262,232.913,163.171,156.081,24.855,10.399,1.990,0.218,879.653,70.059,0.000
216,65.297,1391.340,1590.025,742.418,232.564,163.147,157.452,24.836,10.415,2.024,0.217,927.152,70.987,0.000
217,65.638,1539.453,1643.950,740.574,232.241,163.151,158.958,24.821,10.429,2.059,0.217,978.859,71.996,0.000
218,65.978,1623.600,1702.797,738.729,231.950,163.186,160.616,24.810,10.443,2.095,0.217,1035.187,73.091,0.000
219,66.318,1533.270,1767.079,736.885,231.700,163.261,162.448,24.804,10.456,2.132,0.217,1096.609,74.277,0.000
220,66.658,1583.868,1837.193,735.041,231.493,163.378,164.468,24.804,10.469,2.171,0.217,1163.496,75.554,0.000
221,66.998,1592.456,1913.219,733.197,231.322,163.533,166.682,24.807,10.482,2.210,0.217,1235.950,76.914,0.000
222,67.339,1559.170,1995.651,731.353,231.190,163.729,169.111,24.816,10.495,2.251,0.217,1314.428,78.356,0.000
223,67.679,1653.057,2085.069,729.509,231.104,163.974,171.777,24.831,10.510,2.293,0.217,1399.473,79.883,0.000
224,68.019,1709.128,2182.131,727.664,231.071,164.274,174.706,24.852,10.527,2.336,0.217,1491.696,81.499,0.000
225,68.359,1844.984,2287.456,725.820,231.100,164.637,177.926,24.880,10.546,2.381,0.217,1591.668,83.206,0.000
226,68.700,1925.911,2399.739,723.976,231.189,165.057,181.444,24.914,10.567,2.428,0.217,1698.091,84.995,0.000
227,69.040,1894.253,2517.175,722.132,231.334,165.525,185.266,24.953,10.591,2.476,0.217,1809.179,86.857,0.000
228,69.380,2047.622,2639.544,720.288,231.541,166.045,189.417,24.998,10.618,2.526,0.218,1924.676,88.790,0.000
229,69.721,2095.439,2766.631,718.443,231.816,166.620,193.927,25.047,10.650,2.579,0.218,2044.323,90.796,0.000
230,70.061,2206.847,2898.220,716.599,232.167,167.254,198.825,25.103,10.685,2.634,0.218,2167.860,92.879,0.000
231,70.402,2296.328,3033.422,714.755,232.597,167.946,204.120,25.164,10.725,2.693,0.219,2294.381,95.038,0.000
232,70.742,2475.549,3168.201,712.911,233.101,168.680,209.707,25.229,10.769,2.754,0.219,2419.997,97.260,0.000
233,71.082,2545.594,3299.755,711.067,233.674,169.443,215.527,25.299,10.819,2.819,0.220,2541.983,99.539,0.000
234,71.423,2795.368,3426.435,709.222,234.320,170.234,221.561,25.372,10.874,2.888,0.220,2658.706,101.875,0.000
235,71.763,2886.039,3546.598,707.378,235.043,171.047,227.796,25.449,10.934,2.961,0.221,2768.534,104.273,0.000
