spectrum,det,n,corpus_mode,mode_a,mode_b,d_max_kev,d_max_fwhm,ch_max,e_at_max,d_work_kev,d_work_fwhm,d_below_lowest_fwhm,e_lo,e_hi,n_b,e_lo_b,fam_lo_b
AS1Pro_Ra226,AS1PRO,12,affine,poly2,poly2,0.0,0.0,0,-9.5,0.0,0.0,0.0,47.9,1759.0,12,47.9,0.0
AS80_Cs137_0cm,AS80x80,8,affine,affine/robust/grp,fam(AS80_Th232Medal)/affine,5.661,0.199,8191,2827.0,5.599,0.074,0.199,198.1,2614.5,8,198.1,198.1
AS80_K40,AS80x80,11,affine/grp,affine/robust,affine/robust,0.0,0.0,0,-0.5,0.0,0.0,0.0,239.3,2614.5,11,239.3,0.0
AS80_Lu176,AS80x80,6,stored/robust/grp,stored/robust/grp,stored/robust/grp,0.0,0.0,0,-7.6,0.0,0.0,0.0,88.3,1764.5,6,88.3,0.0
AS80_Onyx,AS80x80,10,stored/grp,stored/grp,fam(AS80_Th232Medal)/affine,9.814,1.091,8191,2788.5,9.814,0.429,1.091,239.0,2614.5,10,239.0,198.1
AS80_Th232Medal,AS80x80,12,gain/robust,gain/robust/grp,fam(AS80_Th232Medal)/gain,9.447,0.109,8191,2867.7,9.224,0.108,0.031,238.4,2614.5,12,238.4,198.1
AS80_Th232WT20,AS80x80,13,affine/robust/grp,affine/robust,affine/robust,0.0,0.0,0,-6.9,0.0,0.0,0.0,60.3,2614.5,13,60.3,0.0
ASN16_Am241,ASN16,8,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-7.1,0.0,0.0,0.0,59.5,2614.5,8,59.5,0.0
ASN16_BrazilNuts,ASN16,11,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-4.2,0.0,0.0,0.0,47.9,2614.5,11,47.9,0.0
ASN16_Charoite_v2,ASN16,13,affine/robust,affine/grp,fam(ASN16_Charoite_v2)/gain,1.8,0.344,8191,3337.1,1.314,0.137,0.344,186.8,2614.5,13,186.8,88.3
ASN16_Cs137,ASN16,6,affine/grp,affine,fam(ASN16_Charoite_v2)/affine,2.7,0.103,8191,3354.1,2.314,0.044,0.103,186.2,2614.5,6,186.2,88.3
ASN16_Cs137_10cm,ASN16,3,affine/grp,gain/grp,fam(ASN16_Charoite_v2)/affine,39.947,2.579,8191,3343.1,31.633,1.002,2.579,186.2,1460.8,3,186.2,88.3
ASN16_Lu176,ASN16,5,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-4.8,0.0,0.0,0.0,88.3,1460.8,5,88.3,0.0
ASN16_Lu176_P0,ASN16,4,poly1,stored/grp,fam(ASN16_Charoite_v2)/poly1,168.563,2.088,8191,3310.6,136.572,1.839,0.674,88.3,511.0,4,88.3,88.3
ASN16_Th232_Am241,ASN16,13,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-5.2,0.0,0.0,0.0,59.5,2614.5,13,59.5,0.0
ASN3_Tile,ASN3,10,stored/robust/grp,stored/grp,stored/grp,0.0,0.0,0,-4.2,0.0,0.0,0.0,186.2,1594.8,10,186.2,0.0
ASN8_Am241,ASN8_8192,3,gain,affine/grp,fam(ASN8_Th232_8192)/affine,5.942,0.051,8191,3270.4,5.063,0.047,0.039,59.5,1460.8,3,59.5,50.3
ASN8_Th232_1024,ASN8_1024,11,affine,gain,gain,0.0,0.0,0,-9.8,0.0,0.0,0.0,238.9,2614.5,11,238.9,0.0
ASN8_Th232_2048,ASN8_2048,10,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-9.1,0.0,0.0,0.0,238.4,2614.5,10,238.4,0.0
ASN8_Th232_3000,ASN8_3000,10,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-8.7,0.0,0.0,0.0,238.4,2614.5,10,238.4,0.0
ASN8_Th232_4096,ASN8_4096,10,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-9.0,0.0,0.0,0.0,238.4,2614.5,10,238.4,0.0
ASN8_Th232_8192,ASN8_8192,10,stored/grp,stored/grp,fam(ASN8_Th232_8192),0.0,0.0,0,-9.4,0.0,0.0,0.0,238.4,2614.5,10,238.4,50.3
ASN8_UGlass,ASN8_8192,5,affine,affine/grp,fam(ASN8_Th232_8192)/affine,9.501,0.136,8191,3286.5,8.0,0.07,0.136,50.3,2614.5,5,50.3,50.3
G1S16_Am241_P25,G1S16,3,stored,affine/grp,fam(G1S16_Eu152_P25)/gain,12.153,0.458,1023,2984.2,11.291,0.162,0.458,59.5,1460.8,3,59.5,59.5
G1S16_Am241_P5,G1S16,1,ref-cal(G1S16_Eu152_P5),ref-cal(G1S16_Eu152_P5),fam(G1S16_Eu152_P5),28.718,0.799,1023,3057.3,26.041,0.305,0.799,59.5,59.5,1,59.5,59.5
G1S16_Ba133_P25,G1S16,3,affine/grp,gain/grp,fam(G1S16_Eu152_P25),19.027,1.554,1023,3041.2,17.24,0.577,1.554,80.9,359.2,3,80.9,59.5
G1S16_Ba133_P5,G1S16,4,affine,gain,fam(G1S16_Eu152_P5),24.707,1.051,1023,3053.3,22.396,0.381,1.051,80.9,913.7,4,80.9,59.5
G1S16_Cd109_P25,G1S16,3,poly1/grp,gain/grp,fam(G1S16_Eu152_P25)/gain,23.728,0.936,1023,3040.3,21.59,0.341,0.936,88.0,1460.8,3,88.0,59.5
G1S16_Cd109_P5,G1S16,2,ref-cal(G1S16_Eu152_P5),gain/grp,fam(G1S16_Eu152_P5)/gain,28.25,0.957,1023,3073.0,25.463,0.355,0.957,88.0,1460.8,2,88.0,59.5
G1S16_Ce139_P25,G1S16,3,affine/robust,stored/grp,fam(G1S16_Eu152_P25),4.042,1.136,1023,3018.2,3.988,0.459,1.136,165.9,1764.5,3,165.9,59.5
G1S16_Ce139_P5,G1S16,3,gain/grp,gain/grp,fam(G1S16_Eu152_P5)/gain,24.118,0.669,1023,3057.9,21.831,0.243,0.669,165.9,1460.8,3,165.9,59.5
G1S16_Co57_P5,G1S16,1,ref-cal(G1S16_Eu152_P5),ref-cal(G1S16_Eu152_P5),fam(G1S16_Eu152_P5),28.718,0.799,1023,3057.3,26.041,0.305,0.799,123.7,123.7,1,123.7,59.5
G1S16_Co60_P25,G1S16,4,affine/grp,affine/grp,fam(G1S16_Eu152_P25)/affine,16.12,2.916,1023,3006.4,14.218,1.124,2.916,348.7,1332.6,4,348.7,59.5
G1S16_Co60_P5,G1S16,5,affine,gain/grp,fam(G1S16_Eu152_P5),2.847,0.718,0,-13.1,2.816,0.278,0.718,511.0,1588.2,5,511.0,59.5
G1S16_Cs137_Mar,G1S16,3,affine/grp,gain/grp,fam(G1S16_Ra226_Mar)/affine,21.586,2.037,1023,3074.0,18.955,0.766,2.037,186.2,1460.8,3,186.2,73.2
G1S16_Cs137_Mar_2,G1S16,1,gain/grp,ref-cal(G1S16_Ra226_Mar_2),fam(G1S16_Ra226_Mar_2),0.583,0.152,0,-20.8,0.573,0.061,0.152,661.7,661.7,1,661.7,186.2
G1S16_Cs137_P25,G1S16,4,stored/grp,stored/grp,fam(G1S16_Eu152_P25)/affine,2.732,0.691,1023,3018.2,2.714,0.279,0.691,186.2,1764.5,4,186.2,59.5
G1S16_Cs137_P5,G1S16,3,affine/grp,affine/grp,fam(G1S16_Eu152_P5)/affine,0.0,0.0,1023,3071.2,0.0,0.0,0.0,186.2,1460.8,3,186.2,59.5
G1S16_Eu152_P25,G1S16,10,gain,gain/grp,fam(G1S16_Eu152_P25)/gain,9.391,0.924,1023,3038.8,8.386,0.355,0.924,121.8,2614.5,10,121.8,59.5
G1S16_Eu152_P5,G1S16,8,affine,gain/grp,fam(G1S16_Eu152_P5)/gain,22.506,0.798,1023,3057.3,20.355,0.293,0.798,121.8,1414.3,8,121.8,59.5
G1S16_K40_Mar,G1S16,3,stored,stored,fam(G1S16_Ra226_Mar),7.536,0.477,1023,3058.8,7.181,0.19,0.477,239.1,1459.6,3,239.1,73.2
G1S16_K40_Mar_2,G1S16,3,gain,gain,fam(G1S16_Ra226_Mar_2)/gain,37.714,0.627,1023,3127.5,33.251,0.222,0.627,239.1,1459.6,3,239.1,186.2
G1S16_Mix_Denta100,G1S16,10,gain,gain/grp,fam(G1S16_Mix_Denta100),0.806,0.009,1023,3081.4,0.732,0.008,0.001,73.2,1414.3,10,73.2,73.2
G1S16_Mix_Mar,G1S16,11,affine/grp,affine/grp,fam(G1S16_Ra226_Mar)/gain,5.683,0.473,1023,3080.7,5.005,0.18,0.473,73.2,1414.3,11,73.2,73.2
G1S16_Mix_Petri,G1S16,11,gain/grp,affine,fam(G1S16_Mix_Petri)/affine,7.197,0.299,1023,3071.9,6.457,0.108,0.299,73.2,1414.3,11,73.2,73.2
G1S16_Mn54_P25,G1S16,4,affine/grp,gain,fam(G1S16_Eu152_P25),5.004,1.085,1023,3027.2,4.378,0.425,1.085,292.4,1764.5,4,292.4,59.5
G1S16_Mn54_P5,G1S16,5,affine,affine/grp,fam(G1S16_Eu152_P5)/affine,0.234,0.022,1023,3129.4,0.195,0.008,0.022,186.2,1460.8,5,186.2,59.5
G1S16_Na22_P25,G1S16,3,stored/grp,affine/grp,fam(G1S16_Eu152_P25)/affine,0.0,0.0,1023,3017.5,0.0,0.0,0.0,511.0,1460.8,3,511.0,59.5
G1S16_Na22_P5,G1S16,5,stored/robust/grp,affine/grp,fam(G1S16_Eu152_P5)/affine,7.609,0.256,1023,2955.2,7.133,0.113,0.256,186.2,1764.5,5,186.2,59.5
G1S16_Ra226_Mar,G1S16,12,affine,affine,fam(G1S16_Ra226_Mar),2.401,0.269,1023,3068.8,2.101,0.103,0.269,186.2,2204.1,12,186.2,73.2
G1S16_Ra226_Mar_2,G1S16,12,affine/grp,affine/grp,fam(G1S16_Ra226_Mar_2),0.583,0.152,0,-20.8,0.573,0.061,0.152,186.2,2204.1,12,186.2,186.2
G1S16_Th228_P25,G1S16,7,affine,affine/robust/grp,fam(G1S16_Eu152_P25)/poly2,32.128,0.791,1023,3022.5,21.038,0.346,0.791,238.7,2614.5,7,238.7,59.5
G1S16_Th228_P5,G1S16,6,poly2,poly2/grp,poly2/grp,0.0,0.0,0,-16.7,0.0,0.0,0.0,238.7,2614.5,6,238.7,0.0
G1S16_Th232_Denta100,G1S16,8,gain/grp,gain/grp,fam(G1S16_Mix_Denta100),1.868,0.024,1023,3078.8,1.698,0.023,0.007,238.4,2614.5,8,238.4,73.2
G1S16_Th232_Mar,G1S16,9,affine,affine/grp,fam(G1S16_Ra226_Mar),5.244,0.621,1023,3061.1,4.623,0.236,0.621,238.4,2614.5,9,238.4,73.2
G1S16_Th232_Mar_2,G1S16,9,affine/robust,gain,fam(G1S16_Ra226_Mar),6.667,1.131,1023,3073.0,5.773,0.429,1.131,238.9,1103.8,9,238.9,73.2
G1S16_Th232_Mar_3,G1S16,10,affine/grp,affine/grp,fam(G1S16_Ra226_Mar),5.028,0.159,1023,3061.3,4.553,0.061,0.159,238.4,2614.5,10,238.4,73.2
G1S16_Th232_Petri,G1S16,7,poly2,poly2/grp,fam(G1S16_Mix_Petri)/poly2,0.0,0.0,500,1472.5,0.0,0.0,0.0,238.4,2614.5,7,238.4,73.2
G1S16_Y88_P25,G1S16,7,gain/recal,gain/recal/grp,fam(G1S16_Eu152_P25),3.313,0.822,0,-11.9,3.279,0.328,0.822,348.7,2614.5,7,348.7,59.5
G1S16_Y88_P5,G1S16,4,gain/grp,affine/grp,fam(G1S16_Eu152_P5),9.901,0.99,1023,3018.7,8.888,0.383,0.99,511.0,1836.1,4,511.0,59.5
G1S24_Am241_P5,G1S24,2,gain/recal,affine/recal/grp,fam(G1S24_Th228_P5),19.326,0.903,1023,3032.2,17.588,0.338,0.903,59.5,1460.8,2,59.5,59.5
G1S24_Ba133_P5,G1S24,4,affine,affine/grp,fam(G1S24_Th228_P5)/affine,3.017,0.141,1023,3031.1,2.745,0.053,0.141,80.9,1460.8,4,80.9,59.5
G1S24_Bi207_P5,G1S24,5,affine/grp,affine/grp,fam(G1S24_Th228_P5)/affine,14.651,0.148,1023,2988.9,13.744,0.143,0.117,198.1,1769.7,5,198.1,59.5
G1S24_Cd109_P5,G1S24,2,gain,gain/grp,fam(G1S24_Th228_P5),69.948,1.956,1023,3082.8,63.044,1.042,1.956,88.0,511.0,2,88.0,59.5
G1S24_Co60_P5,G1S24,7,affine/grp,affine/grp,fam(G1S24_Th228_P5)/affine,3.496,0.362,1023,2996.9,3.167,0.142,0.362,239.3,2204.1,7,239.3,59.5
G1S24_Cs137_Denta120,G1S24,2,affine/grp,gain/grp,fam(G1S24_Ra226_Denta120)/gain,9.898,0.596,1023,3050.5,8.872,0.23,0.596,661.7,1460.8,2,661.7,47.9
G1S24_Cs137_Denta120_2,G1S24,4,gain/grp,affine,fam(G1S24_Ra226_Denta120)/gain,13.041,0.749,1023,3033.3,11.754,0.289,0.749,198.1,2614.5,4,198.1,47.9
G1S24_Cs137_Mar,G1S24,3,gain/grp,affine,fam(G1S24_Ra226_Mar_2)/affine,1.131,0.1,1023,3107.3,0.969,0.039,0.1,186.2,1460.8,3,186.2,47.9
