spectrum,det,n,corpus_mode,mode_a,mode_b,d_max_kev,d_max_fwhm,ch_max,e_at_max,d_work_kev,d_work_fwhm,d_below_lowest_fwhm,e_lo,e_hi,n_b,e_lo_b,fam_lo_b
AS1Pro_Ra226,AS1PRO,12,affine,poly2,poly2,0.0,0.0,0,-9.5,0.0,0.0,0.0,47.9,1759.0,12,47.9,0.0
AS80_Cs137_0cm,AS80x80,8,affine,affine/robust/grp,affine/robust/grp,0.0,0.0,0,-2.5,0.0,0.0,0.0,198.1,2614.5,8,198.1,0.0
AS80_K40,AS80x80,11,affine/grp,affine/robust,affine/robust,0.0,0.0,0,-0.5,0.0,0.0,0.0,239.3,2614.5,11,239.3,0.0
AS80_Lu176,AS80x80,6,stored/robust/grp,stored/robust/grp,stored/robust/grp,0.0,0.0,0,-7.6,0.0,0.0,0.0,88.3,1764.5,6,88.3,0.0
AS80_Onyx,AS80x80,10,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-14.8,0.0,0.0,0.0,239.0,2614.5,10,239.0,0.0
AS80_Th232Medal,AS80x80,12,gain/robust,gain/robust/grp,gain/robust/grp,0.0,0.0,0,-15.2,0.0,0.0,0.0,238.4,2614.5,12,238.4,0.0
AS80_Th232WT20,AS80x80,13,affine/robust/grp,affine/robust,affine/robust,0.0,0.0,0,-6.9,0.0,0.0,0.0,60.3,2614.5,13,60.3,0.0
ASN16_Am241,ASN16,8,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-7.1,0.0,0.0,0.0,59.5,2614.5,8,59.5,0.0
ASN16_BrazilNuts,ASN16,11,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-4.2,0.0,0.0,0.0,47.9,2614.5,11,47.9,0.0
ASN16_Charoite_v2,ASN16,13,affine/robust,affine/grp,affine/grp,0.0,0.0,0,-12.9,0.0,0.0,0.0,186.8,2614.5,13,186.8,0.0
ASN16_Cs137,ASN16,6,affine/grp,affine,affine,0.0,0.0,0,-14.3,0.0,0.0,0.0,186.2,2614.5,6,186.2,0.0
ASN16_Cs137_10cm,ASN16,3,affine/grp,gain/grp,gain/grp,0.0,0.0,0,-6.5,0.0,0.0,0.0,186.2,1460.8,3,186.2,0.0
ASN16_Lu176,ASN16,5,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-4.8,0.0,0.0,0.0,88.3,1460.8,5,88.3,0.0
ASN16_Lu176_P0,ASN16,4,poly1,stored/grp,stored/grp,0.0,0.0,0,-6.4,0.0,0.0,0.0,88.3,511.0,4,88.3,0.0
ASN16_Th232_Am241,ASN16,13,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-5.2,0.0,0.0,0.0,59.5,2614.5,13,59.5,0.0
ASN3_Tile,ASN3,10,stored/robust/grp,stored/grp,stored/grp,0.0,0.0,0,-4.2,0.0,0.0,0.0,186.2,1594.8,10,186.2,0.0
ASN8_Am241,ASN8_8192,3,gain,affine/grp,affine/grp,0.0,0.0,0,-4.5,0.0,0.0,0.0,59.5,1460.8,3,59.5,0.0
ASN8_Th232_1024,ASN8_1024,11,affine,gain,gain,0.0,0.0,0,-9.8,0.0,0.0,0.0,238.9,2614.5,11,238.9,0.0
ASN8_Th232_2048,ASN8_2048,10,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-9.1,0.0,0.0,0.0,238.4,2614.5,10,238.4,0.0
ASN8_Th232_3000,ASN8_3000,10,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-8.7,0.0,0.0,0.0,238.4,2614.5,10,238.4,0.0
ASN8_Th232_4096,ASN8_4096,10,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-9.0,0.0,0.0,0.0,238.4,2614.5,10,238.4,0.0
ASN8_Th232_8192,ASN8_8192,10,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-9.4,0.0,0.0,0.0,238.4,2614.5,10,238.4,0.0
ASN8_UGlass,ASN8_8192,5,affine,affine/grp,affine/grp,0.0,0.0,0,-13.8,0.0,0.0,0.0,50.3,2614.5,5,50.3,0.0
G1S16_Am241_P25,G1S16,3,stored,affine/grp,affine/grp,0.0,0.0,0,-6.8,0.0,0.0,0.0,59.5,1460.8,3,59.5,0.0
G1S16_Am241_P5,G1S16,1,ref-cal(G1S16_Eu152_P5),ref-cal(G1S16_Eu152_P5),ref-cal(G1S16_Eu152_P5),0.0,0.0,0,-13.2,0.0,0.0,0.0,59.5,59.5,1,59.5,0.0
G1S16_Ba133_P25,G1S16,3,affine/grp,gain/grp,gain/grp,0.0,0.0,0,-12.0,0.0,0.0,0.0,80.9,359.2,3,80.9,0.0
G1S16_Ba133_P5,G1S16,4,affine,gain,gain,0.0,0.0,0,-13.2,0.0,0.0,0.0,80.9,913.7,4,80.9,0.0
G1S16_Cd109_P25,G1S16,3,poly1/grp,gain/grp,gain/grp,0.0,0.0,0,-12.0,0.0,0.0,0.0,88.0,1460.8,3,88.0,0.0
G1S16_Cd109_P5,G1S16,2,ref-cal(G1S16_Eu152_P5),gain/grp,gain/grp,0.0,0.0,0,-13.3,0.0,0.0,0.0,88.0,1460.8,2,88.0,0.0
G1S16_Ce139_P25,G1S16,3,affine/robust,stored/grp,stored/grp,0.0,0.0,0,-11.9,0.0,0.0,0.0,165.9,1764.5,3,165.9,0.0
G1S16_Ce139_P5,G1S16,3,gain/grp,gain/grp,gain/grp,0.0,0.0,0,-13.2,0.0,0.0,0.0,165.9,1460.8,3,165.9,0.0
G1S16_Co57_P5,G1S16,1,ref-cal(G1S16_Eu152_P5),ref-cal(G1S16_Eu152_P5),ref-cal(G1S16_Eu152_P5),0.0,0.0,0,-13.2,0.0,0.0,0.0,123.7,123.7,1,123.7,0.0
G1S16_Co60_P25,G1S16,4,affine/grp,affine/grp,affine/grp,0.0,0.0,0,0.9,0.0,0.0,0.0,348.7,1332.6,4,348.7,0.0
G1S16_Co60_P5,G1S16,5,affine,gain/grp,gain/grp,0.0,0.0,0,-13.1,0.0,0.0,0.0,511.0,1588.2,5,511.0,0.0
G1S16_Cs137_Mar,G1S16,3,affine/grp,gain/grp,gain/grp,0.0,0.0,0,-18.0,0.0,0.0,0.0,186.2,1460.8,3,186.2,0.0
G1S16_Cs137_Mar_2,G1S16,1,gain/grp,ref-cal(G1S16_Ra226_Mar_2),ref-cal(G1S16_Ra226_Mar_2),0.0,0.0,0,-20.8,0.0,0.0,0.0,661.7,661.7,1,661.7,0.0
G1S16_Cs137_P25,G1S16,4,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-11.9,0.0,0.0,0.0,186.2,1764.5,4,186.2,0.0
G1S16_Cs137_P5,G1S16,3,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-24.8,0.0,0.0,0.0,186.2,1460.8,3,186.2,0.0
G1S16_Eu152_P25,G1S16,10,gain,gain/grp,gain/grp,0.0,0.0,0,-12.0,0.0,0.0,0.0,121.8,2614.5,10,121.8,0.0
G1S16_Eu152_P5,G1S16,8,affine,gain/grp,gain/grp,0.0,0.0,0,-13.2,0.0,0.0,0.0,121.8,1414.3,8,121.8,0.0
G1S16_K40_Mar,G1S16,3,stored,stored,stored,0.0,0.0,0,-17.9,0.0,0.0,0.0,239.1,1459.6,3,239.1,0.0
G1S16_K40_Mar_2,G1S16,3,gain,gain,gain,0.0,0.0,0,-26.6,0.0,0.0,0.0,239.1,1459.6,3,239.1,0.0
G1S16_Mix_Denta100,G1S16,10,gain,gain/grp,gain/grp,0.0,0.0,0,-14.8,0.0,0.0,0.0,73.2,1414.3,10,73.2,0.0
G1S16_Mix_Mar,G1S16,11,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-16.3,0.0,0.0,0.0,73.2,1414.3,11,73.2,0.0
G1S16_Mix_Petri,G1S16,11,gain/grp,affine,affine,0.0,0.0,0,-15.1,0.0,0.0,0.0,73.2,1414.3,11,73.2,0.0
G1S16_Mn54_P25,G1S16,4,affine/grp,gain,gain,0.0,0.0,0,-12.0,0.0,0.0,0.0,292.4,1764.5,4,292.4,0.0
G1S16_Mn54_P5,G1S16,5,affine,affine/grp,affine/grp,0.0,0.0,0,-43.9,0.0,0.0,0.0,186.2,1460.8,5,186.2,0.0
G1S16_Na22_P25,G1S16,3,stored/grp,affine/grp,affine/grp,0.0,0.0,0,-8.0,0.0,0.0,0.0,511.0,1460.8,3,511.0,0.0
G1S16_Na22_P5,G1S16,5,stored/robust/grp,affine/grp,affine/grp,0.0,0.0,0,6.9,0.0,0.0,0.0,186.2,1764.5,5,186.2,0.0
G1S16_Ra226_Mar,G1S16,12,affine,affine,affine,0.0,0.0,0,-15.5,0.0,0.0,0.0,186.2,2204.1,12,186.2,0.0
G1S16_Ra226_Mar_2,G1S16,12,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-20.8,0.0,0.0,0.0,186.2,2204.1,12,186.2,0.0
G1S16_Th228_P25,G1S16,7,affine,affine/robust/grp,affine/robust/grp,0.0,0.0,0,-8.9,0.0,0.0,0.0,238.7,2614.5,7,238.7,0.0
G1S16_Th228_P5,G1S16,6,poly2,poly2/grp,poly2/grp,0.0,0.0,0,-16.7,0.0,0.0,0.0,238.7,2614.5,6,238.7,0.0
G1S16_Th232_Denta100,G1S16,8,gain/grp,gain/grp,gain/grp,0.0,0.0,0,-14.8,0.0,0.0,0.0,238.4,2614.5,8,238.4,0.0
G1S16_Th232_Mar,G1S16,9,affine,affine/grp,affine/grp,0.0,0.0,0,-12.5,0.0,0.0,0.0,238.4,2614.5,9,238.4,0.0
G1S16_Th232_Mar_2,G1S16,9,affine/robust,gain,gain,0.0,0.0,0,-17.9,0.0,0.0,0.0,238.9,1103.8,9,238.9,0.0
G1S16_Th232_Mar_3,G1S16,10,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-14.0,0.0,0.0,0.0,238.4,2614.5,10,238.4,0.0
G1S16_Th232_Petri,G1S16,7,poly2,poly2/grp,poly2/grp,0.0,0.0,0,-15.2,0.0,0.0,0.0,238.4,2614.5,7,238.4,0.0
G1S16_Y88_P25,G1S16,7,gain/recal,gain/recal/grp,gain/recal/grp,0.0,0.0,0,-11.9,0.0,0.0,0.0,348.7,2614.5,7,348.7,0.0
G1S16_Y88_P5,G1S16,4,gain/grp,affine/grp,affine/grp,0.0,0.0,0,-6.2,0.0,0.0,0.0,511.0,1836.1,4,511.0,0.0
G1S24_Am241_P5,G1S24,2,gain/recal,affine/recal/grp,affine/recal/grp,0.0,0.0,0,-8.6,0.0,0.0,0.0,59.5,1460.8,2,59.5,0.0
G1S24_Ba133_P5,G1S24,4,affine,affine/grp,affine/grp,0.0,0.0,0,-9.0,0.0,0.0,0.0,80.9,1460.8,4,80.9,0.0
G1S24_Bi207_P5,G1S24,5,affine/grp,affine/grp,affine/grp,0.0,0.0,0,1.3,0.0,0.0,0.0,198.1,1769.7,5,198.1,0.0
G1S24_Cd109_P5,G1S24,2,gain,gain/grp,gain/grp,0.0,0.0,0,-10.3,0.0,0.0,0.0,88.0,511.0,2,88.0,0.0
G1S24_Co60_P5,G1S24,7,affine/grp,affine/grp,affine/grp,0.0,0.0,0,3.1,0.0,0.0,0.0,239.3,2204.1,7,239.3,0.0
G1S24_Cs137_Denta120,G1S24,2,affine/grp,gain/grp,gain/grp,0.0,0.0,0,-13.2,0.0,0.0,0.0,661.7,1460.8,2,661.7,0.0
G1S24_Cs137_Denta120_2,G1S24,4,gain/grp,affine,affine,0.0,0.0,0,-7.1,0.0,0.0,0.0,198.1,2614.5,4,198.1,0.0
G1S24_Cs137_Mar,G1S24,3,gain/grp,affine,affine,0.0,0.0,0,-18.1,0.0,0.0,0.0,186.2,1460.8,3,186.2,0.0
G1S24_Cs137_Mar_2,G1S24,4,affine/grp,affine,affine,0.0,0.0,0,-6.1,0.0,0.0,0.0,198.1,2614.5,4,198.1,0.0
G1S24_Cs137_P25,G1S24,5,affine,affine/grp,affine/grp,0.0,0.0,0,-2.5,0.0,0.0,0.0,198.1,2614.5,5,198.1,0.0
G1S24_Cs137_P5,G1S24,3,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-4.8,0.0,0.0,0.0,198.1,1460.8,3,198.1,0.0
G1S24_Cs137_Petri,G1S24,3,affine/grp,poly2,poly2,0.0,0.0,0,-11.4,0.0,0.0,0.0,661.7,2614.5,3,661.7,0.0
G1S24_Cs137_Petri_2,G1S24,4,gain/grp,affine/grp,affine/grp,0.0,0.0,0,-12.6,0.0,0.0,0.0,198.1,2614.5,4,198.1,0.0
G1S24_Eu152_P5,G1S24,8,poly2/grp,gain/grp,gain/grp,0.0,0.0,0,-10.1,0.0,0.0,0.0,121.8,1414.3,8,121.8,0.0
