BecquerelMonitor/EfficiencyMaker/ResponseMatrix.cs         ЧИСТ                                     скопирован             как есть  sha16 6adc696791ba4606  wt(CRLF,LF)=(3463, 0)  main(CRLF,LF)=(3383, 0)
BecquerelMonitor/EfficiencyMaker/EfficiencyCalculation.cs  ЧИСТ                                     скопирован             как есть  sha16 351ba5276761bd32  wt(CRLF,LF)=(804, 0)  main(CRLF,LF)=(782, 0)
BecquerelMonitor/EfficiencyMaker/EfficiencySimulator.cs    ЧИСТ                                     скопирован             CRLF->LF  sha16 80bf758877d60c79  wt(CRLF,LF)=(7497, 0)  main(CRLF,LF)=(0, 7492)
BecquerelMonitor/EfficiencyMaker/ResponseMatrixBuilder.cs  ЧИСТ                                     скопирован             CRLF->LF  sha16 32a29b18e4085a76  wt(CRLF,LF)=(873, 0)  main(CRLF,LF)=(0, 873)
BecquerelMonitor/EfficiencyMaker/ElectronTransport.cs      ЧИСТ                                     скопирован             CRLF->LF  sha16 c1436a79bf24cfd2  wt(CRLF,LF)=(421, 0)  main(CRLF,LF)=(0, 421)
tools/check_matrix_keys.py                                 ЧИСТ                                     скопирован             как есть  sha16 209df43a702f4468  wt(CRLF,LF)=(811, 0)  main(CRLF,LF)=(789, 0)
tools/effmaker/probes/CorpusMatrixProbe.cs                 ЧИСТ                                     скопирован             CRLF->LF  sha16 2d193d6126d546d6  wt(CRLF,LF)=(747, 0)  main(CRLF,LF)=(0, 735)
tools/effmaker/probes/G4RawProbe.cs                        ЧИСТ                                     скопирован             CRLF->LF  sha16 effe620a1aa0222e  wt(CRLF,LF)=(542, 0)  main(CRLF,LF)=(0, 497)
database/scheme.md                                         ЧИСТ                                     скопирован             CRLF->LF  sha16 7a3d8930b8c913e8  wt(CRLF,LF)=(1733, 0)  main(CRLF,LF)=(0, 1677)
tools/effmaker/handover-response-matrix.md                 ЧИСТ                                     скопирован             как есть  sha16 51413cfe47c172ab  wt(CRLF,LF)=(3462, 0)  main(CRLF,LF)=(3413, 0)
