спектр           геом        ρ кольцо пл   |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль
contact52k       contact  2.80 ring10 eq   |    852.9  426.6    137.4   91.1 |   5.294  43.51  14.2% |   +0.5%   -0.7%   -2.3%   -1.7%   -3.2% |  18.8% |  1.0056   -9.82
contact52k       contact  3.30 ring10 eq   |    863.2  383.7    140.4   84.4 |   6.196  57.01  16.3% |   -0.8%   -0.8%   -2.0%   -1.3%   -4.1% |  18.3% |  1.0056   -8.01
contact52k       contact  3.80 ring10 eq   |    881.6  383.7    133.9   77.7 |   6.551  65.39  17.4% |   -0.5%   -1.0%   -2.3%   -0.3%   -2.4% |  17.8% |  1.0061  -19.21
contact52k       contact  4.20 ring10 eq   |    893.8  383.0    136.2   76.9 |   6.746  69.40  18.0% |   -1.0%   -1.1%   -2.3%   -0.2%   -2.1% |  17.2% |  1.0061  -19.19
contact52k       contact  4.34 ring10 eq   |    915.4  420.7    140.5   77.3 |   6.854  73.14  18.5% |   -2.3%   -1.2%   -2.0%   +0.9%   -0.0% |  17.7% |  1.0058  -16.02
contact_cal0809  contact  2.80 ring10 eq   |    904.5  213.0    129.8   32.1 |   3.063  11.11  26.1% |   +0.4%   -1.3%   -3.5%   -5.2%   -1.1% |  11.1% |  1.0028     nan
contact_cal0809  contact  3.30 ring10 eq   |    924.2  188.3    137.1   31.5 |   3.377  12.78  28.2% |   -0.7%   -0.8%   -2.6%   -4.5%   -0.9% |   9.8% |  1.0042   -3.42
contact_cal0809  contact  3.80 ring10 eq   |    938.6  180.0    127.9   28.3 |   3.582  14.09  29.7% |   -1.3%   -1.0%   -3.2%   -3.9%   +0.6% |   9.8% |  1.0024   10.32
contact_cal0809  contact  4.20 ring10 eq   |    948.6  172.7    129.4   27.7 |   3.749  14.71  30.4% |   -1.4%   -1.3%   -3.2%   -3.8%   +0.9% |   9.5% |  1.0054  -16.80
contact_cal0809  contact  4.34 ring10 eq   |    963.4  172.8    126.8   26.6 |   3.777  15.05  30.8% |   -4.4%   -1.3%   -3.3%   -3.1%   +3.0% |  10.6% |  1.0054  -16.98
edge93           edge93   2.80 ring10 eq   |    726.7  104.6    104.2   14.5 |   3.939  27.22  55.2% |   +7.6%   +9.8%  -16.2%   -8.9%   -8.6% |  11.7% |  1.0000   22.79
edge93           edge93   3.30 ring05 eq   |    752.7  102.1    108.6   14.7 |   3.970  27.46  55.4% |   +3.6%  +10.8%  -14.6%   -7.8%   -6.5% |  10.7% |  0.9999   22.88
edge93           edge93   3.30 ring10 eq   |    767.0  100.9    109.5   14.4 |   3.993  27.49  55.5% |   +3.0%  +10.6%  -15.2%   -8.2%   -6.4% |  10.4% |  0.9998   23.04
edge93           edge93   3.30 ring20 eq   |    789.9   98.6    111.6   14.0 |   4.024  27.63  55.6% |   +2.0%   +9.8%  -15.3%   -8.2%   -5.6% |  10.4% |  0.9999   23.07
edge93           edge93   3.80 ring10 eq   |    802.6   96.8    113.2   14.2 |   4.022  27.64  55.6% |   -1.1%  +11.3%  -14.6%   -7.5%   -4.6% |   9.5% |  0.9999   22.89
edge93           edge93   4.20 ring10 eq   |    823.9   93.7    122.1   14.7 |   4.040  27.71  55.7% |   -4.7%  +11.9%  -13.9%   -7.4%   -4.3% |   8.9% |  0.9995   22.48
edge93           edge93   4.34 ring10 eq   |    866.8   89.6    148.2   17.3 |   4.027  27.70  55.7% |  -13.9%  +11.2%  -12.2%   -5.8%   -1.3% |   6.9% |  0.9993   21.64
face81           face81   2.80 ring10 eq   |    644.3  119.1      nan    nan |   3.881  32.39  29.9% |   -4.6%   -3.3%   -1.6%   -3.2%  -18.2% |  62.1% |  1.0072     nan
face81           face81   3.30 ring10 eq   |    644.1  116.9     15.4    3.2 |   3.874  32.63  30.0% |   -5.0%   -3.3%   -1.5%   -3.1%  -18.3% |  61.7% |  1.0071     nan
face81           face81   3.80 ring10 eq   |    651.0  116.6     15.2    3.2 |   3.873  32.83  30.1% |   -5.2%   -3.3%   -1.5%   -3.1%  -17.8% |  61.5% |  1.0072     nan
face81           face81   4.20 ring10 eq   |    654.0  115.4      nan    nan |   3.936  33.44  30.4% |   -5.3%   -3.4%   -2.0%   -3.1%  -18.0% |  62.3% |  1.0071     nan
face81           face81   4.34 ring10 eq   |    665.4  115.9      nan    nan |   3.912  32.91  30.2% |   -5.8%   -3.7%   -1.9%   -3.0%  -17.1% |  62.6% |  1.0072     nan
