spectrum,live_s,bg_live_s,peak,area,sigma,cps,cps_sigma,shift_keV,kfwhm,chi2n,area_window,sigma_window
../spectra/edge93.xml,23492.2,138780.1,238,131700.4,2994.0,5.606138,0.127447,-4.63,0.818,1.41,104822.2,1183.2
../spectra/edge93.xml,23492.2,138780.1,583,110904.0,9572.0,4.720892,0.407456,4.29,1.166,1.03,43179.8,666.9
../spectra/edge93.xml,23492.2,138780.1,911,44175.3,3663.3,1.880426,0.155936,-5.57,0.992,0.90,38422.7,515.8
../spectra/edge93.xml,23492.2,138780.1,2614,14500.9,903.2,0.617265,0.038445,-8.96,1.138,1.05,14149.6,176.7
../spectra/face81.xml,57251.4,192360.4,238,1092559.8,99572.8,19.083563,1.739222,-3.87,1.545,1.59,366907.1,2216.7
../spectra/face81.xml,57251.4,192360.4,583,194860.5,17232.0,3.403596,0.300988,4.86,1.168,0.98,123839.8,1172.4
../spectra/face81.xml,57251.4,192360.4,911,118963.1,7847.4,2.077909,0.137070,-2.05,1.122,1.11,113106.4,886.6
../spectra/face81.xml,57251.4,192360.4,2614,35311.5,1357.1,0.616780,0.023705,4.12,1.042,1.14,42564.0,333.3
C:/Users/moroz/source/repos/BQ Eng res .NET 4.8/tools/CORPUS/corpus/spectra/AS80_Th232Medal.xml,52742.3,192360.4,238,2199568.9,5766.4,41.704058,0.109332,-2.57,0.706,8.53,2337496.1,3054.4
C:/Users/moroz/source/repos/BQ Eng res .NET 4.8/tools/CORPUS/corpus/spectra/AS80_Th232Medal.xml,52742.3,192360.4,583,955118.4,11962.9,18.109145,0.226818,0.97,1.004,3.57,661545.9,1761.3
C:/Users/moroz/source/repos/BQ Eng res .NET 4.8/tools/CORPUS/corpus/spectra/AS80_Th232Medal.xml,52742.3,192360.4,911,474328.0,10390.4,8.993309,0.197003,-2.77,0.930,1.55,575626.7,1427.4
C:/Users/moroz/source/repos/BQ Eng res .NET 4.8/tools/CORPUS/corpus/spectra/AS80_Th232Medal.xml,52742.3,192360.4,2614,175521.4,1880.4,3.327904,0.035652,-2.21,0.974,1.18,187558.3,598.5
