спектр           геом        ρ кольцо пл   |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль
contact52k       contact  2.80 ring10 kf2  |    832.3  366.0    115.5   70.3 |   4.616  41.67  13.8% |   +0.8%   -0.2%   +0.2%   -3.9%   -6.6% |  22.1% |  1.0063   -7.77
contact52k       contact  3.30 ring10 kf2  |    840.0  335.2    127.5   72.2 |   5.083  49.02  15.0% |   +0.3%   -0.2%   +0.3%   -3.2%   -7.4% |  21.4% |  1.0054   -6.54
contact52k       contact  3.80 ring10 kf2  |    866.5  349.0    110.9   62.2 |   5.254  54.60  15.9% |   -0.4%   -0.0%   +0.0%   -1.9%   -4.8% |  20.5% |  1.0047  -16.63
contact52k       contact  4.20 ring10 kf2  |    880.5  348.9    113.7   62.4 |   5.321  55.84  16.1% |   -0.7%   -0.0%   +0.0%   -1.6%   -4.1% |  19.8% |  1.0047  -16.64
contact52k       contact  4.34 ring10 kf2  |    909.3  357.2    116.6   62.1 |   5.366  57.33  16.3% |   -1.3%   +0.0%   -0.0%   -0.7%   -1.2% |  19.7% |  1.0046  -16.64
contact_cal0809  contact  2.80 ring10 kf2  |    860.8  180.6    144.1   25.1 |   2.480   9.58  24.0% |   -4.2%   -1.7%   -3.9%   +0.1%   -3.8% |  13.4% |  1.0047   -5.07
contact_cal0809  contact  3.30 ring10 kf2  |    891.3  196.5    108.6   18.3 |   2.536   9.79  24.3% |   -2.4%   -1.3%   -4.0%   +1.0%   -2.9% |  14.0% |  1.0046  -13.82
contact_cal0809  contact  3.80 ring10 kf2  |    900.6  189.6    108.8   17.8 |   2.584   9.89  24.5% |   -3.2%   -1.4%   -4.2%   +1.4%   -1.9% |  13.8% |  1.0046  -13.93
contact_cal0809  contact  4.20 ring10 kf2  |    911.9  183.6    109.9   17.4 |   2.676  10.06  24.7% |   -3.8%   -1.5%   -4.2%   +1.6%   -1.4% |  13.4% |  1.0047  -14.16
contact_cal0809  contact  4.34 ring10 kf2  |    917.4  179.8    106.8   16.5 |   2.699  10.18  24.9% |   -5.9%   -1.8%   -4.5%   +1.7%   -0.3% |  15.3% |  1.0046  -14.40
edge93           edge93   2.80 ring10 kf2  |    674.1   99.4    118.2   16.7 |   3.009  23.73  51.4% |   +0.6%   +6.1%  -12.9%   -2.4%   -5.0% |  15.0% |  1.0009   25.34
edge93           edge93   3.30 ring05 kf2  |    703.1   97.9    118.8   18.1 |   2.989  23.71  51.3% |   -2.6%   +6.9%  -12.1%   -2.1%   -3.5% |  14.0% |  1.0007   25.31
edge93           edge93   3.30 ring10 kf2  |    716.8   96.7    120.3   17.8 |   3.001  23.73  51.4% |   -3.1%   +6.7%  -12.3%   -2.1%   -3.4% |  13.6% |  1.0006   25.31
edge93           edge93   3.30 ring20 kf2  |    736.9   94.2    123.5   17.4 |   3.029  23.78  51.4% |   -4.1%   +5.9%  -12.4%   -2.2%   -3.1% |  13.7% |  1.0006   25.84
edge93           edge93   3.80 ring10 kf2  |    745.7   75.6    123.3   16.7 |   3.020  23.78  51.4% |   -5.5%   +6.7%  -12.1%   -2.0%   -2.7% |  13.6% |  1.0006   25.30
edge93           edge93   4.20 ring10 kf2  |    760.8   72.8    126.2   16.2 |   3.143  24.12  51.8% |   -7.2%   +5.9%  -12.0%   -2.0%   -2.7% |  14.0% |  1.0006   25.63
edge93           edge93   4.34 ring10 kf2  |    808.8   74.3    128.9   15.9 |   3.032  23.81  51.4% |   -9.4%   +2.9%  -11.2%   -1.6%   -0.7% |  13.7% |  1.0002   26.32
face81           face81   2.80 ring10 kf2  |    604.6   98.7      nan    nan |   3.085  30.23  28.8% |   -4.9%   -0.2%   -1.3%   -5.9%   -9.5% |  64.4% |  1.0106     nan
face81           face81   3.30 ring10 kf2  |    616.6   94.5      nan    nan |   3.148  30.48  29.0% |   -4.8%   -0.3%   -1.2%   -5.6%   -8.5% |  64.0% |  1.0105     nan
face81           face81   3.80 ring10 kf2  |    614.4   96.7      nan    nan |   3.057  30.75  29.1% |   -4.1%   -0.6%   -1.1%   -5.1%   -8.8% |  64.6% |  1.0106     nan
face81           face81   4.20 ring10 kf2  |    621.9   91.6      nan    nan |   3.193  30.84  29.1% |   -5.1%   -0.3%   -1.2%   -5.6%   -8.5% |  64.1% |  1.0106     nan
face81           face81   4.34 ring10 kf2  |    617.4  101.1      nan    nan |   2.890  30.05  28.8% |   -2.8%   -0.8%   -1.1%   -4.3%   -9.0% |  66.0% |  1.0106     nan
