ρ        источник   | K238/2614 R238/2614 |       R/K K583/2614 | R583/2614   R/K 583
2.8      объём      |    0.9246    0.6751 |    0.7302    0.9696 |    0.8437    0.8701
2.8      слой 0.5   |    0.9303    0.7292 |    0.7838    0.9715 |    0.8679    0.8933
2.8      слой 0.2   |    0.9311    0.7479 |    0.8032    0.9716 |    0.8760    0.9016
2.8      слой 1.0   |    0.9286    0.7078 |    0.7622    0.9710 |    0.8584    0.8840
3.3      объём      |    0.8912    0.5957 |    0.6685    0.9642 |    0.8263    0.8570
3.3      слой 0.5   |    0.9013    0.6711 |    0.7446    0.9667 |    0.8553    0.8847
3.3      слой 0.2   |    0.9033    0.6977 |    0.7723    0.9670 |    0.8650    0.8945
3.3      слой 1.0   |    0.8979    0.6410 |    0.7139    0.9660 |    0.8440    0.8736
3.8      объём      |    0.8596    0.5325 |    0.6195    0.9589 |    0.8099    0.8447
3.8      слой 0.5   |    0.8744    0.6256 |    0.7155    0.9621 |    0.8436    0.8769
3.8      слой 0.2   |    0.8777    0.6593 |    0.7511    0.9625 |    0.8549    0.8881
3.8      слой 1.0   |    0.8691    0.5879 |    0.6765    0.9611 |    0.8305    0.8641
наблюдено (FSA без связки, Pb-212/Tl-208): контакт 1.016 (ρ 3.3), ребром 1.171 → ребром/контакт по 238 : 2614 у данных выше модели на +15 % (при ρ 3.3), +9 % (2.8), +22 % (3.8)
