спектр           геом        ρ кольцо пл   |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль
contact52k       contact  2.80 ring10 asis |    766.9  255.4     57.3   19.6 |  12.130  87.57  19.3% |   -2.6%   -4.1%  -10.4%  -14.9%   -5.5% |  33.6% |  1.0298   -1.65
contact52k       contact  3.30 ring10 asis |    783.7  236.7     59.1   19.2 |  12.887  97.95  20.4% |   -3.1%   -4.0%   -9.7%  -14.4%   -5.7% |  32.7% |  1.0298   -0.55
contact52k       contact  3.80 ring10 asis |    804.7  213.9     55.5   17.6 |  13.240 102.22  20.8% |   -3.2%   -4.0%   -9.5%  -13.6%   -4.2% |  31.9% |  1.0306   -9.05
contact52k       contact  4.20 ring10 asis |    816.6  203.9     55.1   17.1 |  13.430 104.53  21.1% |   -3.6%   -4.1%   -9.4%  -13.5%   -3.7% |  31.5% |  1.0305   -8.95
contact52k       contact  4.34 ring10 asis |    841.7  190.1     55.4   16.7 |  13.726 103.73  21.0% |   -4.8%   -4.1%   -8.9%  -12.2%   -1.0% |  31.6% |  1.0304   -8.78
contact_cal0809  contact  2.80 ring10 asis |    897.1  226.2    131.0   34.0 |   2.533   3.98  14.4% |   +0.0%   -0.5%   -2.2%   -5.1%   -3.0% |  14.4% |  1.0030     nan
contact_cal0809  contact  3.30 ring10 asis |    912.8  202.7    138.3   33.1 |   2.817   5.45  17.6% |   -1.2%   -0.1%   -1.4%   -4.5%   -3.3% |  13.4% |  1.0042   -3.23
contact_cal0809  contact  3.80 ring10 asis |    928.9  193.7    131.2   30.1 |   3.010   6.66  19.8% |   -1.7%   -0.2%   -1.8%   -3.8%   -1.6% |  13.1% |  1.0023   11.63
contact_cal0809  contact  4.20 ring10 asis |    935.9  183.3    122.6   26.9 |   3.211   7.39  21.1% |   -1.9%   -0.9%   -2.5%   -4.4%   -1.7% |  13.6% |  1.0068  -16.83
contact_cal0809  contact  4.34 ring10 asis |    955.8  182.0    122.2   26.2 |   3.247   7.67  21.5% |   -4.4%   -0.9%   -2.3%   -3.4%   +0.9% |  14.2% |  1.0068  -16.96
edge93           edge93   2.80 ring10 asis |    798.8  164.0    115.4   20.8 |   1.643   1.79  13.3% |   -1.0%   -1.0%   -5.1%   -9.8%   -5.9% |  25.3% |  1.0053  -16.07
edge93           edge93   3.30 ring05 asis |    822.3  161.5    121.2   21.2 |   1.666   1.82  13.5% |   -2.0%   -0.6%   -4.0%   -7.9%   -3.4% |  25.2% |  1.0041  -16.06
edge93           edge93   3.30 ring10 asis |    836.3  158.4    119.1   20.1 |   1.719   1.89  14.1% |   -2.2%   -0.8%   -4.8%   -8.7%   -3.4% |  25.3% |  1.0053  -16.19
edge93           edge93   3.30 ring20 asis |    796.7  126.8    212.6   35.4 |   1.840   2.43  17.9% |  -11.7%   -0.0%   -2.7%   -9.8%   -9.3% |  24.1% |  1.0083  -38.01
edge93           edge93   3.80 ring10 asis |    798.0  126.4    205.5   34.4 |   1.839   2.44  17.9% |  -12.5%   +0.2%   -2.8%   -9.6%   -8.9% |  25.1% |  1.0083  -37.63
edge93           edge93   4.20 ring10 asis |    857.4  143.5    177.4   29.8 |   1.792   2.14  15.9% |   -9.4%   +0.2%   -3.2%   -8.3%   -4.4% |  24.8% |  1.0062  -27.72
edge93           edge93   4.34 ring10 asis |    873.0  138.1    185.2   29.4 |   1.834   2.28  16.9% |  -12.6%   -1.1%   -3.9%   -7.6%   -3.0% |  27.1% |  1.0063  -28.35
face81           face81   2.80 ring10 asis |    520.8   99.1      nan    nan |   4.086   7.55  14.8% |   +1.3%   -2.8%   -3.3%   -4.2%  -26.4% |  66.6% |  0.9920     nan
face81           face81   3.30 ring10 asis |    545.1  102.2      nan    nan |   4.022   7.38  14.6% |   +1.4%   -2.7%   -3.0%   -3.4%  -24.7% |  65.3% |  0.9920     nan
face81           face81   3.80 ring10 asis |    561.8  103.3      nan    nan |   3.966   7.17  14.3% |   +1.6%   -2.3%   -2.9%   -3.0%  -23.6% |  64.0% |  0.9920     nan
face81           face81   4.20 ring10 asis |    569.3  102.6      nan    nan |   3.956   7.06  14.2% |   +1.5%   -2.0%   -2.9%   -2.8%  -23.4% |  63.3% |  0.9919     nan
face81           face81   4.34 ring10 asis |    575.3  103.3      nan    nan |   3.962   6.91  14.0% |   +0.6%   -1.5%   -2.8%   -2.7%  -22.9% |  62.9% |  0.9920     nan
