spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,live,key
contact52k,contact,2.8,ring10,eq,852.939,426.598,137.433,91.1401,5.29389,43.5136,0.141665,0.00513345,-0.00679075,-0.0233175,-0.0165229,-0.0323728,18.8353,1.00555,-9.81525,52742.3,contact52k__AS80_p67_contact_r28__eq
contact52k,contact,3.3,ring10,eq,863.245,383.717,140.421,84.3643,6.19556,57.0093,0.162617,-0.00823141,-0.00768333,-0.0195969,-0.0127703,-0.0411506,18.2975,1.0056,-8.00787,52742.3,contact52k__AS80_p67_contact_r33__eq
contact52k,contact,3.8,ring10,eq,881.572,383.689,133.938,77.7247,6.55101,65.389,0.174354,-0.00474167,-0.00985203,-0.0234125,-0.00298669,-0.0240666,17.819,1.00607,-19.2066,52742.3,contact52k__AS80_p67_contact_r38__eq
contact52k,contact,4.2,ring10,eq,893.833,382.963,136.223,76.933,6.74618,69.4013,0.179704,-0.0103759,-0.0105616,-0.0233288,-0.00192934,-0.0206709,17.2491,1.00609,-19.1927,52742.3,contact52k__AS80_p67_contact_r42__eq
contact52k,contact,4.345,ring10,eq,915.352,420.652,140.466,77.3341,6.85428,73.1378,0.184559,-0.0232765,-0.0121238,-0.020269,0.00873711,-0.000237151,17.6975,1.00579,-16.0205,52742.3,contact52k__AS80_p67_contact_p13__eq
contact_cal0809,contact,2.8,ring10,eq,904.477,213.045,129.82,32.1268,3.06256,11.1121,0.261088,0.00428837,-0.013322,-0.0348657,-0.052492,-0.0106293,11.0949,1.00284,0,3546.9,contact_cal0809__AS80_p67_contact_r28__eq
contact_cal0809,contact,3.3,ring10,eq,924.166,188.315,137.131,31.527,3.37651,12.7778,0.281758,-0.00711898,-0.00766023,-0.0260446,-0.0447264,-0.00900857,9.82463,1.00417,-3.4206,3546.9,contact_cal0809__AS80_p67_contact_r33__eq
contact_cal0809,contact,3.8,ring10,eq,938.587,180,127.939,28.3252,3.58178,14.0871,0.297011,-0.0125142,-0.0104256,-0.0315135,-0.0385984,0.00629469,9.78771,1.00236,10.3202,3546.9,contact_cal0809__AS80_p67_contact_r38__eq
contact_cal0809,contact,4.2,ring10,eq,948.634,172.656,129.424,27.6646,3.74858,14.7114,0.304012,-0.0144517,-0.0127147,-0.0317114,-0.0383971,0.00861916,9.48614,1.00541,-16.8041,3546.9,contact_cal0809__AS80_p67_contact_r42__eq
contact_cal0809,contact,4.345,ring10,eq,963.416,172.767,126.75,26.5528,3.77714,15.053,0.307758,-0.044126,-0.0134229,-0.0332908,-0.0308048,0.0297465,10.5966,1.00537,-16.979,3546.9,contact_cal0809__AS80_p67_contact_p13__eq
edge93,edge93,2.8,ring10,eq,726.745,104.635,104.208,14.4845,3.93935,27.2168,0.551817,0.0757254,0.0977368,-0.161903,-0.0891836,-0.0862752,11.7492,0.999992,22.7869,23492.2,edge93__AS80_p67_edge93_r28__eq
edge93,edge93,3.3,ring05,eq,752.667,102.104,108.602,14.695,3.97036,27.4619,0.554392,0.0356724,0.108365,-0.145525,-0.0781081,-0.0648328,10.7056,0.999917,22.8796,23492.2,edge93__AS80_p67_edge93_r33_ring05__eq
edge93,edge93,3.3,ring10,eq,767.01,100.909,109.527,14.3918,3.99277,27.4948,0.554737,0.0303415,0.105817,-0.151544,-0.0820136,-0.0644648,10.3954,0.999835,23.0369,23492.2,edge93__AS80_p67_edge93_r33__eq
edge93,edge93,3.3,ring20,eq,789.931,98.5581,111.569,13.9895,4.02359,27.632,0.556172,0.0200759,0.0976196,-0.152638,-0.0821018,-0.0560174,10.3668,0.999929,23.0677,23492.2,edge93__AS80_p67_edge93_r33_ring20__eq
edge93,edge93,3.8,ring10,eq,802.645,96.8452,113.238,14.1566,4.02228,27.6423,0.55628,-0.0108698,0.113275,-0.145643,-0.0746394,-0.045936,9.54518,0.9999,22.8899,23492.2,edge93__AS80_p67_edge93_r38__eq
