спектр           геом        ρ кольцо пл   |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль
contact52k       contact  2.80 ring10 asis |    766.9  255.4     57.3   19.6 |  12.130  87.57  19.3% |   -2.6%   -4.1%  -10.4%  -14.9%   -5.5% |  33.6% |  1.0298   -1.65
contact52k       contact  2.80 ring10 eq   |    852.9  426.6    137.4   91.1 |   5.294  43.51  14.2% |   +0.5%   -0.7%   -2.3%   -1.7%   -3.2% |  18.8% |  1.0056   -9.82
contact52k       contact  2.80 ring10 kf2  |    832.3  366.0    115.5   70.3 |   4.616  41.67  13.8% |   +0.8%   -0.2%   +0.2%   -3.9%   -6.6% |  22.1% |  1.0063   -7.77
contact52k       contact  3.30 ring10 asis |    783.7  236.7     59.1   19.2 |  12.887  97.95  20.4% |   -3.1%   -4.0%   -9.7%  -14.4%   -5.7% |  32.7% |  1.0298   -0.55
contact52k       contact  3.30 ring10 eq   |    863.2  383.7    140.4   84.4 |   6.196  57.01  16.3% |   -0.8%   -0.8%   -2.0%   -1.3%   -4.1% |  18.3% |  1.0056   -8.01
contact52k       contact  3.30 ring10 kf2  |    840.0  335.2    127.5   72.2 |   5.083  49.02  15.0% |   +0.3%   -0.2%   +0.3%   -3.2%   -7.4% |  21.4% |  1.0054   -6.54
contact52k       contact  3.80 ring10 asis |    804.7  213.9     55.5   17.6 |  13.240 102.22  20.8% |   -3.2%   -4.0%   -9.5%  -13.6%   -4.2% |  31.9% |  1.0306   -9.05
contact52k       contact  3.80 ring10 eq   |    881.6  383.7    133.9   77.7 |   6.551  65.39  17.4% |   -0.5%   -1.0%   -2.3%   -0.3%   -2.4% |  17.8% |  1.0061  -19.21
contact52k       contact  3.80 ring10 kf2  |    866.5  349.0    110.9   62.2 |   5.254  54.60  15.9% |   -0.4%   -0.0%   +0.0%   -1.9%   -4.8% |  20.5% |  1.0047  -16.63
contact52k       contact  4.20 ring10 asis |    816.6  203.9     55.1   17.1 |  13.430 104.53  21.1% |   -3.6%   -4.1%   -9.4%  -13.5%   -3.7% |  31.5% |  1.0305   -8.95
contact52k       contact  4.20 ring10 eq   |    893.8  383.0    136.2   76.9 |   6.746  69.40  18.0% |   -1.0%   -1.1%   -2.3%   -0.2%   -2.1% |  17.2% |  1.0061  -19.19
contact52k       contact  4.20 ring10 kf2  |    880.5  348.9    113.7   62.4 |   5.321  55.84  16.1% |   -0.7%   -0.0%   +0.0%   -1.6%   -4.1% |  19.8% |  1.0047  -16.64
contact52k       contact  4.34 ring10 asis |    841.7  190.1     55.4   16.7 |  13.726 103.73  21.0% |   -4.8%   -4.1%   -8.9%  -12.2%   -1.0% |  31.6% |  1.0304   -8.78
