сцена                              n      ε238      ε338      ε583      ε911     ε1461     ε2614 | 238/2614 583/2614 911/2614
AS80_p67_contact_p13              43   0.09546   0.08402   0.05649   0.03915   0.02657   0.01569 |    6.083    3.600    2.495
AS80_p67_contact_r28              43    0.1148    0.0912    0.0577    0.0397   0.02653   0.01673 |    6.863    3.450    2.374
AS80_p67_contact_r33              41    0.1092   0.08979   0.05761   0.03968   0.02705   0.01616 |    6.757    3.564    2.455
AS80_p67_contact_r38              41    0.1053   0.08805   0.05662   0.03946   0.02719   0.01618 |    6.507    3.500    2.439
AS80_p67_contact_r42              41    0.1015   0.08662   0.05619   0.03917   0.02717   0.01634 |    6.207    3.438    2.397
AS80_p67_edge93_p13               42  0.007074  0.007924  0.006609  0.005043  0.003701  0.002392 |    2.958    2.763    2.109
AS80_p67_edge93_r28               42   0.01176   0.01056    0.0075  0.005501  0.003923  0.002479 |    4.742    3.025    2.219
AS80_p67_edge93_r33               40   0.01044  0.009844  0.007239  0.005412  0.003838   0.00247 |    4.226    2.931    2.191
AS80_p67_edge93_r33_ring05        41   0.01075   0.01008  0.007461  0.005547  0.003892   0.00246 |    4.370    3.033    2.255
AS80_p67_edge93_r33_ring20        40  0.009795  0.009403  0.006987  0.005228  0.003705  0.002422 |    4.044    2.884    2.158
AS80_p67_edge93_r38               40  0.009356  0.009253  0.007015  0.005334  0.003769  0.002415 |    3.874    2.905    2.209
AS80_p67_edge93_r42               40  0.008582  0.008821  0.006821  0.005181  0.003676  0.002377 |    3.610    2.870    2.180
AS80_p67_face81_p13               43   0.01524   0.01391  0.009948  0.007102  0.004926   0.00303 |    5.028    3.283    2.344
AS80_p67_face81_r28               43   0.01801   0.01508   0.01021    0.0072  0.004978  0.003075 |    5.857    3.318    2.341
AS80_p67_face81_r33               41   0.01735   0.01488   0.01012  0.007197   0.00503  0.003066 |    5.658    3.301    2.348
AS80_p67_face81_r38               41   0.01659   0.01468   0.01007  0.007187   0.00497  0.003031 |    5.473    3.321    2.371
AS80_p67_face81_r42               41   0.01623   0.01443  0.009948  0.007107  0.004988  0.003066 |    5.294    3.245    2.318
