E_keV,eps_sim,err_pct,eps_ref,ratio
60,4.00034E-003,0.26,0.00000E+000,-
200,3.47317E-003,0.32,0.00000E+000,-
662,4.08937E-004,0.99,0.00000E+000,-
1461,1.09653E-004,1.95,0.00000E+000,-
2614,2.91915E-005,3.72,0.00000E+000,-
