E_keV,eps_sim,err_pct,eps_ref,ratio
60,4.32110E-003,0.26,0.00000E+000,-
200,4.22968E-003,0.28,0.00000E+000,-
662,1.19599E-003,0.56,0.00000E+000,-
1461,4.46152E-004,0.93,0.00000E+000,-
2614,2.01563E-004,1.40,0.00000E+000,-
