E_keV,eps_sim,err_pct,eps_ref,ratio
60,1.45700E-002,0.29,0.00000E+000,-
200,1.62861E-002,0.29,0.00000E+000,-
662,3.58141E-003,0.67,0.00000E+000,-
1461,1.26342E-003,1.14,0.00000E+000,-
2614,5.55728E-004,1.72,0.00000E+000,-
