E_keV,eps_sim,err_pct,eps_ref,ratio
60,4.32742E-003,0.26,0.00000E+000,-
200,4.25451E-003,0.27,0.00000E+000,-
662,1.19416E-003,0.56,0.00000E+000,-
1461,4.47633E-004,0.93,0.00000E+000,-
2614,1.96301E-004,1.42,0.00000E+000,-
