реконструкция Σ resid²·w_sol/ndf = chi2ndf: расхождений 0 из 168
=== метрика: sol (χ² РЕШАТЕЛЯ (Хубер), как chi2ndf) ===
Σ по 42 спектрам понятной части, по полосам кэВ:
плечо        <45    45-100   100-300  300-1000     >1000     всего
lin        49.55     43.40     93.55     65.61     67.62    319.73
model-b1     51.61     40.98     92.35     65.76     68.07    318.78
lit-b1     54.17     31.21     91.45     78.46     76.41    331.70
kdip-b1     50.29     39.80     89.68     65.00     68.19    312.97
разности к lin:
model-b1-lin     +2.06     -2.42     -1.20     +0.15     +0.45     -0.95
lit-b1-lin     +4.62    -12.18     -2.10    +12.85     +8.79    +11.97
kdip-b1-lin     +0.74     -3.59     -3.86     -0.61     +0.57     -6.76
каналов полосы фита, всего: [1274, 1327, 4774, 16304, 47997] (71676)

поспектрово (sol): плечо lin по полосам | разности model-b1-lin по полосам
G1S16_Mn54_P5     |   0.34   0.18   0.92   2.05   0.33 |  -0.00  +0.04  +0.03  +0.07  +0.00 |  +0.09  +0.01  +0.07  +0.21  +0.00 |  -0.00  +0.03  +0.02  +0.06  +0.00
G1S16_Na22_P25    |   0.41   0.17   0.73   1.63   1.37 |  +0.00  +0.10  -0.04  -0.20  -0.05 |  +0.00  +0.16  -0.07  -0.23  -0.05 |  +0.00  +0.11  -0.06  -0.23  -0.04
G1S16_Na22_P5     |   0.82   0.81   3.99   2.60   4.48 |  -0.00  +0.02  -0.08  -0.05  -0.00 |  +0.00  +0.04  -0.25  -0.02  -0.01 |  -0.00  +0.02  -0.11  -0.04  +0.01
G1S16_Th228_P25   |   0.03   0.15   0.11   0.23   0.74 |  -0.00  -0.02  +0.01  +0.01  +0.00 |  -0.01  -0.04  -0.00  +0.08  -0.00 |  -0.00  -0.03  +0.01  +0.01  +0.00
G1S16_Th228_P5    |   0.32   0.36   1.48   0.54   1.78 |  +0.00  +0.18  -0.17  -0.05  -0.42 |  -0.11  -0.02  -0.31  -0.12  -0.89 |  -0.01  +0.16  -0.17  -0.05  -0.43
G1S16_Y88_P25     |   0.03   0.08   0.11   0.26   0.74 |  +0.00  -0.00  -0.00  +0.01  +0.01 |  +0.00  -0.00  -0.00  +0.06  +0.05 |  +0.00  -0.00  -0.00  +0.01  +0.01
G1S24_Am241_P5    |   8.06   2.39   0.39   0.21   0.51 |  +0.49  +0.35  +0.00  +0.00  +0.00 |  -0.44  +0.07  -0.00  +0.00  +0.00 |  +0.12  -0.00  +0.00  +0.00  +0.00
G1S24_Ba133_P5    |   4.22   8.03   3.52   3.10   0.68 |  +0.06  -2.28  -0.06  -0.08  -0.00 |  +1.76  -6.07  -0.10  -0.51  +0.00 |  +0.41  -2.27  -0.05  -0.26  +0.00
G1S24_Bi207_P5    |   0.72   2.88   6.83   3.28   6.98 |  +0.00  -0.11  +0.02  -0.00  +0.03 |  -0.06  -0.75  +0.42  +2.21  +0.24 |  -0.01  -0.23  -0.02  -0.01  -0.01
G1S24_Cd109_P5    |   0.60   0.93   0.16   0.22   0.52 |  +0.02  +0.00  +0.00  +0.00  +0.00 |  +0.01  -0.01  -0.00  +0.00  +0.00 |  +0.02  -0.00  -0.00  +0.00  +0.00
G1S24_Co60_P5     |   0.30   0.37   4.64   2.21   3.23 |  +0.00  +0.11  -0.02  +0.11  +0.13 |  +0.00  +0.13  +0.37  +0.31  +0.88 |  +0.00  +0.10  +0.00  +0.11  +0.13
G1S24_Cs137_P25   |   0.82   0.20   0.66   1.19   0.74 |  +0.16  +0.03  -0.00  +0.04  +0.00 |  +0.64  +0.08  +0.09  +0.08  +0.00 |  +0.12  +0.03  -0.00  +0.01  +0.00
G1S24_Cs137_P5    |   2.03   1.00   6.87   3.23   0.56 |  +0.31  +0.10  +0.08  +0.12  +0.00 |  +1.65  -0.03  +0.51  +0.71  +0.00 |  +0.46  +0.07  +0.09  +0.22  +0.00
G1S24_Eu152_P5    |   4.15   5.21  15.33   5.30   3.98 |  +0.20  +0.04  -0.96  -0.92  -0.10 |  -0.23  -0.03  -1.24  +5.74  +1.38 |  +0.04  +0.07  -2.50  -1.23  +0.03
G1S24_Na22_P25    |   0.29   0.75   1.52   1.89   2.14 |  +0.00  -0.01  -0.04  +0.05  -0.01 |  +0.00  -0.03  -0.12  -0.03  +0.01 |  +0.00  -0.01  -0.08  +0.05  -0.00
G1S24_Na22_P5     |   0.37   1.56  12.10  10.22   9.68 |  -0.01  +0.11  +0.09  -0.27  -0.07 |  -0.01  +0.11  +0.09  -0.39  -0.02 |  -0.01  +0.10  +0.02  -0.11  +0.02
G1S24_Th228_P25   |   0.15   0.50   0.94   0.89   1.40 |  +0.02  -0.01  +0.02  +0.13  +0.08 |  +0.08  -0.07  +0.06  -0.07  +1.95 |  +0.02  -0.04  +0.01  +0.13  +0.08
G1S24_Th228_P5    |   2.40   3.15   6.87   3.36   5.20 |  -0.29  -0.27  +0.05  +0.18  -0.34 |  -0.67  -0.94  +0.67  +1.34  +1.41 |  -0.52  -0.42  +0.00  +0.17  -0.35
G1S24_Y88_P25     |   0.07   0.07   0.27   0.53   1.15 |  +0.00  +0.00  +0.02  +0.05  +0.07 |  -0.00  +0.00  -0.01  -0.03  -0.00 |  +0.00  +0.00  +0.02  +0.04  +0.07
G1S24_Y88_P5      |   0.27   0.12   2.82   4.56   4.01 |  +0.01  +0.06  -0.03  +1.28  +0.80 |  +0.05  +0.03  +0.19  +3.48  +2.39 |  +0.01  +0.06  -0.03  +1.26  +0.81
G1S24_Zn65_P5     |   0.01   0.04   0.21   0.30   0.59 |  -0.00  -0.00  +0.00  +0.00  -0.00 |  -0.00  -0.01  +0.01  +0.06  +0.00 |  +0.00  -0.00  +0.00  +0.00  -0.00
