# NaI:Tl [Payne η=0.33 (база), ниже 1 кэВ Joy-Luo от 0.01, обрыв E_q=1 кэВ]
E_kev	yield_rel
0.01	0.00010001379333558846
0.011220184543019634	0.0001259220520041757
0.012589254117941673	0.00015854053136235682
0.014125375446227544	0.00019960650624142108
0.015848931924611138	0.0002513066548800757
0.017782794100389229	0.00031639309511915077
0.019952623149688795	0.00039832925525438187
0.022387211385683396	0.00050147317697434057
0.0251188643150958	0.00063130773942479191
0.028183829312644539	0.0007947296306129786
0.0316227766016838	0.0010004117647903598
0.035481338923357551	0.0012592573502934769
0.03981071705534972	0.0015849680520495476
0.04466835921509632	0.0019947537569747192
0.05011872336272722	0.0025102173965546558
0.056234132519034911	0.0031584551053378427
0.063095734448019331	0.0039734650382098795
0.070794578438413788	0.004998008747605147
0.079432823472428166	0.00628573192536397
0.089125093813374537	0.0079037957322945756
0.1	0.0099361143874680952
0.11220184543019636	0.012487263162072606
0.12589254117941676	0.01568712557886048
0.14125375446227539	0.019696311240821204
0.15848931924611134	0.024712298883907965
0.17782794100389229	0.030976124360762643
0.19952623149688797	0.038779216439906304
0.223872113856834	0.0484696406474977
0.25118864315095796	0.060456560656065486
0.28183829312644532	0.075211087624877326
0.31622776601683794	0.093260976985209521
0.35481338923357547	0.11517594183620333
0.39810717055349737	0.14153997491547066
0.44668359215096304	0.17290747080096627
0.50118723362727224	0.20974172152734533
0.56234132519034907	0.25233802687588935
0.63095734448019325	0.30073934041109052
0.70794578438413813	0.35465898395696788
0.79432823472428138	0.413430056269642
0.89125093813374545	0.47600153441470372
1	0.54098757228174721
1.1230344056740278	0.6070927558927931
1.2612062763276171	0.67195727435520425
1.416378040967939	0.73408554064375042
1.5906412714481732	0.79227932012213842
1.7863448749213793	0.84569933502159123
2.0061267549361768	0.89385967592001792
2.2529493679365156	0.93659855058979191
2.5301396544342616	0.9739893937947699
2.8414338830898709	1.0062961820670153
3.1910280121578785	1.0338849111808162
3.5836342471228968	1.057169110261531
4.0245445568707554	1.0765654568915086
4.5197020045339924	1.092467227571164
5.0757808544855454	1.1052330460785931
5.7002765352487827	1.1151853493845842
6.4016066709407236	1.1226019275951455
7.189224543058808	1.127737686814853
8.0737465119711818	1.1308196458526261
9.0670951156343111	1.1320628202718219
10.182659774376262	1.1316591813076844
11.435477267897475	1.129787021806463
12.842434417152093	1.1266364011955943
14.422495703074082	1.1223996343453713
16.196958890238022	1.1172565458834125
18.189742101025121	1.1113732346122323
20.427706209788592	1.1049209783886107
22.941016902593582	1.0980599450084851
25.763551282762009	1.0909417517608173
28.93335450288896	1.0837071536403182
32.493152578307864	1.0764828996083047
36.490928294255482	1.0693809980546638
40.980567969432776	1.06249762034496
46.022587793736044	1.0559109177543164
51.684949530519127	1.0496823377624023
58.043976578298675	1.0438578589181695
65.185382739566819	1.0384663618998307
73.2054275635635	1.03352371046287
82.2122138359596	1.0290335745953414
92.327144704412945	1.0249889894327397
103.6865600807004	1.021374512730661
116.44357437661373	1.0181673371185151
130.77014034459992	1.0153408832657937
146.85936684180692	1.0128675644266072
164.9281217588526	1.010716338550578
185.21995519838683	1.0088541595325413
208.00838230519034	1.0072526074730836
233.60056999732555	1.0058798693264581
262.34147729206052	1.0047096778603726
294.61850503433584	1.0037152925604937
330.86671770180578	1.0028739680549066
371.57470767156366	1.0021643348250364
417.29118099343538	1.0015669961619966
468.6323534399757	1.0010651731171059
526.29025652508437	1.0006435936986138
591.04206544867952	1.0002891098251288
663.760574699508	0.99999108495975741
745.42596251751286	0.99973909287956464
837.13900278984488	0.99952432847972728
940.1359024646423	0.9993402271334908
1055.804964477195	0.99917949026368991
1185.7053007893353	0.99903547202030563
1331.5878477764952	0.998905687398
1495.4189672304335	0.99878856282081052
1679.4069510972995	0.99868011689433023
1886.031787210386	0.99857673400421
2118.0785872321417	0.99847748640927891
2378.6751273831319	0.998380170086025
2671.3340079723093	0.998284105008252
3000	0.99818852509173139
