spectrum,arm,what,name,A,B,changed
as80,free,chi2/ndf,,12.596,12.596,
as80,free,floors,,"","разнос подложки от канала 301 (100 кэВ), невязка от канала 117 (30 кэВ) при полосе фита 66..8190",
as80,free,grey,,"","ниже порога доверия 3002457.8 отсч., выше последней линии 0.0 отсч.; всего 3002457.8 отсч. (12.330 % стека)",
as80,free,tail,,"хвост: нет","хвост: нет",
as80,free,residual,,"Невязка: + лишнее / − нехватка — показ подрезан на 121 каналах = +4.9 / −7.9 %","Невязка: + лишнее / − нехватка — показ подрезан на 121 каналах, от 30 кэВ = +4.5 / −7.9 %",*
as80,free,layer,Tl-208,35.635,31.857,*
as80,free,layer,Ac-228,34.866,30.661,*
as80,free,layer,Pb-212,24.088,20.443,*
as80,free,layer,Bi-212,3.473,3.076,*
as80,free,layer,Ra-224,1.938,1.635,*
as80,free,layer,continuum,—,12.330,*
as80,free,member,Ac-228,"686 Бк z=108 доля=34.9%","686 Бк z=108 доля=30.7%",*
as80,free,member,Pb-212,"1076 Бк z=172 доля=24.1%","1076 Бк z=172 доля=20.4%",*
as80,free,member,Ra-224,"1076 Бк z=172 доля=1.94% по Pb-212","1076 Бк z=172 доля=1.64% по Pb-212",*
as80,free,member,Bi-212,"599.5 Бк z=25.1 доля=3.47%","599.5 Бк z=25.1 доля=3.08%",*
as80,free,member,Tl-208,"862.2 Бк z=126 доля=35.6%","862.2 Бк z=126 доля=31.9%",*
as80,free,member,Th-232,"< 1.25e+04","< 1.25e+04",
as80,free,member,Th-228,"< 1.34e+03","< 1.34e+03",
as80,free,member,Rn-220,"< 5.54e+03","< 5.54e+03",
as80,free,member,Po-216,"< 4.1e+05","< 4.1e+05",
as80,eq,chi2/ndf,,14.115,14.115,
as80,eq,floors,,"","разнос подложки от канала 301 (100 кэВ), невязка от канала 117 (30 кэВ) при полосе фита 66..8190",
as80,eq,grey,,"","ниже порога доверия 2933410.4 отсч., выше последней линии 0.0 отсч.; всего 2933410.4 отсч. (11.959 % стека)",
as80,eq,tail,,"хвост: нет","хвост: нет",
as80,eq,residual,,"Невязка: + лишнее / − нехватка — показ подрезан на 121 каналах = +6.4 / −8.7 %","Невязка: + лишнее / − нехватка — показ подрезан на 121 каналах, от 30 кэВ = +5.5 / −8.7 %",*
as80,eq,layer,Ac-228,41.195,36.270,*
as80,eq,layer,Tl-208,32.683,29.164,*
as80,eq,layer,Pb-212,18.884,16.165,*
as80,eq,layer,Bi-212,5.454,4.922,*
as80,eq,layer,Ra-224,1.518,1.292,*
as80,eq,layer,Th-228,0.209,0.179,*
as80,eq,layer,Rn-220,0.045,0.040,*
as80,eq,layer,Th-232,0.011,0.010,*
as80,eq,layer,continuum,—,11.959,*
as80,eq,member,Th-232,"865.3 Бк z=183 доля=0.0109%","865.3 Бк z=183 доля=0.01%",*
as80,eq,member,Ac-228,"865.3 Бк z=183 доля=41.2%","865.3 Бк z=183 доля=36.3%",*
as80,eq,member,Th-228,"865.3 Бк z=183 доля=0.209%","865.3 Бк z=183 доля=0.179%",*
as80,eq,member,Ra-224,"865.3 Бк z=183 доля=1.52%","865.3 Бк z=183 доля=1.29%",*
as80,eq,member,Rn-220,"865.3 Бк z=183 доля=0.0452%","865.3 Бк z=183 доля=0.0395%",*
as80,eq,member,Po-216,"865.3 Бк z=183 доля=0.000765%","865.3 Бк z=183 доля=0.000676%",*
as80,eq,member,Pb-212,"865.3 Бк z=183 доля=18.9%","865.3 Бк z=183 доля=16.2%",*
as80,eq,member,Bi-212,"865.3 Бк z=183 доля=5.45%","865.3 Бк z=183 доля=4.92%",*
as80,eq,member,Tl-208,"865.3 Бк z=183 доля=32.7%","865.3 Бк z=183 доля=29.2%",*
as80,plant,chi2/ndf,,,12.596,*
as80,plant,floors,,"","разнос подложки от канала 0 (0 кэВ — порога нет, разносится всё), невязка от канала 0 (30 кэВ) при полосе фита 66..8190",
as80,plant,grey,,"","ниже порога доверия 0.0 отсч., выше последней линии 0.0 отсч.; всего 0.0 отсч. (0.000 % стека)",
as80,plant,tail,,"","хвост: нет",*
as80,plant,residual,,"","Невязка: + лишнее / − нехватка — показ подрезан на 121 каналах = +4.9 / −7.9 %",*
as80,plant,layer,Tl-208,—,35.635,*
as80,plant,layer,Ac-228,—,34.866,*
as80,plant,layer,Pb-212,—,24.088,*
as80,plant,layer,Bi-212,—,3.473,*
as80,plant,layer,Ra-224,—,1.938,*
as80,plant,member,Ac-228,"—","686 Бк z=108 доля=34.9%",*
as80,plant,member,Pb-212,"—","1076 Бк z=172 доля=24.1%",*
as80,plant,member,Ra-224,"—","1076 Бк z=172 доля=1.94% по Pb-212",*
as80,plant,member,Bi-212,"—","599.5 Бк z=25.1 доля=3.47%",*
as80,plant,member,Tl-208,"—","862.2 Бк z=126 доля=35.6%",*
as80,plant,member,Th-232,"—","< 1.25e+04",*
as80,plant,member,Th-228,"—","< 1.34e+03",*
as80,plant,member,Rn-220,"—","< 5.54e+03",*
as80,plant,member,Po-216,"—","< 4.1e+05",*
as80,zoom,chi2/ndf,,12.596,12.596,
as80,zoom,floors,,"","разнос подложки от канала 301 (100 кэВ), невязка от канала 117 (30 кэВ) при полосе фита 66..8190",
as80,zoom,grey,,"","ниже порога доверия 3002457.8 отсч., выше последней линии 0.0 отсч.; всего 3002457.8 отсч. (12.330 % стека)",
as80,zoom,tail,,"хвост: нет","хвост: нет",
as80,zoom,residual,,"Невязка: + лишнее / − нехватка — показ подрезан на 121 каналах = +4.9 / −7.9 %","Невязка: + лишнее / − нехватка — показ подрезан на 121 каналах, от 30 кэВ = +4.5 / −7.9 %",*
