spectrum,part,matrix,chi2_A,chi2_B,grey_below_B,grey_above_B,grey_pct_B,missing_A,missing_B,excess_A,excess_B,shifted,shifts
G1S24_Bi207_P5,known,1,23.3534,23.3534,959046.8,30.7,6.477,,5.133,,3.786,2,"Ann-511 0.156→0.146; Bi-207 99.843→93.377"
G1S24_Cd109_P5,known,1,3.2200,3.2200,4653.6,789.6,10.859,,64.329,,6.756,1,"Cd-109 98.425→89.141"
G1S24_Co60_P5,known,1,11.7012,11.7012,240690.0,16.3,4.634,,5.094,,2.781,1,"Co-60 100.000→95.366"
G1S24_Cs137_P25,known,1,3.1723,3.1723,49612.5,31.7,5.178,,3.215,,2.444,1,"Cs-137 99.997→94.822"
G1S24_Cs137_P5,known,1,13.9427,13.9427,260251.6,0.0,5.002,,8.186,,3.932,2,"Cs-137 99.884→94.887; pile-up 0.116→0.111"
G1S24_Eu152_P5,known,1,31.2279,31.2279,1982527.0,3244.5,4.462,,5.353,,6.055,1,"Eu-152 99.993→95.538"
G1S24_Na22_P25,known,1,6.3098,6.3098,362447.5,23.5,7.581,,2.338,,1.865,2,"Ann-511 69.747→64.339; Na-22 30.253→28.080"
G1S24_Na22_P5,known,1,36.2417,36.2417,1499316.5,0.0,5.469,,6.627,,4.010,3,"Ann-511 70.976→66.976; Na-22 28.480→27.032; pile-up 0.545→0.524"
G1S24_Th228_P25,known,1,4.4219,4.4219,115739.0,0.0,7.264,,2.986,,3.097,5,"Bi-212 7.985→7.523; Pb-212 45.680→42.131; Ra-224 2.737→2.515; Th-228 0.855→0.784; Tl-208 42.682→39.725"
G1S24_Th228_P5,known,1,20.7445,20.7445,2155568.8,0.0,5.928,,3.558,,2.742,5,"Bi-212 7.764→7.408; Pb-212 50.872→47.729; Ra-224 2.848→2.661; Th-228 1.040→0.973; Tl-208 37.422→35.250"
G1S24_Y88_P25,known,1,2.0739,2.0739,27603.6,0.0,5.379,,2.459,,2.358,2,"Ann-511 1.630→1.536; Y-88 98.370→93.085"
G1S24_Y88_P5,known,1,8.1553,8.1553,198369.7,0.0,5.029,3.991,3.764,2.728,2.763,2,"Ann-511 1.375→1.303; Y-88 98.625→93.668"
G1S24_Zn65_P5,known,1,1.1497,1.1497,1448.4,59.4,4.972,8.289,8.223,8.068,8.089,2,"Ann-511 7.671→7.294; Zn-65 92.133→87.734"
