spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
G1S24_Cs137_P25,G1S24,known,3.1723,1.7811,1.004867,-0.647,0,0,0,1,"НАЙДЕНА, применена",1,1,1,8,2,83,78,,0,,17.2656,,13.833,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.952,"опор 2; усиление 1.00487, ноль -1.95 кэВ (-0.647 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -2.38 кэВ калибровки, свет -2.20 кэВ (по съёмке: опор 2 из 2 (35.2…662.0 кэВ), нуль света кан 0.76), растяжение 1.00028 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S24_Na22_P25,G1S24,known,6.3098,2.5119,0.998602,-1.375,0,0,0,1,"НАЙДЕНА, применена",1,1,1,11,5,143,141,,0,,17.7135,,6.006,sample,"распад 1, атомных 1, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1275, DE-1275",1,0,0,2,2,-4.122,"опор 2; усиление 0.99860, ноль -4.12 кэВ (-1.375 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.46 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.00664 по 1274.5 кэВ",NaI:Tl,1.0000,line
G1S24_Th228_P25,G1S24,known,4.4219,2.1028,1.005844,-1.463,0,0,0,1,"НАЙДЕНА, применена",1,1,1,15,8,319,266,,0,,8.9054,,7.766,sample,"распад 1, атомных 2, линий 60; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-2615, DE-2615, SE-1620, DE-1620",1,0,0,1,6,-4.410,"опор 6; усиление 1.00584, ноль -4.41 кэВ (-1.463 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -3.44 кэВ калибровки, свет -5.85 кэВ (по съёмке: опор 4 из 13 (80.2…584.6 кэВ), нуль света кан 2.02), растяжение 0.99908 по 2614.5 кэВ",NaI:Tl,1.0000,line
G1S24_Y88_P25,G1S24,known,2.0739,1.4401,1.004943,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,10,5,173,172,,0,,2.3574,,5.647,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1836, DE-1836",1,0,0,2,2,0.000,"опор 2; усиление 1.00494, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -2.60 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00141 по 1836.1 кэВ",NaI:Tl,1.0000,line
G1S24_Am241_P5,G1S24,known,5.8041,2.4092,0.891815,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,4,3,54,47,,0,,301.5474,,29.939,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.89181, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -14.71 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 1, нехватка), растяжение 1.24707 по 59.5 кэВ",NaI:Tl,1.0000,line
G1S24_Ba133_P5,G1S24,known,17.3908,4.1702,1.000450,-0.682,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,3,121,156,,0,,613.1003,,26.814,sample,"распад 1, атомных 2, линий 19; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,3,-2.018,"опор 3; усиление 1.00045, ноль -2.02 кэВ (-0.682 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -6.40 кэВ калибровки, свет -2.37 кэВ (по съёмке: опор 4 из 6 (32.4…358.1 кэВ), нуль света кан 0.84), растяжение 1.01045 по 383.8 кэВ",NaI:Tl,1.0000,line
G1S24_Bi207_P5,G1S24,known,23.3534,4.8325,0.993080,-0.238,0,0,0,1,"НАЙДЕНА, применена",1,1,1,12,8,218,219,,0,,278.9819,,13.724,sample,"распад 1, атомных 2, линий 20; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1770, DE-1770, SE-1460, DE-1460",1,0,0,2,4,-0.696,"опор 4; усиление 0.99308, ноль -0.70 кэВ (-0.238 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 1.35 кэВ калибровки, свет -5.09 кэВ (по съёмке: опор 2 из 4 (77.1…570.7 кэВ), нуль света кан 1.76), растяжение 0.99638 по 1770.2 кэВ",NaI:Tl,1.0000,line
G1S24_Cd109_P5,G1S24,known,3.2200,1.7944,0.999145,-0.507,0,0,0,1,"НАЙДЕНА, применена",1,1,1,3,3,68,63,,0,,18.3509,,54.312,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 6; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.524,"опор 2; усиление 0.99915, ноль -1.52 кэВ (-0.507 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -6.70 кэВ калибровки, свет -1.66 кэВ (по съёмке: опор 2 из 2 (24.0…91.7 кэВ), нуль света кан 0.61), растяжение 1.05621 по 88.0 кэВ",NaI:Tl,1.0000,line
G1S24_Co60_P5,G1S24,known,11.7012,3.4207,1.001380,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,12,7,143,156,,0,,100.8607,,13.797,sample,"распад 1, атомных 1, линий 10; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1332, DE-1332, SE-1173, DE-1173",1,0,0,1,2,0.000,"опор 2; усиление 1.00138, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 3.09 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 0.99768 по 1332.5 кэВ",NaI:Tl,1.0000,line
G1S24_Cs137_P5,G1S24,known,13.9427,3.7340,0.998214,-0.597,0,0,0,1,"НАЙДЕНА, применена",1,1,1,7,2,92,94,,0,,193.2999,,19.033,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.743,"опор 2; усиление 0.99821, ноль -1.74 кэВ (-0.597 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -2.95 кэВ калибровки, свет -2.34 кэВ (по съёмке: опор 2 из 2 (34.5…662.0 кэВ), нуль света кан 0.81), растяжение 1.00092 по 661.7 кэВ",NaI:Tl,1.0000,line
