spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S16_Am241_P25,G1S16,known,Am-241,single,96.481,142.00,1.2570,1.1608E+005,88805.9,3.7554E+002,7.5780E+002,,,0,100.000
G1S16_Ba133_P25,G1S16,known,Ba-133,single,97.403,176.18,1.6356,2.4864E+004,309803.5,6.4707E+001,1.3085E+002,,,0,100.000
G1S16_Cd109_P25,G1S16,known,Cd-109,single,92.652,62.81,1.1601,6.8186E+003,14556.1,2.4757E+001,5.2438E+001,,,0,100.000
G1S16_Ce139_P25,G1S16,known,Ce-139,single,93.720,65.31,1.0910,1.8547E+003,15381.0,2.7962E+001,5.6481E+001,,,0,100.000
G1S16_Co60_P25,G1S16,known,Co-60,single,94.993,251.69,1.3254,3.6633E+004,112476.8,3.4213E+001,6.9949E+001,,,0,100.000
G1S16_Cs137_P25,G1S16,known,Cs-137,single,94.972,280.93,1.3995,7.4359E+004,186773.7,5.5679E+001,1.1380E+002,,,0,100.000
G1S16_Eu152_P25,G1S16,known,Eu-152,single,92.377,189.90,1.8517,2.8679E+004,626563.8,9.9612E+001,2.0046E+002,,,0,100.000
G1S16_Mn54_P25,G1S16,known,Mn-54,single,92.680,190.76,1.2568,2.8246E+004,55795.6,6.0538E+001,1.2302E+002,,,0,100.000
G1S16_Na22_P25,G1S16,known,Na-22,single,27.816,154.17,2.0905,6.5489E+004,88231.3,1.2998E+002,2.6693E+002,,,0,16.880
G1S16_Na22_P25,G1S16,known,Ann-511,nuisance,64.813,233.46,2.0905,1.3825E+005,434474.5,,,,,0,83.120
G1S16_Th228_P25,G1S16,known,Th-228,single,0.821,90.60,1.0887,2.3080E+003,474.3,2.9139E+001,5.8655E+001,,,0,1.198
G1S16_Th228_P25,G1S16,known,Ra-224,single,2.546,90.60,1.0887,2.3080E+003,1229.1,,,,,0,3.105
G1S16_Th228_P25,G1S16,known,Rn-220,single,0.056,90.60,1.0887,2.3080E+003,15.4,,,,,0,0.039
G1S16_Th228_P25,G1S16,known,Po-216,single,0.001,90.60,1.0887,2.3080E+003,0.2,,,,,0,0.001
G1S16_Th228_P25,G1S16,known,Pb-212,single,43.302,90.60,1.0887,2.3080E+003,22687.2,,,,,0,57.308
G1S16_Th228_P25,G1S16,known,Bi-212,single,7.761,90.60,1.0887,2.3080E+003,3284.7,,,,,0,8.297
G1S16_Th228_P25,G1S16,known,Tl-208,single,39.359,90.60,1.0887,2.3080E+003,11897.5,,,,,0,30.053
G1S16_Y88_P25,G1S16,known,Y-88,single,100.000,47.68,1.0346,6.0145E+002,3642.9,1.3533E+001,2.7477E+001,,,0,100.000
G1S16_Am241_P5,G1S16,known,Am-241,single,97.900,226.15,1.6422,9.1375E+004,620595.7,7.2012E+001,1.4547E+002,,,0,100.000
G1S16_Ba133_P5,G1S16,known,Ba-133,single,98.176,172.48,3.3929,2.0876E+004,4031420.8,4.4034E+001,8.8780E+001,,,0,100.000
G1S16_Cd109_P5,G1S16,known,Cd-109,single,95.908,80.15,1.8928,6.0111E+003,213679.0,8.7909E+000,1.8067E+001,,,0,100.000
G1S16_Ce139_P5,G1S16,known,Ce-139,single,93.120,116.92,1.8095,1.5380E+003,210734.1,3.9906E+000,8.1393E+000,,,0,100.000
G1S16_Co57_P5,G1S16,known,Co-57,single,89.131,61.16,1.0038,6.3017E+001,6473.5,6.2012E-001,1.2706E+000,,,0,100.000
G1S16_Co60_P5,G1S16,known,Co-60,single,94.758,293.19,3.0995,3.1883E+004,798512.8,2.1356E+001,4.3564E+001,,,0,100.000
G1S16_Cs137_P5,G1S16,known,Cs-137,single,94.561,391.01,2.8735,6.3928E+004,2177953.7,1.7808E+001,3.6468E+001,,,0,100.000
G1S16_Cs137_P5,G1S16,known,pile-up,nuisance,0.102,6.18,2.8735,2.2865E+000,0.0,,,,,0,0.000
G1S16_Eu152_P5,G1S16,known,Eu-152,single,93.435,179.97,3.7389,2.2921E+004,3740648.2,5.5111E+001,1.1095E+002,,,0,100.000
G1S16_Mn54_P5,G1S16,known,Mn-54,single,97.452,248.79,1.6923,2.4713E+004,207921.7,1.2096E+001,2.5065E+001,,,0,100.000
G1S16_Na22_P5,G1S16,known,Na-22,single,25.777,117.75,3.7059,5.5701E+004,305746.0,1.3975E+002,2.8793E+002,,,0,14.756
G1S16_Na22_P5,G1S16,known,Ann-511,nuisance,67.671,188.65,3.7059,1.2783E+005,1766207.2,,,,,0,85.244
G1S16_Th228_P5,G1S16,known,Th-228,single,0.966,119.03,2.1143,1.8958E+003,3320.8,8.0632E+000,1.6369E+001,,,0,1.356
G1S16_Th228_P5,G1S16,known,Ra-224,single,2.651,119.03,2.1143,1.8958E+003,7630.3,,,,,0,3.116
G1S16_Th228_P5,G1S16,known,Rn-220,single,0.050,119.03,2.1143,1.8958E+003,83.0,,,,,0,0.034
G1S16_Th228_P5,G1S16,known,Po-216,single,0.001,119.03,2.1143,1.8958E+003,1.1,,,,,0,0.000
G1S16_Th228_P5,G1S16,known,Pb-212,single,47.447,119.03,2.1143,1.8958E+003,149180.5,,,,,0,60.923
G1S16_Th228_P5,G1S16,known,Bi-212,single,7.492,119.03,2.1143,1.8958E+003,20387.1,,,,,0,8.326
G1S16_Th228_P5,G1S16,known,Tl-208,single,35.557,119.03,2.1143,1.8958E+003,64264.2,,,,,0,26.245
G1S16_Y88_P5,G1S16,known,Y-88,single,93.479,94.92,1.1571,5.5876E+002,14160.1,2.4322E+000,5.0216E+000,,,0,97.273
G1S16_Y88_P5,G1S16,known,Ann-511,nuisance,1.522,5.95,1.1571,1.4382E+001,397.0,,,,,0,2.727
