spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
ASN16_Th232,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,19,12,984,969,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 1, атомных 4, линий 131; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1588, DE-1588, SE-1631, DE-1631",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Charoite,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,18,12,155,219,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 3, линий 91; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 4; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-1764, DE-1764, SE-2204, DE-2204, SE-2448, DE-2448",0,0,0,-1,0,0.000,,,0.0000,
ASN16_UGlass,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,10,5,245,219,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 3, линий 232; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 6; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Granite,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,16,12,27,31,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 3, атомных 2, линий 408; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 10; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1764, DE-1764, SE-2204, DE-2204",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Charoite_v2,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,16,13,26,31,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 3, атомных 3, линий 192; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 4; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1764, DE-1764, SE-2204, DE-2204",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Th232_Am241,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,22,11,33,31,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 2, линий 119; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1588, DE-1588, SE-1631, DE-1631",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Am241,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,13,3,20,16,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 1, атомных 2, линий 6; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Cs137,ASN16,unknown,28.4941,5.3380,1.000000,0.000,0,0,0,0,файла нет,0,1,1,13,3,445,453,,0,,652.1012,,14.676,sample,"распад 1, атомных 2, линий 14; полоса сведена ПОЛОМ ПО КРИВОЙ 16.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",0,0,0,2,0,0.000,привязки нет: без матрицы отклика синего канала нет,,0.0000,
ASN16_Cs137_10cm,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,5,2,21,16,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 1, атомных 1, линий 9; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",0,0,0,-1,0,0.000,,,0.0000,
ASN16_BrazilNuts,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,14,12,20,16,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 3, линий 91; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 4; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-1764, DE-1764, SE-2204, DE-2204, SE-2448, DE-2448",0,0,0,-1,0,0.000,,,0.0000,
