spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
G1S24_Cs137_P25,G1S24,known,Cs-137,32.193,33.219,33.174,-0.045,0.153,0.7202,166.47,10,16,1,,2.462
G1S24_Cs137_P25,G1S24,known,Cs-137,661.657,663.314,663.408,0.093,0.941,0.9788,551.43,213,245,1,,0.000
G1S24_Na22_P25,G1S24,known,Ann-511,511.000,503.447,503.545,0.099,0.785,0.9219,1120.77,166,192,1,,1.268
G1S24_Na22_P25,G1S24,known,Na-22,1274.537,1262.630,1262.478,-0.153,1.386,0.9763,527.99,409,455,1,,-5.258
G1S24_Th228_P25,G1S24,known,Th-228,39.857,40.788,,,,0.0905,-0.93,13,19,0,z,0.000
G1S24_Th228_P25,G1S24,known,Th-228,77.108,79.017,79.218,0.201,0.252,0.6089,324.44,26,34,1,,3.819
G1S24_Th228_P25,G1S24,known,Th-228,115.183,118.412,142.630,24.218,2.378,0.0431,10.83,38,50,0,share,3.425
G1S24_Th228_P25,G1S24,known,Th-228,166.410,168.179,176.393,8.214,2.494,0.0059,6.18,54,68,0,share,3.131
G1S24_Th228_P25,G1S24,known,Th-228,238.632,240.234,240.703,0.469,0.494,0.7722,444.19,77,95,1,,2.719
G1S24_Th228_P25,G1S24,known,Th-228,300.087,300.275,299.893,-0.382,0.642,0.2159,60.60,95,115,0,share,2.484
G1S24_Th228_P25,G1S24,known,Th-228,510.770,511.940,511.950,0.011,0.818,0.4996,116.66,166,192,0,share,1.270
G1S24_Th228_P25,G1S24,known,Th-228,583.187,585.805,583.830,-1.975,0.873,0.8372,261.36,189,219,1,,0.707
G1S24_Th228_P25,G1S24,known,Th-228,727.330,729.367,727.433,-1.934,1.040,0.6224,90.27,235,269,1,,-0.463
G1S24_Th228_P25,G1S24,known,Th-228,860.557,861.088,860.051,-1.037,1.203,0.5742,61.45,278,314,1,,-1.522
G1S24_Th228_P25,G1S24,known,Th-228,1078.620,1078.265,1068.124,-10.142,6.651,0.1317,6.02,347,389,0,share,-3.454
G1S24_Th228_P25,G1S24,known,Th-228,1620.500,1618.173,1610.985,-7.188,5.105,0.1273,9.39,520,574,0,share,-8.165
G1S24_Th228_P25,G1S24,known,Th-228,1806.000,1809.314,,,,0.0088,-2.79,581,639,0,z,0.000
G1S24_Th228_P25,G1S24,known,Th-228,2614.511,2607.976,2612.986,5.010,2.225,0.9577,152.66,839,911,1,,-17.385
G1S24_Y88_P25,G1S24,known,Ann-511,511.000,514.145,506.831,-7.313,1.525,0.1191,19.28,166,194,0,share,1.268
G1S24_Y88_P25,G1S24,known,Y-88,898.042,899.431,899.382,-0.050,1.140,0.8746,249.91,289,327,1,,-1.846
G1S24_Y88_P25,G1S24,known,Y-88,1836.063,1834.966,1835.046,0.081,1.736,0.9742,193.78,589,647,1,,-10.024
G1S24_Am241_P5,G1S24,known,Am-241,26.345,16.533,1.301,-15.232,0.889,0.2513,18.99,8,12,0,share,2.284
G1S24_Am241_P5,G1S24,known,Am-241,59.541,56.350,56.350,0.000,0.214,0.9439,1619.86,20,28,1,,3.843
G1S24_Ba133_P5,G1S24,known,Ba-133,30.973,26.831,26.907,0.077,0.134,0.8138,1272.49,10,14,1,,2.444
G1S24_Ba133_P5,G1S24,known,Ba-133,53.162,52.409,55.971,3.562,0.203,0.1987,97.15,18,24,0,share,3.697
G1S24_Ba133_P5,G1S24,known,Ba-133,80.998,78.560,81.508,2.948,0.242,0.8202,1047.47,26,34,0,outlier,3.778
G1S24_Ba133_P5,G1S24,known,Ba-133,160.612,159.028,157.141,-1.887,0.386,0.0379,132.00,52,66,0,share,3.178
G1S24_Ba133_P5,G1S24,known,Ba-133,302.851,301.704,301.441,-0.262,0.565,0.5340,465.92,98,118,1,,2.469
G1S24_Ba133_P5,G1S24,known,Ba-133,356.013,356.033,356.245,0.212,0.630,0.7946,1037.43,116,138,1,,2.120
G1S24_Bi207_P5,G1S24,known,Bi-207,74.970,81.855,81.993,0.138,0.248,0.7354,1604.37,25,33,1,,3.836
G1S24_Bi207_P5,G1S24,known,Bi-207,569.698,570.254,569.690,-0.564,0.864,0.8966,1399.28,184,214,1,,0.819
G1S24_Bi207_P5,G1S24,known,Bi-207,1063.656,1055.107,1057.691,2.584,1.275,0.9531,921.74,342,384,1,,-3.323
G1S24_Bi207_P5,G1S24,known,Bi-207,1460.000,1443.839,,,,0.2841,-2.95,467,519,0,z,0.000
G1S24_Bi207_P5,G1S24,known,Bi-207,1770.228,1747.794,1745.230,-2.564,1.722,0.8785,217.41,567,625,1,,-9.447
G1S24_Cd109_P5,G1S24,known,Cd-109,22.163,18.998,18.849,-0.149,0.115,0.7835,135.54,7,11,1,,2.093
G1S24_Cd109_P5,G1S24,known,Cd-109,88.034,90.360,90.574,0.213,0.268,0.7540,132.17,29,39,1,,3.727
G1S24_Co60_P5,G1S24,known,Ann-511,511.000,515.925,515.155,-0.770,16.138,0.0062,1.52,166,194,0,z,1.268
G1S24_Co60_P5,G1S24,known,Co-60,1173.228,1171.615,1171.114,-0.501,1.358,0.8779,764.72,377,423,1,,-4.309
G1S24_Co60_P5,G1S24,known,Co-60,1332.492,1328.198,1328.595,0.397,1.464,0.9659,753.17,429,477,1,,-5.821
G1S24_Cs137_P5,G1S24,known,Cs-137,32.193,32.185,32.179,-0.005,0.144,0.6503,399.81,10,16,1,,2.462
G1S24_Cs137_P5,G1S24,known,Cs-137,661.657,659.018,658.999,-0.019,0.943,0.9873,1356.18,215,247,1,,0.000
G1S24_Eu152_P5,G1S24,known,Eu-152,40.117,38.915,39.112,0.197,0.162,0.7143,2355.09,13,19,1,,2.871
G1S24_Eu152_P5,G1S24,known,Eu-152,121.782,122.092,125.119,3.026,0.317,0.7511,2073.07,39,51,0,outlier,3.333
G1S24_Eu152_P5,G1S24,known,Eu-152,244.697,244.652,243.797,-0.855,0.494,0.4061,760.32,79,97,0,share,2.705
G1S24_Eu152_P5,G1S24,known,Eu-152,344.279,345.225,345.579,0.354,0.618,0.7820,1671.12,112,134,1,,2.207
G1S24_Eu152_P5,G1S24,known,Eu-152,443.961,445.230,444.306,-0.924,0.731,0.2120,222.15,144,168,0,share,1.702
G1S24_Eu152_P5,G1S24,known,Eu-152,563.986,575.808,573.153,-2.655,0.927,0.0812,69.98,187,215,0,share,0.865
G1S24_Eu152_P5,G1S24,known,Eu-152,688.670,686.527,689.572,3.046,1.000,0.0963,105.96,222,254,0,share,-0.185
G1S24_Eu152_P5,G1S24,known,Eu-152,778.905,780.564,779.903,-0.660,1.049,0.4905,591.22,253,287,0,share,-0.855
G1S24_Eu152_P5,G1S24,known,Eu-152,867.380,870.751,873.571,2.820,1.143,0.2118,164.26,281,319,0,share,-1.580
G1S24_Eu152_P5,G1S24,known,Eu-152,964.057,966.876,966.505,-0.371,1.201,0.5602,603.63,312,352,1,,-2.442
G1S24_Eu152_P5,G1S24,known,Eu-152,1112.076,1102.883,1102.170,-0.714,1.303,0.6949,837.18,355,399,1,,-3.752
G1S24_Eu152_P5,G1S24,known,Eu-152,1408.013,1411.463,1411.681,0.218,1.514,0.8796,749.61,455,505,1,,-6.428
G1S24_Na22_P5,G1S24,known,Ann-511,511.000,517.594,516.866,-0.727,0.846,0.9446,2937.42,165,195,1,,1.268
G1S24_Na22_P5,G1S24,known,Na-22,1274.537,1254.364,1255.184,0.820,1.422,0.9336,1230.15,411,459,1,,-5.258
G1S24_Th228_P5,G1S24,known,Th-228,39.857,32.308,-15.621,-47.929,0.153,0.1062,17.30,14,20,0,share,2.839
G1S24_Th228_P5,G1S24,known,Th-228,77.108,70.657,70.287,-0.370,0.236,0.6695,1943.41,27,35,1,,3.819
G1S24_Th228_P5,G1S24,known,Th-228,115.183,110.388,118.221,7.834,0.302,0.0717,244.21,39,49,0,share,3.425
G1S24_Th228_P5,G1S24,known,Th-228,166.410,161.274,,,,0.0098,-140.89,56,68,0,z,0.000
G1S24_Th228_P5,G1S24,known,Th-228,238.632,234.471,234.766,0.294,0.474,0.8338,2457.72,79,95,1,,2.719
G1S24_Th228_P5,G1S24,known,Th-228,300.087,295.323,295.150,-0.173,0.546,0.2871,362.05,97,115,0,share,2.484
G1S24_Th228_P5,G1S24,known,Th-228,510.770,510.694,510.582,-0.113,0.786,0.5281,591.18,167,193,1,,1.270
G1S24_Th228_P5,G1S24,known,Th-228,583.187,585.766,585.259,-0.507,0.859,0.8369,1257.14,191,219,1,,0.707
G1S24_Th228_P5,G1S24,known,Th-228,727.330,732.024,731.886,-0.139,0.997,0.6217,483.18,238,270,1,,-0.463
G1S24_Th228_P5,G1S24,known,Th-228,860.557,865.867,867.662,1.795,1.114,0.5182,324.18,280,316,1,,-1.522
G1S24_Th228_P5,G1S24,known,Th-228,1078.620,1086.267,1105.560,19.292,1.542,0.1179,47.80,348,390,0,share,-3.454
G1S24_Th228_P5,G1S24,known,Th-228,1620.500,1635.481,1648.253,12.772,1.830,0.1259,59.31,523,577,0,share,-8.165
G1S24_Th228_P5,G1S24,known,Th-228,1806.000,1823.675,1941.434,117.759,37.952,0.0088,3.29,583,641,0,z,-9.759
G1S24_Th228_P5,G1S24,known,Th-228,2614.511,2640.363,2640.464,0.101,2.197,0.9163,682.93,848,922,1,,-17.385
G1S24_Y88_P5,G1S24,known,Ann-511,511.000,503.493,501.066,-2.427,0.863,0.1295,58.22,167,193,0,share,1.268
G1S24_Y88_P5,G1S24,known,Y-88,898.042,894.763,894.827,0.064,1.130,0.8731,734.31,291,329,1,,-1.846
G1S24_Y88_P5,G1S24,known,Y-88,1836.063,1844.179,1844.136,-0.044,1.773,0.9662,557.70,594,652,1,,-10.024
G1S24_Zn65_P5,G1S24,known,Ann-511,511.000,512.823,514.489,1.665,1.325,0.4576,19.62,167,193,0,share,1.268
G1S24_Zn65_P5,G1S24,known,Zn-65,1115.539,1116.909,1116.928,0.018,1.355,0.9825,82.88,359,403,1,,-3.783
