spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
AS80_Th232Medal,AS80x80,known,Th-232,39.857,33.968,,,,0.0075,-132.21,114,140,0,z,0.000
AS80_Th232Medal,AS80x80,known,Xray-Pb,74.969,69.632,71.565,1.932,0.157,0.4554,668.28,200,242,0,share,3.837
AS80_Th232Medal,AS80x80,known,Xray-Pb,86.022,82.840,81.008,-1.831,0.179,0.2006,344.38,235,281,0,share,3.744
AS80_Th232Medal,AS80x80,known,Th-232,129.065,127.828,130.524,2.697,0.285,0.0385,49.42,342,406,0,share,3.324
AS80_Th232Medal,AS80x80,known,Th-232,153.977,152.394,150.838,-1.556,0.461,0.0140,22.28,403,477,0,share,3.224
AS80_Th232Medal,AS80x80,known,Th-232,238.632,238.732,239.158,0.426,0.389,0.5419,1048.93,618,724,1,,2.719
AS80_Th232Medal,AS80x80,known,Th-232,270.245,274.596,272.888,-1.708,0.470,0.1188,74.16,710,828,0,share,2.622
AS80_Th232Medal,AS80x80,known,Th-232,300.087,301.275,304.958,3.683,0.516,0.0951,66.97,776,904,0,share,2.484
AS80_Th232Medal,AS80x80,known,Th-232,338.320,339.353,341.765,2.412,0.516,0.3447,451.44,875,1015,0,share,2.249
AS80_Th232Medal,AS80x80,known,Th-232,409.462,415.408,413.706,-1.702,0.789,0.0749,35.28,1070,1236,0,share,1.888
AS80_Th232Medal,AS80x80,known,Th-232,463.004,470.011,469.609,-0.402,0.695,0.1581,121.89,1212,1396,0,share,1.588
AS80_Th232Medal,AS80x80,known,Th-232,510.770,517.970,522.030,4.059,0.745,0.2200,173.26,1332,1532,0,share,1.270
AS80_Th232Medal,AS80x80,known,Th-232,583.187,593.985,585.314,-8.671,0.826,0.5432,616.99,1525,1749,0,outlier,0.707
AS80_Th232Medal,AS80x80,known,Th-232,727.330,744.661,736.229,-8.432,1.029,0.2474,177.26,1912,2182,0,share,-0.463
AS80_Th232Medal,AS80x80,known,Th-232,794.947,801.133,812.660,11.526,1.124,0.2183,121.73,2047,2333,0,share,-0.982
AS80_Th232Medal,AS80x80,known,Th-232,911.204,931.353,911.694,-19.659,1.256,0.4465,434.27,2382,2708,0,share,-1.962
AS80_Th232Medal,AS80x80,known,Th-232,1078.620,1112.879,1112.188,-0.691,1.603,0.0460,66.74,2808,3180,0,share,-3.454
AS80_Th232Medal,AS80x80,known,Th-232,1247.080,1279.473,,,,0.0291,-8.55,3202,3618,0,z,0.000
AS80_Th232Medal,AS80x80,known,Th-232,1588.200,1643.922,1630.817,-13.105,2.177,0.2892,112.99,4032,4538,0,share,-7.895
AS80_Th232Medal,AS80x80,known,Th-232,2614.511,2653.769,2652.427,-1.342,2.107,0.7661,389.58,6580,7342,1,,-17.385
AS80_Cs137_0cm,AS80x80,known,Cs-137,32.193,27.050,,,,0.7305,-44.21,74,94,0,z,0.000
AS80_Cs137_0cm,AS80x80,known,Cs-137,661.657,654.526,654.516,-0.010,0.918,0.9660,1655.79,1680,1932,1,,0.000
AS80_Lu176,AS80x80,known,Lu-176,55.786,52.488,,,,0.2166,-55.24,141,189,0,z,0.000
AS80_Lu176,AS80x80,known,Lu-176,88.340,85.383,85.609,0.227,0.294,0.1343,38.14,223,287,0,share,3.724
AS80_Lu176,AS80x80,known,Lu-176,201.830,200.038,200.314,0.276,0.401,0.7295,306.49,514,622,1,,2.759
AS80_Lu176,AS80x80,known,Lu-176,306.780,305.167,304.853,-0.314,0.525,0.8542,383.78,782,924,1,,2.447
