== co60: файлов ВЫКЛ 1, ВКЛ 1
   кэВ           CF ВЫКЛ     CF ВКЛ ВКЛ/ВЫКЛ        σ    σ-ед.   I
   1173.23        1.0309     1.0303   0.9995   0.0023     -0.2   0.999
   1332.49        1.0302     1.0341   1.0038   0.0025      1.6   1
   Σ 2505.69        3274       3629   1.1084   0.0267      4.5   сумм-пик на линии 2505.692 (AreasCoi−Areas; Areas 0/0)
== y88: файлов ВЫКЛ 2, ВКЛ 2
   кэВ           CF ВЫКЛ     CF ВКЛ ВКЛ/ВЫКЛ        σ    σ-ед.   I
   898.04         1.0289     1.0264   0.9976   0.0015     -1.6   0.937
   1836.06        1.0351     1.0285   0.9936   0.0020     -3.1   0.992
   2734.00        0.2909     0.2833   0.9738   0.0535     -0.5   0.00715
   Σ 912.14           37         42   1.1351   0.2559      0.6   сумм-пик (таблица)
   Σ 912.21          103         79   0.7670   0.1147     -1.6   сумм-пик (таблица)
   Σ 913.87           97         80   0.8247   0.1246     -1.2   сумм-пик (таблица)
   Σ 1850.23          56         35   0.6250   0.1347     -1.7   сумм-пик (таблица)
   Σ 1851.89          44         46   1.0455   0.2205      0.2   сумм-пик (таблица)
   Σ 2347.06          35         38   1.0857   0.2544      0.4   сумм-пик (таблица)
   Σ 2734.00        5777       5715   0.9893   0.0248     -0.4   сумм-пик на линии 2734.000 (AreasCoi−Areas; Areas 2370/2259)
== cs134: файлов ВЫКЛ 1, ВКЛ 1
   кэВ           CF ВЫКЛ     CF ВКЛ ВКЛ/ВЫКЛ        σ    σ-ед.   I
   475.37         1.0827     1.0569   0.9762   0.0169     -1.4   0.0148
   563.25         1.0738     1.0638   0.9907   0.0079     -1.2   0.0834
   569.33         1.0829     1.0835   1.0005   0.0059      0.1   0.154
   604.72         1.0464     1.0465   1.0001   0.0024      0.0   0.976
   795.86         1.0471     1.0506   1.0033   0.0029      1.1   0.855
   801.95         1.0766     1.0723   0.9960   0.0093     -0.4   0.0869
   1038.61        1.0791     1.0369   0.9609   0.0305     -1.2   0.0099
   1167.97        1.1054     1.1400   1.0314   0.0263      1.2   0.0179
   1365.18        0.8279     0.8236   0.9949   0.0220     -0.2   0.0302
   Σ 636.91           27         32   1.1852   0.3097      0.7   сумм-пик (таблица)
   Σ 1080.09         130        104   0.8000   0.1052     -1.5   сумм-пик (таблица)
   Σ 1174.05        1141       1081   0.9474   0.0402     -1.2   сумм-пик (таблица)
   Σ 1400.58        4499       4810   1.0691   0.0222      3.3   сумм-пик (таблица)
   Σ 1406.67         360        356   0.9889   0.0739     -0.1   сумм-пик (таблица)
   Σ 1643.33          52         36   0.6923   0.1501     -1.4   сумм-пик (таблица)
   Σ 1969.91         128        173   1.3516   0.1576      3.0   сумм-пик (таблица)
== eu152: файлов ВЫКЛ 1, ВКЛ 1
   кэВ           CF ВЫКЛ     CF ВКЛ ВКЛ/ВЫКЛ        σ    σ-ед.   I
   121.78         1.0893     1.0869   0.9978   0.0026     -0.9   0.285
   244.70         1.1299     1.1326   1.0023   0.0059      0.4   0.0755
   344.28         1.0283     1.0234   0.9952   0.0034     -1.4   0.266
   367.79         1.1162     1.0783   0.9661   0.0198     -1.7   0.00859
   411.12         1.0686     1.0965   1.0262   0.0135      2.0   0.0224
   443.96         1.1107     1.0791   0.9716   0.0119     -2.3   0.0283
   688.67         1.0763     1.0608   0.9856   0.0274     -0.5   0.00856
   778.90         1.0532     1.0438   0.9910   0.0074     -1.2   0.129
   867.38         1.1533     1.1614   1.0070   0.0145      0.5   0.0423
   964.06         1.1030     1.1042   1.0011   0.0080      0.1   0.145
   1005.27        1.1362     1.2430   1.0941   0.0436      2.4   0.00659
   1085.84        1.0757     1.0793   1.0034   0.0101      0.3   0.101
   1089.74        1.0402     0.9986   0.9600   0.0231     -1.7   0.0173
   1112.08        1.0998     1.0851   0.9866   0.0088     -1.5   0.137
   1212.95        1.1586     1.1344   0.9791   0.0288     -0.7   0.0141
   1299.14        1.0451     1.1275   1.0789   0.0297      2.9   0.0163
   1408.01        1.0807     1.0978   1.0158   0.0082      2.0   0.209
   Σ 79.04           321        325   1.0125   0.0797      0.2   сумм-пик (таблица)
   Σ 79.64          1188       1163   0.9790   0.0404     -0.5   сумм-пик (таблица)
   Σ 80.24          1107       1188   1.0732   0.0448      1.8   сумм-пик (таблица)
   Σ 84.82           144        132   0.9167   0.1105     -0.7   сумм-пик (таблица)
   Σ 84.94           256        259   1.0117   0.0892      0.1   сумм-пик (таблица)
   Σ 85.41           226        243   1.0752   0.0994      0.8   сумм-пик (таблица)
   Σ 85.53           462        459   0.9935   0.0655     -0.1   сумм-пик (таблица)
   Σ 86.10            91         91   1.0000   0.1482      0.0   сумм-пик (таблица)
   Σ 86.23            31         28   0.9032   0.2355     -0.4   сумм-пик (таблица)
   Σ 86.70           156        161   1.0321   0.1159      0.3   сумм-пик (таблица)
   Σ 86.82            59         51   0.8644   0.1653     -0.7   сумм-пик (таблица)
   Σ 90.71            33         47   1.4242   0.3235      1.9   сумм-пик (таблица)
   Σ 90.83            37         49   1.3243   0.2884      1.5   сумм-пик (таблица)
   Σ 91.99            41         43   1.0488   0.2289      0.2   сумм-пик (таблица)
   Σ 161.30         2556       2589   1.0129   0.0282      0.5   сумм-пик (таблица)
   Σ 161.90         4734       4780   1.0097   0.0207      0.5   сумм-пик (таблица)
   Σ 167.08          534        526   0.9850   0.0605     -0.2   сумм-пик (таблица)
   Σ 167.20          953        953   1.0000   0.0458      0.0   сумм-пик (таблица)
   Σ 168.36          359        327   0.9109   0.0696     -1.2   сумм-пик (таблица)
   Σ 168.49          126        121   0.9603   0.1222     -0.3   сумм-пик (таблица)
   Σ 284.22          728        687   0.9437   0.0502     -1.1   сумм-пик (таблица)
   Σ 284.82         1279       1244   0.9726   0.0387     -0.7   сумм-пик (таблица)
   Σ 289.99          153        123   0.8039   0.0974     -1.6   сумм-пик (таблица)
   Σ 290.11          262        258   0.9847   0.0864     -0.2   сумм-пик (таблица)
   Σ 291.28          103         82   0.7961   0.1178     -1.4   сумм-пик (таблица)
   Σ 291.40           36         38   1.0556   0.2455      0.2   сумм-пик (таблица)
   Σ 335.46           40         36   0.9000   0.2068     -0.4   сумм-пик (таблица)
   Σ 336.06           64         54   0.8438   0.1559     -0.8   сумм-пик (таблица)
   Σ 366.48         1502       1608   1.0706   0.0384      2.0   сумм-пик (таблица)
   Σ 406.60           30         24   0.8000   0.2191     -0.7   сумм-пик (таблица)
   Σ 417.72           82         59   0.7195   0.1228     -1.6   сумм-пик (таблица)
   Σ 483.48          140        188   1.3429   0.1499      3.1   сумм-пик (таблица)
   Σ 484.08          249        251   1.0080   0.0902      0.1   сумм-пик (таблица)
   Σ 484.13           36         25   0.6944   0.1808     -1.2   сумм-пик (таблица)
   Σ 489.38           77         66   0.8571   0.1438     -0.9   сумм-пик (таблица)
   Σ 528.80           29         36   1.2414   0.3097      1.0   сумм-пик (таблица)
   Σ 540.64           23         35   1.5217   0.4085      1.9   сумм-пик (таблица)
   Σ 565.74          202        211   1.0446   0.1028      0.5   сумм-пик (таблица)
   Σ 604.10           35         39   1.1143   0.2594      0.5   сумм-пик (таблица)
   Σ 610.46           35         48   1.3714   0.3048      1.7   сумм-пик (таблица)
   Σ 615.32           17         34   2.0000   0.5941      3.4   сумм-пик (таблица)
   Σ 685.77           32         25   0.7812   0.2085     -0.8   сумм-пик (таблица)
   Σ 712.07          171        160   0.9357   0.1029     -0.6   сумм-пик (таблица)
   Σ 728.79           59         64   1.0847   0.1958      0.5   сумм-пик (таблица)
   Σ 755.40          400        434   1.0850   0.0752      1.2   сумм-пик (таблица)
   Σ 759.46           31         21   0.6774   0.1915     -1.1   сумм-пик (таблица)
   Σ 821.90           21         31   1.4762   0.4172      1.7   сумм-пик (таблица)
   Σ 906.90          123        121   0.9837   0.1260     -0.1   сумм-пик (таблица)
   Σ 907.50          217        227   1.0461   0.0993      0.5   сумм-пик (таблица)
   Σ 912.67           30         26   0.8667   0.2322     -0.5   сумм-пик (таблица)
   Σ 912.79           50         39   0.7800   0.1666     -1.0   сумм-пик (таблица)
   Σ 959.45           31         24   0.7742   0.2105     -0.8   сумм-пик (таблица)
   Σ 989.16          280        261   0.9321   0.0802     -0.8   сумм-пик (таблица)
   Σ 1003.58         359        383   1.0669   0.0784      0.9   сумм-пик (таблица)
   Σ 1004.18         692        724   1.0462   0.0556      0.9   сумм-пик (таблица)
   Σ 1009.35          74         85   1.1486   0.1826      0.9   сумм-пик (таблица)
   Σ 1009.47         148        154   1.0405   0.1198      0.4   сумм-пик (таблица)
   Σ 1010.63          41         42   1.0244   0.2249      0.1   сумм-пик (таблица)
   Σ 1022.90          43         45   1.0465   0.2232      0.2   сумм-пик (таблица)
   Σ 1045.39          29         34   1.1724   0.2964      0.7   сумм-пик (таблица)
   Σ 1123.18        1197       1111   0.9282   0.0387     -1.7   сумм-пик (таблица)
   Σ 1125.36         187        186   0.9947   0.1030     -0.1   сумм-пик (таблица)
   Σ 1125.96         330        363   1.1000   0.0837      1.3   сумм-пик (таблица)
   Σ 1131.13          32         34   1.0625   0.2617      0.3   сумм-пик (таблица)
   Σ 1131.25          76         67   0.8816   0.1477     -0.7   сумм-пик (таблица)
   Σ 1151.60         330        294   0.8909   0.0714     -1.4   сумм-пик (таблица)
   Σ 1152.19         549        562   1.0237   0.0614      0.4   сумм-пик (таблица)
   Σ 1157.37          52         54   1.0385   0.2018      0.2   сумм-пик (таблица)
   Σ 1157.49         114        125   1.0965   0.1420      0.7   сумм-пик (таблица)
   Σ 1158.65          41         39   0.9512   0.2128     -0.2   сумм-пик (таблица)
   Σ 1233.86         671        658   0.9806   0.0538     -0.4   сумм-пик (таблица)
   Σ 1252.47          37         33   0.8919   0.2136     -0.5   сумм-пик (таблица)
   Σ 1253.07          60         47   0.7833   0.1526     -1.1   сумм-пик (таблица)
   Σ 1334.73          61         54   0.8852   0.1654     -0.6   сумм-пик (таблица)
   Σ 1434.01         102         87   0.8529   0.1245     -1.0   сумм-пик (таблица)
   Σ 1447.54         359        343   0.9554   0.0721     -0.6   сумм-пик (таблица)
   Σ 1448.13         683        657   0.9619   0.0526     -0.7   сумм-пик (таблица)
   Σ 1453.31          81         79   0.9753   0.1542     -0.2   сумм-пик (таблица)
   Σ 1453.43         134        140   1.0448   0.1263      0.4   сумм-пик (таблица)
   Σ 1454.59          48         43   0.8958   0.1881     -0.5   сумм-пик (таблица)
   Σ 1529.79         899       1066   1.1858   0.0537      4.1   сумм-пик (таблица)
   Σ 1643.42         102         86   0.8431   0.1234     -1.1   сумм-пик (таблица)
