spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
contact52k,contact,3.3,Al1.0,noeq,,,303.486,16.0649,846.67,910.548,872.068,175.165,144.469,5.79046,49.6732,0.143436,0.00476807,-0.00234032,-0.0145909,-0.0261317,-0.0376302,20.6432,1.00697,-5.85701,11173.7,7090.25,7.95963,52742.3,contact52k__AS80_p88_contact_r33_al__noeq
contact52k,contact,2.8,Fe1.0,noeq,,,265.151,16.7453,843.323,878.253,863.588,173.871,146.728,4.81396,36.2825,0.122106,0.00626524,-0.00373759,-0.0138421,-0.0250476,-0.0255241,20.7542,1.00674,-6.55394,10806.4,6551.51,7.74313,52742.3,contact52k__AS80_p67_contact_r28__noeq
contact52k,contact,3.3,Fe1.0,noeq,,,299.576,15.8608,846.038,909.538,869.244,175.746,145.415,5.77912,50.0585,0.144003,0.00474854,-0.00244406,-0.0141345,-0.0254246,-0.0373994,20.3934,1.00691,-5.7673,11514.8,7231.61,7.99834,52742.3,contact52k__AS80_p67_contact_r33__noeq
contact52k,contact,3.8,Fe1.0,noeq,,,299.561,13.929,860.743,932.49,879.565,165.54,145.158,6.19356,62.6471,0.161428,0.00777538,-0.00341492,-0.0173278,-0.0174804,-0.0288929,19.9286,1.00702,-14.443,11484.7,7175.71,7.84902,52742.3,contact52k__AS80_p67_contact_r38__noeq
contact52k,contact,4.2,Fe1.0,noeq,,,168.161,7.7087,872.899,950.527,885.931,172.479,147.445,6.51259,68.7668,0.169256,0.00308745,-0.00805185,-0.0192878,-0.0161244,-0.0298981,19.841,1.00704,-14.4948,11419.1,6835.39,7.8014,52742.3,contact52k__AS80_p67_contact_r42__noeq
contact52k,contact,4.345,Fe1.0,noeq,,,,,881.215,1012.61,887.478,177.613,151.242,6.86293,75.7422,0.17778,0.00327732,-0.0109523,-0.023036,-0.0129346,-0.0186706,20.6267,1.00687,-14.5999,11961.8,7072.12,7.90885,52742.3,contact52k__AS80_p67_contact_p13__noeq
contact_cal0809,contact,3.3,Al1.0,noeq,,,942.25,27.5443,878.38,1012.67,895.804,164.926,145.347,1.68415,9.62337,0.240478,0.0183277,0.0011603,-0.0151623,-0.0156468,0.00248398,10.7917,1.00799,-12.3972,533.928,-231.029,19.278,3546.9,contact_cal0809__AS80_p88_contact_r33_al__noeq
contact_cal0809,contact,2.8,Fe1.0,noeq,,,698.53,18.5832,871.613,984.518,886.258,178.726,153,1.50108,8.28692,0.221056,0.0144408,0.00789268,-0.012643,-0.0174234,0.0153312,11.084,1.00765,-5.98513,499.316,-243.817,19.248,3546.9,contact_cal0809__AS80_p67_contact_r28__noeq
contact_cal0809,contact,3.3,Fe1.0,noeq,,,915.672,26.67,875.266,1009.43,892.487,165.545,145.873,1.69084,9.66947,0.24112,0.0193126,0.000335038,-0.0150924,-0.0160767,0.00361153,10.6895,1.00795,-12.3761,555.717,-219.197,19.2924,3546.9,contact_cal0809__AS80_p67_contact_r33__noeq
contact_cal0809,contact,3.8,Fe1.0,noeq,,,734.424,14.8152,889.155,1045.87,902.889,174.048,146.811,1.95089,10.9029,0.257707,0.0174862,2.60391e-05,-0.0167552,-0.0100749,0.0107736,10.5103,1.00792,-12.5544,541.482,-212.149,19.2732,3546.9,contact_cal0809__AS80_p67_contact_r38__noeq
