spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
contact_cal0809_bg0,contact,4.345,Fe1.0,asis,955.841,181.986,122.242,26.1981,955.841,955.841,955.841,122.242,122.242,3.24674,7.66975,0.21547,-0.0441448,-0.00850511,-0.0232125,-0.0336169,0.00932939,14.1711,1.00675,-16.9594,-454.901,224.51,27.8503,3546.9,contact_cal0809_bg0__AS80_p67_contact_p13__asis
edge1709,edge93,2.8,Al1.0,asis,849.239,127.436,50.1842,7.22981,849.239,849.239,849.239,50.1842,50.1842,7.45286,42.4915,0.474734,-0.012477,-0.0495545,-0.0946346,-0.119374,0.0437753,31.6667,1.00711,-16.4116,64831,-112093,76.9276,80070.6,edge1709__AS80_p88_edge93_r28_al__asis
edge1709,edge93,3.3,Al1.0,asis,883.665,136.022,,,883.665,883.665,883.665,,,7.71816,43.1258,0.478409,-0.0301185,-0.0711243,-0.107027,-0.111116,0.061649,34.5838,1.00706,-16.3381,65327.6,-112254,77.0468,80070.6,edge1709__AS80_p88_edge93_r33_al__asis
edge1709,edge93,3.8,Al1.0,asis,881.517,123.438,67.9516,8.63308,881.517,881.517,881.517,67.9516,67.9516,7.76518,43.6471,0.481276,-0.082323,-0.0554533,-0.0898714,-0.11718,0.0403652,33.259,1.00841,-22.7558,64575.3,-112266,77.3894,80070.6,edge1709__AS80_p88_edge93_r38_al__asis
edge1709,edge93,3.3,Fe0.5,asis,870.964,127.678,50.2475,6.69162,870.964,870.964,870.964,50.2475,50.2475,7.69521,43.1854,0.478661,-0.0459602,-0.0539739,-0.0934315,-0.11606,0.0433619,33.1549,1.00785,-18.6214,64739.6,-112153,77.4305,80070.6,edge1709__AS80_p67_edge93_r33_ring05__asis
edge1709,edge93,2.8,Fe1.0,asis,874.511,124.727,51.024,7.05253,874.511,874.511,874.511,51.024,51.024,7.51871,42.6251,0.475469,-0.0174303,-0.0504244,-0.0946202,-0.115518,0.0491501,31.2622,1.007,-16.4853,65193.5,-111808,77.033,80070.6,edge1709__AS80_p67_edge93_r28__asis
edge1709,edge93,3.3,Fe1.0,asis,879.317,113.146,75.7642,9.69884,879.317,879.317,879.317,75.7642,75.7642,7.73424,43.4258,0.479995,-0.0705018,-0.0504542,-0.0912409,-0.116649,0.0333349,31.9438,1.00824,-23.1206,64686.5,-111956,77.4503,80070.6,edge1709__AS80_p67_edge93_r33__asis
edge1709,edge93,3.8,Fe1.0,asis,904.222,122.119,69.6617,8.56861,904.222,904.222,904.222,69.6617,69.6617,7.79526,43.7178,0.481675,-0.0874873,-0.0551697,-0.0928216,-0.116166,0.0462623,32.9975,1.00843,-22.8753,65146.6,-111778,77.4965,80070.6,edge1709__AS80_p67_edge93_r38__asis
edge1709,edge93,4.2,Fe1.0,asis,935.151,125.511,,,935.151,935.151,935.151,,,7.96746,44.0232,0.483453,-0.0951701,-0.0790769,-0.116426,-0.116034,0.058625,36.1892,1.00831,-22.3134,65571.7,-111839,76.6072,80070.6,edge1709__AS80_p67_edge93_r42__asis
edge1709,edge93,4.345,Fe1.0,asis,939.629,120.571,,,939.629,939.629,939.629,,,8.10026,44.668,0.487033,-0.136347,-0.0919004,-0.128726,-0.114376,0.0627507,39.0046,1.00826,-22.3033,65409.5,-111945,76.4446,80070.6,edge1709__AS80_p67_edge93_p13__asis
