спектр               геом        ρ кольцо пл       |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль |    r1394    r1461  b1-2M
contact52k           contact  3.30 Al1.0  asis     |    783.8  236.8     58.0   18.8 |  12.891  98.28  20.4% |   -3.1%   -4.1%   -9.8%  -14.5%   -5.9% |  33.1% |  1.0298   -0.63 |    -1094     4892  17.3%
contact52k           contact  2.80 Fe1.0  asis     |    766.9  255.4     57.3   19.6 |  12.130  87.57  19.3% |   -2.6%   -4.1%  -10.4%  -14.9%   -5.5% |  33.6% |  1.0298   -1.65 |    -1016     4505  17.1%
contact52k           contact  3.30 Fe1.0  asis     |    783.7  236.7     59.1   19.2 |  12.887  97.95  20.4% |   -3.1%   -4.0%   -9.7%  -14.4%   -5.7% |  32.7% |  1.0298   -0.55 |     -806     5118  17.3%
contact52k           contact  3.80 Fe1.0  asis     |    804.7  213.9     55.5   17.6 |  13.240 102.22  20.8% |   -3.2%   -4.0%   -9.5%  -13.6%   -4.2% |  31.9% |  1.0306   -9.05 |     -778     5042  17.3%
contact52k           contact  4.20 Fe1.0  asis     |    816.6  203.9     55.1   17.1 |  13.430 104.53  21.1% |   -3.6%   -4.1%   -9.4%  -13.5%   -3.7% |  31.5% |  1.0305   -8.95 |     -635     4979  17.4%
contact52k           contact  4.34 Fe1.0  asis     |    841.7  190.1     55.4   16.7 |  13.726 103.73  21.0% |   -4.8%   -4.1%   -8.9%  -12.2%   -1.0% |  31.6% |  1.0304   -8.78 |     -157     5559  17.6%
contact_cal0809      contact  3.30 Al1.0  asis     |    912.9  188.6    130.3   30.6 |   3.269  12.31  27.5% |   -1.2%   -0.4%   -2.1%   -5.2%   -2.3% |  14.3% |  1.0043   -3.23 |     2591    -4467  36.2%
contact_cal0809      contact  2.80 Fe1.0  asis     |    894.0  203.5    116.0   27.4 |   3.054  11.04  25.9% |   +0.1%   -1.3%   -3.2%   -6.3%   -2.0% |  15.6% |  1.0043     nan |     2600    -4504  36.0%
contact_cal0809      contact  3.30 Fe1.0  asis     |    911.5  188.4    131.3   30.8 |   3.272  12.35  27.5% |   -1.2%   -0.4%   -2.0%   -5.1%   -2.1% |  14.0% |  1.0043   -3.18 |     2613    -4455  36.2%
contact_cal0809      contact  3.80 Fe1.0  asis     |    927.5  180.9    123.0   27.8 |   3.464  13.56  28.9% |   -1.7%   -0.6%   -2.4%   -4.4%   -0.4% |  13.8% |  1.0024   11.60 |     2638    -4442  36.3%
contact_cal0809      contact  4.20 Fe1.0  asis     |    934.9  171.8    115.3   25.1 |   3.670  14.28  29.7% |   -1.9%   -1.3%   -3.0%   -5.0%   -0.4% |  14.2% |  1.0068  -16.87 |     2646    -4451  36.4%
