spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
contact_cal0809_bg0,contact,4.345,Fe1.0,eq,1002.84,205.249,160.077,37.6995,1002.84,1002.84,1002.84,160.077,160.077,2.64336,6.36981,0.193252,-0.0291584,0.0164584,0.0169465,0.059406,0.0737153,8.17903,1.00697,-21.5755,-2817.48,4240.84,29.6243,3546.9,contact_cal0809_bg0__AS80_p67_contact_p13__eq
edge1709,edge93,2.8,Al1.0,eq,912.085,272.12,182.011,53.7713,912.085,912.085,912.085,182.011,182.011,1.6557,1.95969,0.0804685,-0.00289351,0.00351477,-0.00877542,-0.00886549,0.0398439,16.6653,1.00576,-9.99268,8857.14,-5595.12,30.5159,80070.6,edge1709__AS80_p88_edge93_r28_al__eq
edge1709,edge93,3.3,Al1.0,eq,959.363,274.46,186.775,50.604,959.363,959.363,959.363,186.775,186.775,1.79402,2.25,0.0918424,-0.0157553,0.00440816,0.000964024,0.00731369,0.0643597,16.3291,1.00557,-9.75585,8478.67,-6214.18,30.7911,80070.6,edge1709__AS80_p88_edge93_r33_al__eq
edge1709,edge93,3.8,Al1.0,eq,998.377,256.963,196.83,49.5939,998.377,998.377,998.377,196.83,196.83,1.90336,2.47811,0.0998717,-0.0344234,0.00389215,0.003767,0.0102218,0.0779295,15.971,1.00534,-9.61303,8552.86,-5972.21,30.7875,80070.6,edge1709__AS80_p88_edge93_r38_al__eq
edge1709,edge93,3.3,Fe0.5,eq,965.285,272.386,191.587,51.2317,965.285,965.285,965.285,191.587,191.587,1.80247,2.29687,0.0935483,-0.0182636,0.0050891,0.00181992,0.00700087,0.06713,16.1972,1.00554,-9.69531,8439.24,-6052.23,30.743,80070.6,edge1709__AS80_p67_edge93_r33_ring05__eq
edge1709,edge93,2.8,Fe1.0,eq,944.733,270.55,188.43,53.4889,944.733,944.733,944.733,188.43,188.43,1.66798,2.00807,0.0824717,-0.00557518,0.00383352,-0.00670771,-0.00260341,0.055483,15.7028,1.00561,-9.94132,9073.46,-5366.47,30.6628,80070.6,edge1709__AS80_p67_edge93_r28__eq
edge1709,edge93,3.3,Fe1.0,eq,992.696,269.911,198.157,51.5174,992.696,992.696,992.696,198.157,198.157,1.81812,2.33401,0.0948784,-0.0206326,0.00634585,-0.00127331,0.00661167,0.0776742,15.0587,1.0054,-9.56703,8768.62,-5477.09,30.6793,80070.6,edge1709__AS80_p67_edge93_r33__eq
edge1709,edge93,3.8,Fe1.0,eq,1024.39,257.347,204.768,49.981,1024.39,1024.39,1024.39,204.768,204.768,1.93221,2.5988,0.103875,-0.0398942,0.00466038,0.00184379,0.0102928,0.0876692,15.4871,1.0054,-9.65294,8847.37,-5662.69,30.926,80070.6,edge1709__AS80_p67_edge93_r38__eq
edge1709,edge93,4.2,Fe1.0,eq,1042.48,256.43,209.208,51.4511,1042.48,1042.48,1042.48,209.208,209.208,1.98788,2.7901,0.109921,-0.0607897,0.00349903,-0.000483238,0.00775798,0.0824668,16.0484,1.00537,-9.67034,8464.95,-5939.66,30.5964,80070.6,edge1709__AS80_p67_edge93_r42__eq
edge1709,edge93,4.345,Fe1.0,eq,1035.11,233.576,250.543,56.4219,1035.11,1035.11,1035.11,250.543,250.543,2.15579,3.58674,0.132128,-0.127701,-0.00884417,-0.00220477,0.00600101,0.0747726,18.1623,1.0065,-15.667,8491.09,-5593.88,30.7867,80070.6,edge1709__AS80_p67_edge93_p13__eq
edge1709,edge93,3.3,Fe2.0,eq,1024.77,264.113,210.763,51.8894,1024.77,1024.77,1024.77,210.763,210.763,1.85537,2.44032,0.0985864,-0.0258418,0.00242934,0.00233917,0.00785285,0.0852188,14.5005,1.00544,-9.78773,8226.14,-5774.06,30.433,80070.6,edge1709__AS80_p67_edge93_r33_ring20__eq
edge1709_bg0,edge93,2.8,Al1.0,eq,912.463,152.562,216.32,39.9417,912.463,912.463,912.463,216.32,216.32,6.11372,18.8055,0.327363,-0.00354646,0.0214779,0.0222869,-0.0086354,-0.00818913,15.9994,1.00657,-18.6372,-60623.8,108294,74.5396,80070.6,edge1709_bg0__AS80_p88_edge93_r28_al__eq
edge1709_bg0,edge93,3.3,Al1.0,eq,955.759,148.525,216.078,37.714,955.759,955.759,955.759,216.078,216.078,6.24307,19.1157,0.330183,-0.0177867,0.0202166,0.0319601,0.00771114,0.0105593,16.3769,1.00651,-19.0036,-60958.7,107810,74.1539,80070.6,edge1709_bg0__AS80_p88_edge93_r33_al__eq
edge1709_bg0,edge93,3.8,Al1.0,eq,986.793,140.011,225.814,37.2847,986.793,986.793,986.793,225.814,225.814,6.41984,19.5453,0.334077,-0.038294,0.0180764,0.032308,0.0111087,0.016463,16.681,1.00636,-19.1373,-60974,107964,74.5497,80070.6,edge1709_bg0__AS80_p88_edge93_r38_al__eq
