спектр               геом        ρ кольцо пл       |   Ac-228   Pb-212   Tl-208  Pb/Tl |   Pb-214   Bi-214 |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн
edge1709_bg0         edge93   3.30 Al1.0  noeq     |    922.5   1040.0    898.4  1.158 |    150.8    239.6 |   6.224  19.05  32.9% |   +1.3%   -1.7%   +2.0%   -0.6%   -3.0% |  18.9%
edge1709_bg0         edge93   3.80 Al1.0  noeq     |    948.0   1145.9    918.9  1.247 |    157.7    248.5 |   6.347  19.33  33.2% |   +1.0%   -2.1%   +1.6%   -0.5%   -3.0% |  18.9%
edge1709_bg0         edge93   3.30 Fe0.5  noeq     |    927.8   1052.7    898.6  1.171 |    151.5    244.8 |   6.284  19.18  33.1% |   +1.2%   -1.8%   +1.9%   -0.6%   -3.0% |  18.9%
edge1709_bg0         edge93   2.80 Fe1.0  noeq     |    923.6    986.9    894.7  1.103 |    149.3    245.8 |   6.171  18.96  32.9% |   +1.4%   -1.3%   +1.9%   -0.7%   -3.1% |  18.1%
edge1709_bg0         edge93   3.30 Fe1.0  noeq     |    948.0   1088.5    917.7  1.186 |    153.3    248.7 |   6.291  19.28  33.2% |   +1.2%   -1.8%   +1.4%   -0.8%   -2.7% |  18.5%
edge1709_bg0         edge93   3.80 Fe1.0  noeq     |    970.9   1194.0    937.0  1.274 |    159.5    255.6 |   6.422  19.52  33.4% |   +1.1%   -2.3%   +1.2%   -0.6%   -2.6% |  18.7%
edge1709_bg0         edge93   4.20 Fe1.0  noeq     |    990.3   1290.0    957.4  1.347 |    161.6    258.4 |   6.436  19.59  33.4% |   +0.8%   -2.5%   +1.1%   -0.7%   -2.6% |  18.8%
edge1709_bg0         edge93   4.34 Fe1.0  noeq     |   1006.0   1542.5    973.1  1.585 |    203.4    267.5 |   6.425  19.65  33.5% |   +0.6%   -3.1%   -0.0%   -0.2%   -1.5% |  19.4%
edge1709_bg0         edge93   3.30 Fe2.0  noeq     |    977.4   1142.0    936.1  1.220 |    164.0    258.5 |   6.413  19.55  33.4% |   +1.1%   -2.3%   +1.3%   -0.9%   -2.6% |  18.2%
edge93               edge93   2.80 Al1.0  noeq     |    805.8    812.4    815.4  0.996 |    140.2    144.4 |   1.411  19.88  54.4% |   +0.2%   +0.1%   -1.7%   -3.0%   +0.5% |  19.8%
edge93               edge93   3.30 Al1.0  noeq     |    830.7    916.5    830.8  1.103 |    159.0    146.9 |   1.410  19.88  54.4% |   +0.6%   +0.0%   -1.9%   -2.4%   +0.6% |  19.4%
edge93               edge93   3.80 Al1.0  noeq     |    864.5   1024.2    852.2  1.202 |    173.6    163.3 |   1.413  19.88  54.4% |   +0.6%   -0.1%   -1.7%   -1.9%   +0.9% |  18.3%
edge93               edge93   3.30 Fe0.5  noeq     |    836.7    933.9    834.2  1.119 |    161.3    151.7 |   1.404  19.87  54.4% |   +0.7%   -0.0%   -1.8%   -2.4%   +0.9% |  19.1%
edge93               edge93   2.80 Fe1.0  noeq     |    827.0    860.6    834.8  1.031 |    151.1    146.7 |   1.404  19.87  54.4% |   +0.4%   +0.1%   -1.9%   -2.7%   +1.0% |  19.2%
edge93               edge93   3.30 Fe1.0  noeq     |    856.4    968.9    853.9  1.135 |    165.7    155.5 |   1.409  19.88  54.4% |   +0.7%   -0.0%   -2.2%   -2.5%   +1.2% |  18.5%
edge93               edge93   3.80 Fe1.0  noeq     |    886.6   1071.0    876.8  1.221 |    174.7    161.9 |   1.411  19.88  54.4% |   +0.8%   -0.3%   -2.1%   -2.2%   +1.8% |  18.0%
edge93               edge93   4.20 Fe1.0  noeq     |    912.5   1168.9    893.1  1.309 |    185.2    176.1 |   1.413  19.89  54.4% |   +0.6%   -0.1%   -1.9%   -1.8%   +1.6% |  17.1%
edge93               edge93   4.34 Fe1.0  noeq     |    934.2   1389.8    908.7  1.529 |    222.0    181.9 |   1.426  19.90  54.4% |   +0.4%   -0.9%   -2.8%   -1.1%   +2.8% |  17.7%
edge93               edge93   3.30 Fe2.0  noeq     |    896.3   1017.8    881.9  1.154 |    171.9    165.0 |   1.403  19.87  54.4% |   +0.9%   -0.6%   -2.1%   -2.1%   +2.3% |  17.1%
edge93_bg0           edge93   2.80 Al1.0  noeq     |    787.6    807.5    777.9  1.038 |    131.6    246.2 |   3.499   7.00  34.4% |   +0.3%   -0.2%   +3.4%   -2.7%   -7.4% |  19.3%
edge93_bg0           edge93   3.30 Al1.0  noeq     |    809.1    911.7    801.3  1.138 |    151.1    249.3 |   3.467   6.95  34.3% |   +0.7%   -0.3%   +3.4%   -2.2%   -6.6% |  18.9%
edge93_bg0           edge93   3.80 Al1.0  noeq     |    832.1   1012.7    816.8  1.240 |    161.0    258.0 |   3.487   6.99  34.4% |   +0.7%   -0.6%   +3.1%   -2.1%   -6.6% |  18.9%
edge93_bg0           edge93   3.30 Fe0.5  noeq     |    813.0    924.8    800.1  1.156 |    151.8    253.5 |   3.480   6.97  34.3% |   +0.7%   -0.4%   +3.3%   -2.3%   -6.6% |  19.0%
edge93_bg0           edge93   2.80 Fe1.0  noeq     |    807.8    855.1    795.9  1.074 |    141.8    252.4 |   3.489   6.98  34.4% |   +0.6%   -0.3%   +3.2%   -2.5%   -6.9% |  18.6%
edge93_bg0           edge93   3.30 Fe1.0  noeq     |    833.5    957.3    817.3  1.171 |    153.2    258.1 |   3.492   6.99  34.4% |   +0.8%   -0.6%   +2.8%   -2.2%   -6.5% |  18.5%
edge93_bg0           edge93   3.80 Fe1.0  noeq     |    852.1   1063.5    835.0  1.274 |    166.3    266.2 |   3.498   7.00  34.4% |   +0.9%   -0.7%   +2.7%   -2.2%   -6.2% |  18.5%
edge93_bg0           edge93   4.20 Fe1.0  noeq     |    872.6   1150.3    856.3  1.343 |    168.2    270.6 |   3.502   7.02  34.4% |   +0.8%   -1.0%   +2.6%   -2.0%   -6.1% |  18.2%
edge93_bg0           edge93   4.34 Fe1.0  noeq     |    885.7   1375.0    867.2  1.586 |    207.7    275.1 |   3.508   7.05  34.5% |   +0.5%   -1.5%   +1.6%   -1.7%   -5.2% |  19.3%
edge93_bg0           edge93   3.30 Fe2.0  noeq     |    859.3   1014.5    835.8  1.214 |    169.4    272.2 |   3.499   7.04  34.5% |   +0.9%   -0.8%   +2.8%   -2.3%   -6.2% |  17.6%
