спектр               геом        ρ кольцо пл       |   Ac-228   Pb-212   Tl-208  Pb/Tl |   Pb-214   Bi-214 |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн
contact52k           contact  3.30 Al1.0  noeqasis |    665.3    899.4    839.7  1.071 |    118.3      nan |  11.205  53.29  15.0% |   +1.2%   -4.5%   -8.6%  -17.2%   -1.3% |  34.6%
contact52k           contact  2.80 Fe1.0  noeqasis |    668.0    863.9    832.7  1.037 |    121.7      nan |  10.238  38.78  12.7% |   +0.6%   -4.2%   -8.8%  -17.1%   -0.2% |  34.6%
contact52k           contact  3.30 Fe1.0  noeqasis |    662.9    898.1    836.7  1.073 |    118.2      nan |  11.233  53.85  15.0% |   +1.2%   -4.6%   -8.6%  -17.3%   -1.3% |  34.6%
contact52k           contact  3.80 Fe1.0  noeqasis |    668.2    910.8    844.1  1.079 |    129.1      nan |  11.692  64.85  16.5% |   +0.3%   -4.8%   -8.9%  -17.2%   -0.8% |  34.7%
contact52k           contact  4.20 Fe1.0  noeqasis |    671.7    931.3    848.5  1.098 |    130.9      nan |  11.884  70.37  17.2% |   +0.0%   -5.1%   -9.1%  -17.4%   -1.0% |  34.6%
contact52k           contact  4.34 Fe1.0  noeqasis |    666.1   1001.4    840.6  1.191 |    132.5      nan |  12.079  75.29  17.8% |   +0.2%   -5.7%   -9.9%  -17.4%   -0.4% |  35.8%
contact_cal0809      contact  3.30 Al1.0  noeqasis |    750.6   1017.8    893.6  1.139 |    192.8     54.5 |   3.054  11.54  26.5% |   +1.8%   -0.5%   -4.8%  -12.3%   -4.2% |  20.6%
contact_cal0809      contact  2.80 Fe1.0  noeqasis |    750.9    966.9    885.7  1.092 |    175.6     54.5 |   2.745  10.19  24.7% |   +1.4%   -1.0%   -5.0%  -12.2%   -2.8% |  20.6%
contact_cal0809      contact  3.30 Fe1.0  noeqasis |    749.2   1017.4    890.9  1.142 |    193.8     55.9 |   3.059  11.57  26.5% |   +1.8%   -0.5%   -4.8%  -12.3%   -4.2% |  20.3%
contact_cal0809      contact  3.80 Fe1.0  noeqasis |    744.5   1012.2    898.8  1.126 |    187.2     45.6 |   3.309  12.98  28.2% |   +2.4%   -1.7%   -5.3%  -12.6%   -3.3% |  21.8%
contact_cal0809      contact  4.20 Fe1.0  noeqasis |    750.3   1034.9    903.6  1.145 |    189.2     44.3 |   3.419  13.48  28.8% |   +2.3%   -1.9%   -5.6%  -12.6%   -3.5% |  21.7%
contact_cal0809      contact  4.34 Fe1.0  noeqasis |    760.1   1118.6    910.8  1.228 |    190.2     46.3 |   3.425  13.60  29.0% |   +2.2%   -2.2%   -5.8%  -12.2%   -2.2% |  22.1%
contact_cal0809_bg0  contact  3.30 Al1.0  noeqasis |    752.4   1018.2    894.1  1.139 |    192.6     69.9 |   2.618   4.63  15.9% |   +1.8%   -0.5%   -4.0%  -11.7%   -5.5% |  19.8%
contact_cal0809_bg0  contact  2.80 Fe1.0  noeqasis |    752.6    967.2    887.3  1.090 |    175.3     68.4 |   2.304   3.27  12.6% |   +1.4%   -0.9%   -4.2%  -11.5%   -3.9% |  20.0%
contact_cal0809_bg0  contact  3.30 Fe1.0  noeqasis |    751.1   1017.7    891.7  1.141 |    193.5     71.0 |   2.621   4.66  15.9% |   +1.8%   -0.5%   -4.0%  -11.6%   -5.4% |  19.6%
contact_cal0809_bg0  contact  3.80 Fe1.0  noeqasis |    758.2   1035.5    899.6  1.151 |    180.4     61.7 |   2.853   5.99  18.6% |   +1.6%   -1.5%   -4.6%  -11.4%   -4.6% |  20.0%
contact_cal0809_bg0  contact  4.20 Fe1.0  noeqasis |    752.7   1034.6    904.4  1.144 |    188.0     60.0 |   2.985   6.60  19.7% |   +2.3%   -1.9%   -4.8%  -12.0%   -4.7% |  21.0%
contact_cal0809_bg0  contact  4.34 Fe1.0  noeqasis |    762.3   1118.5    911.8  1.227 |    189.3     62.2 |   2.994   6.74  20.0% |   +2.3%   -2.2%   -5.0%  -11.5%   -3.4% |  21.4%
edge1709             edge93   2.80 Al1.0  noeqasis |    740.2    951.9    813.2  1.171 |      nan      nan |   7.350  42.63  47.5% |   +1.6%   -9.5%  -11.7%  -15.4%   -0.2% |  38.5%
edge1709             edge93   3.30 Al1.0  noeqasis |    758.8   1054.8    827.9  1.274 |      nan      nan |   7.506  43.08  47.8% |   +1.6%  -10.0%  -11.9%  -15.1%   -0.4% |  38.7%
edge1709             edge93   3.80 Al1.0  noeqasis |    782.3   1169.4    849.2  1.377 |      nan      nan |   7.547  43.14  47.8% |   +1.5%  -10.3%  -12.1%  -15.4%   +0.1% |  38.6%
edge1709             edge93   3.30 Fe0.5  noeqasis |    765.0   1071.9    833.9  1.285 |      nan      nan |   7.517  43.05  47.8% |   +1.6%  -10.0%  -11.9%  -15.1%   -0.1% |  38.6%
