file,phys,histories,nodes,channels,noise_median,noise_worst,nodes_empty,cone,created,seconds,stamp,body_sha256,fingerprint
AS80_lu_front.rmx,16,3000000,142,6,0.9449,1.2869,31,0,2026-09-11 21:41,560.5,phys=16;92301c2f75cbc54ef70a3aa4dfa0a9c782d0a5d0e46fa77f233888cef20ff78c,a76c774ad068e481be632b562df2e76b1a45cd63d44c55b7f41756682df8e971,сходится
AS80_point0.rmx,16,3000000,140,6,0.7962,1.0329,24,0,2026-09-11 21:47,326.2,phys=16;98c0b4a54c4d021c31959812acbefad47ced875ebb8ff8eabcc4138672f01c15,54adcfdd96225a28170dd03139f8a73b656e553917ea2e2aa029fed90d8908a9,сходится
ASN16_lu_side.rmx,16,3000000,142,6,1.1400,1.5352,29,0,2026-09-11 21:55,467.1,phys=16;d8a50ee0835b60b5d990d77916a480c05b0b551b69a5aa4ec2872264dbbcdcb2,efefc198d7e84fc5d857ca9a57450b4c1be20dd51b048f014742475d3d9c9e54,сходится
G1S_denta100_oisn10_100_p16.rmx,16,3000000,142,6,0.8896,1.1845,29,0,2026-09-11 22:06,711.9,phys=16;74ea8dc807c750f747517446727a97ac3c557f1d8bc1a96b7b8965248def1e78,06d23725466621d06e196f7a7570bb384af072ca0865774bd9a60bed6b4560bf,сходится
G1S_denta100_risn379_100_p16.rmx,16,3000000,140,6,0.7446,1.1788,25,0,2026-09-11 22:18,726.3,phys=16;f015577c4f5830e3419e61d4d872fdca96e3b4e70edace2424ae3044f388098d,72d3997b15b512fe2016547c708332cdd1393241d6525dd07b38f9b41f6a2273,сходится
G1S_denta120_oisn06_057_p24.rmx,16,3000000,142,6,0.8899,1.2536,26,0,2026-09-11 22:30,685.5,phys=16;5b73f7f5b1b45d96e52658a4ba73bd5b6a679aeb269abacda1c5bfffe567c587,35efab43c645f0f7dbac52f4c1dfed83d085e00adda9eb03a4a20e21f8ee1d2d,сходится
G1S_denta120_oisn06_062_p24.rmx,16,3000000,142,6,0.8785,1.2513,26,0,2026-09-11 22:41,683.0,phys=16;75b127d615ec6a34e12b4858e372887253854d52964c5053b51af5696335adf9,50da1fd47375b1b4fcdda9787e6a758c1e722a87c1cbb86078d19ba8e1eb295a,сходится
G1S_denta120_oisn06_064_p24.rmx,16,3000000,142,6,0.8684,1.2481,26,0,2026-09-11 22:53,672.3,phys=16;cd553957d831884a2b847b61931358e2ba3cd952462e3dd6b139b97b19e4735c,73102c614d345ecb6f36d098c79685d68b6d620a8cd0e4a594b2e9f5ed80a7cf,сходится
G1S_denta120_oisn06_066_p24.rmx,16,3000000,142,6,0.8600,1.2447,26,0,2026-09-11 23:04,682.3,phys=16;449b8b610eb887c784c8a0b73a14916b79382b82d5c79eabb06139e29cec0af9,2b78d4fdbfdc518fc4ff5c7e7031bbd40b7a716c6f99f73226eb8537dedc56bf,сходится
G1S_denta120_oisn16_155_p24.rmx,16,3000000,142,6,1.0383,1.2051,29,0,2026-09-11 23:16,698.1,phys=16;4a5fb9474d8d528646a6116f83bc3edb925cf94a8192352b1e75f512ebb22d6a,67d45b00307211b339adf242f54395e2c61f325ed2dcf330ee9d2489135fca44,сходится
G1S_denta120_oisn16_160_p24.rmx,16,3000000,142,6,1.0396,1.2021,29,0,2026-09-11 23:27,704.9,phys=16;76b388e7168ccdbfb55775f999986de1be48629f473cd06453d1044350156c92,daf7b53c551ff2c86d4c44f9f9178712906f51b12dfa39587ef591e4647ef020,сходится
G1S_denta120_oisn16_166_p24.rmx,16,3000000,142,6,1.0388,1.1963,29,0,2026-09-11 23:39,699.4,phys=16;b57b3d05c3a058464034d2b31be9353c12305231b20af32ba0f422a980af5d76,00a50df5267047c8de9d3c0b0ce13976fe51aa11d079da529f3d6666f59c703a,сходится
