"rep","arm","build","us"
"1","low","head","2.47"
"1","low","new","2.10"
"1","high","head","3.55"
"1","high","new","2.98"
"1","dlow","head","5.32"
"1","dlow","new","3.70"
"1","dhigh","head","6.55"
"1","dhigh","new","4.81"
"2","low","head","2.50"
"2","low","new","2.13"
"2","high","head","3.63"
"2","high","new","2.99"
"2","dlow","head","5.35"
"2","dlow","new","3.72"
"2","dhigh","head","6.44"
"2","dhigh","new","4.80"
