"rep","arm","build","us"
"1","low","head","2.54"
"1","low","v1","2.14"
"1","low","v2","2.01"
"1","high","head","3.63"
"1","high","v1","2.99"
"1","high","v2","2.77"
"1","dlow","head","5.45"
"1","dlow","v1","3.75"
"1","dlow","v2","3.20"
"1","dhigh","head","6.55"
"1","dhigh","v1","4.84"
"1","dhigh","v2","4.53"
"2","low","head","2.55"
"2","low","v1","2.14"
"2","low","v2","2.04"
"2","high","head","3.62"
"2","high","v1","3.02"
"2","high","v2","2.79"
"2","dlow","head","5.38"
"2","dlow","v1","3.70"
"2","dlow","v2","3.27"
"2","dhigh","head","6.55"
"2","dhigh","v1","4.87"
"2","dhigh","v2","4.47"
