spectrum,channels,kev_per_ch,peak_kev,peak_ch,fwhm_field,w_ch_empirical,w_kev_empirical,ratio_to_ch,ratio_to_kev,fwhmcal_at_ch
AS1Pro_Ra226,8192,0.390583,45.849,142,25.7631,18.0421,7.0469,1.4279,3.6560,26.7026
AS1Pro_Ra226,8192,0.391239,78.295,225,37.2884,23.6675,9.2595,1.5755,4.0271,35.3706
AS1Pro_Ra226,8192,0.392749,153.165,416,37.2380,61.7236,24.2455,0.6033,1.5359,50.5539
AS1Pro_Ra226,8192,0.39342,186.578,501,52.0818,45.2876,17.8173,1.1500,2.9231,56.2680
AS1Pro_Ra226,8192,0.394519,241.339,640,58.7595,57.2240,22.5775,1.0268,2.6026,64.8366
AS1Pro_Ra226,8192,0.395626,296.649,780,64.9000,67.8679,26.8494,0.9563,2.4172,72.7912
AS1Pro_Ra226,8192,0.39678,354.495,926,83.1088,77.7252,30.8375,1.0693,2.6951,80.5810
AS1Pro_Ra226,8192,0.399199,476.280,1232,84.4303,93.6497,37.3733,0.9016,2.2591,95.7756
AS1Pro_Ra226,8192,0.401863,611.259,1569,122.7209,114.6084,46.0518,1.0708,2.6648,111.3523
AS1Pro_Ra226,8192,0.405049,773.852,1972,137.3303,159.3881,64.5567,0.8616,2.1273,128.9818
AS1Pro_Ra226,8192,0.408187,935.279,2369,135.0177,148.6021,60.6305,0.9086,2.2269,145.6488
AS1Pro_Ra226,8192,0.411657,1115.235,2808,171.4337,177.7139,73.1598,0.9647,2.3433,163.5273
AS1Pro_Ra226,8192,0.414179,1246.956,3127,111.3345,184.2508,76.2530,0.6043,1.4601,176.2524
AS1Pro_Ra226,8192,0.417001,1395.321,3484,195.0281,216.8795,90.4049,0.8992,2.1573,190.2898
AS1Pro_Ra226,8192,0.423918,1763.223,4359,253.6833,252.8076,107.1553,1.0035,2.3674,224.0320
AS1Pro_Ra226,8192,0.432305,2217.449,5420,315.0163,351.6179,151.8965,0.8959,2.0739,264.1042
AS1Pro_Ra226,8192,0.437364,2495.744,6060,273.7043,281.4633,123.0095,0.9724,2.2251,287.9805
AS80_Charoite,8192,0.375294,36.403,133,25.7068,55.1513,20.6988,0.4661,1.2419,19.8894
AS80_Charoite,8192,0.375493,81.826,254,32.3726,219.2977,82.3713,0.1476,0.3930,30.9131
AS80_Charoite,8192,0.375559,96.847,294,22.8282,186.7511,70.1446,0.1222,0.3254,34.1535
AS80_Charoite,8192,0.37573,135.914,398,37.5498,37.2112,13.9824,1.0091,2.6855,41.9848
AS80_Charoite,8192,0.37625,254.727,714,63.6646,57.7930,21.7444,1.1016,2.9279,62.5313
AS80_Charoite,8192,0.37673,364.662,1006,80.1194,63.0043,23.7337,1.2716,3.3758,78.9933
AS80_Charoite,8192,0.377852,621.975,1688,125.9547,178.3752,67.3904,0.7061,1.8690,112.4088
AS80_Charoite,8192,0.378489,768.327,2075,93.8808,153.1740,57.9718,0.6129,1.6194,129.3911
AS80_Charoite,8192,0.379315,958.535,2577,161.8764,184.6898,70.0686,0.8765,2.3103,149.9830
AS80_Charoite,8192,0.380236,1171.210,3137,216.1957,35.7108,13.5794,6.0541,15.9208,171.4953
AS80_Charoite,8192,0.381725,1515.997,4042,219.7700,59.5579,22.7334,3.6900,9.6673,203.8384
AS80_Charoite,8192,0.387014,2751.746,7257,331.0908,2.7500,1.0643,120.3966,311.0906,303.7572
AS80_Cs137_0cm,8192,0.378878,33.277,94,18.9549,19.3306,7.3230,0.9806,2.5884,11.7636
AS80_Cs137_0cm,8192,0.37568,64.589,177,21.6958,8.9879,3.3751,2.4139,6.4282,19.6240
AS80_Cs137_0cm,8192,0.373943,82.955,226,33.8835,295.1259,109.4257,0.1148,0.3096,23.9117
AS80_Cs137_0cm,8192,0.369913,130.554,354,44.6996,505.9159,186.3289,0.0884,0.2399,34.3721
AS80_Cs137_0cm,8192,0.365037,203.654,553,65.9758,532.8337,196.1986,0.1238,0.3363,49.3007
AS80_Cs137_0cm,8192,0.359351,446.914,1227,113.1457,116.6618,41.9182,0.9699,2.6992,93.9142
AS80_Cs137_0cm,8192,0.364678,655.435,1804,138.5949,118.1087,43.0783,1.1735,3.2173,128.2590
AS80_Cs137_0cm,8192,0.377954,904.298,2475,201.7881,304.2113,115.0541,0.6633,1.7539,165.6313
AS80_Cs137_0cm,8192,0.390296,1104.800,2997,189.9267,245.2641,95.7094,0.7744,1.9844,193.3517
AS80_Cs137_0cm,8192,0.407562,1456.909,3878,246.0348,289.3795,117.7756,0.8502,2.0890,238.1494
AS80_Cs137_0cm,8192,0.410474,1793.108,4697,268.2602,142.7380,58.5909,1.8794,4.5785,278.0589
AS80_Cs137_0cm,8192,0.377975,2224.638,5780,492.1403,32.4744,12.2643,15.1547,40.1280,328.8511
AS80_Cs137_0cm,8192,0.270257,2618.201,6967,386.2156,31.5932,8.5654,12.2246,45.0901,382.4660
AS80_K40,8192,0.362307,84.350,232,34.8823,291.5735,104.9952,0.1196,0.3322,23.6453
AS80_K40,8192,0.361264,99.545,274,51.1623,330.1917,118.8228,0.1549,0.4306,27.1573
AS80_K40,8192,0.360228,115.778,319,54.1682,348.4975,125.3688,0.1554,0.4321,30.8212
AS80_K40,8192,0.356574,504.826,1414,61.6814,294.2628,105.5379,0.2096,0.5844,106.4247
AS80_K40,8192,0.360169,594.036,1663,130.9884,123.8945,44.5702,1.0573,2.9389,121.8063
AS80_K40,8192,0.380935,939.519,2597,250.4289,790.4847,304.9420,0.3168,0.8212,176.5143
AS80_K40,8192,0.392345,1117.786,3058,235.4165,316.8999,123.9215,0.7429,1.8997,202.2284
AS80_K40,8192,0.408753,1483.641,3969,259.1870,207.7509,84.8798,1.2476,3.0536,251.2414
AS80_K40,8192,0.407976,1805.829,4755,280.0829,278.0932,113.5428,1.0072,2.4668,292.0108
AS80_K40,8192,0.367665,2231.948,5841,495.9802,518.7985,191.7810,0.9560,2.5862,346.5381
AS80_K40,8192,0.242896,2614.120,7060,400.5519,309.0083,75.5887,1.2962,5.2991,405.7525
AS80_Lu176,8192,0.364872,52.123,164,27.1307,29.1785,10.6474,0.9298,2.5481,24.6650
AS80_Lu176,8192,0.365555,86.819,259,33.8325,99.1458,36.2622,0.3412,0.9330,33.1858
AS80_Lu176,8192,0.367782,200.486,569,57.3248,50.3369,18.5125,1.1388,3.0965,55.3243
AS80_Lu176,8192,0.369809,304.486,851,78.7798,73.4200,27.1509,1.0730,2.9016,71.8518
AS80_Lu176,8192,0.373962,519.436,1429,97.9128,92.3553,34.5326,1.0602,2.8354,100.6036
AS80_Lu176,8192,0.37547,598.126,1639,99.4815,147.8580,55.4827,0.6728,1.7930,109.9718
AS80_Lu176,8192,0.38124,901.945,2442,144.0250,94.8088,36.1723,1.5191,3.9816,142.4726
AS80_Lu176,8192,0.385106,1108.092,2980,191.1944,140.6945,54.2247,1.3589,3.5260,162.1373
AS80_Lu176,8192,0.391522,1454.857,3873,211.9839,224.6467,87.8930,0.9436,2.4118,192.2215
AS80_Lu176,8192,0.397313,1772.757,4679,229.1546,6.4400,2.5588,35.5830,89.5558,217.3297
AS80_Onyx,8192,0.370002,75.057,240,32.9634,275.5540,101.1927,0.1196,0.3257,22.6810
AS80_Onyx,8192,0.368765,89.093,278,39.6003,306.0252,112.3090,0.1294,0.3526,25.6737
AS80_Onyx,8192,0.367264,107.126,327,39.9257,318.9042,116.9922,0.1252,0.3413,29.4402
AS80_Onyx,8192,0.366115,121.793,367,44.8419,338.6337,124.1719,0.1324,0.3611,32.4491
AS80_Onyx,8192,0.356293,346.793,992,76.7947,3.7407,1.3328,20.5296,57.6183,75.0507
AS80_Onyx,8192,0.35697,501.026,1425,67.3382,1239.4744,443.5243,0.0543,0.1518,101.8592
AS80_Onyx,8192,0.359637,594.511,1686,128.8988,137.1248,49.2664,0.9400,2.6164,117.3797
AS80_Onyx,8192,0.376032,909.490,2544,207.6281,264.3418,98.9510,0.7855,2.0983,166.0531
AS80_Onyx,8192,0.388295,1109.364,3067,194.7895,297.6787,115.0788,0.6544,1.6927,194.4088
AS80_Onyx,8192,0.404978,1470.309,3975,251.0688,239.0710,96.7504,1.0502,2.5950,241.9274
AS80_Onyx,8192,0.405581,1808.027,4805,274.1958,226.1169,91.7755,1.2126,2.9877,283.8780
AS80_Onyx,8192,0.368011,2233.275,5892,513.1198,530.2809,196.4853,0.9676,2.6115,337.1456
AS80_Onyx,8192,0.244705,2625.190,7137,392.5865,307.2586,75.9818,1.2777,5.1669,396.2966
AS80_Th232Medal,8192,0.38414,39.343,141,18.1445,20.2505,7.8358,0.8960,2.3156,14.3464
AS80_Th232Medal,8192,0.380892,73.001,229,24.9157,66.3531,25.2408,0.3755,0.9871,21.5945
AS80_Th232Medal,8192,0.379668,86.691,265,21.8401,16.9882,6.4506,1.2856,3.3858,24.4239
AS80_Th232Medal,8192,0.376231,129.016,377,31.6282,37.4523,14.0956,0.8445,2.2438,32.8785
AS80_Th232Medal,8192,0.36971,239.327,673,58.6814,57.0495,21.0939,1.0286,2.7819,53.5963
AS80_Th232Medal,8192,0.367797,291.681,815,34.2843,163.2660,59.9254,0.2100,0.5721,62.9860
AS80_Th232Medal,8192,0.366634,341.983,952,79.8636,66.3965,24.3471,1.2028,3.2802,71.8036
AS80_Th232Medal,8192,0.366257,458.797,1271,61.5305,206.7865,75.8069,0.2976,0.8117,91.6180
AS80_Th232Medal,8192,0.366951,507.184,1403,59.3673,206.7865,75.8069,0.2871,0.7831,99.5786
AS80_Th232Medal,8192,0.368865,582.220,1607,122.3113,113.4188,41.8325,1.0784,2.9238,111.6561
AS80_Th232Medal,8192,0.37459,721.539,1982,122.1808,128.3780,48.0852,0.9517,2.5409,133.2576
AS80_Th232Medal,8192,0.384968,906.772,2470,176.9524,243.7726,94.0788,0.7259,1.8809,160.4356
AS80_Th232Medal,8192,0.397827,1115.766,3004,173.2944,194.6371,77.2477,0.8903,2.2434,189.2252
AS80_Th232Medal,8192,0.40596,1258.867,3360,80.0000,206.0491,83.4349,0.3883,0.9588,207.9668
AS80_Th232Medal,8192,0.415224,1470.903,3876,232.2589,280.1581,116.1655,0.8290,1.9994,234.5918
AS80_Th232Medal,8192,0.419003,1643.308,4289,182.6000,218.8805,91.6704,0.8342,1.9919,255.5008
AS80_Th232Medal,8192,0.418024,1823.473,4719,194.4317,231.9613,97.0584,0.8382,2.0032,276.9376
AS80_Th232Medal,8192,0.391121,2210.083,5667,316.2111,529.3439,204.3645,0.5974,1.5473,323.1638
AS80_Th232Medal,8192,0.358186,2402.537,6179,167.2588,139.5755,49.4082,1.1983,3.3852,347.6156
AS80_Th232Medal,8192,0.275355,2654.933,6967,385.7149,273.9313,75.6680,1.4081,5.0975,384.6411
AS80_Th232WT20,8192,0.369341,59.529,180,28.2932,234.3022,86.6331,0.1208,0.3266,25.7180
AS80_Th232WT20,8192,0.369717,93.525,272,35.3297,355.8276,131.6517,0.0993,0.2684,33.8421
AS80_Th232WT20,8192,0.371303,240.249,668,61.9996,60.7967,22.5737,1.0198,2.7465,61.5059
AS80_Th232WT20,8192,0.372347,340.271,937,79.6845,70.8621,26.3825,1.1245,3.0204,77.0259
AS80_Th232WT20,8192,0.373024,406.609,1115,36.3964,63.3740,23.6389,0.5743,1.5397,86.4694
AS80_Th232WT20,8192,0.373599,464.099,1269,62.7823,201.9520,75.4995,0.3109,0.8316,94.2372
AS80_Th232WT20,8192,0.374086,513.446,1401,67.6902,201.9520,75.4995,0.3352,0.8966,100.6465
AS80_Th232WT20,8192,0.374778,584.963,1592,111.8202,99.6436,37.3412,1.1222,2.9946,109.5735
