spectrum,peak_kev,fwhm_kev,label,line_kev,intensity_pct,verdict,rivals,rival_factor,real_rivals,real_factor,best_rival,best_rival_i,matcher_alts,matcher_factor,near_miss,near_factor,fwhm_channels,rivals_old_window,rival_factor_old,real_rivals_old_window,real_factor_old
AS80_Cs137_0cm,130.554,16.535,Ac-228,129.065,2.42,ПОКАЗАНО,1,11.789,1,11.789,Eu-152,28.53,1,4.529,1,4.529,44.700,2,11.789,2,11.789
AS80_Cs137_0cm,203.654,24.084,Lu-176,202.000,77.9688,ПОКАЗАНО,2,20.043,2,20.043,Ac-228,3.89,2,21.420,2,21.420,65.976,5,21.420,5,21.420
AS80_Cs137_0cm,655.435,50.545,Cs-137,662.000,85.1,ПОКАЗАНО,1,11.893,1,11.893,I-131,7.1557,4,48.117,2,1.873,138.595,4,48.117,4,48.117
AS80_Cs137_0cm,904.298,76.269,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,3,16.025,201.788,3,16.025,3,16.025
AS80_Cs137_0cm,1104.800,74.127,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,1,7.304,1,7.304,189.927,2,7.304,2,7.304
AS80_Cs137_0cm,1456.909,100.263,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,246.035,1,2.675,1,2.675
AS80_Cs137_0cm,1793.108,110.087,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,268.260,0,1.000,0,1.000
AS80_Cs137_0cm,2224.638,185.754,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000,492.140,1,3.184,1,3.184
AS80_Cs137_0cm,2618.201,104.200,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,386.216,1,23.205,1,23.205
AS80_Lu176,200.486,21.083,Lu-176,202.000,77.9688,ПОКАЗАНО,2,20.043,2,20.043,Ac-228,3.89,2,21.420,2,21.420,57.325,5,21.420,5,21.420
AS80_Lu176,304.486,29.133,Lu-176,307.000,93.6,ПОКАЗАНО,2,58.500,2,58.500,Np-239,1.6,4,31.729,3,31.729,78.780,6,58.500,6,58.500
AS80_Lu176,598.126,37.352,Bi-214,609.000,45.44,ПОКАЗАНО,2,1.976,2,1.976,Ag-108m,89.8,2,6.350,0,1.000,99.481,3,6.350,3,6.350
AS80_Lu176,901.945,54.908,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000,144.025,3,16.025,3,16.025
AS80_Lu176,1108.092,73.630,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,1,7.304,1,7.304,191.194,2,7.304,2,7.304
AS80_Lu176,1454.857,82.996,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,211.984,1,2.675,1,2.675
AS80_Lu176,1772.757,91.046,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,229.155,0,1.000,0,1.000
AS80_Lu176,2686.554,129.733,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,313.737,0,1.000,0,1.000
ASN16_Lu176,123.081,12.466,Eu-152,125.000,28.53,ПОКАЗАНО,1,11.789,1,11.789,Ac-228,2.42,0,1.000,0,1.000,33.398,1,11.789,1,11.789
ASN16_Lu176,201.412,22.106,Lu-176,202.000,77.9688,ПОКАЗАНО,2,20.043,2,20.043,Ac-228,3.89,2,21.420,2,21.420,58.742,5,21.420,5,21.420
ASN16_Lu176,304.315,28.323,Lu-176,307.000,93.6,ПОКАЗАНО,2,58.500,2,58.500,Np-239,1.6,4,31.729,3,31.729,74.472,6,58.500,6,58.500
ASN16_Lu176,1461.409,68.792,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,162.759,0,1.000,0,1.000
ASN16_Lu176,2709.870,95.201,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,205.160,0,1.000,0,1.000
ASN16_Lu176_P0,202.236,21.591,Lu-176,202.000,77.9688,ПОКАЗАНО,2,20.043,2,20.043,Ac-228,3.89,2,21.420,2,21.420,56.485,5,21.420,5,21.420
ASN16_Lu176_P0,306.202,27.588,Lu-176,307.000,93.6,ПОКАЗАНО,2,58.500,2,58.500,Np-239,1.6,3,31.729,2,31.729,71.653,6,58.500,6,58.500
G1S16_Am241_P25,60.691,10.540,Am-241,59.541,35.9,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,3.736,0,1.000,0,1.000
G1S16_Am241_P25,1438.873,87.060,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,28.992,0,1.000,0,1.000
G1S16_Am241_P5,123.210,12.070,Eu-152,125.000,28.53,ПОКАЗАНО,1,11.789,1,11.789,Ac-228,2.42,0,1.000,0,1.000,4.136,0,1.000,0,1.000
G1S16_Ba133_P25,48.227,8.216,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,2.855,0,1.000,0,1.000
G1S16_Ba133_P25,354.589,30.847,Pb-214,353.000,35.7166,ПОКАЗАНО,3,2.282,3,2.282,I-131,81.5,2,12.107,2,12.107,10.440,1,1.737,1,1.737
G1S16_Ba133_P25,613.849,49.690,Ag-108m,614.000,89.8,ПОКАЗАНО,2,12.549,2,12.549,I-131,7.1557,2,2.940,2,2.940,16.546,1,1.976,1,1.976
G1S16_Ba133_P25,1466.779,79.079,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,25.798,0,1.000,0,1.000
G1S16_Ba133_P25,1788.099,80.619,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,26.418,0,1.000,0,1.000
G1S16_Ba133_P25,2627.011,89.179,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,30.577,0,1.000,0,1.000
G1S16_Ba133_P5,47.498,8.085,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,2.791,0,1.000,0,1.000
G1S16_Ba133_P5,358.302,31.606,Ba-133,358.000,62.05,ПОКАЗАНО,3,2.334,3,2.334,Eu-152,26.59,2,21.034,2,21.034,10.661,1,1.737,1,1.737
G1S16_Ba133_P5,1471.334,64.571,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,21.062,0,1.000,0,1.000
G1S16_Cd109_P25,345.626,32.360,Eu-152,345.000,26.59,ПОКАЗАНО,3,2.359,3,2.359,Ac-228,11.27,3,16.619,3,16.619,10.963,0,1.000,0,1.000
G1S16_Cd109_P25,610.664,47.510,Bi-214,609.000,45.44,ПОКАЗАНО,1,1.976,1,1.976,Ag-108m,89.8,3,6.350,2,6.350,15.828,1,1.976,1,1.976
G1S16_Cd109_P25,1472.472,77.994,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,25.453,0,1.000,0,1.000
G1S16_Cd109_P25,2614.562,88.908,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,30.462,0,1.000,0,1.000
G1S16_Cd109_P5,1468.490,67.951,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,22.022,0,1.000,0,1.000
G1S16_Ce139_P25,343.106,27.686,Eu-152,345.000,26.59,ПОКАЗАНО,2,2.359,2,2.359,Ac-228,11.27,4,16.619,3,9.014,9.448,0,1.000,0,1.000
G1S16_Ce139_P25,606.212,39.039,Bi-214,609.000,45.44,ПОКАЗАНО,1,1.976,1,1.976,Ag-108m,89.8,3,6.350,2,6.350,13.101,0,1.000,0,1.000
G1S16_Ce139_P25,1452.611,77.196,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,25.376,0,1.000,0,1.000
G1S16_Ce139_P25,1762.419,76.287,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,25.183,0,1.000,0,1.000
G1S16_Ce139_P25,2609.978,89.729,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,31.008,0,1.000,0,1.000
G1S16_Ce139_P5,105.730,15.659,Np-239,106.000,25.34,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,5.372,0,1.000,0,1.000
G1S16_Ce139_P5,205.235,10.772,U-237,208.005,21.2,ПОКАЗАНО,1,3.678,1,3.678,Lu-176,77.9688,2,5.450,1,5.450,3.667,0,1.000,0,1.000
G1S16_Ce139_P5,1467.391,71.802,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,23.385,0,1.000,0,1.000
G1S16_Co57_P5,1464.057,89.413,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,29.126,0,1.000,0,1.000
G1S16_Co60_P25,237.362,32.041,Pb-212,238.000,43.6,ПОКАЗАНО,3,6.004,3,6.004,Pb-214,7.2615,0,1.000,2,11.208,11.126,1,6.004,1,6.004
G1S16_Co60_P25,848.893,40.437,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,0,1.000,13.536,0,1.000,0,1.000
G1S16_Co60_P25,908.705,55.682,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,1,5.170,18.600,0,1.000,0,1.000
G1S16_Co60_P25,1170.069,66.742,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,2,7.304,22.156,0,1.000,0,1.000
G1S16_Co60_P25,1329.878,73.113,Co-60,1332.000,99.9826,ПОКАЗАНО,0,1.000,0,1.000,,,3,25.090,1,25.090,24.232,0,1.000,0,1.000
G1S16_Co60_P5,229.424,39.873,Np-239,228.000,10.73,ПОКАЗАНО,4,4.063,4,4.063,Pb-212,43.6,0,1.000,2,7.266,13.680,0,1.000,0,1.000
G1S16_Co60_P5,508.906,35.995,Tl-208,510.000,8.1224,ПОКАЗАНО,0,1.000,0,1.000,,,1,1.846,0,1.000,12.132,0,1.000,0,1.000
G1S16_Co60_P5,846.830,48.608,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,0,1.000,16.145,0,1.000,0,1.000
G1S16_Co60_P5,916.155,59.963,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,2,5.170,19.873,0,1.000,0,1.000
G1S16_Co60_P5,1173.432,65.934,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,3,17.127,21.729,0,1.000,0,1.000
