group,spectrum,energy_kev,counts,fwhm_kev,fwhm_expected_kev,width_ratio,width_rel,nuclide,origin,detail
corpus,AS1Pro_Ra226,78.29,804,37.61,13.84,2.718,1.126,Pb x-ray,сумма случайная,45.8 + 45.8
corpus,AS1Pro_Ra226,150.42,7,44.27,19.66,2.252,0.933,U-235,сумма случайная,78.3 + 78.3
corpus,AS1Pro_Ra226,241.73,43,58.23,25.60,2.274,0.943,Pb-214,сумма случайная,45.8 + 186.6
corpus,AS1Pro_Ra226,297.05,57,64.56,28.82,2.240,0.929,Pb-214,сумма случайная,45.8 + 241.7
corpus,AS1Pro_Ra226,354.50,70,82.43,31.97,2.578,1.069,Pb-214,сумма случайная,45.8 + 297.0
corpus,AS1Pro_Ra226,474.28,0,84.53,38.13,2.217,0.919,Ac-228,сумма случайная,186.6 + 297.0
corpus,AS1Pro_Ra226,1246.96,0,110.57,73.00,1.515,0.628,Bi-214,вылет одиночный,одиночный вылет 1763.2
corpus,AS1Pro_Ra226,1395.32,0,194.74,79.35,2.454,1.017,Bi-214,сумма каскадная,611.3 + 773.9
corpus,AS80_Am241,99.60,1,36.44,14.25,2.557,0.865,,сумма случайная,55.3 + 55.3
corpus,AS80_Am241,120.98,0,36.82,15.88,2.319,0.785,,сумма случайная,55.3 + 55.3
corpus,AS80_Cs137_0cm,445.08,1,112.10,32.94,3.403,1.143,,вылет двойной,двойной вылет 1456.5
corpus,AS80_K40,84.35,154,34.32,8.41,4.081,1.382,Pb x-ray,обратное рассеяние,рассеяние от 99.5; родителей 1; площадь/родителя 2.14
corpus,AS80_K40,349.11,5,74.58,27.22,2.740,0.928,Pb-214,сумма случайная,99.5 + 241.5
corpus,AS80_Lu176,52.12,27,26.79,8.82,3.036,1.082,,обратное рассеяние,рассеяние от 86.8; родителей 1; площадь/родителя 6.75
corpus,AS80_Lu176,519.44,0,97.27,37.10,2.622,0.934,Annihilation,сумма каскадная,200.5 + 304.5
corpus,AS80_Lu176,598.13,0,100.24,40.74,2.461,0.877,Bi-214,сумма случайная,304.5 + 304.5
corpus,AS80_Lu176_v2,52.94,73,27.05,8.87,3.049,1.040,W x-ray,обратное рассеяние,рассеяние от 87.9; родителей 1; площадь/родителя 7.30
corpus,AS80_Lu176_v2,140.19,2,45.11,15.90,2.837,0.968,,сумма случайная,52.9 + 87.9
corpus,AS80_Lu176_v2,521.68,0,103.45,37.22,2.779,0.948,Annihilation,сумма каскадная,201.5 + 305.6
corpus,AS80_Lu176_v2,599.04,0,104.10,40.82,2.550,0.870,Bi-214,сумма случайная,305.6 + 305.6
corpus,AS80_Onyx,75.06,191,32.50,8.24,3.947,1.355,Pb x-ray,обратное рассеяние,рассеяние от 89.1; родителей 1; площадь/родителя 2.10
