source,ours,ours_density,g4,g4_density,delta_pct,grade,composition,g4_how
seed:Source,Calcium carbonate,1.5,G4_CALCIUM_CARBONATE,2.8,-46.429,> 10 %,O0.480 Ca0.400 C0.120,atoms
seed:Source,"Air, dry",0.001205,G4_NITROUS_OXIDE,0.00183094,-34.187,> 10 %,N0.636 O0.364,atoms
seed:Source,Silicon dioxide,1.6,G4_SILICON_DIOXIDE,2.32,-31.034,> 10 %,O0.533 Si0.467,atoms
star,CARBON (GRAPHITE),1.7,G4_GRAPHITE,2.21,-23.077,> 10 %,C1.000,element
seed:Cladding,Carbon,1.7,G4_GRAPHITE,2.21,-23.077,> 10 % (неоднозначно: состав общий у 3 веществ Geant4),C1.000,element
star,NAPTHALENE,1.145,G4_STILBENE,0.9707,17.956,> 10 % (неоднозначно: состав общий у 3 веществ Geant4),C0.937 H0.063,atoms
star,AMORPHOUS CARBON,2.0,G4_GRAPHITE_POROUS,1.7,17.647,> 10 % (неоднозначно: состав общий у 3 веществ Geant4),C1.000,element
seed:Cladding,Carbon,1.7,G4_C,2.0,-15.000,> 10 % (неоднозначно: состав общий у 3 веществ Geant4),C1.000,element
star,NAPTHALENE,1.145,G4_ANTHRACENE,1.283,-10.756,> 10 % (неоднозначно: состав общий у 3 веществ Geant4),C0.937 H0.063,atoms
star,AMORPHOUS CARBON,2.0,G4_GRAPHITE,2.21,-9.502,1…10 % (неоднозначно: состав общий у 3 веществ Geant4),C1.000,element
seed:Crystal,Cadmium telluride,5.85,G4_CADMIUM_TELLURIDE,6.2,-5.645,1…10 %,Te0.532 Cd0.468,atoms
seed:Reflector,Polytetrafluoroethylene,2.25,G4_TEFLON,2.2,2.273,1…10 %,F0.760 C0.240,atoms
seed:BeakerWall,Polyethylene terephthalate,1.38,G4_MYLAR,1.4,-1.429,1…10 % (неоднозначно: состав общий у 2 веществ Geant4),C0.625 O0.333 H0.042,atoms
seed:BeakerWall,Polyethylene terephthalate,1.38,G4_DACRON,1.4,-1.429,1…10 % (неоднозначно: состав общий у 2 веществ Geant4),C0.625 O0.333 H0.042,atoms
seed:Reflector,Titanium dioxide,4.23,G4_TITANIUM_DIOXIDE,4.26,-0.704,≤ 1 %,Ti0.599 O0.401,atoms
star,RADON,0.00906618,G4_Rn,0.00900662,0.661,≤ 1 %,Rn1.000,element
seed:Cladding,Titanium,4.51,G4_Ti,4.54,-0.661,≤ 1 %,Ti1.000,element
seed:BeakerWall,Polypropylene,0.905,G4_POLYPROPYLENE,0.9,0.556,≤ 1 %,C0.856 H0.144,atoms
seed:Cladding,Aluminum,2.7,G4_Al,2.699,0.037,совпало,Al1.000,element
star,NITROGEN,0.00116528,G4_N,0.0011652,0.007,совпало,N1.000,element
star,ALUMINUM,2.6989,G4_Al,2.699,-0.004,совпало,Al1.000,element
star,BROMINE,0.00707218,G4_Br,0.0070721,0.001,совпало,Br1.000,element
star,HYDROGEN,8.3748e-05,G4_H,8.3748e-05,0.000,совпало,H1.000,element
star,HELIUM,0.000166322,G4_He,0.000166322,0.000,совпало,He1.000,element
star,LITHIUM,0.534,G4_Li,0.534,0.000,совпало,Li1.000,element
star,BERYLLIUM,1.848,G4_Be,1.848,0.000,совпало,Be1.000,element
star,BORON,2.37,G4_B,2.37,0.000,совпало,B1.000,element
star,AMORPHOUS CARBON,2.0,G4_C,2.0,0.000,совпало (неоднозначно: состав общий у 3 веществ Geant4),C1.000,element
star,OXYGEN,0.00133151,G4_O,0.00133151,0.000,совпало,O1.000,element
star,FLUORINE,0.00158029,G4_F,0.00158029,0.000,совпало,F1.000,element
star,NEON,0.000838505,G4_Ne,0.000838505,0.000,совпало,Ne1.000,element
star,SODIUM,0.971,G4_Na,0.971,0.000,совпало,Na1.000,element
star,MAGNESIUM,1.74,G4_Mg,1.74,0.000,совпало,Mg1.000,element
star,SILICON,2.33,G4_Si,2.33,0.000,совпало,Si1.000,element
star,PHOSPHORUS,2.2,G4_P,2.2,0.000,совпало,P1.000,element
star,SULFUR,2.0,G4_S,2.0,0.000,совпало,S1.000,element
star,CHLORINE,0.00299473,G4_Cl,0.00299473,0.000,совпало,Cl1.000,element
star,ARGON,0.00166201,G4_Ar,0.00166201,0.000,совпало,Ar1.000,element
star,POTASSIUM,0.862,G4_K,0.862,0.000,совпало,K1.000,element
star,CALCIUM,1.55,G4_Ca,1.55,0.000,совпало,Ca1.000,element
star,SCANDIUM,2.989,G4_Sc,2.989,0.000,совпало,Sc1.000,element
star,TITANIUM,4.54,G4_Ti,4.54,0.000,совпало,Ti1.000,element
star,VANADIUM,6.11,G4_V,6.11,0.000,совпало,V1.000,element
star,CHROMIUM,7.18,G4_Cr,7.18,0.000,совпало,Cr1.000,element
star,MANGANESE,7.44,G4_Mn,7.44,0.000,совпало,Mn1.000,element
star,IRON,7.874,G4_Fe,7.874,0.000,совпало,Fe1.000,element
star,COBALT,8.9,G4_Co,8.9,0.000,совпало,Co1.000,element
star,NICKEL,8.902,G4_Ni,8.902,0.000,совпало,Ni1.000,element
star,COPPER,8.96,G4_Cu,8.96,0.000,совпало,Cu1.000,element
star,ZINC,7.133,G4_Zn,7.133,0.000,совпало,Zn1.000,element
star,GALLIUM,5.904,G4_Ga,5.904,0.000,совпало,Ga1.000,element
star,GERMANIUM,5.323,G4_Ge,5.323,0.000,совпало,Ge1.000,element
star,ARSENIC,5.73,G4_As,5.73,0.000,совпало,As1.000,element
star,SELENIUM,4.5,G4_Se,4.5,0.000,совпало,Se1.000,element
star,KRYPTON,0.00347832,G4_Kr,0.00347832,0.000,совпало,Kr1.000,element
star,RUBIDIUM,1.532,G4_Rb,1.532,0.000,совпало,Rb1.000,element
star,STRONTIUM,2.54,G4_Sr,2.54,0.000,совпало,Sr1.000,element
star,YTTRIUM,4.469,G4_Y,4.469,0.000,совпало,Y1.000,element
star,ZIRCONIUM,6.506,G4_Zr,6.506,0.000,совпало,Zr1.000,element
star,NIOBIUM,8.57,G4_Nb,8.57,0.000,совпало,Nb1.000,element
star,MOLYBDENUM,10.22,G4_Mo,10.22,0.000,совпало,Mo1.000,element
star,TECHNETIUM,11.5,G4_Tc,11.5,0.000,совпало,Tc1.000,element
star,RUTHENIUM,12.41,G4_Ru,12.41,0.000,совпало,Ru1.000,element
star,RHODIUM,12.41,G4_Rh,12.41,0.000,совпало,Rh1.000,element
star,PALLADIUM,12.02,G4_Pd,12.02,0.000,совпало,Pd1.000,element
star,SILVER,10.5,G4_Ag,10.5,0.000,совпало,Ag1.000,element
star,CADMIUM,8.65,G4_Cd,8.65,0.000,совпало,Cd1.000,element
star,INDIUM,7.31,G4_In,7.31,0.000,совпало,In1.000,element
star,TIN,7.31,G4_Sn,7.31,0.000,совпало,Sn1.000,element
star,ANTIMONY,6.691,G4_Sb,6.691,0.000,совпало,Sb1.000,element
star,TELLURIUM,6.24,G4_Te,6.24,0.000,совпало,Te1.000,element
star,IODINE,4.93,G4_I,4.93,0.000,совпало,I1.000,element
star,XENON,0.00548536,G4_Xe,0.00548536,0.000,совпало,Xe1.000,element
star,CESIUM,1.873,G4_Cs,1.873,0.000,совпало,Cs1.000,element
star,BARIUM,3.5,G4_Ba,3.5,0.000,совпало,Ba1.000,element
star,LANTHANUM,6.154,G4_La,6.154,0.000,совпало,La1.000,element
star,CERIUM,6.657,G4_Ce,6.657,0.000,совпало,Ce1.000,element
star,PRASEODYMIUM,6.71,G4_Pr,6.71,0.000,совпало,Pr1.000,element
star,NEODYMIUM,6.9,G4_Nd,6.9,0.000,совпало,Nd1.000,element
star,PROMETHIUM,7.22,G4_Pm,7.22,0.000,совпало,Pm1.000,element
star,SAMARIUM,7.46,G4_Sm,7.46,0.000,совпало,Sm1.000,element
star,EUROPIUM,5.243,G4_Eu,5.243,0.000,совпало,Eu1.000,element
star,GADOLINIUM,7.9004,G4_Gd,7.9004,0.000,совпало,Gd1.000,element
star,TERBIUM,8.229,G4_Tb,8.229,0.000,совпало,Tb1.000,element
star,DYSPROSIUM,8.55,G4_Dy,8.55,0.000,совпало,Dy1.000,element
