group,spectrum,energy_kev,counts,fwhm_kev,fwhm_expected_kev,width_ratio,width_rel,nuclide,origin,detail
corpus,AS80_Th232_v2,339.42,5,81.85,27.83,2.941,1.176,Ac-228,сумма каскадная,36.0 + 293.3
corpus,AS80_Th232_v2,463.71,0,62.28,34.27,1.817,0.726,Ac-228,сумма случайная,236.6 + 236.6
corpus,AS80_Th232_v2,587.36,2,122.19,40.20,3.040,1.215,Tl-208,вылет двойной,двойной вылет 1598.4
corpus,AS80_Th232_v2,730.72,0,116.63,46.63,2.501,1.000,Bi-212,вылет двойной,двойной вылет 1755.1
corpus,AS80_Th232_v2,1245.13,0,103.47,67.21,1.539,0.615,Ac-228,вылет одиночный,одиночный вылет 1755.1
corpus,AS80_Th232_v2,1598.40,0,188.39,79.90,2.358,0.943,DE-2615,вылет двойной,двойной вылет 2612.9
corpus,AS80_Th232_v2,2114.83,0,269.01,97.09,2.771,1.108,SE-2615,вылет одиночный,одиночный вылет 2612.9
corpus,AS80_UGlass,61.65,296,27.79,9.68,2.871,1.044,Th-227,обратное рассеяние,рассеяние от 93.1; родителей 1; площадь/родителя 1.06
corpus,AS80_UGlass,93.08,279,33.98,12.35,2.750,1.000,U-235,обратное рассеяние,рассеяние от 186.0; родителей 1; площадь/родителя 17.44
corpus,AS80_UGlass,144.29,4,34.09,16.20,2.105,0.765,Ra-223,сумма случайная,61.7 + 93.1
corpus,AS80_UGlass,186.05,16,50.18,19.02,2.638,0.959,U-235,сумма случайная,93.1 + 93.1
corpus,AS80_UGlass,235.20,0,35.82,22.11,1.620,0.589,Th-227,сумма случайная,61.7 + 186.0
corpus,AS80_UGlass,1131.41,0,135.60,62.85,2.158,0.785,Pb-211,вылет двойной,двойной вылет 2152.5
corpus,AS80_UGlass,2152.53,0,304.10,98.06,3.101,1.128,,вылет одиночный,одиночный вылет 2663.7
corpus,ASN16_Am241,98.35,39,39.22,14.35,2.733,1.049,,сумма случайная,55.5 + 55.5
corpus,ASN16_BrazilNuts,134.61,0,38.41,16.96,2.265,0.887,,сумма случайная,47.8 + 80.3
corpus,ASN16_BrazilNuts,295.20,0,50.42,25.62,1.968,0.771,Pb-214,сумма случайная,47.8 + 241.9
corpus,ASN16_BrazilNuts,1593.72,0,93.20,63.23,1.474,0.578,Bi-214,вылет двойной,двойной вылет 2621.2
corpus,ASN16_Charoite,72.02,95,37.95,12.44,3.050,1.154,Pb-214,сумма случайная,38.8 + 38.8
corpus,ASN16_Charoite,144.10,2,46.86,17.36,2.699,1.022,,сумма случайная,72.0 + 72.0
corpus,ASN16_Charoite,1238.20,0,122.69,55.62,2.206,0.835,Bi-214,вылет одиночный,одиночный вылет 1756.8
corpus,ASN16_Cs137,77.08,409,35.78,12.42,2.881,1.045,,сумма случайная,31.2 + 31.2
corpus,ASN16_Cs137,448.20,56,111.30,31.77,3.504,1.271,,вылет двойной,двойной вылет 1465.4
corpus,ASN16_Cs137,1117.23,0,147.07,53.36,2.756,1.000,,вылет двойной,двойной вылет 2126.6
corpus,ASN16_Granite,128.86,1,49.31,16.42,3.002,1.167,Ac-228,обратное рассеяние,рассеяние от 242.8; родителей 1; площадь/родителя 0.20
corpus,ASN16_Granite,1597.11,0,97.10,64.48,1.506,0.585,DE-2615,вылет двойной,двойной вылет 2610.7
corpus,ASN16_Granite,2106.64,0,221.32,75.84,2.918,1.135,SE-2615,вылет одиночный,одиночный вылет 2610.7
corpus,ASN16_Lu176,55.39,203,34.54,11.13,3.102,1.166,Lu-176,обратное рассеяние,рассеяние от 89.2; родителей 1; площадь/родителя 11.28
corpus,ASN16_Lu176,123.08,3,32.69,16.32,2.002,0.753,,сумма случайная,55.4 + 55.4
corpus,ASN16_Lu176,152.24,2,59.57,18.13,3.285,1.235,,сумма случайная,55.4 + 89.2
corpus,ASN16_Lu176,304.32,47,74.90,25.76,2.908,1.093,Lu-176,сумма каскадная,89.2 + 201.4
corpus,ASN16_Lu176,370.33,0,50.94,28.52,1.786,0.672,,сумма случайная,55.4 + 304.3
corpus,ASN16_Lu176,511.05,2,94.93,33.80,2.808,1.056,,сумма каскадная,201.4 + 304.3
corpus,ASN16_Lu176,601.91,0,67.83,36.90,1.838,0.691,,сумма случайная,304.3 + 304.3
corpus,ASN16_Lu176_P0,510.50,0,100.04,34.32,2.915,1.044,,сумма каскадная,202.9 + 307.2
corpus,ASN16_Th232,124.12,50,37.59,16.17,2.324,1.000,Ac-228,сумма случайная,55.3 + 55.3
corpus,ASN16_Th232,405.53,4,38.06,29.87,1.274,0.548,Ac-228,сумма каскадная,55.3 + 337.2
corpus,ASN16_Th232,462.00,10,55.13,32.05,1.720,0.740,Ac-228,сумма случайная,238.1 + 238.1
corpus,ASN16_Th232,510.26,17,64.89,33.83,1.918,0.825,Tl-208,сумма каскадная,55.3 + 462.0
corpus,ASN16_Th232,583.65,52,93.89,36.42,2.578,1.109,Tl-208,сумма случайная,238.1 + 337.2
corpus,ASN16_Th232,973.03,5,88.21,48.40,1.822,0.784,Ac-228,сумма каскадная,55.3 + 912.5
corpus,ASN16_Th232,1103.33,0,113.81,51.97,2.190,0.942,Ac-228,вылет двойной,двойной вылет 2113.2
corpus,ASN16_Th232,1247.91,0,147.15,55.76,2.639,1.136,Ac-228,сумма каскадная,337.2 + 912.5
corpus,ASN16_Th232,1586.39,2,161.55,64.04,2.523,1.085,Ac-228,вылет двойной,двойной вылет 2614.4
corpus,ASN16_Th232,2113.20,0,176.13,75.78,2.324,1.000,SE-2615,вылет одиночный,одиночный вылет 2614.4
corpus,ASN16_Th232_Am241,55.04,1614,31.47,10.81,2.912,1.182,Ac-228,обратное рассеяние,рассеяние от 76.6; родителей 1; площадь/родителя 2.79
corpus,ASN16_Th232_Am241,130.85,28,35.97,16.58,2.169,0.881,,сумма случайная,55.0 + 76.6
corpus,ASN16_Th232_Am241,288.34,1,19.88,25.13,0.791,0.321,Bi-212,сумма случайная,55.0 + 237.9
corpus,ASN16_Th232_Am241,402.83,0,29.29,30.11,0.973,0.395,Ac-228,сумма каскадная,55.0 + 338.3
corpus,ASN16_Th232_Am241,579.25,7,106.01,36.71,2.888,1.172,Tl-208,вылет двойной,двойной вылет 1589.3
corpus,ASN16_Th232_Am241,724.77,1,102.22,41.50,2.463,1.000,Ac-228,вылет двойной,двойной вылет 1760.2
corpus,ASN16_Th232_Am241,785.54,0,40.40,43.37,0.932,0.378,Bi-212,сумма каскадная,55.0 + 724.8
corpus,ASN16_Th232_Am241,969.95,0,95.57,48.65,1.964,0.797,Ac-228,сумма каскадная,55.0 + 906.4
corpus,ASN16_Th232_Am241,1245.94,0,128.86,55.75,2.312,0.938,Ac-228,вылет одиночный,одиночный вылет 1760.2
corpus,ASN16_Th232_Am241,1589.28,0,176.28,63.67,2.769,1.124,Ac-228,вылет двойной,двойной вылет 2614.3
corpus,ASN16_Th232_Am241,2110.11,0,191.94,74.86,2.564,1.041,SE-2615,вылет одиночный,одиночный вылет 2614.3
corpus,ASN16_UGlass,62.39,223,33.86,11.54,2.934,1.079,Th-227,обратное рассеяние,рассеяние от 93.0; родителей 1; площадь/родителя 0.96
corpus,ASN16_UGlass,145.38,4,34.88,17.47,1.996,0.734,Ra-223,сумма случайная,62.4 + 93.0
corpus,ASN16_UGlass,187.75,16,53.63,19.93,2.691,0.990,U-235,сумма случайная,93.0 + 93.0
corpus,ASN16_UGlass,243.75,0,41.09,22.84,1.799,0.662,Th-227,сумма случайная,62.4 + 187.7
corpus,ASN3_Tile,128.97,10,17.03,12.76,1.335,1.446,Ac-228,обратное рассеяние,рассеяние от 238.2; родителей 1; площадь/родителя 0.53
corpus,ASN3_Tile,1587.00,0,34.26,45.13,0.759,0.823,Ac-228,сумма каскадная,129.0 + 1451.1
corpus,ASN8_Th232_1024,1104.36,2,18.65,55.06,0.339,1.023,Ac-228,вылет двойной,двойной вылет 2125.8
corpus,ASN8_Th232_1024,1241.64,1,16.71,58.94,0.284,0.856,Ac-228,сумма каскадная,129.1 + 1104.4
corpus,ASN8_Th232_1024,1588.63,4,23.49,68.23,0.344,1.040,Ac-228,вылет двойной,двойной вылет 2615.7
corpus,ASN8_Th232_2048,1242.15,0,33.43,64.73,0.516,0.792,Ac-228,сумма каскадная,340.5 + 907.4
corpus,ASN8_Th232_2048,1585.34,1,48.93,73.72,0.664,1.018,Ac-228,вылет двойной,двойной вылет 2614.2
corpus,ASN8_Th232_2048,2113.52,0,52.13,86.12,0.605,0.928,SE-2615,вылет одиночный,одиночный вылет 2614.2
corpus,ASN8_Th232_3000,73.86,2536,21.76,14.94,1.456,1.530,Pb-212,сумма случайная,32.6 + 32.6
corpus,ASN8_Th232_3000,1245.90,0,49.62,65.38,0.759,0.797,Ac-228,вылет одиночный,одиночный вылет 1764.6
corpus,ASN8_Th232_3000,1589.66,1,71.54,75.14,0.952,1.000,Ac-228,вылет двойной,двойной вылет 2609.4
corpus,ASN8_Th232_4096,132.33,28,20.46,20.02,1.022,0.808,,обратное рассеяние,рассеяние от 236.8; родителей 1; площадь/родителя 0.08
corpus,ASN8_Th232_4096,1244.79,0,67.43,63.74,1.058,0.836,Ac-228,вылет одиночный,одиночный вылет 1764.7
corpus,ASN8_Th232_4096,1585.02,1,96.66,72.70,1.330,1.051,Ac-228,вылет двойной,двойной вылет 2617.9
corpus,ASN8_Th232_4096,2111.21,0,101.85,85.24,1.195,0.945,SE-2615,вылет одиночный,одиночный вылет 2617.9
corpus,ASN8_Th232_8192,73.92,205,69.85,20.52,3.404,1.299,Pb-212,сумма случайная,35.2 + 35.2
corpus,ASN8_Th232_8192,134.60,3,36.58,24.85,1.472,0.562,,сумма случайная,73.9 + 73.9
corpus,ASN8_Th232_8192,725.57,0,113.56,44.69,2.541,0.970,Ac-228,вылет двойной,двойной вылет 1760.9
corpus,ASN8_Th232_8192,1245.80,0,138.80,54.83,2.531,0.966,Ac-228,вылет одиночный,одиночный вылет 1760.9
corpus,ASN8_Th232_8192,1584.58,0,177.13,60.29,2.938,1.122,Ac-228,вылет двойной,двойной вылет 2613.1
corpus,ASN8_Th232_8192,2111.79,0,174.68,67.78,2.577,0.984,SE-2615,вылет одиночный,одиночный вылет 2613.1
corpus,ASN8_UGlass,54.48,190,48.86,18.88,2.588,0.905,U-234,обратное рассеяние,рассеяние от 86.4; родителей 1; площадь/родителя 0.92
corpus,ASN8_UGlass,181.10,24,73.20,27.38,2.673,0.934,Ra-223,сумма случайная,86.4 + 86.4
corpus,ASN8_UGlass,257.22,0,31.50,30.82,1.022,0.357,Th-227,сумма случайная,86.4 + 181.1
corpus,G1S16_Ba133_P25,162.24,20,6.28,17.16,0.366,1.000,Ba-133,сумма каскадная,82.5 + 82.5
corpus,G1S16_Ba133_P25,358.37,111,10.81,28.61,0.378,1.032,Ba-133,сумма каскадная,54.1 + 303.3
corpus,G1S16_Ba133_P5,354.94,1230,10.83,28.46,0.381,1.179,Ba-133,сумма каскадная,53.9 + 300.5
corpus,G1S16_Cs137_Mar_2,441.39,3,13.43,32.07,0.419,1.000,,вылет двойной,двойной вылет 1460.1
corpus,G1S16_Cs137_P5,867.14,0,16.05,50.69,0.317,0.753,,сумма случайная,198.9 + 660.7
corpus,G1S16_Cs137_P5,1329.03,0,29.62,67.01,0.442,1.051,,сумма случайная,660.7 + 660.7
corpus,G1S16_Eu152_P25,245.57,97,7.99,22.28,0.359,1.000,Eu-152,сумма случайная,124.0 + 124.0
corpus,G1S16_Eu152_P25,1102.64,5,22.66,59.71,0.380,1.058,Eu-152,сумма каскадная,421.4 + 686.0
corpus,G1S16_Eu152_P5,245.80,577,8.10,22.34,0.363,0.992,Eu-152,сумма случайная,124.0 + 124.0
corpus,G1S16_Eu152_P5,572.65,5,13.84,38.69,0.358,0.978,Eu-152,сумма каскадная,124.0 + 442.3
corpus,G1S16_Eu152_P5,682.92,4,11.40,43.44,0.263,0.718,Eu-152,сумма каскадная,245.8 + 442.3
corpus,G1S16_Eu152_P5,1410.63,12,24.73,69.66,0.355,0.971,Eu-152,сумма каскадная,442.3 + 965.3
corpus,G1S16_Mix_Mar,49.88,7859,4.76,9.23,0.516,1.446,Esc-NaI,обратное рассеяние,рассеяние от 64.9; родителей 1; площадь/родителя 1.85
corpus,G1S16_Mix_Mar,113.01,1775,4.96,14.05,0.353,0.988,Eu-152,сумма случайная,49.9 + 64.9
corpus,G1S16_Mix_Mar,666.19,68,15.37,41.71,0.368,1.033,Cs-137,вылет двойной,двойной вылет 1691.4
corpus,G1S16_Ra226_Mar,147.05,30,5.99,16.42,0.364,1.022,,обратное рассеяние,рассеяние от 354.5; родителей 1; площадь/родителя 0.27
corpus,G1S16_Ra226_Mar,1247.40,0,18.46,62.76,0.294,0.825,SE-1764,вылет одиночный,одиночный вылет 1756.9
corpus,G1S16_Ra226_Mar,1385.73,0,22.76,67.22,0.339,0.950,Bi-214,сумма каскадная,613.2 + 774.2
corpus,G1S16_Ra226_Mar_2,147.44,61,6.98,16.39,0.426,1.211,,обратное рассеяние,рассеяние от 351.7; родителей 1; площадь/родителя 0.23
corpus,G1S16_Ra226_Mar_2,180.49,143,6.21,18.47,0.336,0.957,,обратное рассеяние,рассеяние от 613.1; родителей 1; площадь/родителя 2.01
corpus,G1S16_Ra226_Mar_2,1247.09,1,17.97,62.82,0.286,0.814,SE-1764,вылет одиночный,одиночный вылет 1751.8
corpus,G1S16_Th228_P25,2109.87,0,27.95,89.03,0.314,0.888,SE-2615,вылет одиночный,одиночный вылет 2622.8
corpus,G1S16_Th228_P5,1585.92,0,24.16,73.47,0.329,0.907,DE-2615,вылет двойной,двойной вылет 2618.3
corpus,G1S16_Th232_Denta100,123.47,12,4.79,14.86,0.322,0.987,Ac-228,обратное рассеяние,рассеяние от 238.5; родителей 1; площадь/родителя 0.24
corpus,G1S16_Th232_Denta100,585.12,3,13.44,38.50,0.349,1.068,Tl-208,вылет двойной,двойной вылет 1602.4
corpus,G1S16_Th232_Denta100,1602.37,0,24.84,73.89,0.336,1.029,DE-2615,вылет двойной,двойной вылет 2623.4
corpus,G1S16_Th232_Denta100,2125.86,0,27.84,89.09,0.312,0.956,SE-2615,вылет одиночный,одиночный вылет 2623.4
corpus,G1S16_Th232_Mar,1090.07,0,15.62,57.56,0.271,0.786,Bi-212,вылет двойной,двойной вылет 2119.2
corpus,G1S16_Th232_Mar,1587.85,0,26.81,73.51,0.365,1.056,Ac-228,вылет двойной,двойной вылет 2611.7
corpus,G1S16_Th232_Mar_2,124.24,133,4.94,14.87,0.332,0.960,Ac-228,обратное рассеяние,рассеяние от 234.0; родителей 1; площадь/родителя 0.29
corpus,G1S16_Th232_Mar_2,1597.80,0,26.94,73.79,0.365,1.055,DE-2615,вылет двойной,двойной вылет 2627.2
corpus,G1S16_Th232_Mar_2,2122.94,0,28.39,89.10,0.319,0.921,SE-2615,вылет одиночный,одиночный вылет 2627.2
corpus,G1S16_Th232_Mar_3,86.17,163,2.35,12.07,0.194,0.559,Tl-208,обратное рассеяние,рассеяние от 127.5; родителей 1; площадь/родителя 0.64
corpus,G1S16_Th232_Mar_3,127.46,255,5.21,15.10,0.345,0.993,Ac-228,сумма случайная,42.0 + 86.2
corpus,G1S16_Th232_Mar_3,461.60,7,7.39,33.18,0.223,0.641,Ac-228,сумма случайная,127.5 + 337.2
corpus,G1S16_Th232_Mar_3,1101.62,0,22.56,57.92,0.389,1.121,Ac-228,вылет двойной,двойной вылет 2116.1
corpus,G1S16_Th232_Mar_3,1251.26,0,18.65,62.92,0.296,0.853,Ac-228,сумма каскадная,337.2 + 910.5
corpus,G1S16_Th232_Mar_3,1590.56,1,28.72,73.60,0.390,1.123,DE-2615,вылет двойной,двойной вылет 2611.6
corpus,G1S16_Th232_Petri,1592.40,0,24.98,73.69,0.339,1.000,DE-2615,вылет двойной,двойной вылет 2604.9
corpus,G1S24_Bi207_P5,2341.78,0,36.44,100.71,0.362,0.967,,сумма каскадная,572.0 + 1757.8
corpus,G1S24_Co60_P5,139.16,32,6.81,17.52,0.389,1.012,DE-1173,сумма случайная,38.9 + 97.2
corpus,G1S24_Co60_P5,2516.38,0,37.98,104.85,0.362,0.943,,сумма каскадная,1173.7 + 1329.2
corpus,G1S24_Cs137_Denta120_2,443.24,1,19.99,36.01,0.555,1.526,,вылет двойной,двойной вылет 1455.8
corpus,G1S24_Eu152_P5,166.16,1523,6.78,19.35,0.350,0.972,,сумма случайная,39.4 + 126.4
corpus,G1S24_Eu152_P5,568.22,41,14.28,42.72,0.334,0.928,Eu-152,сумма каскадная,126.4 + 441.2
corpus,G1S24_Eu152_P5,1105.10,160,23.99,65.23,0.368,1.021,Eu-152,сумма каскадная,126.4 + 969.5
corpus,G1S24_Eu152_P5,1415.34,74,27.30,75.76,0.360,1.000,Eu-152,сумма каскадная,441.2 + 969.5
corpus,G1S24_Na22_P25,77.15,117,3.96,12.37,0.320,0.862,,сумма случайная,38.3 + 38.3
corpus,G1S24_Na22_P25,1006.06,3,27.34,60.46,0.452,1.217,,сумма случайная,503.7 + 503.7
corpus,G1S24_Na22_P5,103.43,130,4.24,15.10,0.280,0.761,,сумма случайная,52.2 + 52.2
corpus,G1S24_Na22_P5,1254.95,221,26.64,71.10,0.375,1.016,Na-22,вылет одиночный,одиночный вылет 1775.4
corpus,G1S24_Ra226_Denta120,154.58,6,5.62,18.42,0.305,0.884,,сумма случайная,77.2 + 77.2
corpus,G1S24_Ra226_Denta120,1243.77,0,14.74,70.29,0.210,0.608,Bi-214,вылет одиночный,одиночный вылет 1757.8
corpus,G1S24_Ra226_Denta120_2,145.60,24,6.65,17.74,0.375,1.087,,обратное рассеяние,рассеяние от 351.6; родителей 1; площадь/родителя 0.26
corpus,G1S24_Ra226_Denta120_2,1244.82,0,16.02,70.31,0.228,0.660,Bi-214,вылет одиночный,одиночный вылет 1762.5
