group,spectrum,energy_kev,counts,fwhm_kev,fwhm_expected_kev,width_ratio,width_rel,nuclide,origin,detail
corpus,G1S24_Th232_Denta120_2,1616.52,0,28.55,82.81,0.345,1.026,Bi-212,вылет двойной,двойной вылет 2630.2
corpus,G1S24_Th232_Mar,124.71,43,6.11,16.51,0.370,1.032,Ac-228,обратное рассеяние,рассеяние от 237.2; родителей 1; площадь/родителя 0.24
corpus,G1S24_Th232_Mar,587.61,10,14.95,42.44,0.352,0.982,Tl-208,вылет двойной,двойной вылет 1605.9
corpus,G1S24_Th232_Mar,1605.88,0,28.19,80.79,0.349,0.973,DE-2615,вылет двойной,двойной вылет 2621.8
corpus,G1S24_Th232_Mar,2110.75,0,36.01,96.54,0.373,1.040,SE-2615,вылет одиночный,одиночный вылет 2621.8
corpus,G1S24_Th232_Mar_2,586.35,120,14.89,43.37,0.343,0.992,Tl-208,вылет двойной,двойной вылет 1606.7
corpus,G1S24_Th232_Mar_2,1253.28,0,20.82,69.54,0.299,0.865,Ac-228,сумма каскадная,337.3 + 917.3
corpus,G1S24_Th232_Mar_2,1606.71,2,30.05,80.63,0.373,1.077,Bi-212,вылет двойной,двойной вылет 2614.0
corpus,G1S24_Th232_Petri,1118.73,0,20.98,65.54,0.320,0.935,SE-1631,вылет двойной,двойной вылет 2137.8
corpus,G1S24_Th232_Petri,1616.58,0,22.47,82.93,0.271,0.791,Bi-212,вылет одиночный,одиночный вылет 2137.8
corpus,G1S24_Th232_Petri_2,462.31,7,7.27,36.62,0.198,0.592,Ac-228,сумма каскадная,126.5 + 337.7
corpus,G1S24_Th232_Petri_2,584.81,85,14.65,42.73,0.343,1.022,Tl-208,вылет двойной,двойной вылет 1605.6
corpus,G1S24_Th232_Petri_2,1123.58,1,21.43,65.72,0.326,0.973,SE-1631,вылет двойной,двойной вылет 2144.4
corpus,G1S24_Th232_Petri_2,1605.64,1,27.69,82.59,0.335,1.000,DE-2615,вылет двойной,двойной вылет 2623.1
corpus,G1S24_Y88_P5,2493.22,0,40.18,106.16,0.378,1.035,,сумма случайная,655.4 + 1848.1
corpus,GS4000_Lu176,118.26,14,14.86,13.16,1.129,1.000,,сумма случайная,55.8 + 55.8
corpus,GS4000_Lu176,147.77,8,18.85,15.26,1.235,1.094,,сумма случайная,55.8 + 89.7
corpus,GS4000_Lu176,303.28,34,30.57,24.80,1.233,1.091,Lu-176,сумма каскадная,89.7 + 200.7
corpus,GS4000_Lu176,508.36,1,39.04,35.39,1.103,0.977,,сумма каскадная,200.7 + 303.3
corpus,GS4000_Ra226,155.37,12,19.41,15.81,1.228,1.124,,сумма случайная,79.9 + 79.9
corpus,GS4000_Ra226,245.38,20,22.62,21.51,1.052,0.962,Pb-214,сумма случайная,46.9 + 190.4
corpus,GS4000_Ra226,354.86,25,31.42,27.66,1.136,1.039,Pb-214,вылет двойной,двойной вылет 1387.1
corpus,GS4000_Ra226,1248.46,0,48.71,66.72,0.730,0.668,SE-1764,вылет одиночный,одиночный вылет 1756.2
corpus,GS4000_Ra226,1387.11,0,79.00,71.96,1.098,1.004,Bi-214,сумма каскадная,607.4 + 769.3
corpus,GS4000_Th232,87.50,49,7.66,10.90,0.703,0.692,Pb-212,обратное рассеяние,рассеяние от 128.7; родителей 1; площадь/родителя 2.72
corpus,GS4000_Th232,128.71,18,13.35,13.90,0.961,0.945,Ac-228,сумма случайная,40.6 + 87.5
corpus,GS4000_Th232,205.59,2,8.81,18.89,0.466,0.459,Ac-228,сумма случайная,74.1 + 128.7
corpus,GS4000_Th232,335.98,4,29.83,26.33,1.133,1.115,Ac-228,сумма случайная,87.5 + 238.4
corpus,GS4000_Th232,464.25,0,23.99,32.90,0.729,0.718,Ac-228,сумма каскадная,128.7 + 336.0
corpus,GS4000_Th232,584.46,1,43.37,38.63,1.123,1.105,Tl-208,вылет двойной,двойной вылет 1599.9
corpus,GS4000_Th232,2155.43,0,94.53,99.22,0.953,0.938,SE-2615,вылет одиночный,одиночный вылет 2673.3
corpus,GS4000_U,62.16,607,9.81,8.96,1.095,1.080,,сумма случайная,29.0 + 29.0
corpus,GS4000_U,92.51,518,12.23,11.43,1.070,1.055,Th-234,сумма случайная,29.0 + 62.2
corpus,GS4000_U,184.95,32,18.06,17.82,1.014,1.000,U-235,сумма случайная,92.5 + 92.5
corpus,HPGeGEM_Ra226,258.71,60,2.66,0.80,3.331,1.095,Pb-214,вылет двойной,двойной вылет 1281.4
corpus,HPGeGEM_Ra226,702.74,8,3.49,1.33,2.627,0.863,Bi-214,сумма случайная,352.1 + 352.1
corpus,HPGeGEM_Ra226,768.39,55,4.45,1.39,3.196,1.050,Bi-214,вылет одиночный,одиночный вылет 1281.4
corpus,HPGeGEM_Ra226,1377.68,14,5.61,1.89,2.973,0.977,Bi-214,сумма каскадная,609.3 + 768.4
corpus,HPGeGEM_Ra226,1729.43,6,6.74,2.13,3.167,1.041,Bi-214,сумма каскадная,609.3 + 1120.1
corpus,HPGeGEM_Ra226,1764.42,30,6.53,2.15,3.033,0.997,Bi-214,сумма каскадная,609.3 + 1155.1
corpus,HPGeGEM_Ra226,1847.40,4,6.69,2.20,3.033,0.997,Bi-214,сумма каскадная,609.3 + 1238.1
corpus,HPGeGEM_Th232,300.29,317,2.84,0.86,3.295,1.029,Pb-212,сумма случайная,89.9 + 209.3
corpus,HPGeGEM_Th232,328.09,240,3.04,0.90,3.377,1.054,Bi-212,сумма случайная,89.9 + 238.6
corpus,HPGeGEM_Th232,338.19,802,3.10,0.91,3.391,1.058,Ac-228,сумма каскадная,128.8 + 209.3
corpus,HPGeGEM_Th232,510.73,242,3.65,1.13,3.233,1.009,Tl-208,сумма случайная,238.6 + 270.3
corpus,HPGeGEM_Th232,860.52,49,4.57,1.47,3.099,0.967,Tl-208,сумма каскадная,277.6 + 583.3
corpus,HPGeGEM_Th232,1592.36,7,6.11,2.04,3.000,0.937,DE-2615,вылет двойной,двойной вылет 2614.4
corpus,HPGeGEM_Th232,2103.69,3,8.39,2.36,3.549,1.108,SE-2615,вылет одиночный,одиночный вылет 2614.4
corpus,HPGeGMX_Eu152,244.66,420,3.14,0.83,3.762,1.106,Eu-152,сумма случайная,121.8 + 121.8
corpus,HPGeGMX_Eu152,368.00,23,3.84,1.02,3.763,1.106,Eu-152,сумма каскадная,121.8 + 244.7
corpus,HPGeGMX_Eu152,488.50,9,3.92,1.17,3.348,0.984,Eu-152,сумма случайная,244.7 + 244.7
corpus,HPGeGMX_Eu152,564.06,6,4.27,1.25,3.408,1.002,Eu-152,сумма каскадная,121.8 + 444.2
corpus,HPGeGMX_Eu152,688.61,11,4.27,1.38,3.096,0.910,Eu-152,сумма случайная,344.4 + 344.4
corpus,HPGeGMX_Eu152,779.01,128,5.04,1.46,3.448,1.014,Eu-152,сумма каскадная,368.0 + 411.3
corpus,HPGeGMX_Eu152,1085.76,51,5.76,1.70,3.382,0.994,Eu-152,сумма каскадная,121.8 + 964.1
corpus,HPGeGMX_Eu152,1089.71,8,5.03,1.71,2.950,0.867,Eu-152,сумма каскадная,411.3 + 678.8
corpus,HPGeGMX_Eu152,1112.06,66,5.82,1.72,3.382,0.994,Eu-152,сумма каскадная,244.7 + 867.5
corpus,HPGeGMX_Eu152,1407.88,61,6.43,1.91,3.365,0.989,Eu-152,сумма каскадная,444.2 + 964.1
corpus,HPGeGMX_Eu152,1527.81,1,7.55,1.98,3.810,1.120,,сумма каскадная,121.8 + 1407.9
corpus,HPGeGMX_Th228,860.47,11,4.86,1.53,3.177,0.900,Tl-208,сумма каскадная,277.0 + 583.3
corpus,HPGeGMX_Th228,1592.18,2,6.45,2.02,3.200,0.907,DE-2615,вылет двойной,двойной вылет 2614.3
corpus,HPGeGMX_Th228,2102.68,1,9.21,2.26,4.067,1.152,SE-2615,вылет одиночный,одиночный вылет 2614.3
corpus,HPGeGMX_Th232,794.66,2,5.73,1.47,3.889,1.114,Ac-228,сумма случайная,209.1 + 583.3
corpus,HPGE_Uranium,32.06,3254,4.86,0.51,9.509,1.452,,обратное рассеяние,рассеяние от 36.4; родителей 1; площадь/родителя 3.09
corpus,HPGE_Uranium,49.46,142,3.93,0.59,6.664,1.017,,обратное рассеяние,рассеяние от 63.4; родителей 1; площадь/родителя 0.01
corpus,HPGE_Uranium,63.37,10604,4.77,0.64,7.435,1.135,Th-234,сумма случайная,32.1 + 32.1
corpus,HPGE_Uranium,90.04,262,4.63,0.72,6.428,0.981,U-235,обратное рассеяние,рассеяние от 143.9; родителей 1; площадь/родителя 0.45
corpus,HPGE_Uranium,92.52,11032,5.83,0.73,8.028,1.226,Th-234,сумма случайная,32.1 + 63.4
corpus,HPGE_Uranium,94.68,500,3.87,0.73,5.288,0.807,Ra-223,сумма случайная,32.1 + 63.4
corpus,HPGE_Uranium,98.49,960,5.32,0.74,7.165,1.094,Ra-223,сумма случайная,36.4 + 63.4
corpus,HPGE_Uranium,105.61,56,5.37,0.76,7.072,1.080,U-235,обратное рассеяние,рассеяние от 185.8; родителей 1; площадь/родителя 0.02
corpus,HPGE_Uranium,109.09,69,4.92,0.77,6.416,0.980,U-235,обратное рассеяние,рассеяние от 185.8; родителей 1; площадь/родителя 0.03
corpus,HPGE_Uranium,131.28,71,5.18,0.82,6.347,0.969,,сумма случайная,36.4 + 92.5
corpus,HPGE_Uranium,143.86,586,5.68,0.84,6.750,1.031,U-235,сумма случайная,32.1 + 112.9
corpus,HPGE_Uranium,163.40,240,5.75,0.88,6.550,1.000,U-235,сумма случайная,63.4 + 98.5
corpus,HPGE_Uranium,185.75,2306,6.17,0.92,6.744,1.030,U-235,сумма случайная,92.5 + 92.5
corpus,HPGE_Uranium,195.03,22,5.48,0.93,5.888,0.899,U-235,сумма случайная,98.5 + 98.5
corpus,HPGE_Uranium,205.29,176,6.18,0.95,6.532,0.997,U-235,сумма случайная,92.5 + 112.9
corpus,HPGE_Uranium,946.04,3,9.74,1.57,6.211,0.948,,вылет одиночный,одиночный вылет 1460.9
corpus,HPGE_Uranium,1001.09,68,10.78,1.60,6.744,1.030,Pa-234m,вылет одиночный,одиночный вылет 1510.5
corpus,LaBrBril_Eu152,442.21,39,5.71,15.86,0.360,0.965,Eu-152,вылет двойной,двойной вылет 1465.5
corpus,LaBrBril_Eu152,777.34,37,7.87,21.10,0.373,1.000,Eu-152,вылет одиночный,одиночный вылет 1291.2
corpus,LaBrBril_Eu152,1086.19,7,9.61,25.02,0.384,1.030,Eu-152,сумма каскадная,123.2 + 964.1
corpus,LaBrBril_Eu152,1291.19,2,9.15,27.34,0.335,0.898,Eu-152,вылет двойной,двойной вылет 2313.4
corpus,LaBrBril_Eu152,1405.41,11,9.64,28.55,0.338,0.906,Eu-152,сумма каскадная,442.2 + 964.1
corpus,LaBrBril_Th228,859.84,5,7.63,22.21,0.343,0.929,Tl-208,сумма каскадная,276.2 + 579.9
corpus,LaBrBril_Th228,1596.44,1,11.65,30.49,0.382,1.034,DE-2615,вылет одиночный,одиночный вылет 2107.6
corpus,RC101_I131,174.35,108,21.66,43.91,0.493,1.209,,сумма случайная,85.7 + 85.7
corpus,RC103_Th232Village,582.79,2,19.11,47.06,0.406,1.021,Tl-208,вылет двойной,двойной вылет 1596.4
corpus,RC103_Th232Village,1596.44,0,32.95,101.23,0.326,0.819,DE-2615,вылет двойной,двойной вылет 2622.4
corpus,RC103_Th232WT20,239.03,631,12.16,28.84,0.422,1.112,Pb-212,вылет двойной,двойной вылет 1258.5
corpus,RC103_Th232WT20,1258.52,0,35.67,78.46,0.455,1.199,Ac-228,сумма каскадная,335.7 + 920.2
corpus,RC103_Th232WT20,1584.20,2,33.81,91.07,0.371,0.979,Ac-228,вылет двойной,двойной вылет 2618.6
corpus,RC103_Th232WT20,2121.10,0,34.61,110.56,0.313,0.826,SE-2615,вылет одиночный,одиночный вылет 2618.6
