geometry,spectrum,preset,vessel
AS80_p67_contact_r28,contact52k__AS80_p67_contact_r28,Atom Spectra Pro 80x80,"диск П67 contact ρ 2.800 кольцо 1.0 мм"
AS80_p67_contact_r28,contact_cal0809__AS80_p67_contact_r28,Atom Spectra Pro 80x80,"диск П67 contact ρ 2.800 кольцо 1.0 мм"
AS80_p67_face81_r28,face81__AS80_p67_face81_r28,Atom Spectra Pro 80x80,"диск П67 face81 ρ 2.800 кольцо 1.0 мм"
AS80_p67_edge93_r28,edge93__AS80_p67_edge93_r28,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 2.800 кольцо 1.0 мм"
AS80_p67_contact_r33,contact52k__AS80_p67_contact_r33,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.300 кольцо 1.0 мм"
AS80_p67_contact_r33,contact_cal0809__AS80_p67_contact_r33,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.300 кольцо 1.0 мм"
AS80_p67_face81_r33,face81__AS80_p67_face81_r33,Atom Spectra Pro 80x80,"диск П67 face81 ρ 3.300 кольцо 1.0 мм"
AS80_p67_edge93_r33,edge93__AS80_p67_edge93_r33,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо 1.0 мм"
AS80_p67_contact_r38,contact52k__AS80_p67_contact_r38,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.800 кольцо 1.0 мм"
AS80_p67_contact_r38,contact_cal0809__AS80_p67_contact_r38,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.800 кольцо 1.0 мм"
AS80_p67_face81_r38,face81__AS80_p67_face81_r38,Atom Spectra Pro 80x80,"диск П67 face81 ρ 3.800 кольцо 1.0 мм"
AS80_p67_edge93_r38,edge93__AS80_p67_edge93_r38,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.800 кольцо 1.0 мм"
AS80_p67_contact_r42,contact52k__AS80_p67_contact_r42,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.200 кольцо 1.0 мм"
AS80_p67_contact_r42,contact_cal0809__AS80_p67_contact_r42,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.200 кольцо 1.0 мм"
AS80_p67_face81_r42,face81__AS80_p67_face81_r42,Atom Spectra Pro 80x80,"диск П67 face81 ρ 4.200 кольцо 1.0 мм"
AS80_p67_edge93_r42,edge93__AS80_p67_edge93_r42,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.200 кольцо 1.0 мм"
AS80_p67_edge93_r33_ring05,edge93__AS80_p67_edge93_r33_ring05,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо 0.5 мм"
AS80_p67_edge93_r33_ring20,edge93__AS80_p67_edge93_r33_ring20,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо 2.0 мм"
AS80_p67_contact_p13,contact52k__AS80_p67_contact_p13,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.345 кольцо 1.0 мм"
AS80_p67_contact_p13,contact_cal0809__AS80_p67_contact_p13,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.345 кольцо 1.0 мм"
AS80_p67_face81_p13,face81__AS80_p67_face81_p13,Atom Spectra Pro 80x80,"диск П67 face81 ρ 4.345 кольцо 1.0 мм"
AS80_p67_edge93_p13,edge93__AS80_p67_edge93_p13,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.345 кольцо 1.0 мм"
