spectrum,arm,member,reference,expected_z,z_at_judgement,threshold,round,verdict,rate,x_eq,z,share_pct,tied_to,screen,status
as80,base,Th-232,,,,,,,<1.255e+04,,,,,"Th-232 < 0.126 %",предел
as80,base,Ac-228,,,,,,,681.8,0.788,114.8,32.40,,"Ac-228 32.40%",свободен
as80,base,Th-228,,,,,,,1.821e+04,21.039,31.3,4.30,,"Th-228 4.30%",свободен
as80,base,Ra-224,,,,,,,8571,9.906,30.8,14.42,,"Ra-224 14.42%",свободен
as80,base,Rn-220,,,,,,,6.031e+04,69.695,36.8,3.12,,"Rn-220 3.12%",свободен
as80,base,Po-216,,,,,,,<3.859e+05,,,,,"свёрнут: не определяются (1) < 0.0768 %",предел
as80,base,Pb-212,,,,,,,414.2,0.479,16.2,8.69,,"Pb-212 8.69%",свободен
as80,base,Bi-212,,,,,,,655.1,0.757,28.3,3.54,,"Bi-212 3.54%",свободен
as80,base,Tl-208,,,,,,,864.9,1.000,136.8,33.53,,"Tl-208 33.53%",свободен
as80,both,Th-232,Pb-212,0.225,7.0,3,2,limit,<1.248e+04,,,,,"Th-232 < 0.126 %",предел (правило)
as80,both,Ac-228,Pb-212,170.039,108.4,3,5,free,686,0.793,108.4,34.87,,"Ac-228 34.87%",свободен
as80,both,Th-228,Pb-212,2.120,22.9,3,4,limit,<1335,,,,,"Th-228 < 0.239 %",предел (правило)
as80,both,Ra-224,,,,,,,1076,1.244,172.1,1.94,Pb-212,"Ra-224 — по Pb-212 1.94%",по Pb-212
as80,both,Rn-220,Pb-212,0.643,42.6,3,3,limit,<5536,,,,,"свёрнут: не определяются (2) < 0.163 %",предел (правило)
as80,both,Po-216,Pb-212,0.007,0.0,3,1,limit,<4.103e+05,,,,,"свёрнут: не определяются (2) < 0.163 %",предел (правило)
as80,both,Pb-212,,,,,,,1076,1.244,172.1,24.09,,"Pb-212 24.09%",свободен
as80,both,Bi-212,Pb-212,45.032,25.1,3,5,free,599.5,0.693,25.1,3.47,,"Bi-212 3.47%",свободен
as80,both,Tl-208,Pb-212,156.674,125.5,3,5,free,862.2,0.996,125.5,35.64,,"Tl-208 35.64%",свободен
as80,eq,Th-232,,,,,,,865.3,1.000,183.1,0.01,,"Th-232 — ряд 0.01%",свободен
as80,eq,Ac-228,,,,,,,865.3,1.000,183.1,41.20,,"Ac-228 — ряд Th-232 41.20%",свободен
as80,eq,Th-228,,,,,,,865.3,1.000,183.1,0.21,,"Th-228 — ряд Th-232 0.21%",свободен
as80,eq,Ra-224,,,,,,,865.3,1.000,183.1,1.52,,"Ra-224 — ряд Th-232 1.52%",свободен
as80,eq,Rn-220,,,,,,,865.3,1.000,183.1,0.05,,"Rn-220 — ряд Th-232 0.05%",свободен
as80,eq,Po-216,,,,,,,865.3,1.000,183.1,0.00,,"",свободен
as80,eq,Pb-212,,,,,,,865.3,1.000,183.1,18.88,,"Pb-212 — ряд Th-232 18.88%",свободен
as80,eq,Bi-212,,,,,,,865.3,1.000,183.1,5.45,,"Bi-212 — ряд Th-232 5.45%",свободен
as80,eq,Tl-208,,,,,,,865.3,1.000,183.1,32.68,,"Tl-208 — ряд Th-232 32.68%",свободен
as80,high,Th-232,Pb-212,0.225,7.0,1e+03,2,limit,<1.72e+04,,,,,"Th-232 < 0.18 %",предел (правило)
as80,high,Ac-228,Pb-212,127.318,77.7,1e+03,7,limit,<28.75,,,,,"Ac-228 < 0.73 %",предел (правило)
as80,high,Th-228,Pb-212,2.120,22.9,1e+03,4,limit,<1815,,,,,"Th-228 < 0.338 %",предел (правило)
as80,high,Ra-224,,,,,,,993.8,1.149,120.8,4.60,Pb-212,"Ra-224 — по Pb-212 4.60%",по Pb-212
as80,high,Rn-220,Pb-212,0.643,42.6,1e+03,3,limit,<7752,,,,,"свёрнут: не определяются (2) < 0.227 %",предел (правило)
as80,high,Po-216,Pb-212,0.007,0.0,1e+03,1,limit,<5.276e+05,,,,,"свёрнут: не определяются (2) < 0.227 %",предел (правило)
as80,high,Pb-212,,,,,,,993.8,1.149,120.8,75.26,,"Pb-212 75.26%",свободен
as80,high,Bi-212,Pb-212,45.032,25.1,1e+03,5,limit,<104.6,,,,,"Bi-212 < 0.219 %",предел (правило)
as80,high,Tl-208,Pb-212,153.595,122.1,1e+03,6,limit,<29.15,,,,,"Tl-208 < 0.336 %",предел (правило)
as80,lim,Th-232,Ac-228,0.119,0.6,3,2,limit,<1.287e+04,,,,,"Th-232 < 0.13 %",предел (правило)
as80,lim,Ac-228,,,,,,,705,0.815,113.4,35.12,,"Ac-228 35.12%",свободен
as80,lim,Th-228,Ac-228,1.121,30.6,3,4,limit,<1401,,,,,"Th-228 < 0.252 %",предел (правило)
as80,lim,Ra-224,Ac-228,2.274,19.9,3,5,limit,<771.7,,,,,"Ra-224 < 0.747 %",предел (правило)
as80,lim,Rn-220,Ac-228,0.415,36.8,3,3,limit,<5381,,,,,"свёрнут: не определяются (2) < 0.159 %",предел (правило)
as80,lim,Po-216,Ac-228,0.005,0.0,3,1,limit,<3.99e+05,,,,,"свёрнут: не определяются (2) < 0.159 %",предел (правило)
as80,lim,Pb-212,Ac-228,84.603,139.0,3,6,free,1159,1.339,139.0,25.62,,"Pb-212 25.62%",свободен
as80,lim,Bi-212,Ac-228,29.624,26.8,3,6,free,636.6,0.736,26.8,3.61,,"Bi-212 3.61%",свободен
as80,lim,Tl-208,Ac-228,104.884,131.4,3,6,free,883,1.020,131.4,35.65,,"Tl-208 35.65%",свободен
as80,tie,Th-232,,,,,,,3.45e+04,39.871,7.0,0.40,,"Th-232 0.40%",свободен
as80,tie,Ac-228,,,,,,,691.3,0.799,112.0,32.41,,"Ac-228 32.41%",свободен
as80,tie,Th-228,,,,,,,1.215e+04,14.040,23.7,2.84,,"Th-228 2.84%",свободен
as80,tie,Ra-224,,,,,,,1113,1.286,182.6,1.86,Pb-212,"Ra-224 — по Pb-212 1.86%",по Pb-212
as80,tie,Rn-220,,,,,,,7.382e+04,85.314,42.7,3.76,,"Rn-220 3.76%",свободен
as80,tie,Po-216,,,,,,,<3.986e+05,,,,,"свёрнут: не определяются (1) < 0.079 %",предел
as80,tie,Pb-212,,,,,,,1113,1.286,182.6,23.22,,"Pb-212 23.22%",свободен
as80,tie,Bi-212,,,,,,,629.8,0.728,26.8,3.36,,"Bi-212 3.36%",свободен
as80,tie,Tl-208,,,,,,,837.7,0.968,128.8,32.16,,"Tl-208 32.16%",свободен
radon1,base,Th-232,,,,,,,4184,,22.9,5.17,,"Th-232 5.17%",свободен
radon1,base,Ac-228,,,,,,,<8.325,,,,,"Ac-228 < 1.8 %",предел
radon1,base,Th-228,,,,,,,1336,,22.8,11.13,,"Th-228 11.13%",свободен
radon1,base,Ra-224,,,,,,,<103.4,,,,,"Ra-224 < 1.39 %",предел
radon1,base,Rn-220,,,,,,,<2150,,,,,"свёрнут: не определяются (5) < 0.907 %",предел
radon1,base,Po-216,,,,,,,<1.576e+05,,,,,"свёрнут: не определяются (5) < 0.907 %",предел
radon1,base,Pb-212,,,,,,,6.518,,6.7,2.39,,"Pb-212 2.39%",свободен
radon1,base,Bi-212,,,,,,,<49.76,,,,,"Bi-212 < 0.901 %",предел
radon1,base,Tl-208,,,,,,,11.66,,5.6,2.50,,"Tl-208 2.50%",свободен
radon1,base,Ra-226,,,,,,,<30.12,,,,,"Ra-226 < 0.474 %",предел
radon1,base,Rn-222,,,,,,,<2645,,,,,"свёрнут: не определяются (5) < 0.907 %",предел
radon1,base,Pb-214,,,,,,,131.6,,67.4,41.01,,"Pb-214 41.01%",свободен
radon1,base,Bi-214,,,,,,,141.8,,58.7,37.81,,"Bi-214 37.81%",свободен
radon1,base,Po-214,,,,,,,<2.917e+04,,,,,"свёрнут: не определяются (5) < 0.907 %",предел
radon1,base,Pb-210,,,,,,,<92.51,,,,,"Pb-210 < 1.1 %",предел
radon1,base,Po-210,,,,,,,<2.898e+05,,,,,"свёрнут: не определяются (5) < 0.907 %",предел
radon1,both,Th-232,Pb-212,0.022,15.7,3,4,limit,<593.6,,,,,"Th-232 < 0.601 %",предел (правило)
radon1,both,Ac-228,Pb-212,4.678,0.0,3,8,free,<7.8,,,,,"Ac-228 < 1.7 %",предел
radon1,both,Th-228,Pb-212,0.128,19.0,3,5,limit,<184.2,,,,,"Th-228 < 1.2 %",предел (правило)
radon1,both,Ra-224,,,,,,,10.83,,12.8,0.23,Pb-212,"Ra-224 — по Pb-212 0.23%",по Pb-212
radon1,both,Rn-220,Pb-212,0.009,0.0,3,2,limit,<2171,,,,,"свёрнут: не определяются (5) < 0.808 %",предел (правило)
radon1,both,Po-216,Pb-212,0.000,0.0,3,1,limit,<1.615e+05,,,,,"свёрнут: не определяются (5) < 0.808 %",предел (правило)
radon1,both,Pb-212,,,,,,,10.83,,12.8,4.25,,"Pb-212 4.25%",свободен
radon1,both,Bi-212,Pb-212,0.730,0.0,3,7,limit,<50.59,,,,,"Bi-212 < 0.922 %",предел (правило)
radon1,both,Tl-208,Pb-212,5.254,5.9,3,8,free,12.12,,5.7,2.79,,"Tl-208 2.79%",свободен
radon1,both,Ra-226,Pb-214,15.206,0.0,3,8,free,<30.15,,,,,"Ra-226 < 0.477 %",предел
