spectrum,arm,member,reference,expected_z,z_at_judgement,threshold,round,verdict,rate,x_eq,z,share_pct,tied_to,screen,status
radon1,both,Rn-222,Pb-214,0.171,0.0,3,6,limit,<2706,,,,,"свёрнут: не определяются (5) < 0.808 %",предел (правило)
radon1,both,Pb-214,,,,,,,136.1,,99.0,45.73,,"Pb-214 45.73%",свободен
radon1,both,Bi-214,Pb-214,58.891,61.3,3,8,free,141.5,,60.0,40.92,,"Bi-214 40.92%",свободен
radon1,both,Po-214,Pb-214,0.017,0.0,3,3,limit,<2.717e+04,,,,,"свёрнут: не определяются (5) < 0.808 %",предел (правило)
radon1,both,Pb-210,Pb-214,6.419,0.0,3,8,free,<67.23,,,,,"Pb-210 < 0.806 %",предел
radon1,both,Po-210,,,,,,,<2.717e+04,,,,Po-214,"свёрнут: не определяются (5) < 0.808 %",предел
radon1,eq,Th-232,,,,,,,7.794,,10.1,0.01,,"",свободен
radon1,eq,Ac-228,,,,,,,7.794,,10.1,2.69,,"Ac-228 — ряд Th-232 2.69%",свободен
radon1,eq,Th-228,,,,,,,7.794,,10.1,0.07,,"",свободен
radon1,eq,Ra-224,,,,,,,7.794,,10.1,0.17,,"Ra-224 — ряд Th-232 0.17%",свободен
radon1,eq,Rn-220,,,,,,,7.794,,10.1,0.00,,"",свободен
radon1,eq,Po-216,,,,,,,7.794,,10.1,0.00,,"",свободен
radon1,eq,Pb-212,,,,,,,7.794,,10.1,3.11,,"Pb-212 — ряд Th-232 3.11%",свободен
radon1,eq,Bi-212,,,,,,,7.794,,10.1,0.32,,"Bi-212 — ряд Th-232 0.32%",свободен
radon1,eq,Tl-208,,,,,,,7.794,,10.1,1.90,,"Tl-208 — ряд Th-232 1.90%",свободен
radon1,eq,Ra-226,,,,,,,134.5,,116.1,3.18,,"Ra-226 — ряд 3.18%",свободен
radon1,eq,Rn-222,,,,,,,134.5,,116.1,0.03,,"",свободен
radon1,eq,Pb-214,,,,,,,134.5,,116.1,46.59,,"Pb-214 — ряд Ra-226 46.59%",свободен
radon1,eq,Bi-214,,,,,,,134.5,,116.1,39.83,,"Bi-214 — ряд Ra-226 39.83%",свободен
radon1,eq,Po-214,,,,,,,134.5,,116.1,0.00,,"",свободен
radon1,eq,Pb-210,,,,,,,134.5,,116.1,2.10,,"Pb-210 — ряд Ra-226 2.10%",свободен
radon1,eq,Po-210,,,,,,,134.5,,116.1,0.00,,"",свободен
radon1,high,Th-232,Pb-212,0.022,15.7,1e+03,4,limit,<693.7,,,,,"Th-232 < 0.728 %",предел (правило)
radon1,high,Ac-228,Pb-212,4.678,0.0,1e+03,8,limit,<9.724,,,,,"Ac-228 < 2.2 %",предел (правило)
radon1,high,Th-228,Pb-212,0.128,19.0,1e+03,5,limit,<216.5,,,,,"Th-228 < 1.46 %",предел (правило)
radon1,high,Ra-224,,,,,,,20.14,,19.5,0.54,Pb-212,"Ra-224 — по Pb-212 0.54%",по Pb-212
radon1,high,Rn-220,Pb-212,0.009,0.0,1e+03,2,limit,<2569,,,,,"свёрнут: не определяются (5) < 0.979 %",предел (правило)
radon1,high,Po-216,Pb-212,0.000,0.0,1e+03,1,limit,<1.85e+05,,,,,"свёрнут: не определяются (5) < 0.979 %",предел (правило)
radon1,high,Pb-212,,,,,,,20.14,,19.5,9.67,,"Pb-212 9.67%",свободен
radon1,high,Bi-212,Pb-212,0.730,0.0,1e+03,7,limit,<59.84,,,,,"Bi-212 < 1.13 %",предел (правило)
radon1,high,Tl-208,Pb-212,5.265,6.0,1e+03,9,limit,<9.894,,,,,"Tl-208 < 0.936 %",предел (правило)
radon1,high,Ra-226,Pb-214,15.051,0.0,1e+03,11,limit,<34.28,,,,,"Ra-226 < 0.563 %",предел (правило)
radon1,high,Rn-222,Pb-214,0.171,0.0,1e+03,6,limit,<3220,,,,,"свёрнут: не определяются (5) < 0.979 %",предел (правило)
radon1,high,Pb-214,,,,,,,137.7,,60.5,73.95,,"Pb-214 73.95%",свободен
radon1,high,Bi-214,Pb-214,58.712,61.3,1e+03,12,limit,<8.641,,,,,"Bi-214 < 0.927 %",предел (правило)
radon1,high,Po-214,Pb-214,0.017,0.0,1e+03,3,limit,<3.106e+04,,,,,"свёрнут: не определяются (5) < 0.979 %",предел (правило)
radon1,high,Pb-210,Pb-214,6.661,0.0,1e+03,10,limit,<78.09,,,,,"Pb-210 < 0.972 %",предел (правило)
radon1,high,Po-210,,,,,,,<3.106e+04,,,,Po-214,"свёрнут: не определяются (5) < 0.979 %",предел
radon1,lim,Th-232,Pb-212,0.025,15.7,3,5,limit,<593.5,,,,,"Th-232 < 0.6 %",предел (правило)
radon1,lim,Ac-228,Pb-212,5.281,0.0,3,10,free,<7.799,,,,,"Ac-228 < 1.7 %",предел
radon1,lim,Th-228,Pb-212,0.145,18.7,3,6,limit,<185,,,,,"Th-228 < 1.2 %",предел (правило)
radon1,lim,Ra-224,Pb-212,0.462,0.0,3,8,limit,<86.73,,,,,"Ra-224 < 1.17 %",предел (правило)
radon1,lim,Rn-220,Pb-212,0.010,0.0,3,3,limit,<2170,,,,,"свёрнут: не определяются (5) < 0.931 %",предел (правило)
radon1,lim,Po-216,Pb-212,0.000,0.0,3,1,limit,<1.614e+05,,,,,"свёрнут: не определяются (5) < 0.931 %",предел (правило)
radon1,lim,Pb-212,,,,,,,12.22,,13.4,4.79,,"Pb-212 4.79%",свободен
radon1,lim,Bi-212,Pb-212,0.824,0.0,3,9,limit,<50.56,,,,,"Bi-212 < 0.921 %",предел (правило)
radon1,lim,Tl-208,Pb-212,5.933,5.9,3,10,free,12.07,,5.7,2.77,,"Tl-208 2.77%",свободен
radon1,lim,Ra-226,Pb-214,15.180,0.0,3,10,free,<30.13,,,,,"Ra-226 < 0.477 %",предел
radon1,lim,Rn-222,Pb-214,0.170,0.0,3,7,limit,<2705,,,,,"свёрнут: не определяются (5) < 0.931 %",предел (правило)
radon1,lim,Pb-214,,,,,,,135.8,,98.7,45.54,,"Pb-214 45.54%",свободен
radon1,lim,Bi-214,Pb-214,58.803,61.3,3,10,free,141.4,,60.1,40.83,,"Bi-214 40.83%",свободен
radon1,lim,Po-214,Pb-214,0.015,0.0,3,4,limit,<2.987e+04,,,,,"свёрнут: не определяются (5) < 0.931 %",предел (правило)
radon1,lim,Pb-210,Pb-214,6.405,0.0,3,10,free,<67.21,,,,,"Pb-210 < 0.806 %",предел
radon1,lim,Po-210,Pb-214,0.002,0.0,3,2,limit,<2.969e+05,,,,,"свёрнут: не определяются (5) < 0.931 %",предел (правило)
radon1,tie,Th-232,,,,,,,4199,,23.0,5.19,,"Th-232 5.19%",свободен
radon1,tie,Ac-228,,,,,,,<8.332,,,,,"Ac-228 < 1.8 %",предел
radon1,tie,Th-228,,,,,,,1344,,23.1,11.20,,"Th-228 11.20%",свободен
radon1,tie,Ra-224,,,,,,,5.873,,6.6,0.11,Pb-212,"Ra-224 — по Pb-212 0.11%",по Pb-212
radon1,tie,Rn-220,,,,,,,<2150,,,,,"свёрнут: не определяются (5) < 0.787 %",предел
radon1,tie,Po-216,,,,,,,<1.576e+05,,,,,"свёрнут: не определяются (5) < 0.787 %",предел
radon1,tie,Pb-212,,,,,,,5.873,,6.6,2.15,,"Pb-212 2.15%",свободен
radon1,tie,Bi-212,,,,,,,<49.77,,,,,"Bi-212 < 0.902 %",предел
radon1,tie,Tl-208,,,,,,,11.67,,5.6,2.50,,"Tl-208 2.50%",свободен
radon1,tie,Ra-226,,,,,,,<30.12,,,,,"Ra-226 < 0.474 %",предел
radon1,tie,Rn-222,,,,,,,<2645,,,,,"свёрнут: не определяются (5) < 0.787 %",предел
radon1,tie,Pb-214,,,,,,,131.7,,67.6,41.05,,"Pb-214 41.05%",свободен
radon1,tie,Bi-214,,,,,,,141.9,,58.7,37.80,,"Bi-214 37.80%",свободен
radon1,tie,Po-214,,,,,,,<2.652e+04,,,,,"свёрнут: не определяются (5) < 0.787 %",предел
radon1,tie,Pb-210,,,,,,,<92.48,,,,,"Pb-210 < 1.1 %",предел
radon1,tie,Po-210,,,,,,,<2.652e+04,,,,Po-214,"свёрнут: не определяются (5) < 0.787 %",предел
radon2,base,Th-232,,,,,,,1922,,14.1,21.32,,"Th-232 21.32%",свободен
radon2,base,Ac-228,,,,,,,<2.998,,,,,"Ac-228 < 2.81 %",предел
radon2,base,Th-228,,,,,,,<124.4,,,,,"Th-228 < 3.39 %",предел
radon2,base,Ra-224,,,,,,,<60.4,,,,,"Ra-224 < 3.4 %",предел
radon2,base,Rn-220,,,,,,,<1236,,,,,"свёрнут: не определяются (5) < 1.95 %",предел
radon2,base,Po-216,,,,,,,<7.45e+04,,,,,"свёрнут: не определяются (5) < 1.95 %",предел
radon2,base,Pb-212,,,,,,,16.14,,25.3,69.57,,"Pb-212 69.57%",свободен
radon2,base,Bi-212,,,,,,,<17.87,,,,,"Bi-212 < 1.32 %",предел
radon2,base,Tl-208,,,,,,,<4.829,,,,,"Tl-208 < 1.71 %",предел
radon2,base,Ra-226,,,,,,,<22.52,,,,,"Ra-226 < 1.48 %",предел
radon2,base,Rn-222,,,,,,,<1498,,,,,"свёрнут: не определяются (5) < 1.95 %",предел
radon2,base,Pb-214,,,,,,,<2.203,,,,,"Pb-214 < 2.25 %",предел
radon2,base,Bi-214,,,,,,,<2.878,,,,,"Bi-214 < 1.22 %",предел
radon2,base,Po-214,,,,,,,<1.364e+04,,,,,"свёрнут: не определяются (5) < 1.95 %",предел
radon2,base,Pb-210,,,,,,,51.57,,5.5,5.52,,"Pb-210 5.52%",свободен
radon2,base,Po-210,,,,,,,<1.371e+05,,,,,"свёрнут: не определяются (5) < 1.95 %",предел
radon2,both,Th-232,Pb-212,0.111,14.2,3,8,limit,<447,,,,,"Th-232 < 1.86 %",предел (правило)
radon2,both,Ac-228,Pb-212,14.261,0.0,3,11,free,<3.289,,,,,"Ac-228 < 3 %",предел
radon2,both,Th-228,Pb-212,0.374,0.0,3,9,limit,<128.6,,,,,"Th-228 < 3.41 %",предел (правило)
radon2,both,Ra-224,,,,,,,14.17,,22.2,2.89,Pb-212,"Ra-224 — по Pb-212 2.89%",по Pb-212
radon2,both,Rn-220,Pb-212,0.038,0.0,3,7,limit,<1349,,,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило)
radon2,both,Po-216,Pb-212,0.001,0.0,3,6,limit,<8.129e+04,,,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило)
radon2,both,Pb-212,,,,,,,14.17,,22.2,47.95,,"Pb-212 47.95%",свободен
radon2,both,Bi-212,Pb-212,2.507,0.0,3,10,limit,<19.33,,,,,"Bi-212 < 1.39 %",предел (правило)
radon2,both,Tl-208,Pb-212,8.962,0.0,3,11,free,<5.268,,,,,"Tl-208 < 1.82 %",предел
radon2,both,Ra-226,Pb-214,0.000,0.0,3,1,limit,<24.62,,,,,"Ra-226 < 1.57 %",предел (правило)
radon2,both,Rn-222,Pb-214,0.000,0.0,3,2,limit,<1633,,,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило)
radon2,both,Pb-214,,,,,,,<2.401,,,,,"Pb-214 < 2.39 %",предел
radon2,both,Bi-214,Pb-214,0.000,0.0,3,3,limit,<3.138,,,,,"Bi-214 < 1.29 %",предел (правило)
radon2,both,Po-214,Pb-214,0.000,0.0,3,5,limit,<1.355e+04,,,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило)
radon2,both,Pb-210,Pb-214,0.000,4.8,3,4,limit,<48,,,,,"Pb-210 < 2.43 %",предел (правило)
radon2,both,Po-210,,,,,,,<1.355e+04,,,,Po-214,"свёрнут: не определяются (5) < 1.81 %",предел
radon2,eq,Th-232,,,,,,,1.707,,3.2,0.05,,"Th-232 — ряд 0.05%",свободен
radon2,eq,Ac-228,,,,,,,1.707,,3.2,21.25,,"Ac-228 — ряд Th-232 21.25%",свободен
radon2,eq,Th-228,,,,,,,1.707,,3.2,0.46,,"Th-228 — ряд Th-232 0.46%",свободен
radon2,eq,Ra-224,,,,,,,1.707,,3.2,1.32,,"Ra-224 — ряд Th-232 1.32%",свободен
radon2,eq,Rn-220,,,,,,,1.707,,3.2,0.02,,"Rn-220 — ряд Th-232 0.02%",свободен
radon2,eq,Po-216,,,,,,,1.707,,3.2,0.00,,"",свободен
radon2,eq,Pb-212,,,,,,,1.707,,3.2,21.82,,"Pb-212 — ряд Th-232 21.82%",свободен
radon2,eq,Bi-212,,,,,,,1.707,,3.2,2.33,,"Bi-212 — ряд Th-232 2.33%",свободен
radon2,eq,Tl-208,,,,,,,1.707,,3.2,14.52,,"Tl-208 — ряд Th-232 14.52%",свободен
radon2,eq,Ra-226,,,,,,,<1.774,,,,,"Ra-226 — ряд < 3.35 %",предел
radon2,high,Th-232,Pb-212,0.111,14.2,1e+03,8,limit,<447,,,,,"Th-232 < 1.86 %",предел (правило)
radon2,high,Ac-228,Pb-212,14.261,0.0,1e+03,12,limit,<3.289,,,,,"Ac-228 < 3 %",предел (правило)
radon2,high,Th-228,Pb-212,0.374,0.0,1e+03,9,limit,<128.6,,,,,"Th-228 < 3.41 %",предел (правило)
radon2,high,Ra-224,,,,,,,14.17,,22.2,2.89,Pb-212,"Ra-224 — по Pb-212 2.89%",по Pb-212
radon2,high,Rn-220,Pb-212,0.038,0.0,1e+03,7,limit,<1349,,,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило)
radon2,high,Po-216,Pb-212,0.001,0.0,1e+03,6,limit,<8.129e+04,,,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило)
radon2,high,Pb-212,,,,,,,14.17,,22.2,47.95,,"Pb-212 47.95%",свободен
radon2,high,Bi-212,Pb-212,2.507,0.0,1e+03,10,limit,<19.33,,,,,"Bi-212 < 1.39 %",предел (правило)
radon2,high,Tl-208,Pb-212,8.962,0.0,1e+03,11,limit,<5.268,,,,,"Tl-208 < 1.82 %",предел (правило)
radon2,high,Ra-226,Pb-214,0.000,0.0,1e+03,1,limit,<24.62,,,,,"Ra-226 < 1.57 %",предел (правило)
radon2,high,Rn-222,Pb-214,0.000,0.0,1e+03,2,limit,<1633,,,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило)
radon2,high,Pb-214,,,,,,,<2.401,,,,,"Pb-214 < 2.39 %",предел
radon2,high,Bi-214,Pb-214,0.000,0.0,1e+03,3,limit,<3.138,,,,,"Bi-214 < 1.29 %",предел (правило)
radon2,high,Po-214,Pb-214,0.000,0.0,1e+03,5,limit,<1.355e+04,,,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило)
radon2,high,Pb-210,Pb-214,0.000,4.8,1e+03,4,limit,<48,,,,,"Pb-210 < 2.43 %",предел (правило)
radon2,high,Po-210,,,,,,,<1.355e+04,,,,Po-214,"свёрнут: не определяются (5) < 1.81 %",предел
radon2,lim,Th-232,Pb-212,0.122,14.3,3,9,limit,<448.7,,,,,"Th-232 < 1.87 %",предел (правило)
radon2,lim,Ac-228,Pb-212,15.600,0.0,3,13,free,<3.284,,,,,"Ac-228 < 3 %",предел
radon2,lim,Th-228,Pb-212,0.410,0.0,3,10,limit,<128.7,,,,,"Th-228 < 3.42 %",предел (правило)
radon2,lim,Ra-224,Pb-212,0.788,0.0,3,11,limit,<65.82,,,,,"Ra-224 < 3.61 %",предел (правило)
radon2,lim,Rn-220,Pb-212,0.042,0.0,3,8,limit,<1347,,,,,"свёрнут: не определяются (5) < 2.07 %",предел (правило)
radon2,lim,Po-216,Pb-212,0.001,0.0,3,7,limit,<8.123e+04,,,,,"свёрнут: не определяются (5) < 2.07 %",предел (правило)
radon2,lim,Pb-212,,,,,,,15.47,,22.4,51.03,,"Pb-212 51.03%",свободен
radon2,lim,Bi-212,Pb-212,2.754,0.0,3,12,limit,<19.32,,,,,"Bi-212 < 1.39 %",предел (правило)
radon2,lim,Tl-208,Pb-212,9.798,0.0,3,13,free,<5.263,,,,,"Tl-208 < 1.81 %",предел
radon2,lim,Ra-226,Pb-214,0.000,0.0,3,1,limit,<24.58,,,,,"Ra-226 < 1.57 %",предел (правило)
radon2,lim,Rn-222,Pb-214,0.000,0.0,3,2,limit,<1633,,,,,"свёрнут: не определяются (5) < 2.07 %",предел (правило)
radon2,lim,Pb-214,,,,,,,<2.401,,,,,"Pb-214 < 2.39 %",предел
radon2,lim,Bi-214,Pb-214,0.000,0.0,3,3,limit,<3.135,,,,,"Bi-214 < 1.29 %",предел (правило)
radon2,lim,Po-214,Pb-214,0.000,0.0,3,5,limit,<1.487e+04,,,,,"свёрнут: не определяются (5) < 2.07 %",предел (правило)
radon2,lim,Pb-210,Pb-214,0.000,5.3,3,4,limit,<48.15,,,,,"Pb-210 < 2.44 %",предел (правило)
radon2,lim,Po-210,Pb-214,0.000,0.0,3,6,limit,<1.495e+05,,,,,"свёрнут: не определяются (5) < 2.07 %",предел (правило)
radon2,tie,Th-232,,,,,,,1840,,13.6,21.15,,"Th-232 21.15%",свободен
radon2,tie,Ac-228,,,,,,,<2.982,,,,,"Ac-228 < 2.78 %",предел
radon2,tie,Th-228,,,,,,,<123.4,,,,,"Th-228 < 3.34 %",предел
radon2,tie,Ra-224,,,,,,,14.74,,25.2,3.88,Pb-212,"Ra-224 — по Pb-212 3.88%",по Pb-212
radon2,tie,Rn-220,,,,,,,<1229,,,,,"свёрнут: не определяются (5) < 1.69 %",предел
radon2,tie,Po-216,,,,,,,<7.404e+04,,,,,"свёрнут: не определяются (5) < 1.69 %",предел
radon2,tie,Pb-212,,,,,,,14.74,,25.2,66.37,,"Pb-212 66.37%",свободен
radon2,tie,Bi-212,,,,,,,<17.76,,,,,"Bi-212 < 1.31 %",предел
radon2,tie,Tl-208,,,,,,,<4.801,,,,,"Tl-208 < 1.69 %",предел
radon2,tie,Ra-226,,,,,,,<22.4,,,,,"Ra-226 < 1.46 %",предел
radon2,tie,Rn-222,,,,,,,<1488,,,,,"свёрнут: не определяются (5) < 1.69 %",предел
radon2,tie,Pb-214,,,,,,,<2.188,,,,,"Pb-214 < 2.23 %",предел
radon2,tie,Bi-214,,,,,,,<2.862,,,,,"Bi-214 < 1.21 %",предел
radon2,tie,Po-214,,,,,,,<1.235e+04,,,,,"свёрнут: не определяются (5) < 1.69 %",предел
radon2,tie,Pb-210,,,,,,,45.68,,4.9,5.02,,"Pb-210 5.02%",свободен
radon2,tie,Po-210,,,,,,,<1.235e+04,,,,Po-214,"свёрнут: не определяются (5) < 1.69 %",предел
