=== 0-30 кэВ ===
                       А (HEAD)     Б (правка)
net                       19964          19964
fit                           0          19964
model                     11859          11859
net-model                  8105           8105
fit-model                -11859           8105
continuum_raw              8701           8701
untied_tail                4833           4833
Ac-228                      358            126
Bi-212                      167            141
Bi-214                     3077              6
Pb-210                      577            337
Pb-212                      307              8
Pb-214                     6925           2537
Ra-224                       15              0
Ra-226                      290              0
Tl-208                      133              3
continuum                     0           8701
other                        12              1
=== 30-40 кэВ ===
                       А (HEAD)     Б (правка)
net                        5346           5346
fit                           0           5346
model                      8706           8706
net-model                 -3360          -3360
fit-model                 -8706          -3360
continuum_raw              5026           5026
untied_tail                   0              0
Ac-228                      200             67
Bi-212                       62             50
Bi-214                     1941            126
Pb-210                     1615           1501
Pb-212                      253             77
Pb-214                     4346           1834
Ra-224                        9              0
Ra-226                      176              5
Tl-208                       97             20
continuum                     0           5026
other                         8              1
=== 40-64 кэВ ===
                       А (HEAD)     Б (правка)
net                       27840          27840
fit                           0          27840
model                     23731          23731
net-model                  4109           4109
fit-model                -23731           4109
continuum_raw             13240          13240
untied_tail                   0              0
Ac-228                      513            153
Bi-212                       51             21
Bi-214                     6418           1430
Pb-210                     2267           2218
Pb-212                      894            425
Pb-214                    12629           6005
Ra-224                       31              6
Ra-226                      589            117
Tl-208                      302             94
continuum                     0          13240
other                        38             20
=== 64-100 кэВ ===
                       А (HEAD)     Б (правка)
net                       51971          51971
fit                           0          51971
model                     46500          46500
net-model                  5471           5471
fit-model                -46500           5471
continuum_raw             19862          19862
untied_tail                   0              0
Ac-228                     1121            526
Bi-212                       67             17
Bi-214                    11823           3375
Pb-210                        0              0
Pb-212                     2579           2018
Pb-214                    28640          19592
Ra-224                       74             34
Ra-226                     1551            791
Tl-208                      541            201
continuum                     0          19862
other                       103             83
=== 30-100 кэВ ===
                       А (HEAD)     Б (правка)
net                       85157          85157
fit                           0          85157
model                     78938          78938
net-model                  6220           6220
fit-model                -78938           6220
continuum_raw             38128          38128
untied_tail                   0              0
Ac-228                     1834            746
Bi-212                      181             88
Bi-214                    20182           4930
Pb-210                     3882           3720
Pb-212                     3725           2521
Pb-214                    45615          27431
Ra-224                      114             40
Ra-226                     2317            913
Tl-208                      940            315
continuum                     0          38128
other                       149            105
=== 100-230 кэВ ===
                       А (HEAD)     Б (правка)
net                       21262          21262
fit                           0          21251
model                     33281          33281
net-model                -12018         -12018
fit-model                -33281         -12030
continuum_raw             10078          10078
untied_tail                   0              0
Ac-228                     1275           1275
Bi-212                       77             77
Bi-214                    12218          12218
Pb-210                        0              0
Pb-212                     1198           1198
Pb-214                    13675          13675
Ra-224                       95             95
Ra-226                     4197           4197
Tl-208                      498            498
continuum                     0              0
other                        48             48
=== 230-3000 кэВ ===
                       А (HEAD)     Б (правка)
net                       90954          90954
fit                           0          90401
model                     90236          90236
net-model                   718            718
fit-model                -90236            165
continuum_raw             14065          14065
untied_tail                   0              0
Ac-228                     2282           2282
Bi-212                      266            266
Bi-214                    50200          50200
Pb-210                        0              0
Pb-212                     1398           1398
Pb-214                    33471          33471
Ra-224                      130            130
Ra-226                        0              0
Tl-208                     2453           2453
continuum                     0              0
other                        36             36
тождество стека max|Σ слоёв − model|: А 3.000e-03 (10 слоёв), Б 3.000e-03 (11 слоёв)
