RESULT decays=4000000
RESULT any=752451 eps_total=1.881127e-01
RESULT window=2614.511 counts=182529 eps=4.563225e-02
HISTBEGIN bins=2616 bin_kev=1.000000 decays=4000000
HIST 0 45
HIST 1 103
HIST 2 111
HIST 3 122
HIST 4 137
HIST 5 160
HIST 6 138
HIST 7 162
HIST 8 139
HIST 9 165
HIST 10 147
HIST 11 150
HIST 12 145
HIST 13 142
HIST 14 140
HIST 15 160
HIST 16 151
HIST 17 136
HIST 18 149
HIST 19 171
HIST 20 164
HIST 21 157
HIST 22 138
HIST 23 145
HIST 24 149
HIST 25 136
HIST 26 151
HIST 27 145
HIST 28 157
HIST 29 131
HIST 30 142
HIST 31 129
HIST 32 153
HIST 33 147
HIST 34 138
HIST 35 134
HIST 36 151
HIST 37 159
HIST 38 156
HIST 39 157
HIST 40 155
HIST 41 175
HIST 42 151
HIST 43 152
HIST 44 142
HIST 45 149
HIST 46 159
HIST 47 156
HIST 48 168
HIST 49 163
HIST 50 148
HIST 51 179
HIST 52 167
HIST 53 137
HIST 54 147
HIST 55 138
HIST 56 136
HIST 57 161
HIST 58 153
HIST 59 153
HIST 60 151
HIST 61 155
HIST 62 162
HIST 63 134
HIST 64 127
HIST 65 148
HIST 66 142
HIST 67 160
HIST 68 167
HIST 69 148
HIST 70 140
HIST 71 164
HIST 72 143
HIST 73 172
HIST 74 150
HIST 75 152
HIST 76 155
HIST 77 150
HIST 78 124
HIST 79 134
HIST 80 158
HIST 81 155
HIST 82 137
HIST 83 155
HIST 84 146
HIST 85 150
HIST 86 150
HIST 87 157
HIST 88 148
HIST 89 139
HIST 90 152
HIST 91 149
HIST 92 149
HIST 93 129
HIST 94 148
HIST 95 145
HIST 96 160
HIST 97 148
HIST 98 138
HIST 99 157
HIST 100 172
HIST 101 156
HIST 102 161
HIST 103 148
HIST 104 152
HIST 105 166
HIST 106 133
HIST 107 155
HIST 108 153
HIST 109 129
HIST 110 153
HIST 111 154
HIST 112 141
HIST 113 160
HIST 114 172
HIST 115 145
HIST 116 144
HIST 117 151
HIST 118 118
HIST 119 137
HIST 120 153
HIST 121 152
HIST 122 157
HIST 123 170
HIST 124 169
HIST 125 150
HIST 126 139
HIST 127 135
HIST 128 149
HIST 129 171
HIST 130 129
HIST 131 162
HIST 132 141
HIST 133 126
HIST 134 157
HIST 135 134
HIST 136 137
HIST 137 169
HIST 138 157
HIST 139 155
HIST 140 144
HIST 141 148
HIST 142 141
HIST 143 157
HIST 144 139
HIST 145 169
HIST 146 163
HIST 147 152
HIST 148 148
HIST 149 147
HIST 150 136
HIST 151 157
HIST 152 160
HIST 153 130
HIST 154 156
HIST 155 138
HIST 156 145
HIST 157 129
HIST 158 149
HIST 159 159
HIST 160 179
HIST 161 157
HIST 162 147
HIST 163 145
HIST 164 132
HIST 165 143
HIST 166 171
HIST 167 147
HIST 168 157
HIST 169 145
HIST 170 160
HIST 171 142
HIST 172 134
HIST 173 146
HIST 174 145
HIST 175 167
HIST 176 120
HIST 177 147
HIST 178 137
HIST 179 155
HIST 180 145
HIST 181 136
HIST 182 145
HIST 183 135
HIST 184 155
HIST 185 148
HIST 186 149
HIST 187 145
HIST 188 139
HIST 189 151
HIST 190 161
HIST 191 143
HIST 192 173
HIST 193 139
HIST 194 148
HIST 195 132
HIST 196 146
HIST 197 142
HIST 198 151
HIST 199 145
HIST 200 119
HIST 201 135
HIST 202 168
HIST 203 149
HIST 204 140
HIST 205 152
HIST 206 137
HIST 207 149
HIST 208 139
HIST 209 143
HIST 210 162
HIST 211 138
HIST 212 170
HIST 213 150
HIST 214 139
HIST 215 143
HIST 216 140
HIST 217 142
HIST 218 151
HIST 219 161
HIST 220 163
HIST 221 160
HIST 222 140
HIST 223 137
HIST 224 149
HIST 225 156
HIST 226 150
HIST 227 148
HIST 228 158
HIST 229 156
HIST 230 148
HIST 231 147
HIST 232 140
HIST 233 158
HIST 234 167
HIST 235 154
HIST 236 158
HIST 237 122
HIST 238 142
HIST 239 135
HIST 240 133
HIST 241 165
HIST 242 165
HIST 243 140
HIST 244 169
HIST 245 147
HIST 246 146
HIST 247 149
HIST 248 135
HIST 249 138
HIST 250 161
HIST 251 167
HIST 252 149
HIST 253 137
HIST 254 178
HIST 255 137
HIST 256 133
HIST 257 158
HIST 258 135
HIST 259 138
HIST 260 155
HIST 261 145
HIST 262 165
HIST 263 150
HIST 264 151
HIST 265 134
HIST 266 168
HIST 267 174
HIST 268 146
HIST 269 173
HIST 270 166
HIST 271 163
HIST 272 141
HIST 273 147
HIST 274 139
HIST 275 139
HIST 276 160
HIST 277 180
HIST 278 160
HIST 279 165
HIST 280 153
HIST 281 145
HIST 282 148
HIST 283 137
HIST 284 156
HIST 285 132
HIST 286 142
HIST 287 151
HIST 288 154
HIST 289 139
HIST 290 146
HIST 291 163
HIST 292 140
HIST 293 132
HIST 294 154
HIST 295 149
HIST 296 163
HIST 297 156
HIST 298 172
HIST 299 170
HIST 300 145
HIST 301 151
HIST 302 152
HIST 303 158
HIST 304 138
HIST 305 171
HIST 306 146
HIST 307 135
HIST 308 148
HIST 309 136
HIST 310 155
HIST 311 155
HIST 312 157
HIST 313 156
HIST 314 156
HIST 315 170
HIST 316 159
HIST 317 160
HIST 318 160
HIST 319 163
HIST 320 136
HIST 321 148
HIST 322 138
HIST 323 154
HIST 324 155
HIST 325 148
HIST 326 163
HIST 327 156
HIST 328 144
HIST 329 153
HIST 330 165
HIST 331 148
HIST 332 157
HIST 333 149
HIST 334 162
HIST 335 143
HIST 336 173
HIST 337 147
HIST 338 151
HIST 339 141
HIST 340 126
HIST 341 159
HIST 342 138
HIST 343 127
HIST 344 177
HIST 345 138
HIST 346 152
HIST 347 143
HIST 348 170
HIST 349 170
HIST 350 179
HIST 351 150
HIST 352 164
HIST 353 164
HIST 354 144
HIST 355 139
HIST 356 193
HIST 357 151
HIST 358 151
HIST 359 156
HIST 360 171
HIST 361 145
HIST 362 131
HIST 363 153
HIST 364 144
HIST 365 150
HIST 366 172
HIST 367 171
HIST 368 159
HIST 369 150
HIST 370 145
HIST 371 162
HIST 372 128
HIST 373 154
HIST 374 146
HIST 375 139
HIST 376 145
HIST 377 159
HIST 378 123
HIST 379 140
HIST 380 147
HIST 381 178
HIST 382 137
HIST 383 139
HIST 384 156
HIST 385 139
HIST 386 132
HIST 387 151
HIST 388 159
HIST 389 150
HIST 390 155
HIST 391 167
HIST 392 126
HIST 393 144
HIST 394 154
HIST 395 143
HIST 396 146
HIST 397 154
HIST 398 151
HIST 399 124
HIST 400 167
HIST 401 158
HIST 402 149
HIST 403 135
HIST 404 159
HIST 405 136
HIST 406 128
HIST 407 158
HIST 408 141
HIST 409 152
HIST 410 159
HIST 411 163
HIST 412 163
HIST 413 136
HIST 414 144
HIST 415 141
HIST 416 155
HIST 417 159
HIST 418 145
HIST 419 143
HIST 420 149
HIST 421 161
HIST 422 154
HIST 423 137
HIST 424 127
HIST 425 151
HIST 426 159
HIST 427 122
HIST 428 149
HIST 429 120
HIST 430 138
HIST 431 145
HIST 432 154
HIST 433 146
HIST 434 168
HIST 435 141
HIST 436 143
HIST 437 148
HIST 438 137
HIST 439 171
HIST 440 158
HIST 441 139
HIST 442 161
HIST 443 176
HIST 444 153
HIST 445 128
HIST 446 147
HIST 447 147
HIST 448 149
HIST 449 159
HIST 450 159
HIST 451 138
HIST 452 148
HIST 453 143
HIST 454 147
HIST 455 142
HIST 456 136
HIST 457 153
HIST 458 141
HIST 459 162
HIST 460 151
HIST 461 154
HIST 462 162
HIST 463 166
HIST 464 158
HIST 465 139
HIST 466 149
HIST 467 164
HIST 468 141
HIST 469 147
HIST 470 147
HIST 471 158
HIST 472 134
HIST 473 159
HIST 474 153
HIST 475 155
HIST 476 152
HIST 477 165
HIST 478 152
HIST 479 139
HIST 480 156
HIST 481 145
HIST 482 112
HIST 483 153
HIST 484 129
HIST 485 152
HIST 486 147
HIST 487 142
HIST 488 157
HIST 489 157
HIST 490 154
HIST 491 154
HIST 492 149
HIST 493 142
HIST 494 168
HIST 495 152
HIST 496 137
HIST 497 155
HIST 498 156
HIST 499 160
HIST 500 139
HIST 501 150
HIST 502 144
HIST 503 170
HIST 504 167
HIST 505 166
HIST 506 156
HIST 507 148
HIST 508 139
HIST 509 153
HIST 510 171
HIST 511 142
HIST 512 143
HIST 513 151
HIST 514 140
HIST 515 140
HIST 516 164
HIST 517 154
HIST 518 183
HIST 519 161
HIST 520 146
HIST 521 174
HIST 522 163
HIST 523 152
HIST 524 154
HIST 525 163
HIST 526 151
HIST 527 147
HIST 528 157
HIST 529 170
HIST 530 161
HIST 531 152
HIST 532 143
HIST 533 161
HIST 534 135
HIST 535 175
HIST 536 154
HIST 537 154
HIST 538 160
HIST 539 144
HIST 540 169
HIST 541 153
HIST 542 149
HIST 543 150
HIST 544 147
HIST 545 162
HIST 546 142
HIST 547 178
HIST 548 146
HIST 549 135
HIST 550 157
HIST 551 149
HIST 552 141
HIST 553 148
HIST 554 134
HIST 555 148
HIST 556 146
HIST 557 166
HIST 558 138
HIST 559 138
HIST 560 134
HIST 561 162
HIST 562 141
HIST 563 125
HIST 564 160
HIST 565 146
HIST 566 153
HIST 567 155
HIST 568 157
HIST 569 154
HIST 570 149
HIST 571 139
HIST 572 145
HIST 573 138
HIST 574 160
HIST 575 147
HIST 576 155
HIST 577 169
HIST 578 143
HIST 579 182
HIST 580 142
HIST 581 154
HIST 582 168
HIST 583 128
HIST 584 141
HIST 585 152
HIST 586 137
HIST 587 150
HIST 588 158
HIST 589 167
HIST 590 147
HIST 591 148
HIST 592 159
HIST 593 158
HIST 594 163
HIST 595 172
HIST 596 146
HIST 597 159
HIST 598 157
HIST 599 168
HIST 600 146
HIST 601 151
HIST 602 142
HIST 603 154
HIST 604 129
HIST 605 144
HIST 606 154
HIST 607 136
HIST 608 144
HIST 609 168
HIST 610 131
HIST 611 130
HIST 612 134
