call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,34,22,1020,0,21,0,1.0354196853321835E-08,103.54196853321835,-518067.61964382575,-1.181553832126879E-08,-1.1411351830227303,5.6090243560902309E-11,0
2,34,22,1020,0,21,0,1.0354196853321835E-08,103.54196853321835,-518067.61964382575,-1.181553832126879E-08,-1.1411351830227303,5.6090243560902309E-11,0
3,34,22,1020,0,21,0,1.0248264873050788E-08,102.48264873050788,-357166.80855461891,-3.1762353998442075E-09,-0.30992908938141833,1.3935874676462845E-10,0
4,34,22,1020,0,21,0,1.0312310632599748E-08,103.12310632599748,-395388.79875105823,-1.456049154936713E-09,-0.14119523808115164,3.482369947960251E-11,0
5,34,21,1020,0,20,0,1.0354196853321835E-08,103.54196853321835,-515176.78608213639,-1.7124166680388623E-08,-1.6538382380565659,6.5568883655942045E-11,0
6,34,23,1020,0,22,0,1.023987430764728E-08,102.3987430764728,-350214.18274400651,-5.2405910241783014E-09,-0.51178274915587152,1.0731326938184793E-10,0
7,34,23,1020,0,22,0,1.0300281102323898E-08,103.00281102323898,-385463.96209050843,-3.4776778027221832E-09,-0.33762940721467949,2.4606094939372269E-11,0
8,34,21,1020,0,20,0,1.0354196853321835E-08,103.54196853321835,-528988.27081890544,-1.5196462550375057E-08,-1.4676621244167021,7.8998141361807939E-11,0
9,34,22,1020,0,21,0,1.0287063611167852E-08,102.87063611167851,-410666.26750851714,-2.1629501604023313E-09,-0.21025923841417557,1.2633449841814581E-10,0
10,34,21,1020,0,20,0,1.0339477716137246E-08,103.39477716137245,-452410.51275330083,-3.4088367038631586E-10,-0.032969138262591811,2.773248297671671E-11,0
11,34,21,1020,0,20,0,1.0354196853321835E-08,103.54196853321835,-522544.4514453733,-3.5884421240704811E-08,-3.4656885269853031,3.177547114319168E-11,0
12,34,22,1020,0,21,0,1.0248287593333225E-08,102.48287593333224,-380130.44908761204,-9.1441264753745168E-09,-0.892258964446217,2.5929836056093336E-10,0
13,34,22,1020,0,21,0,1.0315740412181164E-08,103.15740412181164,-418957.54695320677,-6.0799245987087558E-09,-0.58938324887754856,1.3224621397966985E-10,0
14,34,21,1020,0,20,0,1.0354196853321835E-08,103.54196853321835,-524221.31417231332,-2.7764389426027464E-08,-2.6814623885695283,3.1302249681175454E-10,0
15,34,22,1020,0,21,0,1.0256157281378842E-08,102.56157281378842,-394500.38330810837,-6.4164302028172374E-09,-0.6256173756682688,3.5268499232188333E-10,0
16,34,22,1020,0,21,0,1.0323935860493943E-08,103.23935860493943,-435289.85826201638,-3.6893723961410672E-09,-0.35736103420198423,7.4578565545380116E-11,0
17,25,21,750,0,20,0,1.0354196853321835E-08,103.54196853321835,-524221.31417231332,-0.0026420169391748647,-255163.86993620393,3.1302249681175454E-10,0
18,25,21,750,0,20,0,1.0256157281378842E-08,102.56157281378842,-394497.72921049251,-0.00094927736108900429,-92556.825626350284,1.7024603948812E-11,0
19,25,21,750,0,20,0,1.0324080122677598E-08,103.24080122677597,-435295.22883630346,-0.0007390434974326285,-71584.440323091389,6.4460436988156289E-11,0
