спектр             нуклид     паспорт      rev30      rev31      r30      r31
G1S16_Am241_P25    Am-241    117537.1   122780.0   122690.0    1.045    1.044
G1S16_Am241_P5     Am-241    117537.1   111600.0   111630.0    0.949    0.950
G1S16_Ba133_P25    Ba-133     26718.6    26222.0    26227.0    0.981    0.982
G1S16_Ba133_P5     Ba-133     26723.5    24903.0    24909.0    0.932    0.932
G1S16_Ce139_P25    Ce-139      2058.8     1953.3     1952.2    0.949    0.948
G1S16_Ce139_P5     Ce-139      2069.2     1869.5     1869.6    0.904    0.904
G1S16_Co57_P5      Co-57         82.1       79.5       79.5    0.968    0.968
G1S16_Co60_P25     Co-60      39539.6    38633.0    38755.0    0.977    0.980
G1S16_Co60_P5      Co-60      39553.8    37862.0    37773.0    0.957    0.955
G1S16_Cs137_P25    Cs-137     79026.2    78282.0    78249.0    0.991    0.990
G1S16_Cs137_P5     Cs-137     79026.2    76442.0    76478.0    0.967    0.968
G1S16_Eu152_P25    Eu-152     31582.4    30298.0    30276.0    0.959    0.959
G1S16_Eu152_P5     Eu-152     31586.9    27899.0    27872.0    0.883    0.882
G1S16_Mn54_P25     Mn-54      30490.6    29785.0    29751.0    0.977    0.976
G1S16_Mn54_P5      Mn-54      30626.1    29451.0    29411.0    0.962    0.960
G1S16_Na22_P25     Na-22      69035.8    69618.0    69461.0    1.008    1.006
G1S16_Na22_P5      Na-22      69136.6    65310.0    65316.0    0.945    0.945
G1S16_Th228_P25    Th-228      2372.3     2441.4     2439.5    1.029    1.028
G1S16_Th228_P5     Th-228      2377.0     2276.2     2276.2    0.958    0.958
G1S16_Y88_P25      Y-88         681.9      629.3      629.6    0.923    0.923
G1S16_Y88_P5       Y-88         686.4      666.6      667.2    0.971    0.972
G1S24_Am241_P5     Am-241    102513.3    94334.0    94359.0    0.920    0.920
G1S24_Ba133_P5     Ba-133     15356.9    12970.0    12976.0    0.845    0.845
G1S24_Bi207_P5     Bi-207     82424.7    76050.0    76079.0    0.923    0.923
G1S24_Cd109_P5     Cd-109      6808.7     1509.0     1509.1    0.222    0.222
G1S24_Co60_P5      Co-60      49908.4    46036.0    45966.0    0.922    0.921
G1S24_Cs137_P25    Cs-137     89324.6    83976.0    84051.0    0.940    0.941
G1S24_Cs137_P5     Cs-137     89330.3    83758.0    83779.0    0.938    0.938
G1S24_Eu152_P5     Eu-152    120540.4   112900.0   113000.0    0.937    0.937
G1S24_Na22_P25     Na-22     136634.9   131890.0   131890.0    0.965    0.965
G1S24_Na22_P5      Na-22     136734.6   123970.0   123830.0    0.907    0.906
G1S24_Th228_P25    Th-228     28146.8    28934.0    28891.0    1.028    1.026
G1S24_Th228_P5     Th-228     88637.4    85779.0    85846.0    0.968    0.969
G1S24_Y88_P25      Y-88       29782.9    28217.0    28143.0    0.947    0.945
G1S24_Y88_P5       Y-88       29977.2    27924.0    27865.0    0.932    0.930
G1S24_Zn65_P5      Zn-65        871.0      821.4      821.5    0.943    0.943
медиана _P5  rev30 0.938 -> rev31 0.938 (n=22)
медиана _P25 rev30 0.977 -> rev31 0.980 (n=14)

спектр             нуклид     паспорт      rev30      rev31      r30      r31
ASN16_Cs137        Cs-137      5715.5     6685.1     6682.3    1.170    1.169
ASN16_Cs137_10cm   Cs-137      5712.3     5522.9     5525.6    0.967    0.967
RC103_Cs137_0cm    Cs-137      5564.3     5497.0     5483.8    0.988    0.986
RC103_Cs137_50mm   Cs-137      5235.6     6141.7     6171.3    1.173    1.179
