scene,stamp,seconds,cores,us_per_history,noise
ASN16_point10_house,phys=21;20d3790c5992f2a420d590fccc5eae7113a76772cd18873d1125dd5bcd629d48,189.0,9.8,2.21,4.35 %
G1S_point25,phys=21;c8f2c7fbb9632626ef85a87b9b7ea7c0740f39c59c062e296a2fc8bf1942ea45,528.7,9.8,6.16,3.85 %
RC103_point50,phys=21;c507407d986ebdd19521fc3f18463a0138786748ca290baede875ad57151a353,264.5,9.8,3.09,3.87 %
AS80_lu_front,phys=21;b90b0f44846749da1708a944d0aa94be0415c52fbb1adbb2ff61a754ef86c34e,389.8,9.8,8.93,0.82 %
AS80_point0,phys=21;b0764ecf2ac4e8c30b1b7afb210e22d5ee2208866e8bebe2dcc9929d5575ea34,232.5,9.8,5.45,0.59 %
AS80_th_disk,phys=21;e72afe30fd9cd02a22fd1ae9f74f1a077f2d0b814a70ff8084d8cd7bafae32bb,417.9,9.8,9.36,0.76 %
ASN16_lu_side,phys=21;6496466fb6df78dcbf557625d7bc3ebd035e37c1f8e3024aa7cbe478983a036c,340.6,9.7,7.79,0.98 %
ASN16_point0_house,phys=21;cd6e01d120d455c1f14a2179d084cd2a3c15bba9c530c7091580c4ef389c3224,268.4,9.8,6.29,0.57 %
G1S_denta100_oisn10_100_p16,phys=21;07f139cadda35da8d6d6fb4aa5d32c6eff1e26d11f8feab0fe3669f82de3f3dd,445.4,9.8,10.20,0.72 %
G1S_denta100_risn379_100_p16,phys=21;949170c14c79be79f08079ce41ab30875a47a1ebf4482f8b1cefdb7c783039b8,461.2,9.8,10.77,0.63 %
G1S_denta120_oisn06_057_p24,phys=21;2227e6141d32dc13006cf25377eb91c4f821137c85daab21f5a05b534963950e,447.8,9.8,10.27,0.70 %
G1S_denta120_oisn06_062_p24,phys=21;973bc2a970f157e08a2fbe9ab7fed088a8a4356593cf7e436819aff1b44d2e3f,447.3,9.8,10.26,0.70 %
G1S_denta120_oisn06_064_p24,phys=21;cb5c46718aed935e2e0d296774d171949ac5debc80cef978625e25f9a49bb068,446.2,9.8,10.24,0.70 %
G1S_denta120_oisn06_066_p24,phys=21;32b7df31f3bb01d6e8c68093f5c806def94584ef84d14c5aa5ae41d5e57ac3cf,449.3,9.8,10.31,0.69 %
G1S_denta120_oisn16_155_p24,phys=21;bbd6f5b8fb2e3fe5ed0be5c1ece86db6cc889479944cb0e95f20df67c0fcf62b,449.4,9.8,10.29,0.78 %
G1S_denta120_oisn16_160_p24,phys=21;dc9b49e7436489e1f25b4321cd4a191b9e34c9821982d63e972142ad143b7a44,450.6,9.8,10.33,0.77 %
G1S_denta120_oisn16_166_p24,phys=21;0032b92901ebc7b15ea45edab0d96b3d62aa6ee9c4eea6758dea2e2c30c7823c,451.6,9.8,10.34,0.77 %
G1S_denta120_oisn16_167_p24,phys=21;de755e7c89847f25d2ba224858130222912950db84643b6fca54b881c3c7954f,451.7,9.8,10.36,0.77 %
G1S_mar1l_coal_046_p24,phys=21;21bcde6d0b482b278b7e70fe616f261d504348498c9aed4baab88025fabdacbc,452.2,9.9,10.62,0.81 %
G1S_mar1l_oisn06_055_p16,phys=21;2bf8c42bea102d6ea43cb0ef8261c7d55da8818a742e7acf3c56e9c6dd322119,475.7,9.8,11.14,0.79 %
G1S_mar1l_oisn06_057_p16,phys=21;26b0a46e83a5b6e9d0088031efd24a6bb93fcb4f5a8fd4e0aec3a8ee6a305282,476.6,9.9,11.18,0.78 %
G1S_mar1l_oisn06_057_p24,phys=21;d549a1e10270c8f5695d90f23c842eba2eeb95d79a997f169a70f5c0fc6885e5,502.0,9.8,11.51,0.85 %
G1S_mar1l_oisn06_062_p16,phys=21;c4c5f2048269b0aa6667689395b9ffac03a3ba108c128be6269af55b1a039d25,479.1,9.9,11.26,0.77 %
G1S_mar1l_oisn06_062_p24,phys=21;a2605b4a1840f859edd9477f5d299686ff1595597134ed667cf9d647361aff47,494.4,9.8,11.32,0.85 %
G1S_mar1l_oisn06_064_p24,phys=21;9724611034ab700545e5c10012d0b97524f4ef189e32b15d330c7b435f69f30f,498.7,9.8,11.44,0.84 %
G1S_mar1l_oisn06_066_p16,phys=21;4bacd7f80784ac1ac41c6c0ea733799b78e7dcd31dd1fc8cd3aa072c64abc2d1,480.8,9.8,11.28,0.77 %
G1S_mar1l_oisn06_066_p24,phys=21;8184d1064e31935f2adf48d02ce8fbd8a574f6c701197eae53ecfe800bcfccd5,499.1,9.8,11.44,0.84 %
