ch,keV,net,model,continuum_raw,untied_tail,fit,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up,continuum
43,9.759,171892.216,179425.300,96784.062,0.000,171892.216,13004.629,91.271,69925.716,0.000,0.000,96784.062
44,10.136,178433.059,180192.678,93278.396,0.000,178433.059,16641.736,112.156,70584.684,0.000,0.000,93278.396
45,10.513,181230.432,179687.279,88974.360,0.000,181230.432,20956.293,137.824,70051.928,0.000,0.000,88974.360
46,10.890,184661.579,178000.992,83902.904,0.000,184661.579,25980.212,169.368,68383.414,0.000,0.000,83902.904
47,11.267,184891.545,175310.339,78134.279,0.000,184891.545,31719.494,208.136,65685.058,0.000,0.000,78134.279
48,11.644,184114.937,171758.809,71774.607,0.000,184114.937,38036.515,255.782,62104.107,0.000,0.000,71774.607
49,12.021,180870.018,167518.117,64964.360,0.000,180870.018,44790.859,314.341,57817.356,0.001,0.000,64964.360
50,12.398,176105.313,162745.532,57873.448,0.000,176105.313,51838.471,386.311,53017.410,0.001,0.000,57873.448
51,12.775,170429.944,157720.187,50691.936,0.000,170429.944,59026.034,474.768,47898.829,0.001,0.000,50691.936
52,13.152,164346.642,152620.213,43616.441,0.000,164346.642,66146.913,583.489,42645.986,0.001,0.000,43616.441
53,13.530,157553.255,147591.048,36835.018,0.000,157553.255,72988.857,717.118,37423.871,0.002,0.000,36835.018
54,13.907,152296.631,142778.669,30512.677,0.000,152296.631,79387.371,881.365,32372.240,0.002,0.000,30512.677
55,14.284,145633.622,138320.370,24779.553,0.000,145633.622,85230.902,1083.247,27602.789,0.003,0.000,24779.553
56,14.661,141468.052,134324.144,19723.449,0.000,141468.052,90447.871,1331.391,23198.660,0.003,0.000,19723.449
57,15.038,136571.799,130887.053,15387.345,0.000,136571.799,94988.601,1636.405,19215.572,0.004,0.000,15387.345
58,15.415,133562.209,128051.291,11771.926,0.000,133562.209,98857.015,2011.326,15684.054,0.004,0.000,11771.926
59,15.793,131553.955,125783.530,8841.823,0.000,131553.955,102130.842,2472.184,12612.449,0.005,0.000,8841.823
60,16.170,129794.582,124223.953,6534.208,0.000,129794.582,104935.064,3038.683,9990.488,0.006,0.000,6534.208
61,16.547,128433.348,123427.219,4768.588,0.000,128433.348,107405.554,3735.051,7793.221,0.007,0.000,4768.588
62,16.924,128139.823,123406.160,3456.259,0.000,128139.823,109649.631,4591.072,5985.084,0.009,0.000,3456.259
63,17.301,128115.684,124224.763,2508.891,0.000,128115.684,111825.250,5643.361,4523.820,0.010,0.000,2508.891
64,17.679,129348.910,126201.452,2073.845,0.000,129348.910,114103.881,6936.939,3364.007,0.012,0.000,2073.845
65,18.056,130699.416,129221.630,1851.304,0.000,130699.416,116661.040,8527.154,2459.996,0.014,0.000,1851.304
66,18.433,131059.159,133311.013,1782.508,0.000,131059.159,119621.851,10481.679,1768.167,0.017,0.000,1782.508
67,18.810,133481.554,138617.715,1821.500,0.000,133481.554,123120.565,12821.433,1248.502,0.019,0.000,1821.500
68,19.188,136330.268,145269.002,1933.951,0.000,136330.268,127310.366,15554.293,865.534,0.022,0.000,1933.951
69,19.565,139240.466,153340.064,2095.363,0.000,139240.466,132359.741,18692.164,588.781,0.026,0.000,2095.363
70,19.942,142673.438,162918.403,2288.756,0.000,142673.438,138428.259,22188.556,392.775,0.030,0.000,2288.756
71,20.319,147687.068,174092.980,2502.759,0.000,147687.068,145666.120,26015.659,256.809,0.035,0.000,2502.759
72,20.697,152990.073,186943.283,2730.245,0.000,152990.073,154265.903,30130.921,164.480,0.040,0.000,2730.245
73,21.074,159698.498,201674.868,2966.975,0.000,159698.498,164477.394,34475.523,103.143,0.047,0.000,2966.975
74,21.451,167722.013,218500.654,3210.489,0.000,167722.013,176600.787,38974.150,63.298,0.054,0.000,3210.489
75,21.829,178198.915,237544.770,3459.304,0.000,178198.915,190964.395,43538.961,38.001,0.062,0.000,3459.304
76,22.206,190166.261,259034.538,3712.371,0.000,190166.261,207933.753,48065.406,22.309,0.072,0.000,3712.371
77,22.584,204500.410,283708.752,3969.161,0.000,204500.410,228000.025,52425.879,12.804,0.083,0.000,3969.161
78,22.961,223238.448,311808.521,4229.540,0.000,223238.448,251768.022,56502.712,7.183,0.096,0.000,4229.540
79,23.338,242827.880,343867.644,4493.511,0.000,242827.880,279894.183,60174.766,3.938,0.112,0.000,4493.511
80,23.716,267768.479,379466.825,4760.618,0.000,267768.479,312069.836,63332.835,2.110,0.129,0.000,4760.618
81,24.093,296357.549,418321.915,5030.622,0.000,296357.549,348105.094,65883.488,1.104,0.148,0.000,5030.622
82,24.471,328870.162,460415.745,5303.523,0.000,328870.162,388057.070,67752.801,0.564,0.171,0.000,5303.523
83,24.848,367808.252,505681.577,5579.359,0.000,367808.252,431909.788,68890.181,0.282,0.198,0.000,5579.359
84,25.225,410463.219,553857.209,5858.130,0.000,410463.219,479426.027,69270.764,0.137,0.228,0.000,5858.130
85,25.603,458032.710,603903.453,6139.655,0.000,458032.710,529974.046,68896.218,0.065,0.263,0.000,6139.655
86,25.980,509644.677,655543.928,6424.001,0.000,509644.677,582902.520,67793.920,0.031,0.308,0.000,6424.001
87,26.358,566840.710,708653.248,6711.470,0.000,566840.710,637503.288,66014.630,0.014,0.370,0.000,6711.470
88,26.735,626480.122,762008.655,7002.465,0.000,626480.122,692953.058,63628.902,0.007,0.426,0.000,7002.465
89,27.113,687273.541,814657.340,7297.326,0.000,687273.541,748212.839,60722.567,0.003,0.490,0.000,7297.326
90,27.490,750060.012,865498.603,7596.357,0.000,750060.012,802085.533,57391.688,0.001,0.597,0.000,7596.357
91,27.868,813929.902,913471.195,7900.138,0.000,813929.902,853408.246,53737.391,0.001,0.686,0.000,7900.138
92,28.245,875110.334,957547.633,8209.652,0.000,875110.334,901051.205,49860.951,0.000,0.788,0.000,8209.652
93,28.623,930210.580,996740.294,8526.046,0.000,930210.580,943928.558,45859.448,0.000,0.907,0.000,8526.046
94,29.000,982165.928,1030097.715,8850.140,0.000,982165.928,980998.679,41822.225,0.000,1.043,0.000,8850.140
95,29.378,1027734.805,1056072.936,9182.807,0.000,1027734.805,1011330.860,37828.274,0.000,1.199,0.000,9182.807
96,29.755,1064757.212,1074950.838,9525.566,0.000,1064757.212,1034208.628,33944.590,0.000,1.379,0.000,9525.566
97,30.133,1093485.992,1086553.860,9880.242,0.000,1093485.992,1049119.047,30225.429,0.000,1.585,0.000,9880.242
98,30.511,1110327.521,1090071.978,10248.768,0.000,1110327.521,1055770.440,26712.372,0.000,1.823,0.000,10248.768
99,30.888,1116775.708,1085486.015,10631.752,0.000,1116775.708,1054077.296,23435.012,0.000,2.096,0.000,10631.752
100,31.266,1110941.140,1072980.309,11030.619,0.000,1110941.140,1044194.046,20412.107,0.000,2.410,0.000,11030.619
101,31.643,1098859.534,1052944.853,11447.364,0.000,1098859.534,1026499.337,17653.001,0.000,2.771,0.000,11447.364
102,32.021,1074636.818,1025981.273,11884.241,0.000,1074636.818,1001569.615,15159.181,0.000,3.187,0.000,11884.241
103,32.399,1045204.941,992795.722,12342.716,0.000,1045204.941,970139.763,12925.819,0.000,3.666,0.000,12342.716
104,32.776,1004441.309,954219.952,12822.913,0.000,1004441.309,933064.191,10943.220,0.000,4.216,0.000,12822.913
105,33.154,957543.933,912690.763,13325.671,0.000,957543.933,891293.446,9198.116,0.000,4.850,0.000,13325.671
106,33.532,908218.495,866687.413,13852.463,0.000,908218.495,845834.926,7674.776,0.000,5.580,0.000,13852.463
107,33.909,854658.462,817635.004,14404.821,0.000,854658.462,797708.706,6355.923,0.000,6.419,0.000,14404.821
108,34.287,799123.585,766478.045,14982.271,0.000,799123.585,747902.334,5223.484,0.000,7.385,0.000,14982.271
109,34.665,744098.250,715550.658,15581.925,0.000,744098.250,697338.823,4259.174,0.000,8.497,0.000,15581.925
110,35.042,688096.444,664802.394,16202.555,0.000,688096.444,646872.730,3444.955,0.000,9.777,0.000,16202.555
111,35.420,634879.314,615097.311,16843.251,0.000,634879.314,597265.339,2763.389,0.000,11.256,0.000,16843.251
112,35.798,584463.741,567095.965,17502.787,0.000,584463.741,549170.115,2197.898,0.000,12.960,0.000,17502.787
113,36.176,535738.288,521790.689,18177.266,0.000,535738.288,503113.690,1732.960,0.000,14.915,0.000,18177.266
114,36.553,489899.224,478510.806,18861.347,0.000,489899.224,459502.540,1354.244,0.000,17.166,0.000,18861.347
115,36.931,447000.669,437865.480,19551.280,0.000,447000.669,418645.203,1048.694,0.000,19.758,0.000,19551.280
116,37.309,408174.025,400036.209,20243.084,0.000,408174.025,380749.651,804.572,0.000,22.743,0.000,20243.084
117,37.687,371745.321,366543.003,20932.388,0.000,371745.321,345932.141,611.466,0.000,26.179,0.000,20932.388
118,38.064,340384.160,335726.230,21613.532,0.000,340384.160,314213.736,460.262,0.000,30.137,0.000,21613.532
119,38.442,311599.792,307626.484,22281.063,0.000,311599.792,285553.390,343.086,0.000,34.695,0.000,22281.063
120,38.820,286095.367,282498.839,22930.000,0.000,286095.367,259861.833,253.227,0.000,39.944,0.000,22930.000
121,39.198,263639.677,260209.934,23555.521,0.000,263639.677,237009.954,185.045,0.000,45.991,0.000,23555.521
122,39.576,241709.728,240586.464,24153.270,0.000,241709.728,216833.387,133.864,0.000,52.928,0.000,24153.270
123,39.954,223624.431,223435.181,24719.422,0.000,223624.431,199137.439,95.859,0.000,60.819,0.000,24719.422
124,40.331,208946.109,208541.904,25250.775,0.000,208946.109,183717.118,67.944,0.000,69.743,0.000,25250.775
125,40.709,196015.096,195677.122,25744.991,0.000,196015.096,170368.504,47.664,0.000,79.812,0.000,25744.991
126,41.087,184409.871,184771.680,26200.723,0.000,184409.871,158888.966,33.093,0.000,91.151,0.000,26200.723
127,41.465,174479.155,175576.170,26617.729,0.000,174479.155,149076.391,22.738,0.000,103.877,0.000,26617.729
128,41.843,165659.884,167611.374,26996.956,0.000,165659.884,140725.518,15.461,0.000,118.077,0.000,26996.956
129,42.221,159054.497,160889.483,27340.624,0.000,159054.497,133649.293,10.404,0.000,133.873,0.000,27340.624
130,42.599,152377.303,155243.197,27652.375,0.000,152377.303,127677.265,6.928,0.000,151.412,0.000,27652.375
131,42.977,147347.032,150521.655,27937.248,0.000,147347.032,122653.839,4.565,0.000,170.858,0.000,27937.248
132,43.355,143934.232,146274.962,27892.426,0.000,143934.232,118432.182,2.976,0.000,192.304,0.000,27892.426
133,43.732,139749.723,142678.308,27835.154,0.000,139749.723,114870.513,1.920,0.000,215.717,0.000,27835.154
134,44.110,137101.485,139622.758,27774.836,0.000,137101.485,111850.570,1.225,0.000,241.193,0.000,27774.836
135,44.488,134932.265,137015.560,27722.322,0.000,134932.265,109268.757,0.774,0.000,268.843,0.000,27722.322
136,44.866,133395.388,134791.674,27689.899,0.000,133395.388,107034.541,0.484,0.000,298.784,0.000,27689.899
137,45.244,130940.091,132855.146,27691.282,0.000,130940.091,105061.337,0.299,0.000,330.965,0.000,27691.282
138,45.622,130361.858,131150.754,27741.620,0.000,130361.858,103272.441,0.183,0.000,365.311,0.000,27741.620
139,46.000,129331.091,129635.213,27857.510,0.000,129331.091,101604.637,0.111,0.000,401.818,0.000,27857.510
140,46.378,128145.188,128273.542,28057.053,0.000,128145.188,100004.841,0.067,0.000,440.507,0.000,28057.053
141,46.756,127920.137,127038.546,28357.988,0.000,127920.137,98428.131,0.040,0.000,481.375,0.000,28357.988
142,47.134,127459.188,125904.200,28772.015,0.000,127459.188,96836.905,0.024,0.000,524.306,0.000,28772.015
143,47.513,126797.065,124848.924,29308.769,0.000,126797.065,95200.108,0.014,0.000,569.144,0.000,29308.769
144,47.891,126787.510,123862.743,29983.537,0.000,126787.510,93492.546,0.008,0.000,615.823,0.000,29983.537
145,48.269,126379.104,122945.864,30812.291,0.000,126379.104,91694.316,0.005,0.000,664.296,0.000,30812.291
146,48.647,125195.452,122102.194,31809.172,0.000,125195.452,89790.225,0.003,0.000,714.503,0.000,31809.172
147,49.025,126298.032,121300.759,32976.901,0.000,126298.032,87769.363,0.002,0.000,766.257,0.000,32976.901
148,49.403,125431.807,120550.893,34318.585,0.000,125431.807,85624.719,0.001,0.000,819.407,0.000,34318.585
149,49.781,124743.019,119856.624,35841.853,0.000,124743.019,83352.752,0.001,0.000,873.891,0.000,35841.853
150,50.159,125320.897,119233.692,37553.564,0.000,125320.897,80953.129,0.000,0.000,929.682,0.000,37553.564
151,50.537,124929.464,118670.269,39456.862,0.000,124929.464,78428.523,0.000,0.000,986.755,0.000,39456.862
152,50.915,124399.684,118167.392,41540.034,0.000,124399.684,75784.255,0.000,0.000,1044.952,0.000,41540.034
153,51.294,125322.109,117727.215,43796.703,0.000,125322.109,73028.092,0.000,0.000,1104.248,0.000,43796.703
154,51.672,124913.303,117354.627,46221.727,0.000,124913.303,70170.000,0.000,0.000,1164.705,0.000,46221.727
155,52.050,124384.206,117070.023,48809.049,0.000,124384.206,67221.898,0.000,0.000,1226.451,0.000,48809.049
156,52.428,124030.102,116864.609,51546.624,0.000,124030.102,64197.392,0.000,0.000,1289.594,0.000,51546.624
157,52.806,124919.367,116712.121,54415.343,0.000,124919.367,61111.550,0.000,0.000,1354.212,0.000,54415.343
158,53.184,124194.181,116629.825,57397.827,0.000,124194.181,57980.464,0.000,0.000,1420.500,0.000,57397.827
159,53.563,124499.864,116619.975,60479.006,0.000,124499.864,54821.128,0.000,0.000,1488.791,0.000,60479.006
160,53.941,124240.812,116685.010,63643.374,0.000,124240.812,51651.069,0.000,0.000,1559.500,0.000,63643.374
161,54.319,124276.554,116822.927,66870.776,0.000,124276.554,48488.019,0.000,0.000,1633.048,0.000,66870.776
162,54.697,124684.058,117025.590,70135.038,0.000,124684.058,45349.618,0.000,0.000,1709.833,0.000,70135.038
163,55.076,124307.058,117289.862,73415.194,0.000,124307.058,42253.110,0.000,0.000,1790.441,0.000,73415.194
164,55.454,123797.316,117615.151,76693.320,0.000,123797.316,39215.086,0.000,0.000,1875.611,0.000,76693.320
165,55.832,124179.897,118024.192,79952.894,0.000,124179.897,36251.132,0.000,0.000,1966.194,0.000,79952.894
166,56.210,124450.406,118497.939,83173.829,0.000,124450.406,33375.641,0.000,0.000,2063.062,0.000,83173.829
167,56.589,124117.889,118984.078,86329.942,0.000,124117.889,30601.667,0.000,0.000,2167.051,0.000,86329.942
168,56.967,124320.528,119511.167,89405.755,0.000,124320.528,27940.674,0.000,0.000,2279.309,0.000,89405.755
169,57.345,124039.702,120077.890,92388.874,0.000,124039.702,25402.427,0.000,0.000,2401.149,0.000,92388.874
170,57.724,123722.664,120684.366,95269.954,0.000,123722.664,22994.910,0.000,0.000,2534.052,0.000,95269.954
171,58.102,124087.019,121323.004,98033.793,0.000,124087.019,20724.276,0.000,0.000,2679.475,0.000,98033.793
172,58.480,123371.232,121985.947,100666.549,0.000,123371.232,18594.896,0.000,0.000,2839.031,0.000,100666.549
173,58.859,125011.096,122671.219,103161.878,0.000,125011.096,16609.208,0.000,0.000,3014.652,0.000,103161.878
174,59.237,123824.419,123379.786,105517.718,0.000,123824.419,14768.037,0.000,0.000,3208.539,0.000,105517.718
175,59.616,123980.961,124132.959,107733.836,0.000,123980.961,13070.576,0.000,0.000,3423.127,0.000,107733.836
176,59.994,124058.587,124917.639,109805.056,0.000,124058.587,11514.521,0.000,0.000,3660.945,0.000,109805.056
177,60.372,123803.697,125686.527,111727.502,0.000,123803.697,10096.235,0.000,0.000,3924.812,0.000,111727.502
178,60.751,124331.697,126471.452,113504.495,0.000,124331.697,8810.922,0.000,0.000,4218.041,0.000,113504.495
179,61.129,124136.794,127277.644,115142.453,0.000,124136.794,7652.806,0.000,0.000,4544.375,0.000,115142.453
180,61.508,124290.659,128108.742,116648.246,0.000,124290.659,6615.344,0.000,0.000,4907.126,0.000,116648.246
181,61.886,124354.375,128960.644,118024.311,0.000,124354.375,5691.333,0.000,0.000,5306.959,0.000,118024.311
182,62.264,124459.408,129828.132,119272.984,0.000,124459.408,4873.126,0.000,0.000,5743.966,0.000,119272.984
183,62.643,124965.569,130714.808,120403.078,0.000,124965.569,4152.878,0.000,0.000,6220.780,0.000,120403.078
184,63.021,125422.252,131625.536,121424.655,0.000,125422.252,3522.610,0.000,0.000,6740.184,0.000,121424.655
185,63.400,125176.349,132564.802,122348.327,0.000,125176.349,2974.375,0.000,0.000,7304.541,0.000,122348.327
186,63.778,125289.763,133516.918,123175.880,0.000,125289.763,2500.387,0.000,0.000,7907.674,0.000,123175.880
187,64.157,125893.157,134485.655,123913.365,0.000,125893.157,2093.120,0.000,0.000,8546.176,0.000,123913.365
188,64.535,125792.131,135466.776,124569.957,0.000,125792.131,1745.443,0.000,0.000,9218.366,0.000,124569.957
189,64.914,126469.996,136460.865,125155.392,0.000,126469.996,1450.481,0.000,0.000,9921.967,0.000,125155.392
190,65.292,127353.919,137466.345,125677.354,0.000,127353.919,1201.976,0.000,0.000,10653.974,0.000,125677.354
191,65.671,127221.435,138474.101,126136.506,0.000,127221.435,994.111,0.000,0.000,11410.427,0.000,126136.506
192,66.050,128564.325,139478.411,126536.888,0.000,128564.325,821.579,0.000,0.000,12186.871,0.000,126536.888
193,66.428,129146.435,140476.201,126885.190,0.000,129146.435,679.583,0.000,0.000,12978.341,0.000,126885.190
194,66.807,129999.727,141464.895,127188.659,0.000,129999.727,563.834,0.000,0.000,13779.299,0.000,127188.659
195,67.185,130928.681,142438.824,127451.502,0.000,130928.681,470.532,0.000,0.000,14583.671,0.000,127451.502
196,67.564,131675.243,143309.319,127673.546,0.000,131675.243,396.371,0.000,0.000,15384.908,0.000,127673.546
197,67.942,132415.404,144202.054,127856.523,0.000,132415.404,338.434,0.000,0.000,16176.101,0.000,127856.523
198,68.321,134292.895,145080.699,128005.381,0.000,134292.895,294.197,0.000,0.000,16950.087,0.000,128005.381
199,68.700,134316.128,145917.688,128125.501,0.000,134316.128,261.568,0.000,0.000,17699.548,0.000,128125.501
200,69.078,136120.890,146707.155,128220.159,0.000,136120.890,238.767,0.000,0.000,18417.119,0.000,128220.159
201,69.457,136439.452,147437.117,128286.152,0.000,136439.452,224.315,0.000,0.000,19095.503,0.000,128286.152
202,69.836,138363.568,148100.890,128325.048,0.000,138363.568,217.002,0.000,0.000,19727.656,0.000,128325.048
203,70.214,138974.925,148694.857,128340.861,0.000,138974.925,215.859,0.000,0.000,20306.916,0.000,128340.861
204,70.593,140153.725,149216.928,128338.369,0.000,140153.725,220.172,0.000,0.000,20827.130,0.000,128338.369
205,70.972,142009.518,149662.715,128319.387,0.000,142009.518,229.268,0.000,0.000,21282.766,0.000,128319.387
206,71.350,142920.812,150002.176,128279.552,0.000,142920.812,242.776,0.000,0.000,21669.015,0.000,128279.552
207,71.729,145359.572,150244.771,128221.080,0.000,145359.572,260.419,0.000,0.000,21981.978,0.000,128221.080
208,72.108,146291.837,150429.540,128147.428,0.000,146291.837,282.041,0.000,0.000,22218.732,0.000,128147.428
209,72.487,147346.220,150529.087,128062.698,0.000,147346.220,307.596,0.000,0.000,22377.407,0.000,128062.698
210,72.865,148627.226,150542.224,127966.445,0.000,148627.226,337.135,0.000,0.000,22457.212,0.000,127966.445
211,73.244,149040.484,150467.259,127856.492,0.000,149040.484,370.796,0.000,0.000,22458.494,0.000,127856.492
212,73.623,151043.892,150306.986,127733.843,0.000,151043.892,408.823,0.000,0.000,22382.796,0.000,127733.843
213,74.002,152286.944,150067.110,127601.219,0.000,152286.944,451.483,0.000,0.000,22232.841,0.000,127601.219
214,74.380,152386.777,149754.447,127461.396,0.000,152386.777,499.118,0.000,0.000,22012.321,0.000,127461.396
215,74.759,152842.332,149372.237,127313.819,0.000,152842.332,552.189,0.000,0.000,21724.571,0.000,127313.819
216,75.138,153920.391,148920.766,127155.810,0.000,153920.391,611.207,0.000,0.000,21372.898,0.000,127155.810
217,75.517,154351.797,148376.394,126988.221,0.000,154351.797,676.756,0.000,0.000,20962.506,0.000,126988.221
218,75.896,154455.354,147811.017,126813.077,0.000,154455.354,749.497,0.000,0.000,20499.480,0.000,126813.077
219,76.274,154537.946,147201.843,126632.283,0.000,154537.946,830.178,0.000,0.000,19990.370,0.000,126632.283
220,76.653,153692.787,146554.521,126443.843,0.000,153692.787,919.678,0.000,0.000,19441.938,0.000,126443.843
221,77.032,154915.541,145871.441,126242.464,0.000,154915.541,1018.835,0.000,0.000,18861.031,0.000,126242.464
222,77.411,153398.753,145160.987,126028.386,0.000,153398.753,1128.729,0.000,0.000,18254.711,0.000,126028.386
223,77.790,152701.096,144432.064,125802.379,0.000,152701.096,1250.511,0.000,0.000,17629.964,0.000,125802.379
224,78.169,152369.684,143693.929,125565.645,0.000,152369.684,1385.459,0.000,0.000,16993.566,0.000,125565.645
225,78.548,151463.728,142949.521,125313.260,0.000,151463.728,1534.990,0.000,0.000,16351.964,0.000,125313.260
226,78.927,150961.449,142201.489,125040.285,0.000,150961.449,1700.676,0.000,0.000,15711.173,0.000,125040.285
227,79.306,149482.457,141444.261,124745.463,0.000,149482.457,1884.261,0.000,0.000,15076.684,0.000,124745.463
228,79.684,149606.618,140700.227,124428.274,0.000,149606.618,2087.715,0.000,0.000,14453.394,0.000,124428.274
229,80.063,147955.380,139977.424,124087.862,0.000,147955.380,2313.117,0.000,0.000,13845.549,0.000,124087.862
230,80.442,147143.385,139269.198,123718.686,0.000,147143.385,2562.855,0.000,0.000,13256.711,0.000,123718.686
231,80.821,145727.385,138576.076,123315.731,0.000,145727.385,2839.568,0.000,0.000,12689.736,0.000,123315.731
232,81.200,144293.488,137902.135,122876.572,0.000,144293.488,3146.171,0.000,0.000,12146.778,0.000,122876.572
233,81.579,142354.687,137247.335,122399.466,0.000,142354.687,3485.894,0.000,0.000,11629.304,0.000,122399.466
234,81.958,141918.644,136614.878,121881.707,0.000,141918.644,3862.315,0.000,0.000,11138.127,0.000,121881.707
235,82.337,141019.396,136002.450,121316.812,0.000,141019.396,4279.401,0.000,0.000,10673.452,0.000,121316.812
236,82.716,140223.931,135406.578,120697.259,0.000,140223.931,4741.546,0.000,0.000,10234.932,0.000,120697.259
237,83.095,139292.002,134835.487,120018.941,0.000,139292.002,5253.669,0.000,0.000,9821.736,0.000,120018.941
238,83.474,139121.757,134316.007,119277.865,0.000,139121.757,5821.066,0.000,0.000,9432.619,0.000,119277.865
239,83.853,138400.951,133769.562,118470.076,0.000,138400.951,6448.985,0.000,0.000,9066.000,0.000,118470.076
240,84.232,137757.511,133436.650,117793.990,0.000,137757.511,7138.076,0.000,0.000,8720.039,0.000,117793.990
241,84.611,137127.911,133110.613,117043.529,0.000,137127.911,7889.778,0.000,0.000,8392.716,0.000,117043.529
242,84.991,136518.834,132790.155,116215.072,0.000,136518.834,8708.544,0.000,0.000,8081.905,0.000,116215.072
243,85.370,135493.755,132474.416,115305.198,0.000,135493.755,9599.098,0.000,0.000,7785.443,0.000,115305.198
244,85.749,134915.742,132162.294,114310.733,0.000,134915.742,10565.642,0.000,0.000,7501.198,0.000,114310.733
245,86.128,134311.916,131848.007,113228.804,0.000,134311.916,11607.315,0.000,0.000,7227.124,0.000,113228.804
