ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
58,15.415,133562.209,128051.291,11771.926,0.000,133562.209,0.000,110119.119,2439.174,15687.672,61.370,16.990
59,15.793,131553.955,125783.530,8841.823,0.000,131553.955,0.000,110590.247,2793.627,12614.541,46.121,12.768
60,16.170,129794.582,124223.953,6534.208,0.000,129794.582,0.000,111186.957,3276.286,9991.662,34.104,9.441
61,16.547,128433.348,123427.219,4768.588,0.000,128433.348,0.000,111968.283,3908.478,7793.862,24.905,6.893
62,16.924,128139.823,123406.160,3456.259,0.000,128139.823,0.000,112956.784,4716.780,5985.427,18.064,4.999
63,17.301,128115.684,124224.763,2508.891,0.000,128115.684,0.000,114225.967,5734.610,4524.001,13.124,3.631
64,17.679,129348.910,126201.452,2073.845,0.000,129348.910,0.000,116088.355,7012.354,3364.114,10.858,3.003
65,18.056,130699.416,129221.630,1851.304,0.000,130699.416,0.000,118432.606,8594.456,2460.063,9.702,2.682
66,18.433,131059.159,133311.013,1782.508,0.000,131059.159,0.000,121327.628,10546.448,1768.212,9.349,2.584
67,18.810,133481.554,138617.715,1821.500,0.000,133481.554,0.000,124863.710,12887.572,1248.533,9.562,2.642
68,19.188,136330.268,145269.002,1933.951,0.000,136330.268,0.000,129161.197,15624.447,865.557,10.160,2.807
69,19.565,139240.466,153340.064,2095.363,0.000,139240.466,0.000,134365.143,18768.074,588.797,11.017,3.043
70,19.942,142673.438,162918.403,2288.756,0.000,142673.438,0.000,140618.885,22271.334,392.786,12.044,3.326
71,20.319,147687.068,174092.980,2502.759,0.000,147687.068,0.000,148061.753,26105.991,256.816,13.182,3.640
72,20.697,152990.073,186943.283,2730.245,0.000,152990.073,0.000,156879.521,30229.217,164.486,14.393,3.974
73,21.074,159698.498,201674.868,2966.975,0.000,159698.498,0.000,167317.932,34582.024,103.146,15.658,4.322
74,21.451,167722.013,218500.654,3210.489,0.000,167722.013,0.000,179674.845,39088.990,63.300,16.961,4.681
75,21.829,178198.915,237544.770,3459.304,0.000,178198.915,0.000,194277.166,43662.207,38.002,18.298,5.049
76,22.206,190166.261,259034.538,3712.371,0.000,190166.261,0.000,211489.444,48197.070,22.310,19.663,5.424
77,22.584,204500.410,283708.752,3969.161,0.000,204500.410,0.000,231802.347,52565.941,12.804,21.054,5.806
78,22.961,223238.448,311808.521,4229.540,0.000,223238.448,0.000,255820.568,56651.136,7.183,22.471,6.195
79,23.338,242827.880,343867.644,4493.511,0.000,242827.880,0.000,284200.554,60331.510,3.938,23.917,6.591
80,23.716,267768.479,379466.825,4760.618,0.000,267768.479,0.000,316633.199,63497.837,2.110,25.389,6.994
81,24.093,296357.549,418321.915,5030.622,0.000,296357.549,0.000,352928.382,66056.681,1.104,26.887,7.403
82,24.471,328870.162,460415.745,5303.523,0.000,328870.162,0.000,393143.207,67934.124,0.564,28.415,7.820
83,24.848,367808.252,505681.577,5579.359,0.000,367808.252,0.000,437261.723,69079.586,0.282,29.973,8.244
84,25.225,410463.219,553857.209,5858.130,0.000,410463.219,0.000,485046.689,69468.222,0.137,31.563,8.676
85,25.603,458032.710,603903.453,6139.655,0.000,458032.710,0.000,535866.163,69101.715,0.065,33.187,9.116
86,25.980,509644.677,655543.928,6424.001,0.000,509644.677,0.000,589068.861,68007.469,0.031,34.854,9.565
87,26.358,566840.710,708653.248,6711.470,0.000,566840.710,0.000,643946.878,66236.285,0.014,36.572,10.023
88,26.735,626480.122,762008.655,7002.465,0.000,626480.122,0.000,699677.275,63858.761,0.007,38.322,10.492
89,27.113,687273.541,814657.340,7297.326,0.000,687273.541,0.000,755221.356,60960.770,0.003,40.123,10.973
90,27.490,750060.012,865498.603,7596.357,0.000,750060.012,0.000,809382.278,57638.420,0.001,42.012,11.466
91,27.868,813929.902,913471.195,7900.138,0.000,813929.902,0.000,860997.671,53992.884,0.001,43.933,11.974
92,28.245,875110.334,957547.633,8209.652,0.000,875110.334,0.000,908938.678,50125.498,0.000,45.924,12.497
93,28.623,930210.580,996740.294,8526.046,0.000,930210.580,0.000,952120.522,46133.405,0.000,47.996,13.037
94,29.000,982165.928,1030097.715,8850.140,0.000,982165.928,0.000,989502.339,42105.996,0.000,50.155,13.597
95,29.378,1027734.805,1056072.936,9182.807,0.000,1027734.805,0.000,1020154.242,38122.311,0.000,52.409,14.178
96,29.755,1064757.212,1074950.838,9525.566,0.000,1064757.212,0.000,1043361.203,34249.405,0.000,54.771,14.783
97,30.133,1093485.992,1086553.860,9880.242,0.000,1093485.992,0.000,1058612.029,30541.606,0.000,57.255,15.413
98,30.511,1110327.521,1090071.978,10248.768,0.000,1110327.521,0.000,1065616.897,27040.559,0.000,59.875,16.073
99,30.888,1116775.708,1085486.015,10631.752,0.000,1116775.708,0.000,1064290.873,23775.881,0.000,62.639,16.763
100,31.266,1110941.140,1072980.309,11030.619,0.000,1110941.140,0.000,1054789.763,20766.373,0.000,65.561,17.485
101,31.643,1098859.534,1052944.853,11447.364,0.000,1098859.534,0.000,1037494.136,18021.439,0.000,68.657,18.242
102,32.021,1074636.818,1025981.273,11884.241,0.000,1074636.818,0.000,1012982.609,15542.632,0.000,71.945,19.037
103,32.399,1045204.941,992795.722,12342.716,0.000,1045204.941,0.000,981991.485,13325.162,0.000,75.443,19.873
104,32.776,1004441.309,954219.952,12822.913,0.000,1004441.309,0.000,945375.306,11359.328,0.000,79.157,20.749
105,33.154,957543.933,912690.763,13325.671,0.000,957543.933,0.000,904085.437,9631.876,0.000,83.104,21.666
106,33.532,908218.495,866687.413,13852.463,0.000,908218.495,0.000,859130.706,8127.110,0.000,87.301,22.627
107,33.909,854658.462,817635.004,14404.821,0.000,854658.462,0.000,811532.676,6827.789,0.000,91.772,23.632
108,34.287,799123.585,766478.045,14982.271,0.000,799123.585,0.000,762278.453,5715.812,0.000,96.528,24.682
109,34.665,744098.250,715550.658,15581.925,0.000,744098.250,0.000,712288.297,4772.783,0.000,101.569,25.770
110,35.042,688096.444,664802.394,16202.555,0.000,688096.444,0.000,662415.602,3980.612,0.000,106.908,26.894
111,35.420,634879.314,615097.311,16843.251,0.000,634879.314,0.000,613420.798,3321.815,0.000,112.570,28.052
