ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Th-232,Rn-220,continuum
36,7.633,223.098,174.539,174.539,0.000,223.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,174.539
37,8.010,278.279,189.854,189.854,0.000,278.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,189.854
38,8.386,271.052,204.801,204.801,0.000,271.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,204.801
39,8.763,291.282,219.195,219.195,0.000,291.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,219.195
40,9.139,308.314,232.877,232.877,0.000,308.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,232.877
41,9.516,362.285,245.722,245.722,0.000,362.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,245.722
42,9.892,356.225,257.631,257.631,0.000,356.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,257.631
43,10.269,406.860,268.542,268.542,0.000,406.860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,268.542
44,10.646,393.774,278.416,278.416,0.000,393.774,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,278.416
45,11.022,406.780,287.241,287.240,0.000,406.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,287.240
46,11.399,415.743,295.021,295.021,0.000,415.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,295.021
47,11.775,452.001,301.778,301.778,0.000,452.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.778
48,12.152,427.996,307.547,307.547,0.000,427.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,307.547
49,12.529,444.304,312.370,312.370,0.000,444.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,312.370
50,12.906,484.024,316.295,316.295,0.000,484.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,316.295
51,13.282,410.660,319.378,319.378,0.000,410.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,319.378
52,13.659,405.629,321.678,321.677,0.000,405.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,321.677
53,14.036,429.460,323.255,323.255,0.000,429.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,323.255
54,14.413,423.450,324.176,324.176,0.000,423.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,324.176
55,14.789,389.338,324.507,324.507,0.000,389.338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,324.507
56,15.166,395.294,324.316,324.315,0.000,395.294,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,324.315
57,15.543,393.292,323.670,323.670,0.000,393.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,323.670
58,15.920,358.071,322.636,322.635,0.000,358.071,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,322.635
59,16.297,351.056,321.274,321.273,0.000,351.056,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,321.273
60,16.674,346.802,319.641,319.640,0.000,346.802,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,319.640
61,17.051,320.640,317.787,317.785,0.000,320.640,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,317.785
62,17.427,321.609,315.750,315.747,0.000,321.609,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,315.747
63,17.804,311.864,313.561,313.556,0.000,311.864,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,313.556
64,18.181,281.150,313.030,313.024,0.000,281.150,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,313.024
65,18.558,269.900,312.368,312.361,0.000,269.900,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,312.361
66,18.935,241.875,311.567,311.556,0.000,241.875,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,311.556
67,19.312,223.932,310.602,310.589,0.000,223.932,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,310.589
68,19.689,239.478,309.441,309.423,0.000,239.478,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,309.423
69,20.066,170.094,308.034,308.011,0.000,170.094,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,308.011
70,20.443,175.780,306.325,306.295,0.000,175.780,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,306.295
71,20.820,172.729,304.246,304.208,0.000,172.729,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,304.208
72,21.198,128.035,301.725,301.678,0.000,128.035,0.000,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.000,301.678
73,21.575,108.002,298.687,298.627,0.000,108.002,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,298.627
74,21.952,100.691,295.055,294.982,0.000,100.691,0.000,0.000,0.000,0.000,0.073,0.000,0.000,0.000,0.000,294.982
75,22.329,79.518,290.760,290.670,0.000,79.518,0.000,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,290.670
76,22.706,66.217,285.739,285.631,0.000,66.217,0.000,0.000,0.000,0.000,0.108,0.000,0.000,0.000,0.000,285.631
77,23.083,79.009,279.943,279.814,0.000,79.009,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,279.814
78,23.460,64.778,273.340,273.186,0.000,64.778,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.000,0.000,273.186
79,23.838,40.841,265.917,265.736,0.000,40.841,0.000,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.000,265.736
80,24.215,34.252,257.684,257.474,0.000,34.252,0.000,0.000,0.000,0.000,0.210,0.000,0.000,0.000,0.000,257.474
81,24.592,40.687,248.678,248.436,0.000,40.687,0.000,0.000,0.000,0.000,0.241,0.000,0.000,0.000,0.000,248.436
82,24.969,76.108,238.958,238.682,0.000,76.108,0.000,0.000,0.000,0.000,0.276,0.000,0.000,0.000,0.000,238.682
83,25.346,40.490,228.610,228.298,0.000,40.490,0.000,0.000,0.000,0.000,0.312,0.000,0.000,0.000,0.000,228.298
84,25.724,40.753,217.743,217.393,0.000,40.753,0.000,0.000,0.000,0.000,0.350,0.000,0.000,0.000,0.000,217.393
85,26.101,54.990,206.485,206.096,0.000,54.990,0.000,0.000,0.000,0.000,0.389,0.000,0.000,0.000,0.000,206.096
86,26.478,40.579,194.979,194.549,0.000,40.579,0.000,0.000,0.000,0.000,0.430,0.000,0.000,0.000,0.000,194.549
87,26.856,37.904,183.379,182.908,0.000,37.904,0.000,0.000,0.000,0.000,0.470,0.000,0.000,0.000,0.000,182.908
88,27.233,33.382,171.843,171.332,0.000,33.382,0.000,0.000,0.000,0.000,0.511,0.000,0.000,0.000,0.000,171.332
89,27.610,46.118,160.528,159.976,0.000,46.118,0.000,0.000,0.000,0.000,0.551,0.000,0.000,0.000,0.000,159.976
90,27.988,28.477,149.583,148.992,0.000,28.477,0.000,0.001,0.000,0.000,0.591,0.000,0.000,0.000,0.000,148.992
91,28.365,10.752,139.146,138.516,0.000,10.752,0.000,0.001,0.000,0.000,0.629,0.000,0.000,0.000,0.000,138.516
92,28.743,16.365,129.335,128.668,0.000,16.365,0.000,0.001,0.000,0.000,0.665,0.000,0.000,0.000,0.000,128.668
93,29.120,46.001,120.249,119.548,0.000,46.001,0.000,0.002,0.000,0.000,0.699,0.000,0.000,0.000,0.000,119.548
94,29.497,19.043,111.965,111.231,0.000,19.043,0.000,0.003,0.000,0.000,0.731,0.000,0.000,0.000,0.000,111.231
95,29.875,28.126,104.532,103.768,0.000,28.126,0.000,0.004,0.000,0.000,0.760,0.000,0.000,0.000,0.000,103.768
96,30.252,28.990,97.978,97.186,0.000,28.990,0.000,0.006,0.000,0.000,0.786,0.000,0.000,0.000,0.000,97.186
97,30.630,10.806,92.308,91.491,0.000,10.806,0.000,0.008,0.000,0.000,0.809,0.000,0.000,0.000,0.000,91.491
98,31.007,37.180,87.504,86.663,0.000,37.180,0.000,0.011,0.000,0.000,0.829,0.000,0.000,0.000,0.000,86.663
99,31.385,17.282,83.531,82.670,0.000,17.282,0.000,0.015,0.000,0.000,0.846,0.000,0.000,0.000,0.000,82.670
100,31.763,6.828,80.341,79.462,0.000,6.828,0.000,0.021,0.000,0.000,0.859,0.000,0.000,0.000,0.000,79.462
101,32.140,25.761,77.874,76.978,0.000,25.761,0.000,0.027,0.000,0.000,0.869,0.000,0.000,0.000,0.000,76.978
102,32.518,25.492,76.063,75.152,0.000,25.492,0.000,0.036,0.000,0.000,0.875,0.000,0.000,0.000,0.000,75.152
103,32.895,43.650,74.836,73.912,0.000,43.650,0.000,0.046,0.000,0.000,0.878,0.000,0.000,0.000,0.000,73.912
104,33.273,24.576,74.122,73.186,0.000,24.576,0.000,0.059,0.000,0.000,0.878,0.000,0.000,0.000,0.000,73.186
105,33.651,19.205,73.851,72.904,0.000,19.205,0.000,0.073,0.000,0.000,0.874,0.000,0.000,0.000,0.000,72.904
106,34.028,14.839,73.956,72.999,0.000,14.839,0.000,0.090,0.000,0.000,0.868,0.000,0.000,0.000,0.000,72.999
107,34.406,29.546,74.376,73.409,0.000,29.546,0.000,0.108,0.000,0.000,0.859,0.000,0.000,0.000,0.000,73.409
108,34.783,28.818,75.056,74.080,0.000,28.818,0.000,0.128,0.000,0.000,0.848,0.000,0.000,0.000,0.000,74.080
109,35.161,28.455,75.947,74.962,0.000,28.455,0.000,0.149,0.000,0.000,0.836,0.000,0.000,0.000,0.000,74.962
110,35.539,55.045,77.008,76.013,0.000,55.045,0.000,0.171,0.000,0.000,0.824,0.000,0.000,0.000,0.000,76.013
111,35.917,60.828,78.202,77.198,0.000,60.828,0.000,0.193,0.000,0.000,0.811,0.000,0.000,0.000,0.000,77.198
112,36.294,72.396,79.501,78.487,0.000,72.396,0.000,0.214,0.000,0.000,0.800,0.000,0.000,0.000,0.000,78.487
113,36.672,61.174,80.881,79.856,0.000,61.174,0.000,0.236,0.000,0.000,0.790,0.000,0.000,0.000,0.000,79.856
114,37.050,0.000,82.322,81.284,0.000,-12.714,0.000,0.256,0.000,0.000,0.781,0.000,0.000,0.000,0.000,81.284
115,37.428,64.202,83.810,82.758,0.000,64.202,0.000,0.276,0.000,0.000,0.775,0.000,0.000,0.000,0.000,82.758
116,37.806,33.848,85.332,84.266,0.000,33.848,0.000,0.295,0.000,0.000,0.772,0.000,0.000,0.000,0.000,84.266
117,38.183,56.633,86.880,85.797,0.000,56.633,0.000,0.313,0.000,0.000,0.771,0.000,0.000,0.000,0.000,85.797
118,38.561,72.058,88.448,87.345,0.000,72.058,0.000,0.331,0.000,0.000,0.772,0.000,0.000,0.000,0.000,87.345
119,38.939,67.373,90.030,88.906,0.000,67.373,0.000,0.348,0.000,0.000,0.776,0.000,0.000,0.000,0.000,88.906
120,39.317,59.629,91.623,90.475,0.000,59.629,0.000,0.365,0.000,0.000,0.783,0.000,0.000,0.000,0.000,90.475
121,39.695,95.422,93.225,92.051,0.000,95.422,0.000,0.382,0.000,0.000,0.793,0.000,0.000,0.000,0.000,92.051
122,40.073,78.009,94.833,93.630,0.000,78.009,0.000,0.399,0.000,0.000,0.804,0.000,0.000,0.000,0.000,93.630
123,40.451,126.887,96.447,95.212,0.000,126.887,0.000,0.417,0.000,0.000,0.818,0.000,0.000,0.000,0.000,95.212
124,40.829,87.902,98.065,96.795,0.000,87.902,0.000,0.435,0.000,0.000,0.834,0.000,0.000,0.000,0.000,96.795
125,41.207,70.895,99.687,98.380,0.000,70.895,0.000,0.455,0.000,0.000,0.852,0.000,0.000,0.000,0.000,98.380
126,41.585,88.751,101.313,99.965,0.000,88.751,0.000,0.475,0.000,0.000,0.872,0.000,0.000,0.000,0.000,99.965
127,41.963,98.748,102.941,101.551,0.000,98.748,0.000,0.496,0.000,0.000,0.893,0.000,0.000,0.000,0.000,101.551
128,42.341,115.813,104.572,103.138,0.000,115.813,0.000,0.519,0.000,0.000,0.915,0.000,0.000,0.000,0.000,103.138
129,42.719,123.219,106.206,104.724,0.000,123.219,0.000,0.543,0.000,0.000,0.938,0.000,0.000,0.000,0.000,104.724
130,43.097,140.568,107.841,106.311,0.000,140.568,0.000,0.568,0.000,0.000,0.961,0.000,0.000,0.000,0.000,106.311
131,43.475,76.833,109.478,107.897,0.000,76.833,0.000,0.595,0.001,0.000,0.984,0.000,0.000,0.000,0.000,107.897
132,43.853,129.887,111.115,109.484,0.000,129.887,0.000,0.623,0.001,0.000,1.006,0.000,0.000,0.000,0.000,109.484
133,44.231,105.843,112.754,111.071,0.000,105.843,0.000,0.654,0.001,0.001,1.027,0.000,0.000,0.001,0.000,111.071
134,44.609,138.383,114.392,112.657,0.000,138.383,0.000,0.686,0.001,0.001,1.047,0.000,0.000,0.001,0.000,112.657
135,44.987,135.223,116.031,114.244,0.000,135.223,0.000,0.719,0.002,0.001,1.064,0.000,0.000,0.001,0.000,114.244
136,45.365,108.885,117.669,115.831,0.000,108.885,0.000,0.755,0.002,0.002,1.078,0.000,0.000,0.001,0.000,115.831
137,45.743,100.982,119.306,117.417,0.000,100.982,0.000,0.793,0.003,0.002,1.089,0.000,0.000,0.001,0.000,117.417
138,46.122,114.215,120.941,119.004,0.000,114.215,0.000,0.833,0.004,0.003,1.096,0.000,0.000,0.001,0.000,119.004
139,46.500,138.469,122.575,120.591,0.000,138.469,0.000,0.874,0.005,0.004,1.099,0.000,0.000,0.001,0.000,120.591
140,46.878,99.743,124.206,122.178,0.000,99.743,0.000,0.918,0.007,0.005,1.096,0.000,0.000,0.002,0.000,122.178
141,47.256,110.842,125.835,123.764,0.000,110.842,0.000,0.963,0.009,0.007,1.088,0.000,0.000,0.002,0.000,123.764
142,47.634,160.346,127.461,125.351,0.000,160.346,0.000,1.011,0.012,0.010,1.075,0.000,0.000,0.002,0.000,125.351
143,48.013,127.845,128.052,125.907,0.000,127.845,0.000,1.059,0.016,0.013,1.055,0.000,0.000,0.003,0.000,125.907
144,48.391,123.964,128.641,126.463,0.000,123.964,0.000,1.109,0.020,0.017,1.028,0.000,0.000,0.003,0.000,126.463
145,48.769,134.082,129.225,127.019,0.000,134.082,0.000,1.158,0.025,0.023,0.995,0.000,0.000,0.004,0.000,127.019
146,49.147,167.392,129.805,127.575,0.000,167.392,0.000,1.207,0.032,0.030,0.956,0.000,0.000,0.004,0.000,127.575
147,49.526,134.671,130.381,128.131,0.000,134.671,0.000,1.255,0.040,0.039,0.910,0.000,0.000,0.005,0.000,128.131
148,49.904,158.983,130.952,128.688,0.000,158.983,0.000,1.300,0.050,0.050,0.859,0.000,0.000,0.005,0.000,128.688
149,50.283,161.109,131.518,129.244,0.000,161.109,0.000,1.340,0.061,0.064,0.803,0.000,0.000,0.006,0.000,129.244
150,50.661,132.820,132.080,129.800,0.000,132.820,0.000,1.376,0.074,0.081,0.743,0.000,0.000,0.007,0.000,129.800
151,51.039,128.274,132.637,130.356,0.000,128.274,0.000,1.404,0.089,0.100,0.680,0.000,0.000,0.008,0.000,130.356
152,51.418,185.966,133.189,130.912,0.000,185.966,0.000,1.424,0.105,0.123,0.616,0.000,0.000,0.009,0.000,130.912
153,51.796,177.828,133.736,131.468,0.000,177.828,0.000,1.434,0.123,0.149,0.552,0.000,0.000,0.009,0.000,131.468
154,52.175,177.644,134.278,132.024,0.000,177.644,0.000,1.434,0.142,0.178,0.490,0.000,0.000,0.010,0.000,132.024
155,52.553,166.764,134.816,132.580,0.000,166.764,0.000,1.424,0.161,0.209,0.430,0.000,0.000,0.011,0.000,132.580
156,52.931,180.924,135.351,133.136,0.000,180.924,0.000,1.404,0.180,0.243,0.375,0.000,0.000,0.012,0.000,133.136
157,53.310,183.599,135.881,133.692,0.000,183.599,0.000,1.375,0.198,0.278,0.325,0.000,0.000,0.012,0.000,133.692
158,53.688,150.490,136.409,134.248,0.000,150.490,0.000,1.338,0.216,0.313,0.279,0.000,0.000,0.013,0.000,134.248
159,54.067,177.499,136.933,134.804,0.000,177.499,0.000,1.295,0.231,0.349,0.240,0.001,0.000,0.014,0.000,134.804
160,54.445,160.424,137.456,135.361,0.000,160.424,0.000,1.247,0.245,0.383,0.206,0.001,0.000,0.014,0.000,135.361
161,54.824,187.457,137.978,135.917,0.000,187.457,0.000,1.196,0.257,0.416,0.176,0.001,0.000,0.015,0.000,135.917
162,55.203,181.185,138.499,136.473,0.000,181.185,0.000,1.144,0.267,0.448,0.152,0.001,0.000,0.015,0.000,136.473
163,55.581,165.207,139.020,137.029,0.000,165.207,0.000,1.092,0.274,0.477,0.132,0.001,0.000,0.015,0.000,137.029
164,55.960,204.100,139.541,137.585,0.000,204.100,0.000,1.042,0.280,0.503,0.115,0.001,0.000,0.016,0.000,137.585
165,56.338,137.476,140.064,138.141,0.000,137.476,0.000,0.994,0.283,0.528,0.101,0.001,0.000,0.016,0.000,138.141
166,56.717,122.881,140.589,138.697,0.000,122.881,0.000,0.949,0.285,0.550,0.090,0.002,0.000,0.016,0.000,138.697
167,57.096,141.186,141.116,139.253,0.000,141.186,0.000,0.908,0.286,0.570,0.080,0.002,0.000,0.017,0.000,139.253
168,57.474,223.132,141.646,139.809,0.000,223.132,0.000,0.871,0.285,0.588,0.072,0.002,0.001,0.017,0.000,139.809
169,57.853,208.794,142.179,140.365,0.000,208.794,0.000,0.838,0.284,0.605,0.066,0.002,0.001,0.018,0.000,140.365
170,58.232,159.173,142.716,140.921,0.000,159.173,0.000,0.809,0.282,0.621,0.061,0.003,0.001,0.019,0.000,140.921
171,58.610,142.795,143.256,141.477,0.000,142.795,0.000,0.784,0.280,0.636,0.056,0.003,0.001,0.020,0.000,141.477
172,58.989,147.503,143.800,142.034,0.000,147.503,0.000,0.762,0.277,0.650,0.053,0.003,0.001,0.021,0.000,142.034
173,59.368,238.858,144.348,142.590,0.000,238.858,0.000,0.744,0.275,0.664,0.049,0.004,0.001,0.022,0.000,142.590
174,59.747,177.395,144.899,143.146,0.000,177.395,0.000,0.728,0.273,0.677,0.047,0.004,0.001,0.023,0.000,143.146
175,60.125,220.217,145.454,143.702,0.000,220.217,0.000,0.716,0.270,0.691,0.045,0.004,0.001,0.025,0.000,143.702
176,60.504,232.322,146.012,144.258,0.000,232.322,0.000,0.705,0.268,0.705,0.043,0.005,0.002,0.027,0.000,144.258
177,60.883,176.871,146.573,144.814,0.000,176.871,0.000,0.697,0.266,0.718,0.041,0.005,0.002,0.029,0.000,144.814
178,61.262,168.417,147.136,145.370,0.000,168.417,0.000,0.690,0.265,0.732,0.040,0.006,0.002,0.031,0.000,145.370
179,61.641,146.503,147.702,145.926,0.000,146.503,0.000,0.685,0.263,0.747,0.039,0.006,0.003,0.034,0.000,145.926
180,62.020,189.466,148.270,146.482,0.000,189.466,0.000,0.680,0.262,0.761,0.038,0.007,0.003,0.037,0.000,146.482
181,62.398,189.016,148.840,147.038,0.000,189.016,0.000,0.676,0.262,0.776,0.037,0.007,0.003,0.040,0.000,147.038
182,62.777,167.576,149.412,147.594,0.000,167.576,0.000,0.673,0.261,0.792,0.036,0.008,0.004,0.043,0.000,147.594
183,63.156,200.799,149.984,148.151,0.000,200.799,0.000,0.670,0.261,0.808,0.036,0.009,0.004,0.047,0.000,148.151
184,63.535,206.261,150.558,148.707,0.000,206.261,0.000,0.667,0.261,0.824,0.035,0.010,0.005,0.051,0.000,148.707
185,63.914,212.080,151.134,149.263,0.000,212.080,0.000,0.663,0.262,0.841,0.035,0.010,0.005,0.055,0.000,149.263
186,64.293,213.056,151.710,149.819,0.000,213.056,0.000,0.659,0.263,0.859,0.035,0.011,0.006,0.059,0.000,149.819
187,64.672,187.086,152.288,150.375,0.000,187.086,0.000,0.655,0.264,0.878,0.035,0.012,0.006,0.063,0.000,150.375
188,65.051,190.047,152.867,150.931,0.000,190.047,0.000,0.649,0.266,0.899,0.035,0.013,0.007,0.068,0.000,150.931
189,65.430,204.460,153.449,151.487,0.000,204.460,0.000,0.644,0.269,0.922,0.035,0.013,0.008,0.072,0.000,151.487
190,65.809,208.223,154.032,152.043,0.000,208.223,0.000,0.637,0.272,0.946,0.035,0.014,0.009,0.076,0.000,152.043
191,66.188,209.459,154.618,152.599,0.000,209.459,0.000,0.630,0.275,0.974,0.035,0.015,0.009,0.081,0.000,152.599
192,66.567,216.721,155.208,153.155,0.000,216.721,0.000,0.622,0.280,1.005,0.035,0.016,0.010,0.085,0.000,153.155
193,66.946,198.986,155.803,153.711,0.000,198.986,0.000,0.614,0.285,1.040,0.035,0.017,0.011,0.088,0.000,153.711
194,67.325,209.378,156.402,154.267,0.000,209.378,0.000,0.605,0.292,1.081,0.036,0.017,0.012,0.092,0.000,154.267
195,67.704,238.437,157.008,154.824,0.000,238.437,0.000,0.596,0.300,1.127,0.036,0.018,0.013,0.095,0.000,154.824
196,68.084,211.988,157.622,155.380,0.000,211.988,0.000,0.587,0.308,1.180,0.037,0.019,0.014,0.097,0.000,155.380
197,68.463,231.754,158.243,155.936,0.000,231.754,0.000,0.578,0.318,1.241,0.038,0.020,0.015,0.099,0.000,155.936
198,68.842,227.972,158.875,156.492,0.000,227.972,0.000,0.568,0.330,1.310,0.038,0.020,0.016,0.100,0.000,156.492
199,69.221,196.826,159.519,157.048,0.000,196.826,0.000,0.559,0.343,1.391,0.039,0.021,0.017,0.101,0.000,157.048
200,69.600,234.825,160.174,157.604,0.000,234.825,0.000,0.549,0.358,1.482,0.040,0.022,0.018,0.101,0.000,157.604
201,69.979,258.961,160.845,158.160,0.000,258.961,0.000,0.541,0.374,1.587,0.041,0.022,0.019,0.100,0.000,158.160
202,70.359,225.502,161.530,158.716,0.000,225.502,0.000,0.532,0.392,1.705,0.043,0.023,0.020,0.099,0.000,158.716
203,70.738,229.885,162.233,159.272,0.000,229.885,0.000,0.524,0.412,1.839,0.044,0.023,0.021,0.097,0.000,159.272
204,71.117,213.664,162.955,159.828,0.000,213.664,0.000,0.516,0.434,1.990,0.045,0.024,0.022,0.095,0.000,159.828
205,71.496,274.958,163.695,160.384,0.000,274.958,0.000,0.509,0.458,2.158,0.047,0.024,0.023,0.092,0.000,160.384
206,71.876,297.348,164.457,160.940,0.000,297.348,0.000,0.503,0.483,2.346,0.048,0.025,0.024,0.088,0.000,160.940
207,72.255,263.912,165.240,161.497,0.000,263.912,0.000,0.497,0.509,2.553,0.050,0.025,0.025,0.084,0.000,161.497
208,72.634,285.421,166.045,162.053,0.000,285.421,0.000,0.492,0.537,2.780,0.051,0.026,0.026,0.080,0.000,162.053
