ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ac-228,Tl-208,Bi-212,Ra-224,Th-228,Th-232,Rn-220
43,10.269,406.860,268.542,4.167,0.000,406.860,264.375,91.926,88.442,53.812,26.120,6.971,1.002,0.142,0.125
44,10.646,393.774,278.416,3.959,0.000,393.774,274.458,94.813,91.336,55.514,28.267,7.162,1.044,0.150,0.128
45,11.022,406.780,287.241,3.750,0.000,406.780,283.490,97.321,93.849,56.986,30.389,7.322,1.083,0.158,0.132
46,11.399,415.743,295.021,3.542,0.000,415.743,291.479,99.467,95.993,58.236,32.452,7.452,1.118,0.166,0.135
47,11.775,452.001,301.778,3.334,0.000,452.001,298.445,101.278,97.789,59.278,34.416,7.556,1.150,0.173,0.137
48,12.152,427.996,307.547,3.125,0.000,427.996,304.422,102.781,99.264,60.128,36.240,7.636,1.179,0.180,0.139
49,12.529,444.304,312.370,2.917,0.000,444.304,309.453,104.008,100.446,60.803,37.884,7.695,1.205,0.186,0.141
50,12.906,484.024,316.295,2.709,0.000,484.024,313.587,104.994,101.367,61.324,39.311,7.736,1.229,0.192,0.142
51,13.282,410.660,319.378,2.500,0.000,410.660,316.878,105.769,102.063,61.709,40.484,7.762,1.250,0.197,0.143
52,13.659,405.629,321.678,2.292,0.000,405.629,319.386,106.367,102.565,61.980,41.375,7.775,1.269,0.202,0.143
53,14.036,429.460,323.255,2.083,0.000,429.460,321.171,106.818,102.907,62.155,41.960,7.777,1.286,0.207,0.144
54,14.413,423.450,324.176,1.875,0.000,423.450,322.301,107.149,103.118,62.253,42.225,7.773,1.302,0.211,0.144
55,14.789,389.338,324.507,1.667,0.000,389.338,322.840,107.387,103.228,62.290,42.164,7.762,1.316,0.214,0.144
56,15.166,395.294,324.316,1.458,0.000,395.294,322.857,107.554,103.261,62.280,41.780,7.748,1.329,0.217,0.144
57,15.543,393.292,323.670,1.250,0.000,393.292,322.420,107.669,103.239,62.236,41.088,7.731,1.341,0.220,0.144
