ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ac-228,Tl-208,Bi-212,Ra-224,Th-228,Th-232,Rn-220
210,73.393,283.551,167.722,163.165,0.000,283.551,0.000,71.789,54.279,31.646,4.486,3.700,1.636,0.138,0.047
211,73.772,281.088,168.594,163.721,0.000,281.088,0.000,72.210,54.534,31.803,4.507,3.719,1.644,0.129,0.048
212,74.152,294.375,169.486,164.277,0.000,294.375,0.000,72.639,54.799,31.962,4.530,3.738,1.652,0.119,0.048
213,74.531,290.300,170.399,164.833,0.000,290.300,0.000,73.073,55.073,32.124,4.552,3.758,1.661,0.110,0.048
214,74.911,340.173,171.329,165.389,0.000,340.173,0.000,73.509,55.358,32.288,4.576,3.778,1.670,0.101,0.048
215,75.290,292.247,172.275,165.945,0.000,292.247,0.000,73.946,55.654,32.455,4.600,3.799,1.679,0.093,0.049
216,75.669,355.490,173.235,166.501,0.000,355.490,0.000,74.379,55.962,32.624,4.625,3.822,1.689,0.085,0.049
217,76.049,393.137,174.204,167.057,0.000,393.137,0.000,74.804,56.283,32.796,4.650,3.845,1.699,0.078,0.049
218,76.428,324.902,175.179,167.613,0.000,324.902,0.000,75.218,56.616,32.970,4.676,3.868,1.709,0.071,0.050
219,76.808,293.707,176.158,168.170,0.000,293.707,0.000,75.616,56.962,33.147,4.703,3.893,1.720,0.065,0.050
220,77.187,301.551,177.134,168.726,0.000,301.551,0.000,75.994,57.322,33.326,4.731,3.919,1.732,0.059,0.050
221,77.567,284.302,178.104,169.282,0.000,284.302,0.000,76.346,57.696,33.507,4.759,3.946,1.744,0.054,0.051
222,77.946,306.642,179.064,169.838,0.000,306.642,0.000,76.668,58.084,33.691,4.789,3.974,1.757,0.050,0.051
223,78.326,255.049,180.009,170.394,0.000,255.049,0.000,76.955,58.485,33.877,4.819,4.003,1.771,0.046,0.051
224,78.706,336.056,180.934,170.950,0.000,336.056,0.000,77.202,58.901,34.066,4.850,4.033,1.785,0.043,0.052
225,79.085,292.207,181.834,171.506,0.000,292.207,0.000,77.406,59.331,34.258,4.883,4.064,1.800,0.040,0.052
226,79.465,364.012,182.706,172.062,0.000,364.012,0.000,77.561,59.774,34.453,4.916,4.096,1.816,0.037,0.053
227,79.844,273.325,183.545,172.618,0.000,273.325,0.000,77.664,60.231,34.651,4.950,4.129,1.832,0.035,0.053
228,80.224,238.475,184.348,173.174,0.000,238.475,0.000,77.713,60.700,34.852,4.985,4.162,1.848,0.033,0.054
229,80.604,291.785,185.113,173.730,0.000,291.785,0.000,77.705,61.181,35.057,5.021,4.197,1.866,0.032,0.054
230,80.983,257.701,185.836,174.286,0.000,257.701,0.000,77.639,61.673,35.265,5.058,4.232,1.883,0.031,0.055
231,81.363,275.630,186.516,174.843,0.000,275.630,0.000,77.514,62.176,35.476,5.095,4.268,1.901,0.030,0.055
232,81.743,301.563,187.152,175.399,0.000,301.563,0.000,77.330,62.688,35.692,5.134,4.305,1.918,0.029,0.055
233,82.122,232.748,187.743,175.955,0.000,232.748,0.000,77.088,63.209,35.911,5.173,4.341,1.936,0.029,0.056
234,82.502,334.408,188.291,176.511,0.000,334.408,0.000,76.791,63.736,36.134,5.213,4.378,1.953,0.028,0.057
235,82.882,283.847,188.796,177.067,0.000,283.847,0.000,76.442,64.270,36.360,5.254,4.415,1.970,0.028,0.057
236,83.262,250.025,189.260,177.623,0.000,250.025,0.000,76.044,64.808,36.590,5.295,4.452,1.986,0.028,0.058
237,83.641,234.588,189.686,178.179,0.000,234.588,0.000,75.602,65.350,36.822,5.336,4.489,2.000,0.028,0.058
238,84.021,230.832,190.076,178.735,0.000,230.832,0.000,75.121,65.894,37.058,5.378,4.525,2.013,0.028,0.059
239,84.401,302.032,190.435,179.291,0.000,302.032,0.000,74.607,66.439,37.296,5.420,4.561,2.025,0.028,0.059
240,84.781,241.059,190.767,179.847,0.000,241.059,0.000,74.066,66.984,37.536,5.462,4.595,2.034,0.028,0.060
241,85.161,181.701,191.075,180.403,0.000,181.701,0.000,73.505,67.528,37.778,5.505,4.629,2.041,0.028,0.060
242,85.541,208.319,189.293,178.887,0.000,208.319,0.000,72.196,67.297,37.593,5.484,4.610,2.025,0.028,0.060
243,85.920,174.967,187.498,177.371,0.000,174.967,0.000,70.890,67.055,37.405,5.462,4.590,2.008,0.027,0.060
244,86.300,189.113,185.693,175.855,0.000,189.113,0.000,69.594,66.803,37.214,5.440,4.568,1.987,0.027,0.060
245,86.680,116.059,183.885,174.339,0.000,116.059,0.000,68.314,66.539,37.019,5.417,4.544,1.963,0.027,0.059
246,87.060,111.704,182.076,172.823,0.000,111.704,0.000,67.055,66.264,36.822,5.393,4.519,1.937,0.027,0.059
247,87.440,209.312,180.271,171.307,0.000,209.312,0.000,65.820,65.977,36.620,5.369,4.492,1.907,0.027,0.059
248,87.820,154.318,178.475,169.791,0.000,154.318,0.000,64.614,65.678,36.415,5.343,4.463,1.875,0.027,0.059
249,88.200,154.360,176.689,168.275,0.000,154.360,0.000,63.441,65.368,36.205,5.317,4.433,1.839,0.027,0.058
250,88.580,141.253,174.917,166.759,0.000,141.253,0.000,62.302,65.046,35.992,5.290,4.402,1.800,0.026,0.058
251,88.960,121.687,173.160,165.243,0.000,121.687,0.000,61.198,64.713,35.774,5.262,4.369,1.759,0.026,0.058
252,89.340,127.533,171.420,163.727,0.000,127.533,0.000,60.132,64.370,35.552,5.233,4.335,1.714,0.026,0.058
253,89.720,104.306,169.698,162.211,0.000,104.306,0.000,59.102,64.016,35.327,5.203,4.300,1.667,0.026,0.057
254,90.100,173.343,167.994,160.695,0.000,173.343,0.000,58.108,63.651,35.097,5.173,4.264,1.617,0.026,0.057
255,90.480,197.451,166.308,159.179,0.000,197.451,0.000,57.149,63.277,34.864,5.142,4.226,1.566,0.026,0.057
256,90.860,140.765,164.639,157.664,0.000,140.765,0.000,56.224,62.892,34.628,5.111,4.188,1.513,0.026,0.056
257,91.241,77.759,162.985,156.148,0.000,77.759,0.000,55.330,62.498,34.388,5.078,4.150,1.458,0.025,0.056
258,91.621,137.026,161.346,154.632,0.000,137.026,0.000,54.465,62.095,34.145,5.046,4.111,1.403,0.025,0.056
259,92.001,169.878,159.718,153.116,0.000,169.878,0.000,53.625,61.682,33.899,5.013,4.071,1.347,0.025,0.055
260,92.381,49.650,158.101,151.600,0.000,49.650,0.000,52.810,61.259,33.651,4.979,4.032,1.291,0.025,0.055
261,92.761,101.668,156.493,150.084,0.000,101.668,0.000,52.015,60.826,33.400,4.945,3.992,1.235,0.025,0.055
262,93.141,66.735,154.889,148.568,0.000,66.735,0.000,51.238,60.383,33.147,4.910,3.952,1.179,0.025,0.054
263,93.521,113.365,153.290,147.052,0.000,113.365,0.000,50.477,59.930,32.891,4.875,3.912,1.125,0.025,0.054
264,93.902,117.882,151.692,145.536,0.000,117.882,0.000,49.730,59.466,32.634,4.840,3.873,1.071,0.024,0.054
265,94.282,59.032,150.093,144.020,0.000,59.032,0.000,48.993,58.991,32.374,4.804,3.833,1.020,0.024,0.053
266,94.662,73.758,148.493,142.504,0.000,73.758,0.000,48.267,58.505,32.112,4.767,3.794,0.970,0.024,0.053
267,95.042,95.384,146.888,140.988,0.000,95.384,0.000,47.548,58.006,31.848,4.731,3.755,0.923,0.024,0.052
268,95.423,70.452,145.279,139.472,0.000,70.452,0.000,46.837,57.496,31.583,4.694,3.716,0.877,0.024,0.052
269,95.803,127.648,143.663,137.956,0.000,127.648,0.000,46.132,56.973,31.315,4.656,3.678,0.834,0.023,0.052
270,96.183,36.464,142.041,136.440,0.000,36.464,0.000,45.433,56.437,31.044,4.618,3.639,0.794,0.023,0.051
271,96.564,76.312,140.412,134.924,0.000,76.312,0.000,44.740,55.889,30.772,4.579,3.601,0.756,0.023,0.051
272,96.944,24.383,138.776,133.408,0.000,24.383,0.000,44.052,55.328,30.497,4.541,3.564,0.721,0.023,0.051
273,97.324,32.825,137.133,131.892,0.000,32.825,0.000,43.371,54.754,30.220,4.501,3.526,0.688,0.023,0.050
274,97.705,52.695,135.484,130.376,0.000,52.695,0.000,42.697,54.167,29.940,4.461,3.488,0.658,0.023,0.050
275,98.085,70.301,133.829,128.860,0.000,70.301,0.000,42.030,53.568,29.657,4.421,3.451,0.630,0.022,0.049
276,98.466,11.501,132.169,127.344,0.000,11.501,0.000,41.371,52.957,29.372,4.380,3.413,0.605,0.022,0.049
277,98.846,50.208,130.505,125.828,0.000,50.208,0.000,40.720,52.335,29.084,4.338,3.376,0.582,0.022,0.048
278,99.226,0.000,128.837,124.312,0.000,-27.113,0.000,40.078,51.702,28.793,4.296,3.338,0.561,0.022,0.048
279,99.607,74.383,127.167,122.796,0.000,74.383,0.000,39.446,51.058,28.499,4.253,3.300,0.541,0.022,0.047
280,99.987,7.279,125.496,121.280,0.000,7.279,0.000,38.824,50.405,28.202,4.210,3.262,0.524,0.021,0.047
281,100.368,26.874,123.826,119.764,0.000,26.874,0.000,38.212,49.744,27.902,4.166,3.224,0.508,0.021,0.047
282,100.748,44.211,122.156,118.248,0.000,44.211,0.000,37.611,49.076,27.599,4.122,3.186,0.494,0.021,0.046
283,101.129,38.146,120.488,116.732,0.000,38.146,0.000,37.022,48.400,27.294,4.078,3.147,0.481,0.021,0.046
284,101.509,55.051,118.824,115.216,0.000,55.051,0.000,36.443,47.720,26.985,4.032,3.109,0.469,0.020,0.045
285,101.890,36.002,117.163,113.700,0.000,36.002,0.000,35.875,47.034,26.673,3.987,3.070,0.458,0.020,0.045
286,102.271,46.748,115.507,112.184,0.000,46.748,0.000,35.318,46.346,26.359,3.941,3.031,0.448,0.020,0.044
287,102.651,41.932,113.856,110.668,0.000,41.932,0.000,34.771,45.654,26.042,3.894,2.991,0.439,0.020,0.044
288,103.032,9.342,112.211,109.152,0.000,9.342,0.000,34.234,44.962,25.723,3.847,2.951,0.430,0.020,0.043
289,103.412,38.251,110.572,107.636,0.000,38.251,0.000,33.706,44.268,25.401,3.800,2.912,0.422,0.019,0.043
290,103.793,40.509,108.939,106.120,0.000,40.509,0.000,33.188,43.575,25.076,3.752,2.872,0.415,0.019,0.042
291,104.174,44.025,107.313,104.604,0.000,44.025,0.000,32.677,42.882,24.750,3.704,2.831,0.408,0.019,0.042
292,104.554,42.507,105.694,103.088,0.000,42.507,0.000,32.174,42.191,24.421,3.656,2.791,0.401,0.019,0.041
293,104.935,10.050,104.081,101.572,0.000,10.050,0.000,31.679,41.501,24.090,3.607,2.751,0.394,0.018,0.040
294,105.316,40.283,102.475,100.056,0.000,40.283,0.000,31.189,40.815,23.757,3.558,2.710,0.388,0.018,0.040
295,105.696,0.000,100.876,98.540,0.000,-12.625,0.000,30.705,40.131,23.423,3.509,2.670,0.382,0.018,0.039
296,106.077,23.241,99.283,97.024,0.000,23.241,0.000,30.226,39.451,23.086,3.459,2.629,0.375,0.018,0.039
297,106.458,55.669,97.696,95.508,0.000,55.669,0.000,29.751,38.773,22.749,3.409,2.588,0.369,0.017,0.038
298,106.839,20.131,96.114,93.992,0.000,20.131,0.000,29.280,38.100,22.409,3.359,2.548,0.363,0.017,0.038
299,107.219,0.000,94.538,92.476,0.000,-16.294,0.000,28.812,37.430,22.069,3.308,2.507,0.358,0.017,0.037
300,107.600,0.000,92.967,90.960,0.000,-47.446,0.000,28.347,36.764,21.727,3.258,2.466,0.352,0.017,0.037
301,107.981,0.000,91.400,89.444,0.000,-13.534,0.000,27.884,36.101,21.384,3.207,2.425,0.346,0.016,0.036
302,108.362,24.341,89.837,87.928,0.000,24.341,0.000,27.423,35.442,21.040,3.156,2.385,0.340,0.016,0.035
303,108.743,0.000,88.278,86.412,0.000,-19.490,0.000,26.963,34.786,20.694,3.105,2.344,0.334,0.016,0.035
304,109.123,39.611,86.722,84.896,0.000,39.611,0.000,26.504,34.133,20.348,3.053,2.303,0.329,0.016,0.034
305,109.504,16.288,85.169,83.380,0.000,16.288,0.000,26.047,33.484,20.001,3.002,2.263,0.323,0.015,0.034
306,109.885,3.199,83.618,81.864,0.000,3.199,0.000,25.589,32.837,19.653,2.950,2.222,0.317,0.015,0.033
307,110.266,0.000,82.069,80.348,0.000,-35.098,0.000,25.133,32.193,19.304,2.898,2.182,0.312,0.015,0.033
308,110.647,21.931,80.522,78.832,0.000,21.931,0.000,24.676,31.551,18.955,2.846,2.141,0.306,0.015,0.032
309,111.028,67.678,78.976,77.316,0.000,67.678,0.000,24.220,30.911,18.605,2.794,2.101,0.300,0.014,0.031
310,111.409,0.000,77.432,75.800,0.000,-11.456,0.000,23.764,30.274,18.253,2.741,2.061,0.294,0.014,0.031
311,111.790,0.000,75.889,74.284,0.000,-51.188,0.000,23.307,29.638,17.902,2.689,2.020,0.288,0.014,0.030
312,112.171,0.000,74.346,72.768,0.000,-21.033,0.000,22.850,29.004,17.549,2.636,1.980,0.283,0.014,0.030
313,112.552,0.000,72.804,71.252,0.000,-86.369,0.000,22.393,28.372,17.196,2.583,1.939,0.277,0.013,0.029
314,112.933,0.000,71.262,69.736,0.000,-31.285,0.000,21.936,27.741,16.843,2.530,1.899,0.271,0.013,0.028
315,113.314,0.000,69.721,68.220,0.000,-4.421,0.000,21.478,27.112,16.488,2.477,1.859,0.265,0.013,0.028
316,113.695,0.000,68.180,66.704,0.000,-12.108,0.000,21.020,26.485,16.134,2.424,1.818,0.260,0.012,0.027
317,114.076,0.000,66.639,65.188,0.000,-6.385,0.000,20.561,25.859,15.778,2.371,1.778,0.254,0.012,0.027
318,114.457,0.000,65.099,63.672,0.000,-15.419,0.000,20.102,25.234,15.422,2.317,1.737,0.248,0.012,0.026
319,114.838,17.543,63.559,62.156,0.000,17.543,0.000,19.642,24.611,15.066,2.264,1.697,0.242,0.012,0.025
320,115.219,25.088,62.019,60.640,0.000,25.088,0.000,19.181,23.990,14.709,2.210,1.656,0.237,0.011,0.025
321,115.600,15.116,60.480,59.124,0.000,15.116,0.000,18.720,23.370,14.351,2.157,1.616,0.231,0.011,0.024
322,115.982,13.182,58.941,57.608,0.000,13.182,0.000,18.258,22.752,13.993,2.103,1.575,0.225,0.011,0.024
323,116.363,0.000,57.403,56.092,0.000,-63.928,0.000,17.795,22.135,13.635,2.049,1.535,0.219,0.010,0.023
324,116.744,0.000,55.865,54.576,0.000,-18.563,0.000,17.332,21.521,13.276,1.995,1.494,0.213,0.010,0.022
325,117.125,0.000,54.328,53.060,0.000,-2.660,0.000,16.868,20.909,12.917,1.941,1.454,0.208,0.010,0.022
326,117.506,3.179,52.791,51.544,0.000,3.179,0.000,16.403,20.298,12.557,1.887,1.413,0.202,0.010,0.021
327,117.888,17.421,51.256,50.028,0.000,17.421,0.000,15.937,19.690,12.197,1.833,1.372,0.196,0.009,0.021
328,118.269,0.000,49.721,48.512,0.000,-39.750,0.000,15.471,19.084,11.836,1.779,1.331,0.190,0.009,0.020
329,118.650,0.000,48.187,46.996,0.000,-25.840,0.000,15.003,18.480,11.475,1.725,1.291,0.185,0.009,0.019
330,119.031,30.218,46.654,45.480,0.000,30.218,0.000,14.535,17.878,11.114,1.671,1.250,0.179,0.009,0.019
331,119.413,0.000,45.122,43.964,0.000,-31.415,0.000,14.065,17.279,10.753,1.616,1.209,0.173,0.008,0.018
332,119.794,2.131,43.591,42.448,0.000,2.131,0.000,13.595,16.681,10.391,1.562,1.168,0.167,0.008,0.018
