ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb,Xray-Pb-L,pile-up,continuum
99,30.888,1116775.708,1085486.015,8241.458,0.000,1116775.708,2390.294,1054103.020,23435.012,2366.666,0.000,0.000,8241.458
100,31.266,1110941.140,1072980.309,8470.387,0.000,1110941.140,2560.232,1044223.441,20412.107,2533.247,0.000,0.000,8470.387
101,31.643,1098859.534,1052944.853,8699.317,0.000,1098859.534,2748.047,1026532.952,17653.001,2717.204,0.000,0.000,8699.317
102,32.021,1074636.818,1025981.273,8928.246,0.000,1074636.818,2955.995,1001608.016,15159.181,2920.781,0.000,0.000,8928.246
103,32.399,1045204.941,992795.722,9157.175,0.000,1045204.941,3185.541,970183.633,12925.819,3145.336,0.000,0.000,9157.175
104,32.776,1004441.309,954219.952,9386.105,0.000,1004441.309,3436.809,933114.309,10943.220,3390.906,0.000,0.000,9386.105
105,33.154,957543.933,912690.763,9615.034,0.000,957543.933,3710.637,891350.746,9198.116,3658.187,0.000,0.000,9615.034
106,33.532,908218.495,866687.413,9843.963,0.000,908218.495,4008.499,845900.392,7674.776,3948.612,0.000,0.000,9843.963
107,33.909,854658.462,817635.004,10072.893,0.000,854658.462,4331.928,797783.499,6355.923,4263.554,0.000,0.000,10072.893
108,34.287,799123.585,766478.045,10301.822,0.000,799123.585,4680.449,747987.812,5223.484,4602.356,0.000,0.000,10301.822
109,34.665,744098.250,715550.658,10530.752,0.000,744098.250,5051.173,697436.495,4259.174,4961.998,0.000,0.000,10530.752
110,35.042,688096.444,664802.394,10759.681,0.000,688096.444,5442.874,646984.322,3444.955,5341.059,0.000,0.000,10759.681
111,35.420,634879.314,615097.311,10988.610,0.000,634879.314,5854.641,597392.852,2763.389,5738.384,0.000,0.000,10988.610
112,35.798,584463.741,567095.965,11217.540,0.000,584463.741,6285.248,549315.825,2197.898,6152.498,0.000,0.000,11217.540
113,36.176,535738.288,521790.689,11446.469,0.000,535738.288,6730.797,503280.173,1732.960,6579.229,0.000,0.000,11446.469
114,36.553,489899.224,478510.806,11675.398,0.000,489899.224,7185.948,459692.762,1354.244,7012.893,0.000,0.000,11675.398
115,36.931,447000.669,437865.480,11904.328,0.000,447000.669,7646.952,418862.558,1048.694,7449.355,0.000,0.000,11904.328
116,37.309,408174.025,400036.209,12133.257,0.000,408174.025,8109.827,380998.041,804.572,7884.180,0.000,0.000,12133.257
117,37.687,371745.321,366543.003,12362.187,0.000,371745.321,8570.201,346215.961,611.466,8312.561,0.000,0.000,12362.187
118,38.064,340384.160,335726.230,12591.116,0.000,340384.160,9022.416,314538.043,460.262,8728.245,0.000,0.000,12591.116
119,38.442,311599.792,307626.484,12820.045,0.000,311599.792,9461.018,285923.967,343.086,9125.136,0.000,0.000,12820.045
120,38.820,286095.367,282498.839,13048.975,0.000,286095.367,9881.025,260285.326,253.227,9497.476,0.000,0.000,13048.975
121,39.198,263639.677,260209.934,13277.904,0.000,263639.677,10277.616,237493.886,185.045,9839.675,0.000,0.000,13277.904
122,39.576,241709.728,240586.464,13506.834,0.000,241709.728,10646.436,217386.386,133.864,10146.365,0.000,0.000,13506.834
123,39.954,223624.431,223435.181,13735.763,0.000,223624.431,10983.659,199769.397,95.859,10412.520,0.000,0.000,13735.763
124,40.331,208946.109,208541.904,13964.692,0.000,208946.109,11286.082,184439.305,67.944,10633.639,0.000,0.000,13964.692
125,40.709,196015.096,195677.122,14193.622,0.000,196015.096,11551.369,171193.799,47.664,10805.887,0.000,0.000,14193.622
126,41.087,184409.871,184771.680,14422.551,0.000,184409.871,11778.172,159832.103,33.093,10926.186,0.000,0.000,14422.551
127,41.465,174479.155,175576.170,14651.480,0.000,174479.155,11966.248,150154.230,22.738,10992.286,0.000,0.000,14651.480
128,41.843,165659.884,167611.374,14880.410,0.000,165659.884,12116.546,141957.322,15.461,11002.819,0.000,0.000,14880.410
129,42.221,159054.497,160889.483,15109.339,0.000,159054.497,12231.284,135057.047,10.404,10957.404,0.000,0.000,15109.339
130,42.599,152377.303,155243.197,15338.269,0.000,152377.303,12314.106,129286.124,6.928,10856.660,0.000,0.000,15338.269
131,42.977,147347.032,150521.655,15567.198,0.000,147347.032,12370.050,124492.559,4.565,10702.188,0.000,0.000,15567.198
132,43.355,143934.232,146274.962,15486.825,0.000,143934.232,12405.601,120533.635,2.976,10496.452,0.000,0.000,15486.825
133,43.732,139749.723,142678.308,15406.451,0.000,139749.723,12428.703,117272.275,1.920,10242.659,0.000,0.000,15406.451
134,44.110,137101.485,139622.758,15326.078,0.000,137101.485,12448.758,114595.595,1.225,9944.926,0.000,0.000,15326.078
135,44.488,134932.265,137015.560,15245.705,0.000,134932.265,12476.617,112406.149,0.774,9608.068,0.000,0.000,15245.705
136,44.866,133395.388,134791.674,15165.331,0.000,133395.388,12524.567,110620.436,0.484,9237.456,0.000,0.000,15165.331
137,45.244,130940.091,132855.146,15084.958,0.000,130940.091,12606.324,109159.906,0.299,8838.720,0.000,0.000,15084.958
138,45.622,130361.858,131150.754,15004.585,0.000,130361.858,12737.035,107957.047,0.183,8417.740,0.000,0.000,15004.585
139,46.000,129331.091,129635.213,14924.211,0.000,129331.091,12933.299,106959.148,0.111,7980.606,0.000,0.000,14924.211
140,46.378,128145.188,128273.542,14843.838,0.000,128145.188,13213.215,106125.139,0.067,7533.424,0.000,0.000,14843.838
141,46.756,127920.137,127038.546,14763.465,0.000,127920.137,13594.523,105421.890,0.040,7082.139,0.000,0.000,14763.465
142,47.134,127459.188,125904.200,14683.092,0.000,127459.188,14088.924,104817.815,0.024,6632.319,0.000,0.000,14683.092
143,47.513,126797.065,124848.924,14602.718,0.000,126797.065,14706.050,104286.178,0.014,6189.124,0.000,0.000,14602.718
144,47.891,126787.510,123862.743,14522.345,0.000,126787.510,15461.192,103812.218,0.008,5757.343,0.000,0.000,14522.345
145,48.269,126379.104,122945.864,14441.972,0.000,126379.104,16370.320,103387.682,0.005,5341.249,0.000,0.000,14441.972
146,48.647,125195.452,122102.194,14361.598,0.000,125195.452,17447.574,103007.778,0.003,4944.524,0.000,0.000,14361.598
147,49.025,126298.032,121300.759,14281.225,0.000,126298.032,18695.676,102661.190,0.002,4570.106,0.000,0.000,14281.225
148,49.403,125431.807,120550.893,14200.852,0.000,125431.807,20117.733,102341.516,0.001,4220.343,0.000,0.000,14200.852
149,49.781,124743.019,119856.624,14120.478,0.000,124743.019,21721.375,102050.964,0.001,3897.054,0.000,0.000,14120.478
150,50.159,125320.897,119233.692,14040.105,0.000,125320.897,23513.459,101794.777,0.000,3601.493,0.000,0.000,14040.105
151,50.537,124929.464,118670.269,13959.732,0.000,124929.464,25497.130,101578.052,0.000,3334.356,0.000,0.000,13959.732
152,50.915,124399.684,118167.392,13879.358,0.000,124399.684,27660.675,101394.191,0.000,3095.691,0.000,0.000,13879.358
153,51.294,125322.109,117727.215,13798.985,0.000,125322.109,29997.718,101244.838,0.000,2885.220,0.000,0.000,13798.985
154,51.672,124913.303,117354.627,13718.612,0.000,124913.303,32503.116,101135.466,0.000,2702.355,0.000,0.000,13718.612
155,52.050,124384.206,117070.023,13638.238,0.000,124384.206,35170.811,101072.920,0.000,2546.239,0.000,0.000,13638.238
156,52.428,124030.102,116864.609,13557.865,0.000,124030.102,37988.759,101060.016,0.000,2415.729,0.000,0.000,13557.865
157,52.806,124919.367,116712.121,13477.492,0.000,124919.367,40937.852,101094.170,0.000,2309.443,0.000,0.000,13477.492
158,53.184,124194.181,116629.825,13397.118,0.000,124194.181,44000.709,101175.700,0.000,2225.974,0.000,0.000,13397.118
159,53.563,124499.864,116619.975,13316.745,0.000,124499.864,47162.261,101308.223,0.000,2163.957,0.000,0.000,13316.745
160,53.941,124240.812,116685.010,13236.372,0.000,124240.812,50407.002,101495.498,0.000,2122.073,0.000,0.000,13236.372
161,54.319,124276.554,116822.927,13155.999,0.000,124276.554,53714.777,101736.837,0.000,2099.008,0.000,0.000,13155.999
162,54.697,124684.058,117025.590,13075.625,0.000,124684.058,57059.413,102025.404,0.000,2093.461,0.000,0.000,13075.625
163,55.076,124307.058,117289.862,12995.252,0.000,124307.058,60419.942,102359.104,0.000,2104.389,0.000,0.000,12995.252
164,55.454,123797.316,117615.151,12914.879,0.000,123797.316,63778.442,102738.151,0.000,2130.987,0.000,0.000,12914.879
165,55.832,124179.897,118024.192,12834.505,0.000,124179.897,67118.389,103163.044,0.000,2172.672,0.000,0.000,12834.505
166,56.210,124450.406,118497.939,12754.132,0.000,124450.406,70419.697,103629.408,0.000,2228.991,0.000,0.000,12754.132
167,56.589,124117.889,118984.078,12673.759,0.000,124117.889,73656.183,104125.317,0.000,2299.584,0.000,0.000,12673.759
168,56.967,124320.528,119511.167,12593.385,0.000,124320.528,76812.370,104647.830,0.000,2384.523,0.000,0.000,12593.385
169,57.345,124039.702,120077.890,12513.012,0.000,124039.702,79875.862,105195.276,0.000,2484.162,0.000,0.000,12513.012
170,57.724,123722.664,120684.366,12432.639,0.000,123722.664,82837.315,105767.130,0.000,2599.148,0.000,0.000,12432.639
171,58.102,124087.019,121323.004,12352.265,0.000,124087.019,85681.527,106355.072,0.000,2730.206,0.000,0.000,12352.265
172,58.480,123371.232,121985.947,12271.892,0.000,123371.232,88394.657,106950.262,0.000,2878.322,0.000,0.000,12271.892
173,58.859,125011.096,122671.219,12191.519,0.000,125011.096,90970.359,107549.324,0.000,3044.895,0.000,0.000,12191.519
174,59.237,123824.419,123379.786,12111.145,0.000,123824.419,93406.572,108151.477,0.000,3231.672,0.000,0.000,12111.145
175,59.616,123980.961,124132.959,12030.772,0.000,123980.961,95703.064,108756.056,0.000,3440.711,0.000,0.000,12030.772
176,59.994,124058.587,124917.639,11950.399,0.000,124058.587,97854.657,109355.895,0.000,3674.227,0.000,0.000,11950.399
177,60.372,123803.697,125686.527,11870.026,0.000,123803.697,99857.476,109943.740,0.000,3934.783,0.000,0.000,11870.026
178,60.751,124331.697,126471.452,11789.652,0.000,124331.697,101714.843,110518.328,0.000,4225.478,0.000,0.000,11789.652
179,61.129,124136.794,127277.644,11709.279,0.000,124136.794,103433.174,111080.468,0.000,4549.887,0.000,0.000,11709.279
180,61.508,124290.659,128108.742,11628.906,0.000,124290.659,105019.341,111630.625,0.000,4911.186,0.000,0.000,11628.906
181,61.886,124354.375,128960.644,11548.532,0.000,124354.375,106475.778,112164.141,0.000,5309.930,0.000,0.000,11548.532
182,62.264,124459.408,129828.132,11468.159,0.000,124459.408,107804.825,112675.791,0.000,5746.126,0.000,0.000,11468.159
183,62.643,124965.569,130714.808,11387.786,0.000,124965.569,109015.292,113166.610,0.000,6222.341,0.000,0.000,11387.786
184,63.021,125422.252,131625.536,11307.412,0.000,125422.252,110117.243,113638.732,0.000,6741.304,0.000,0.000,11307.412
185,63.400,125176.349,132564.802,11227.039,0.000,125176.349,111121.288,114094.864,0.000,7305.341,0.000,0.000,11227.039
186,63.778,125289.763,133516.918,11146.666,0.000,125289.763,112029.214,114529.035,0.000,7908.241,0.000,0.000,11146.666
187,64.157,125893.157,134485.655,11066.292,0.000,125893.157,112847.072,114939.794,0.000,8546.575,0.000,0.000,11066.292
188,64.535,125792.131,135466.776,10985.919,0.000,125792.131,113584.038,115329.203,0.000,9218.645,0.000,0.000,10985.919
189,64.914,126469.996,136460.865,10905.546,0.000,126469.996,114249.846,115700.133,0.000,9922.161,0.000,0.000,10905.546
190,65.292,127353.919,137466.345,10825.172,0.000,127353.919,114852.181,116054.023,0.000,10654.108,0.000,0.000,10825.172
191,65.671,127221.435,138474.101,10744.799,0.000,127221.435,115391.707,116385.726,0.000,11410.519,0.000,0.000,10744.799
192,66.050,128564.325,139478.411,10664.426,0.000,128564.325,115872.463,116693.979,0.000,12186.934,0.000,0.000,10664.426
193,66.428,129146.435,140476.201,10584.053,0.000,129146.435,116301.137,116980.678,0.000,12978.383,0.000,0.000,10584.053
194,66.807,129999.727,141464.895,10503.679,0.000,129999.727,116684.979,117248.785,0.000,13779.328,0.000,0.000,10503.679
195,67.185,130928.681,142438.824,10423.306,0.000,130928.681,117028.196,117498.709,0.000,14583.690,0.000,0.000,10423.306
196,67.564,131675.243,143309.319,10342.933,0.000,131675.243,117330.613,117726.972,0.000,15384.921,0.000,0.000,10342.933
197,67.942,132415.404,144202.054,10262.559,0.000,132415.404,117593.964,117932.390,0.000,16176.110,0.000,0.000,10262.559
198,68.321,134292.895,145080.699,10182.186,0.000,134292.895,117823.195,118117.386,0.000,16950.093,0.000,0.000,10182.186
199,68.700,134316.128,145917.688,10101.813,0.000,134316.128,118023.688,118285.252,0.000,17699.551,0.000,0.000,10101.813
200,69.078,136120.890,146707.155,10021.439,0.000,136120.890,118198.720,118437.485,0.000,18417.122,0.000,0.000,10021.439
201,69.457,136439.452,147437.117,9941.066,0.000,136439.452,118345.086,118569.400,0.000,19095.505,0.000,0.000,9941.066
202,69.836,138363.568,148100.890,9860.693,0.000,138363.568,118464.355,118681.356,0.000,19727.657,0.000,0.000,9860.693
203,70.214,138974.925,148694.857,9780.319,0.000,138974.925,118560.542,118776.400,0.000,20306.917,0.000,0.000,9780.319
204,70.593,140153.725,149216.928,9699.946,0.000,140153.725,118638.423,118858.594,0.000,20827.131,0.000,0.000,9699.946
205,70.972,142009.518,149662.715,9619.573,0.000,142009.518,118699.814,118929.082,0.000,21282.767,0.000,0.000,9619.573
206,71.350,142920.812,150002.176,9539.199,0.000,142920.812,118740.353,118983.129,0.000,21669.016,0.000,0.000,9539.199
207,71.729,145359.572,150244.771,9458.826,0.000,145359.572,118762.254,119022.673,0.000,21981.978,0.000,0.000,9458.826
208,72.108,146291.837,150429.540,9378.453,0.000,146291.837,118768.975,119051.016,0.000,22218.732,0.000,0.000,9378.453
209,72.487,147346.220,150529.087,9298.079,0.000,147346.220,118764.618,119072.215,0.000,22377.407,0.000,0.000,9298.079
210,72.865,148627.226,150542.224,9217.706,0.000,148627.226,118748.739,119085.875,0.000,22457.212,0.000,0.000,9217.706
211,73.244,149040.484,150467.259,9137.333,0.000,149040.484,118719.159,119089.955,0.000,22458.494,0.000,0.000,9137.333
212,73.623,151043.892,150306.986,9056.960,0.000,151043.892,118676.884,119085.707,0.000,22382.796,0.000,0.000,9056.960
213,74.002,152286.944,150067.110,8976.586,0.000,152286.944,118624.632,119076.115,0.000,22232.841,0.000,0.000,8976.586
214,74.380,152386.777,149754.447,8896.213,0.000,152386.777,118565.183,119064.301,0.000,22012.321,0.000,0.000,8896.213
215,74.759,152842.332,149372.237,8815.840,0.000,152842.332,118497.980,119050.169,0.000,21724.571,0.000,0.000,8815.840
216,75.138,153920.391,148920.766,8735.466,0.000,153920.391,118420.344,119031.551,0.000,21372.898,0.000,0.000,8735.466
217,75.517,154351.797,148376.394,8655.093,0.000,154351.797,118333.128,119009.883,0.000,20962.506,0.000,0.000,8655.093
218,75.896,154455.354,147811.017,8574.720,0.000,154455.354,118238.358,118987.855,0.000,20499.480,0.000,0.000,8574.720
219,76.274,154537.946,147201.843,8494.346,0.000,154537.946,118137.936,118968.114,0.000,19990.370,0.000,0.000,8494.346
220,76.653,153692.787,146554.521,8413.973,0.000,153692.787,118029.870,118949.548,0.000,19441.938,0.000,0.000,8413.973
221,77.032,154915.541,145871.441,8333.600,0.000,154915.541,117908.864,118927.699,0.000,18861.031,0.000,0.000,8333.600
222,77.411,153398.753,145160.987,8253.226,0.000,153398.753,117775.160,118903.888,0.000,18254.711,0.000,0.000,8253.226
223,77.790,152701.096,144432.064,8172.853,0.000,152701.096,117629.526,118880.036,0.000,17629.964,0.000,0.000,8172.853
224,78.169,152369.684,143693.929,8092.480,0.000,152369.684,117473.166,118858.624,0.000,16993.566,0.000,0.000,8092.480
225,78.548,151463.728,142949.521,8012.106,0.000,151463.728,117301.153,118836.143,0.000,16351.964,0.000,0.000,8012.106
226,78.927,150961.449,142201.489,7931.733,0.000,150961.449,117108.551,118809.228,0.000,15711.173,0.000,0.000,7931.733
