spectrum,peak_kev,peak_counts,snr,fwhm_ch,fwhm_kev,nuclide,line_kev,intensity_pct,miss_kev,miss_fwhm,tol_pct,range_min_kev,range_max_kev,candidates,label_text,label_token
AS80_K40,99.545,71.0,27.659,51.162,18.483,,,,,,10,30.058,2776.285,,,
AS80_K40,241.494,11.0,46.222,57.188,20.293,Pb-214,241.000,7.2615,0.494,0.0243,10,30.058,2776.285,Pb-214|Eu-152,Pb-214 / Eu-152,Pb-214
AS80_K40,349.110,5.0,58.581,74.612,26.387,Pb-214,353.000,35.7166,3.890,0.1474,10,30.058,2776.285,Pb-214|Eu-152,Pb-214 / Eu-152,Pb-214
AS80_K40,504.826,0.0,10.472,61.681,21.994,Tl-208,510.000,8.1224,5.174,0.2352,10,30.058,2776.285,Tl-208|Annihilation,Tl-208 / Annihilation,Tl-208
AS80_K40,594.036,2.0,112.555,130.988,47.180,Tl-208,583.000,30.549,11.036,0.2339,10,30.058,2776.285,Tl-208|Bi-214,Tl-208 / Bi-214,Tl-208
AS80_K40,765.427,0.0,11.056,128.527,47.509,,,,,,10,30.058,2776.285,,,
AS80_K40,939.519,0.0,31.800,250.429,95.398,Ac-228,964.000,4.99,24.481,0.2566,10,30.058,2776.285,Ac-228,Ac-228,Ac-228
AS80_K40,1117.786,0.0,72.162,235.416,92.361,Bi-214,1120.000,14.9,2.214,0.0240,10,30.058,2776.285,Bi-214|Eu-152,Bi-214 / Eu-152,Bi-214
AS80_K40,1483.641,3.0,940.795,259.187,105.927,K-40,1460.000,10.66,23.641,0.2232,10,30.058,2776.285,K-40,K-40,K-40
AS80_K40,1805.829,0.0,110.521,280.083,114.233,Bi-214,1764.000,15.29,41.829,0.3662,10,30.058,2776.285,Bi-214,Bi-214,Bi-214
AS80_K40,2231.948,0.0,50.100,495.980,182.071,Bi-214,2204.000,4.92,27.948,0.1535,10,30.058,2776.285,Bi-214,Bi-214,Bi-214
AS80_K40,2614.120,0.0,168.253,400.552,97.086,Tl-208,2614.000,35.8516,0.120,0.0012,10,30.058,2776.285,Tl-208,Tl-208,Tl-208
AS80_Lu176,52.123,26.0,62.229,27.131,9.899,,,,,,10,29.879,2800.125,,,
AS80_Lu176,86.819,3.0,18.235,33.833,12.368,Pb x-ray,87.300,8,0.481,0.0389,10,29.879,2800.125,Pb x-ray,Pb x-ray,Pb
AS80_Lu176,200.486,15.0,202.591,57.325,21.083,Lu-176,202.000,77.9688,1.514,0.0718,10,29.879,2800.125,Lu-176,Lu-176,Lu-176
AS80_Lu176,304.486,8.0,225.373,78.780,29.133,Lu-176,307.000,93.6,2.514,0.0863,10,29.879,2800.125,Lu-176,Lu-176,Lu-176
AS80_Lu176,519.436,0.0,50.179,97.913,36.616,Annihilation,511.000,0,8.436,0.2304,10,29.879,2800.125,Annihilation|Tl-208,Annihilation / Tl-208,Annihilation
AS80_Lu176,598.126,0.0,11.633,99.481,37.352,Bi-214,609.000,45.44,10.874,0.2911,10,29.879,2800.125,Bi-214,Bi-214,Bi-214
AS80_Lu176,1454.857,0.0,38.306,211.984,82.996,K-40,1460.000,10.66,5.143,0.0620,10,29.879,2800.125,K-40,K-40,K-40
AS80_Lu176,1772.757,0.0,10.587,229.155,91.046,Bi-214,1764.000,15.29,8.757,0.0962,10,29.879,2800.125,Bi-214,Bi-214,Bi-214
AS80_Lu176,2686.554,0.0,13.907,313.737,129.733,Tl-208,2614.000,35.8516,72.554,0.5593,10,29.879,2800.125,Tl-208,Tl-208,Tl-208
AS80_Onyx,75.057,188.0,47.507,32.963,12.197,Pb x-ray,74.969,100,0.088,0.0072,10,30.029,2788.490,Pb x-ray|Am-243,Pb x-ray / Am-243,Pb
AS80_Onyx,89.093,90.0,29.821,39.600,14.603,Pb x-ray,87.300,8,1.793,0.1228,10,30.029,2788.490,Pb x-ray,Pb x-ray,Pb
AS80_Onyx,234.514,13.0,47.224,54.300,19.517,Pb-212,238.000,43.6,3.486,0.1786,10,30.029,2788.490,Pb-212,Pb-212,Pb-212
AS80_Onyx,291.848,3.0,18.088,46.849,16.744,Pb-214,295.000,18.4672,3.152,0.1883,10,30.029,2788.490,Pb-214,Pb-214,Pb-214
AS80_Onyx,346.793,6.0,73.407,76.795,27.362,Eu-152,345.000,26.59,1.793,0.0655,10,30.029,2788.490,Eu-152,Eu-152,Eu-152
AS80_Onyx,501.026,0.0,11.136,67.338,24.038,Tl-208,510.000,8.1224,8.974,0.3733,10,30.029,2788.490,Tl-208|Annihilation,Tl-208 / Annihilation,Tl-208
AS80_Onyx,594.511,2.0,131.505,128.899,46.359,Tl-208,583.000,30.549,11.511,0.2483,10,30.029,2788.490,Tl-208|Bi-214,Tl-208 / Bi-214,Tl-208
AS80_Onyx,763.433,0.0,16.214,123.590,45.415,,,,,,10,30.029,2788.490,,,
AS80_Onyx,909.490,0.0,43.452,207.628,78.076,Ac-228,911.000,25.8,1.510,0.0193,10,30.029,2788.490,Ac-228,Ac-228,Ac-228
AS80_Onyx,1109.364,0.0,80.727,194.789,75.634,Eu-152,1111.000,13.67,1.636,0.0216,10,30.029,2788.490,Eu-152,Eu-152,Eu-152
AS80_Onyx,1470.309,1.0,439.597,251.069,101.664,K-40,1460.000,10.66,10.309,0.1014,10,30.029,2788.490,K-40,K-40,K-40
AS80_Onyx,1808.027,0.0,121.367,274.196,111.178,Bi-214,1764.000,15.29,44.027,0.3960,10,30.029,2788.490,Bi-214,Bi-214,Bi-214
AS80_Onyx,2233.275,0.0,50.990,513.120,188.528,Bi-214,2204.000,4.92,29.275,0.1553,10,30.029,2788.490,Bi-214,Bi-214,Bi-214
AS80_Onyx,2625.190,0.0,182.229,392.587,95.876,Tl-208,2614.000,35.8516,11.190,0.1167,10,30.029,2788.490,Tl-208,Tl-208,Tl-208
AS80_Th232Medal,39.343,148.0,30.135,18.144,6.970,,,,,,10,30.112,2800.000,,,
AS80_Th232Medal,73.001,1252.0,341.653,24.916,9.490,Pb x-ray,72.804,59.5,0.197,0.0208,10,30.112,2800.000,Pb x-ray,Pb x-ray,Pb
AS80_Th232Medal,86.691,208.0,93.065,21.840,8.292,Pb x-ray,87.300,8,0.609,0.0734,10,30.112,2800.000,Pb x-ray,Pb x-ray,Pb
AS80_Th232Medal,129.016,36.0,44.240,31.628,11.900,Ac-228,129.065,2.42,0.049,0.0041,10,30.112,2800.000,Ac-228,Ac-228,Ac-228
AS80_Th232Medal,239.327,187.0,608.996,58.681,21.695,Pb-212,238.000,43.6,1.327,0.0612,10,30.112,2800.000,Pb-212|Pb-214,Pb-212 / Pb-214,Pb-212
AS80_Th232Medal,291.681,2.0,20.813,34.284,12.610,Pb-214,295.000,18.4672,3.319,0.2632,10,30.112,2800.000,Pb-214,Pb-214,Pb-214
AS80_Th232Medal,341.983,19.0,228.680,79.864,29.281,Eu-152,345.000,26.59,3.017,0.1030,10,30.112,2800.000,Eu-152|Ac-228,Eu-152 / Ac-228,Eu-152
AS80_Th232Medal,458.797,1.0,32.741,61.531,22.536,Ac-228,463.000,4.4,4.203,0.1865,10,30.112,2800.000,Ac-228,Ac-228,Ac-228
AS80_Th232Medal,507.184,1.0,52.568,59.367,21.785,Tl-208,510.000,8.1224,2.816,0.1293,10,30.112,2800.000,Tl-208|Annihilation,Tl-208 / Annihilation,Tl-208
AS80_Th232Medal,582.220,7.0,348.286,122.311,45.118,Tl-208,583.000,30.549,0.780,0.0173,10,30.112,2800.000,Tl-208,Tl-208,Tl-208
AS80_Th232Medal,721.539,1.0,74.936,122.181,45.769,,,,,,10,30.112,2800.000,,,
AS80_Th232Medal,906.772,1.0,200.078,176.952,68.122,Ac-228,911.000,25.8,4.228,0.0621,10,30.112,2800.000,Ac-228,Ac-228,Ac-228
AS80_Th232Medal,1115.766,0.0,79.405,173.294,68.940,Bi-214,1120.000,14.9,4.234,0.0614,10,30.112,2800.000,Bi-214|Eu-152,Bi-214 / Eu-152,Bi-214
AS80_Th232Medal,1470.903,0.0,125.475,232.259,96.429,K-40,1460.000,10.66,10.903,0.1131,10,30.112,2800.000,K-40,K-40,K-40
AS80_Th232Medal,1643.308,0.0,67.550,182.600,76.503,Ac-228,1588.000,3.22,55.308,0.7229,10,30.112,2800.000,Ac-228,Ac-228,Ac-228
AS80_Th232Medal,1823.473,0.0,43.280,194.432,81.266,Bi-214,1764.000,15.29,59.473,0.7318,10,30.112,2800.000,Bi-214,Bi-214,Bi-214
AS80_Th232Medal,2210.083,0.0,84.455,316.211,123.608,Bi-214,2204.000,4.92,6.083,0.0492,10,30.112,2800.000,Bi-214,Bi-214,Bi-214
AS80_Th232Medal,2402.537,0.0,10.396,167.259,59.898,Bi-214,2447.000,1.545,44.463,0.7423,10,30.112,2800.000,Bi-214,Bi-214,Bi-214
AS80_Th232Medal,2654.933,0.0,305.525,385.715,106.029,Tl-208,2614.000,35.8516,40.933,0.3861,10,30.112,2800.000,Tl-208,Tl-208,Tl-208
AS80_Th232WT20,59.529,503.0,244.404,28.293,10.450,Am-241,59.541,35.9,0.012,0.0012,10,29.995,2800.019,Am-241|W x-ray,Am-241 / W x-ray,Am-241
AS80_Th232WT20,93.525,25.0,26.181,35.330,13.062,Pb x-ray,87.300,8,6.225,0.4766,10,29.995,2800.019,Pb x-ray,Pb x-ray,Pb
AS80_Th232WT20,129.037,16.0,27.557,39.728,14.704,Ac-228,129.065,2.42,0.028,0.0019,10,29.995,2800.019,Ac-228,Ac-228,Ac-228
AS80_Th232WT20,240.249,145.0,569.369,62.000,23.021,Pb-214,241.000,7.2615,0.751,0.0326,10,29.995,2800.019,Pb-214|Pb-212,Pb-214 / Pb-212,Pb-214
AS80_Th232WT20,340.271,34.0,334.122,79.685,29.670,Ac-228,338.000,11.27,2.271,0.0765,10,29.995,2800.019,Ac-228|Eu-152,Ac-228 / Eu-152,Ac-228
AS80_Th232WT20,406.609,1.0,14.630,36.396,13.577,Ac-228,409.000,1.92,2.391,0.1761,10,29.995,2800.019,Ac-228,Ac-228,Ac-228
AS80_Th232WT20,464.099,2.0,52.212,62.782,23.455,Ac-228,463.000,4.4,1.099,0.0469,10,29.995,2800.019,Ac-228,Ac-228,Ac-228
AS80_Th232WT20,513.446,4.0,106.436,67.690,25.322,Annihilation,511.000,0,2.446,0.0966,10,29.995,2800.019,Annihilation|Tl-208,Annihilation / Tl-208,Annihilation
AS80_Th232WT20,584.963,17.0,496.809,111.820,41.908,Tl-208,583.000,30.549,1.963,0.0468,10,29.995,2800.019,Tl-208,Tl-208,Tl-208
AS80_Th232WT20,726.882,2.0,100.337,115.246,43.345,Ac-228,726.863,0.62,0.019,0.0004,10,29.995,2800.019,Ac-228|Bi-212,Ac-228 / Bi-212,Ac-228
AS80_Th232WT20,781.454,0.0,14.338,53.988,20.332,Eu-152,780.000,12.93,1.454,0.0715,10,29.995,2800.019,Eu-152,Eu-152,Eu-152
AS80_Th232WT20,909.694,5.0,367.455,159.772,60.352,Ac-228,911.000,25.8,1.306,0.0216,10,29.995,2800.019,Ac-228,Ac-228,Ac-228
AS80_Th232WT20,1108.069,0.0,46.031,147.910,56.117,Eu-152,1111.000,13.67,2.931,0.0522,10,29.995,2800.019,Eu-152,Eu-152,Eu-152
AS80_Th232WT20,1243.708,0.0,18.803,135.285,51.473,Bi-214,1238.000,5.83,5.708,0.1109,10,29.995,2800.019,Bi-214,Bi-214,Bi-214
AS80_Th232WT20,1447.293,0.0,85.025,177.772,67.908,K-40,1460.000,10.66,12.707,0.1871,10,29.995,2800.019,K-40,K-40,K-40
AS80_Th232WT20,1590.731,0.0,156.961,219.627,84.117,Ac-228,1588.000,3.22,2.731,0.0325,10,29.995,2800.019,Ac-228,Ac-228,Ac-228
AS80_Th232WT20,2113.482,0.0,115.657,262.751,101.475,Tl-208 SE,2103.000,0,10.482,0.1033,10,29.995,2800.019,Tl-208 SE,Tl-208 SE,Tl-208
AS80_Th232WT20,2309.163,0.0,35.014,249.832,96.740,Bi-214,2204.000,4.92,105.163,1.0871,10,29.995,2800.019,Bi-214,Bi-214,Bi-214
AS80_Th232WT20,2617.190,0.0,413.532,319.032,123.984,Tl-208,2614.000,35.8516,3.190,0.0257,10,29.995,2800.019,Tl-208,Tl-208,Tl-208
AS80_Th232_v2,35.985,14.0,13.209,20.200,7.430,,,,,,10,30.100,2799.918,,,
AS80_Th232_v2,70.199,203.0,221.771,29.468,10.842,W x-ray,69.067,8,1.132,0.1044,10,30.100,2799.918,W x-ray,W x-ray,W
AS80_Th232_v2,86.021,20.0,36.270,19.721,7.257,Pb x-ray,84.936,23,1.085,0.1495,10,30.100,2799.918,Pb x-ray,Pb x-ray,Pb
AS80_Th232_v2,125.032,6.0,22.581,33.422,12.302,Eu-152,125.000,28.53,0.032,0.0026,10,30.100,2799.918,Eu-152,Eu-152,Eu-152
AS80_Th232_v2,236.605,40.0,349.089,63.188,23.277,Pb-212,238.000,43.6,1.395,0.0599,10,30.100,2799.918,Pb-212,Pb-212,Pb-212
