spectrum,peak_kev,peak_counts,snr,fwhm_ch,fwhm_kev,nuclide,line_kev,intensity_pct,miss_kev,miss_fwhm,tol_pct,range_min_kev,range_max_kev,candidates,label_text,label_token
AS1Pro_Ra226,25.940,175.0,120.165,21.651,8.448,,,,,,10,20.088,2799.850,,,
AS1Pro_Ra226,45.849,321.0,295.376,25.763,10.063,Pb-210,46.539,4.25,0.690,0.0686,10,20.088,2799.850,Pb-210,Pb-210,Pb-210
AS1Pro_Ra226,78.295,722.0,805.808,37.288,14.589,Pb x-ray,74.969,100,3.326,0.2280,10,20.088,2799.850,Pb x-ray|Am-243,Pb x-ray / Am-243,Pb
AS1Pro_Ra226,153.165,6.0,35.268,37.238,14.625,U-235,145.000,10.96,8.165,0.5583,10,20.088,2799.850,U-235,U-235,U-235
AS1Pro_Ra226,186.578,49.0,314.096,52.082,20.490,Ra-226,186.211,3.64,0.367,0.0179,10,20.088,2799.850,Ra-226|U-235,Ra-226 / U-235,Ra-226
AS1Pro_Ra226,241.339,37.0,358.513,58.759,23.182,Pb-214,241.000,7.2615,0.339,0.0146,10,20.088,2799.850,Pb-214,Pb-214,Pb-214
AS1Pro_Ra226,296.649,50.0,561.331,64.900,25.676,Pb-214,295.000,18.4672,1.649,0.0642,10,20.088,2799.850,Pb-214,Pb-214,Pb-214
AS1Pro_Ra226,354.495,61.0,800.832,83.109,32.976,Pb-214,353.000,35.7166,1.495,0.0453,10,20.088,2799.850,Pb-214|Ba-133,Pb-214 / Ba-133,Pb-214
AS1Pro_Ra226,476.280,0.0,19.113,84.430,33.705,Ac-228,463.000,4.4,13.280,0.3940,10,20.088,2799.850,Ac-228,Ac-228,Ac-228
AS1Pro_Ra226,611.259,14.0,613.220,122.721,49.317,Bi-214,609.000,45.44,2.259,0.0458,10,20.088,2799.850,Bi-214|Ag-108m,Bi-214 / Ag-108m,Bi-214
AS1Pro_Ra226,773.852,1.0,94.802,137.330,55.625,Bi-214,768.360,4.89,5.492,0.0987,10,20.088,2799.850,Bi-214|Eu-152|Pa-234m,Bi-214 / Eu-152 / Pa-234m,Bi-214
AS1Pro_Ra226,935.279,0.0,53.395,135.018,55.112,Ac-228,911.000,25.8,24.279,0.4405,10,20.088,2799.850,Ac-228,Ac-228,Ac-228
AS1Pro_Ra226,1115.235,1.0,196.718,171.434,70.572,Eu-152,1111.000,13.67,4.235,0.0600,10,20.088,2799.850,Eu-152|Bi-214,Eu-152 / Bi-214,Eu-152
AS1Pro_Ra226,1246.956,0.0,47.857,111.334,46.112,Bi-214,1238.000,5.83,8.956,0.1942,10,20.088,2799.850,Bi-214,Bi-214,Bi-214
AS1Pro_Ra226,1395.321,0.0,101.386,195.028,81.327,Bi-214,1377.000,3.985,18.321,0.2253,10,20.088,2799.850,Bi-214,Bi-214,Bi-214
AS1Pro_Ra226,1763.223,0.0,216.310,253.683,107.541,Bi-214,1764.000,15.29,0.777,0.0072,10,20.088,2799.850,Bi-214,Bi-214,Bi-214
AS1Pro_Ra226,2217.449,0.0,88.170,315.016,136.183,Bi-214,2204.000,4.92,13.449,0.0988,10,20.088,2799.850,Bi-214,Bi-214,Bi-214
AS1Pro_Ra226,2495.744,0.0,43.947,273.704,119.709,Bi-214,2447.000,1.545,48.744,0.4072,10,20.088,2799.850,Bi-214,Bi-214,Bi-214
AS80_Charoite,36.403,2.0,7.107,25.707,9.648,,,,,,10,30.023,2800.136,,,
AS80_Charoite,81.826,3.0,22.218,32.373,12.156,Pb x-ray,84.936,23,3.110,0.2559,10,30.023,2800.136,Pb x-ray,Pb x-ray,Pb
AS80_Charoite,96.847,1.0,4.620,22.828,8.573,Np-239,106.000,25.34,9.153,1.0676,10,30.023,2800.136,Np-239,Np-239,Np-239
AS80_Charoite,135.914,0.0,4.064,37.550,14.109,Ac-228,129.065,2.42,6.849,0.4854,10,30.023,2800.136,Ac-228,Ac-228,Ac-228
AS80_Charoite,254.727,1.0,39.360,63.665,23.954,Eu-152,244.000,7.55,10.727,0.4478,10,30.023,2800.136,Eu-152,Eu-152,Eu-152
AS80_Charoite,364.662,0.0,14.859,80.119,30.183,I-131,364.000,81.5,0.662,0.0219,10,30.023,2800.136,I-131,I-131,I-131
AS80_Charoite,621.975,0.0,21.598,125.955,47.592,Ag-108m,614.000,89.8,7.975,0.1676,10,30.023,2800.136,Ag-108m,Ag-108m,Ag-108m
AS80_Charoite,768.327,0.0,4.331,93.881,35.533,Bi-214,768.360,4.89,0.033,0.0009,10,30.023,2800.136,Bi-214|Pa-234m,Bi-214 / Pa-234m,Bi-214
AS80_Charoite,958.535,0.0,13.586,161.876,61.402,Ac-228,964.000,4.99,5.465,0.0890,10,30.023,2800.136,Ac-228,Ac-228,Ac-228
AS80_Charoite,1171.210,0.0,4.301,216.196,82.205,Co-60,1173.000,99.85,1.790,0.0218,10,30.023,2800.136,Co-60,Co-60,Co-60
AS80_Charoite,1515.997,0.0,24.716,219.770,83.892,K-40,1460.000,10.66,55.997,0.6675,10,30.023,2800.136,K-40,K-40,K-40
AS80_Charoite,1841.824,0.0,6.702,201.583,77.232,Bi-214,1764.000,15.29,77.824,1.0077,10,30.023,2800.136,Bi-214,Bi-214,Bi-214
