det,spectrum,e_kev,fwhm_kev,weight,reduced,kept
RC103,RC103_Charoite,187.37977532924765,25.629995449957757,15.668044619524471,np.float64(1.8723505911029932),1
RC103,RC103_Charoite,295.0377299602081,29.418652371543974,14.671772949063302,np.float64(1.7127106389150957),1
RC103,RC103_Charoite,351.7211974564529,34.80363011209807,30.346208229321647,np.float64(1.8557747992054467),1
RC103,RC103_Charoite,608.2504396412795,56.19357652947897,24.78999256262925,np.float64(2.278481247536417),1
RC103,RC103_Cs137_0cm,661.657,56.19154661915064,100.0,np.float64(2.184512479559828),1
RC103,RC103_Cs137_50mm,661.657,57.50067188376608,49.32198864420149,np.float64(2.235406264300126),1
RC103,RC103_K40,1120.294,98.28190293237401,19.896653759502037,np.float64(2.936348183704144),0
RC103,RC103_K40,2614.511,168.270474996486,11.59547143161887,np.float64(3.290884832101624),0
RC103,RC103_Lu176,88.34,13.37833486523059,8.668587086351845,np.float64(1.4233882120962875),1
RC103,RC103_Lu176,201.81214462769304,24.898711962953175,99.16559457309467,np.float64(1.7526824272259933),1
RC103,RC103_Lu176,306.842969157981,36.586895557416725,96.78502518258486,np.float64(2.0886586665598665),1
RC103,RC103_Th232Village,584.2982159241184,51.09817667377598,46.602941126914025,np.float64(2.113917935043903),1
RC103,RC103_Th232Village,2614.511,100.16617301482123,14.406796499809168,np.float64(1.9589612465943653),1
RC103,RC103_Th232WT20,584.2982159241184,49.20681263049737,90.36828932204334,np.float64(2.0356727092248037),1
RC103,RC103_Th232WT20,2614.511,113.02805696163448,85.59006160006119,np.float64(2.210502574885636),1
