спектр             нуклид     паспорт      rev29      rev30      r29      r30
G1S16_Am241_P25    Am-241    117537.1   122780.0   122780.0    1.045    1.045
G1S16_Am241_P5     Am-241    117537.1   111640.0   111600.0    0.950    0.949
G1S16_Ba133_P25    Ba-133     26718.6    26149.0    26222.0    0.979    0.981
G1S16_Ba133_P5     Ba-133     26723.5    24896.0    24903.0    0.932    0.932
G1S16_Ce139_P25    Ce-139      2058.8     1956.6     1953.3    0.950    0.949
G1S16_Ce139_P5     Ce-139      2069.2     1869.8     1869.5    0.904    0.904
G1S16_Co57_P5      Co-57         82.1       76.7       79.5    0.935    0.968
G1S16_Co60_P25     Co-60      39539.6    38690.0    38633.0    0.979    0.977
G1S16_Co60_P5      Co-60      39553.8    37845.0    37862.0    0.957    0.957
G1S16_Cs137_P25    Cs-137     79026.2    78334.0    78282.0    0.991    0.991
G1S16_Cs137_P5     Cs-137     79026.2    76300.0    76442.0    0.966    0.967
G1S16_Eu152_P25    Eu-152     31582.4    30244.0    30298.0    0.958    0.959
G1S16_Eu152_P5     Eu-152     31586.9    27855.0    27899.0    0.882    0.883
G1S16_Mn54_P25     Mn-54      30490.6    29657.0    29785.0    0.973    0.977
G1S16_Mn54_P5      Mn-54      30626.1    29437.0    29451.0    0.961    0.962
G1S16_Na22_P25     Na-22      69035.8    69002.0    69618.0    1.000    1.008
G1S16_Na22_P5      Na-22      69136.6    65301.0    65310.0    0.945    0.945
G1S16_Th228_P25    Th-228      2372.3     2437.2     2441.4    1.027    1.029
G1S16_Th228_P5     Th-228      2377.0     2278.4     2276.2    0.959    0.958
G1S16_Y88_P25      Y-88         681.9      629.2      629.3    0.923    0.923
G1S16_Y88_P5       Y-88         686.4      660.9      666.6    0.963    0.971
G1S24_Am241_P5     Am-241    102513.3    94363.0    94334.0    0.920    0.920
G1S24_Ba133_P5     Ba-133     15356.9    12961.0    12970.0    0.844    0.845
G1S24_Bi207_P5     Bi-207     82424.7    76165.0    76050.0    0.924    0.923
G1S24_Cd109_P5     Cd-109      6808.7     1508.7     1509.0    0.222    0.222
G1S24_Co60_P5      Co-60      49908.4    45987.0    46036.0    0.921    0.922
G1S24_Cs137_P25    Cs-137     89324.6    84312.0    83976.0    0.944    0.940
G1S24_Cs137_P5     Cs-137     89330.3    83651.0    83758.0    0.936    0.938
G1S24_Eu152_P5     Eu-152    120540.4   112950.0   112900.0    0.937    0.937
G1S24_Na22_P25     Na-22     136634.9   131380.0   131890.0    0.962    0.965
G1S24_Na22_P5      Na-22     136734.6   123720.0   123970.0    0.905    0.907
G1S24_Th228_P25    Th-228     28146.8    28757.0    28934.0    1.022    1.028
G1S24_Th228_P5     Th-228     88637.4    85912.0    85779.0    0.969    0.968
G1S24_Y88_P25      Y-88       29782.9    28128.0    28217.0    0.944    0.947
G1S24_Y88_P5       Y-88       29977.2    27923.0    27924.0    0.931    0.932
G1S24_Zn65_P5      Zn-65        871.0      821.6      821.4    0.943    0.943
медиана _P5  rev29 0.936 -> rev30 0.938 (n=22)
медиана _P25 rev29 0.979 -> rev30 0.977 (n=14)

спектр             нуклид     паспорт      rev29      rev30      r29      r30
ASN16_Cs137        Cs-137      5715.5     6685.6     6685.1    1.170    1.170
ASN16_Cs137_10cm   Cs-137      5712.3     5518.4     5522.9    0.966    0.967
RC103_Cs137_0cm    Cs-137      5564.3     5510.1     5497.0    0.990    0.988
RC103_Cs137_50mm   Cs-137      5235.6     6228.8     6141.7    1.190    1.173
