file	print	parse	print_NUM	parse_NUM	total
BecquerelMonitor/XPTable/Editors/ColorCellEditor.cs	72	13	0	13	85
BecquerelMonitor/RadiaCodeIn.cs	66	8	0	5	74
BecquerelMonitor/DocumentManager.cs	53	14	10	14	67
BecquerelMonitor/ObsidianIn.cs	58	8	0	3	66
BecquerelMonitor/DeviceConfigForm.cs	49	13	10	13	62
BecquerelMonitor/EnergySpectrumView.cs	61	0	47	0	61
BecquerelMonitor/MainForm.cs	39	2	1	0	41
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	21	9	4	9	30
BecquerelMonitor/NucBase/NucBase.cs	26	4	3	4	30
BecquerelMonitor/ROIConfigForm.cs	22	7	4	7	29
BecquerelMonitor/AudioInputDeviceForm.cs	16	11	0	11	27
BecquerelMonitor/N42/Util.cs	24	0	12	0	24
BecquerelMonitor/Utils/SpectrumAriphmetics.cs	1	22	0	22	23
BecquerelMonitor/DCEnergyCalibrationView.cs	19	3	1	3	22
BecquerelMonitor/ROICovellMethodControl.cs	9	8	1	8	17
BecquerelMonitor/Utils/PeakShapePreviewGraph.cs	17	0	7	0	17
BecquerelMonitor/DCPeakDetectionView.cs	12	4	7	4	16
BecquerelMonitor/GlobalConfigForm.cs	16	0	0	0	16
BecquerelMonitor/EfficiencyMaker/EfficiencyFitter.cs	16	0	0	0	16
BecquerelMonitor/FullSpectrumAnalysis/FsaAnalysisSession.cs	16	0	1	0	16
BecquerelMonitor/DCFwhmCalibrationView.cs	12	3	2	3	15
BecquerelMonitor/DCResultView.cs	15	0	8	0	15
BecquerelMonitor/ObsidianDeviceForm.cs	14	0	0	0	14
BecquerelMonitor/ROIConfigManager.cs	14	0	0	0	14
BecquerelMonitor/RadiaCodeDeviceForm.cs	13	0	0	0	13
BecquerelMonitor/DCControlPanel.cs	10	2	3	2	12
BecquerelMonitor/EfficiencyMakerForm.cs	10	0	0	0	10
BecquerelMonitor/NuclideDefinitionForm.cs	9	0	0	0	9
BecquerelMonitor/PolynomialEnergyCalibration.cs	9	0	6	0	9
BecquerelMonitor/ROISimpleDifferenceControl.cs	5	4	1	4	9
BecquerelMonitor/FullSpectrumAnalysis/FsaSampleLibrary.cs	9	0	7	0	9
BecquerelMonitor/XPTable/Models/DragDropHelper.cs	9	0	0	0	9
BecquerelMonitor/DoseRate.cs	8	0	7	0	8
BecquerelMonitor/FWHMPeakDetector/PeakFinder.cs	8	0	6	0	8
BecquerelMonitor/Utils/FWHMCalibrationGraph.cs	8	0	1	0	8
BecquerelMonitor/PercentageProgressBar.cs	6	1	4	1	7
BecquerelMonitor/EfficiencyMaker/EstarCalculator.cs	7	0	7	0	7
BecquerelMonitor/EfficiencyMaker/ScatteringData.cs	7	0	7	0	7
BecquerelMonitor/FullSpectrumAnalysis/AngularCorrelation.cs	7	0	7	0	7
BecquerelMonitor/Utils/CalibrationGraph.cs	7	0	0	0	7
BecquerelMonitor/PeakDetector.cs	0	6	0	6	6
BecquerelMonitor/EfficiencyMaker/MaterialDatabase.cs	6	0	6	0	6
BecquerelMonitor/DeviceConfigManager.cs	5	0	0	0	5
BecquerelMonitor/EfficiencyMaker/EfficiencySimulator.cs	5	0	0	0	5
BecquerelMonitor/ROIReferenceControl.cs	2	2	0	2	4
BecquerelMonitor/EfficiencyMaker/GeometryWriter.cs	4	0	3	0	4
BecquerelMonitor/FullSpectrumAnalysis/CascadeAtomicData.cs	4	0	2	0	4
BecquerelMonitor/WinMM/NativeMethods.cs	4	0	0	0	4
BecquerelMonitor/WinMM/WaveIn.cs	4	0	4	0	4
BecquerelMonitor/WinMM/WaveOut.cs	4	0	4	0	4
BecquerelMonitor/XPTable/Editors/DoubleCellEditor.cs	2	2	1	2	4
BecquerelMonitor/XPTable/Editors/NumberCellEditor.cs	2	2	1	2	4
BecquerelMonitor/XPTable/Models/CellPadding.cs	0	4	0	4	4
BecquerelMonitor/XPTable/Models/ShowColumnsDialog.cs	2	2	0	2	4
BecquerelMonitor/XPTable/Sorting/DateTimeComparer.cs	0	4	0	4	4
BecquerelMonitor/DCCountRateView.cs	3	0	3	0	3
BecquerelMonitor/PulseView.cs	3	0	3	0	3
BecquerelMonitor/EfficiencyMaker/EfficiencyModel.cs	3	0	0	0	3
BecquerelMonitor/EfficiencyMaker/ResponseMatrix.cs	3	0	1	0	3
BecquerelMonitor/FWHMPeakDetector/Spectrum.cs	0	3	0	3	3
BecquerelMonitor/XPTable/Models/Table.cs	3	0	0	0	3
BecquerelMonitor/XPTable/Renderers/CellRenderer.cs	3	0	0	0	3
BecquerelMonitor/AboutForm.cs	2	0	0	0	2
BecquerelMonitor/AudioInputDeviceController.cs	2	0	2	0	2
BecquerelMonitor/AudioVolumeController.cs	2	0	0	0	2
BecquerelMonitor/DeviceConfigForm.Efficiency.cs	2	0	0	0	2
BecquerelMonitor/DocEnergySpectrum.cs	2	0	0	0	2
BecquerelMonitor/DoubleTextBox.cs	0	2	0	2	2
BecquerelMonitor/EfficiencyConfigData.cs	2	0	0	0	2
BecquerelMonitor/GeometryEditorPanel.cs	2	0	0	0	2
BecquerelMonitor/GlobalConfigManager.cs	2	0	2	0	2
