t_mid_h,value,err
5.48842,5.82903,0.3684
9.49104,5.90981,0.3577
13.49368,5.98294,0.3737
17.49462,4.69879,0.369
21.49721,5.08266,0.356
25.49986,5.8579,0.3563
29.50242,5.62464,0.35
33.50510,5.93637,0.3476
37.50759,6.11925,0.3352
41.51003,6.85839,0.391
45.51249,6.16672,0.3409
49.51522,6.97695,0.3549
53.51744,6.05485,0.3268
57.51988,5.79186,0.3339
61.52234,5.80653,0.3275
65.52481,5.62912,0.3154
69.52744,6.22487,0.3386
73.53015,6.02266,0.3101
77.53264,6.53605,0.3374
81.53505,6.45793,0.3357
85.53760,6.98877,0.3351
89.54027,5.84044,0.3332
93.54291,6.36948,0.3346
97.54554,7.07606,0.3318
101.54796,6.69524,0.3165
105.55040,6.47412,0.3321
109.55292,6.4644,0.3227
113.55544,6.47812,0.3112
117.55787,6.47935,0.3267
121.56052,6.37283,0.3151
