model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,76.47000,246.22281,21.6072,0.926,0,0,16.160,25
fixed,3.82350,0.00000,1.43173,5.36,20.1722,3.41,16.136,25
free,1.10948,5.54453,1.18491,3.89,20.7551,1.33,16.114,24
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,18.6603,5.301,-0.547,-0.544,-0.589
#2,9.4910,19.7111,5.195,-0.350,-0.345,-0.379
#3,13.4937,27.9779,5.159,1.256,1.262,1.238
#4,17.4946,21.36,5.333,-0.020,-0.013,-0.027
#5,21.4972,22.6027,5.126,0.228,0.237,0.228
#6,25.4999,23.6752,4.933,0.461,0.471,0.468
#7,29.5024,17.7867,5.098,-0.702,-0.693,-0.690
#8,37.5076,23.1012,4.912,0.366,0.377,0.387
#9,41.5100,17.2787,4.925,-0.811,-0.800,-0.788
#10,45.5125,21.4916,4.951,0.051,0.061,0.076
#11,49.5152,15.6646,4.614,-1.201,-1.190,-1.174
#12,53.5174,26.7692,4.601,1.216,1.226,1.243
#13,65.5248,22.081,4.754,0.211,0.218,0.234
#14,69.5274,23.2071,4.624,0.467,0.473,0.488
#15,73.5302,20.2906,4.705,-0.154,-0.149,-0.136
#16,77.5326,24.0605,4.652,0.661,0.664,0.677
#17,81.5350,14.7285,4.438,-1.402,-1.401,-1.390
#18,85.5376,17.7564,4.443,-0.712,-0.713,-0.704
#19,89.5403,22.952,4.618,0.447,0.444,0.451
#20,93.5429,20.2103,4.561,-0.142,-0.147,-0.142
#21,97.5455,24.6997,4.408,0.879,0.872,0.874
#22,101.5480,16.7812,4.316,-0.930,-0.940,-0.940
#23,105.5504,19.9023,4.384,-0.196,-0.209,-0.212
#24,109.5529,16.1126,4.378,-1.055,-1.070,-1.076
#25,113.5554,25.9325,4.292,1.219,1.201,1.192
#26,117.5579,26.5343,4.442,1.320,1.300,1.289
#27,121.5605,18.4729,4.32,-0.501,-0.526,-0.540
