t_mid_h,value,err
5.48842,7.04122,0.4523
9.49104,7.15676,0.4391
13.49368,7.23959,0.459
17.49462,5.66342,0.453
21.49721,6.14262,0.4366
25.49986,7.10432,0.4371
29.50242,6.82176,0.429
33.50510,7.1882,0.4267
37.50759,7.42188,0.4109
41.51003,8.31149,0.4778
45.51249,8.09104,0.4526
49.51522,8.43188,0.4346
53.51744,7.34633,0.3991
57.51988,7.01102,0.4094
61.52234,7.05123,0.4018
65.52481,6.82885,0.387
69.52744,7.52876,0.4149
73.53015,7.33118,0.3802
77.53264,7.90468,0.4133
81.53505,7.83553,0.4109
85.53760,8.48814,0.4105
89.54027,7.07156,0.4078
93.54291,7.8952,0.4263
97.54554,8.60162,0.4062
101.54796,8.12451,0.388
105.55040,7.86626,0.4068
109.55292,7.84298,0.3956
113.55544,8.03811,0.3952
117.55787,7.93708,0.401
121.56052,7.74323,0.3861
